date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,49533,7251450,14850.0,14850.0,11126594,1088.0,,3208163,3208163,311482,-27810,342209,290385,713915,713915.0,91566,1342099,58713,1254736,103032,103032,78609,10885460,10885460,0.0,,0.0,4311089,399561,912079,2291.0,2675.0,10878439,69767,480404.0,5732.0,,3750646,2013年03月31日,8137322,,16830515,16570261,0,2263295,21408176,31453454,,170175,,1533705.0,182030.0,,725977,,7052536.0,574055.0,11374813,3750646,,286207,,24085807.0,1720831,,40916322.0,0.0,7062.0,1075298,583895,260234,2675.0,800307,825591,260254,2677631,9462868,326113,0
2013-08-13,2,2013,37069,7394909,14850.0,14850.0,9894968,1020.0,,5090239,5090239,370919,101034,314780,277711,649246,649246.0,87054,1357761,68406,1245291,130210,130210,80443,11534909,11534909,0.0,,0.0,5822841,199957,1199840,,,8750413,88665,480700.0,6456.0,151368.0,3750646,2013年06月30日,6604785,,15717456,15467479,0,2564206,23904215,32521305,,167497,,3507340.0,183851.0,,725977,,7600928.0,633755.0,10333294,3750646,,309509,,26566786.0,1720831,,42284242.0,0.0,17865.0,1057145,598715,247665,,808655,835902,249977,2662571,9762937,279179,0
2013-11-08,3,2013,55438,7387037,14850.0,14850.0,10821358,1051.0,,3330047,3330047,421549,40638,375403,319965,736760,736760.0,91764,1342049,66013,1287493,124385,124385,82124,10958711,10958711,0.0,,0.0,5755237,199643,1205789,,,8794527,81735,481889.0,6195.0,200982.0,3750646,2013年09月30日,7531175,,16575099,16333473,0,2564206,22321680,31660106,,173888,,3689623.0,180799.0,,725977,,6969445.0,656050.0,10521145,3750646,,276280,,24966878.0,1720831,,41541977.0,2086.0,6705.0,1107393,630627,195756,,794147,822227,241626,2645198,9881871,340881,0
2014-03-26,4,2013,103598,7527139,14850.0,14850.0,11710649,1110.0,,3538887,3538887,360838,205084,433986,330388,458885,458885.0,98067,1246972,83058,1277772,140628,140628,84356,11479841,11479841,0.0,,0.0,4831591,399523,903949,,,9722146,107249,363383.0,6102.0,205940.0,3750646,2013年12月31日,8420466,,17569606,17387210,0,2564206,20571207,30506994,,182423,,2929196.0,182491.0,,725977,,5447729.0,501597.0,9616260,3750646,,345414,,22931138.0,1720831,,40500744.0,0.0,0.0,994166,597033,118793,,800531,827816,182396,2359931,9993750,309328,0
2014-08-08,2,2014,93467,7469372,14850.0,14850.0,11379691,1281.0,,5616487,5616487,513578,49755,444678,351211,840233,840233.0,91421,1263341,134966,1252801,146097,146097,83751,11597583,11597583,0.0,0.0,,6087212,399636,1202826,,,9954857,81072,358394.0,,201317.0,3750646,2014年06月30日,7739036,,17097025,16900923,0,2914678,24317594,34111683,,175172,,4429096.0,175958.0,,725977,6693310.0,,675045.0,9577945,3750646,,312852,,26860617.0,1720831,,43957642.0,913.0,673.0,1188934,556489,90748,,769981,800121,196102,2543023,9845959,306583,0
2014-11-07,3,2014,102724,7462243,0.0,0.0,12529451,1279.0,171450.0,3820963,3820963,678575,103273,486179,383455,735325,735325.0,93113,1214350,76722,1334501,146501,146501,79304,11782549,11782549,0.0,0.0,,6163825,399552,1318564,,,10451072,111322,354462.0,,202548.0,3750646,2014年09月30日,8888796,,18284715,18104201,0,2914678,24597800,35159249,,172417,,3900449.0,179158.0,,725977,7487102.0,,817891.0,11205424,3750646,,385402,,27072602.0,1720831,,45357317.0,0.0,11576.0,1153054,675751,107398,,783166,815775,180514,2474802,10198068,372225,0
2015-03-25,4,2014,75430,7662570,0.0,0.0,13569036,1319.0,161700.0,4126264,4126264,457523,337263,418191,342761,734238,734238.0,97505,1233394,73444,1367139,137139,137139,79130,12643907,12643907,0.0,0.0,,5337908,399581,1147234,,,11137271,69721,358568.0,69467.0,207499.0,3750646,2014年12月31日,9928381,,19541727,19377776,0,2914678,23261149,34856261,,176635,,3341777.0,0.0,,725977,6470505.0,,794318.0,10621343,3750646,,416310,,25632678.0,1720831,,45174405.0,,,1062871,673134,75264,,801382,836947,163951,2371529,10318144,393053,0
2015-05-13,1,2015,53020,7564524,0.0,0.0,14516275,1412.0,190650.0,4348584,4348584,596854,-172434,297687,244667,835644,835644.0,97305,1208029,64812,1430483,147626,147626,69262,12528923,12528923,0.0,0.0,,4990175,399581,963546,,,11692631,89570,,67818.0,205179.0,3750646,2015年03月31日,10875620,920981.0,19983470,19815318,0,2914678,23647016,35539673,356356.0,166567,2746961.0,,,0.0,725977,,7043281.0,,11231669,3750646,45990188.0,494793,26006718.0,,1720831,45990188.0,,0.0,4397.0,1067563,825294,84110,,786861,827627,168152,2359702,10450515,455230,0
2015-08-07,2,2015,228,7371331,0.0,0.0,12876489,0.0,180150.0,6550613,6550613,626889,-152709,280380,280152,738684,738684.0,90743,1164599,62216,1505005,192516,192516,71123,13311902,13311902,0.0,0.0,,5891962,399601,1047705,,,10600946,96509,,5268.0,202534.0,3750646,2015年06月30日,8944609,591311.0,18243690,18195257,0,3325890,25704537,35958734,331503.0,161866,3580674.0,,,0.0,605990,,6999628.0,,10451907,3750646,46192807.0,489250,27949117.0,,1720831,46192807.0,,1808.0,3502.0,1046342,807919,33639,,770880,811907,48433,2244580,10234073,500582,0
2015-11-06,3,2015,4066,7723875,,,14090633,0.0,180985.0,4741177,4741177,656110,476776,333921,329855,903700,903700.0,107089,1187731,62754,1585469,229404,229404,76135,13334181,13334181,0.0,0.0,,5742859,399625,1174511,,,11481079,178592,,,245146.0,3750646,2015年09月30日,10158753,587176.0,20090914,20038886,0,3325890,24486548,36323313,328909.0,183224,3083925.0,,,0.0,605990,,6679719.0,,11017584,3750646,47004444.0,486368,26913530.0,,1720831,47004444.0,,3327.0,6007.0,1211391,762432,27860,,796068,837959,52028,2426982,10681131,518106,0
