date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,510000,4055336,238540,-6547636,1023205,,260448,574066,6029,922550,49972,1016129,147473,868656,388157,464697,257629,1652713,34257,,641221,676010,0,,,1151454,21129,,,697508,491565,23954,598020,,207068.0,4184620,942247,14185307,2013年03月31日,,8303440,7650841,0,5919178,8043145,,70114,,3760383.0,12246.0,1886176,14185307,,,484011,568897,,11731387.0,7141,,20034827.0,418407,761470.0,146681,578510.0,43414,269602,3973731,,,589078,652599,5812209,11991682,,396401,362578,0
2013-08-13,2,2013,530000,4004605,239303,-6359270,999657,,200651,132097,28064,972845,68046,1033801,129209,904592,399098,463387,256202,2037239,450588,,590934,786509,0,,,1125209,23884,,,666556,469063,14161,146258,,207185.0,4211324,1011350,14185307,2013年06月30日,,8535774,7862881,0,5764012,7165657,,103615,,3013791.0,33563.0,1927965,14185307,,,387121,461430,,11080847.0,8780,,19616621.0,293768,392721.0,455043,574360.0,41549,269168,3957748,,,596619,672893,5316835,12450964,,393985,374799,0
2013-11-11,3,2013,620000,3927550,238603,1422086,929396,,252279,43852,18175,1016976,59352,1435560,137442,1298118,77701,469634,262321,1711393,492491,,554720,779231,0,,,1242974,15341,,,724878,445738,13193,57045,,207313.0,4211433,814236,6959874,2013年09月30日,,9064542,8409344,0,5351808,7209610,,103932,,2540779.0,3415.0,1906874,6959874,,,161416,325515,,9960868.0,9209,,19025410.0,75416,0.0,597978,571630.0,42147,237023,3771764,,,586481,655198,4609060,11815800,,376122,337624,0
2014-03-28,4,2013,372500,3873489,266212,1302232,1153051,,158611,111195,81655,723754,72392,912649,15533,897116,20042,535630,33308,1554419,1483,87511.0,538558,802931,0,,,1296065,13950,,,666378,389540,37040,148235,,199058.0,4164477,893821,6959874,2013年12月31日,,8991943,8352003,0,5377927,7482016,,93204,,2976394.0,20758.0,2042601,6959874,,,67287,0,,9578726.0,8242,,18570669.0,60461,0.0,1056516,7520.0,1889,235511,3663280,215753.0,410262.0,584074,639940,4200799,11088653,,370762,278862,0
2014-05-14,1,2014,395000,3727491,266858,2445294,1166650,,139357,126873,119520,819824,130023,1065750,118176,947574,65112,530963,28990,1563780,5,84424.0,542396,729809,0,,0.0,1453997,11537,,908716.0,925439,210522,8070,134943,16723.0,199246.0,6996900,931465,6959874,2014年03月31日,,10112377,9532930,0,5642592,7366634,,106642,2804415.0,,25759.0,1429639,6959874,,,528117,132460,,11085864.0,8242,,21198241.0,207069,129117.0,1011466,0.0,249274,238471,4401458,218303.0,369919.0,586348,579447,5443272,13831607,,344933,294801,0
2014-08-13,2,2014,277500,3750240,266255,899402,1750985,1402248.0,630096,115380,66012,695354,135924,897255,106434,790821,66453,545860,24934,1537465,1551,103735.0,494556,768784,0,,0.0,1418791,14009,348737.0,752533.0,763078,191655,6143,121523,10545.0,199495.0,7017589,786922,6959874,2014年06月30日,,8409179,7934321,0,6351999,7373334,,72370,3352888.0,,36195.0,1614078,6959874,,,533709,873107,,12646891.0,9033,,21056070.0,288878,176444.0,269368,0.0,247801,251895,4451680,217696.0,314829.0,570076,474858,6294892,13682736,90000.0,378687,281930,0
2014-11-13,3,2014,310000,3671260,266687,448880,1264430,,173014,149141,72128,740190,136178,824945,8022,816923,64355,490492,21141,1403531,9675,97612.0,500413,825077,0,5170.0,0.0,1449188,22955,,585238.0,590647,125833,28248,177389,5409.0,199760.0,7017589,833089,6959874,2014年09月30日,,8113011,7490434,0,6104431,6794336,,61102,3583663.0,,27748.0,1623919,6959874,5839.0,,689245,714016,,12176482.0,9552,,20289493.0,280917,123135.0,112,0.0,260941,241899,4483467,171979.0,253039.0,576049,622577,6072051,13495157,,488486,294012,0
2015-03-27,4,2014,378691,3695124,147124,-45823,1338020,,84078,156808,125169,620290,69412,973557,8291,965266,19070,507911,16499,1369855,55318,102433.0,478622,622716,0,,0.0,1555662,34883,,,512094,214418,23252,180060,,196578.0,7083900,899014,6959874,2014年12月31日,,7703627,7051131,0,7016108,7213728,,86833,4271624.0,,54977.0,2002474,6959874,,,1001149,336157,,13006311.0,11911,,20709938.0,408653,121551.0,114,0.0,268479,214360,4756105,192401.0,226944.0,589901,652496,5990203,13496210,,355067,172187,0
2015-05-11,1,2015,353100,3624013,60098,-484018,1313743,,119489,171237,94842,502608,50930,851393,10426,840967,18748,513391,12845,1313205,36395,97554.0,508307,512876,0,,0.0,1425842,38375,,,594338,100635,16038,187275,,,7353300,935159,6959874,2015年03月31日,56771.0,7249545,6582644,0,6480488,7167981,196906.0,84382,,4436544.0,,2021222,6959874,,20755900.0,669474,750339,13506355.0,,11946,20755900.0,,452453,35920.0,119,0.0,336266,217762,5389951,206086.0,173372.0,576383,666901,7025867,13587919,,365312,98578,0
2015-08-13,2,2015,318100,3698753,59839,-564536,1175470,1174727.0,115669,185665,68730,516201,54314,634162,12560,621602,20742,499663,8228,1156100,21584,100288.0,427781,474018,0,,0.0,1218469,42148,743.0,,541376,92888,10625,196290,,,7353300,688258,6959874,2015年06月30日,1424.0,7003859,6476068,0,5909945,6172852,197228.0,120023,,3773157.0,,2065512,6959874,,19461858.0,574490,593553,12457999.0,,12000,19461858.0,,316231,0.0,119,,336266,212733,5118572,193919.0,119801.0,566192,527791,6548054,13289006,0.0,345173,143787,0
