date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,農產品,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,274730,4077667,148297,-1200116,187,,319904,-34319,287865,3680856,,13135,3680856,190158,1190818,,365048,38626,909367,1968920,1968920,,3602222,,19000,1516247,3749732,,1696550,281451.0,,90713,2275280,2013年03月31日,-1200116,2823335,2423597,0,15267260,18059930,,,4975477.0,5955,9472975,-1200116,2275280,,,20040099.0,1382752,,22863434.0,,367,8426.0,14048.0,121779,48680,6061,3567973,,136264,399738,4772839,4803504,1967766,,0
2013-08-13,2,2013,285818,4070775,148297,-1257697,197,,383371,-50852,321694,3666227,,35876,3666227,145635,1276878,,354635,71094,995204,2007907,2007907,,3502691,,18500,1943342,3882103,,2862147,281674.0,,84304,2275280,2013年06月30日,-1257697,2751435,2350137,0,17353714,20092930,,,5336972.0,7716,11055961,-1257697,2275280,,,22132615.0,1383406,,24884050.0,,778,7364.0,14048.0,133109,127377,0,3487975,,137906,401298,4778901,4791120,2322297,,0
2013-11-12,3,2013,296906,4019050,148837,-1282767,155,,337185,24593,373432,4572071,,76526,4572071,192969,1317915,,400663,71898,1036007,1967222,1967222,,4025123,,18000,368387,3598731,95077.0,2385857,281908.0,,83464,2275280,2013年09月30日,-1282767,2563126,2400511,0,15676875,18245267,,,3764661.0,15103,10554019,-1282767,2275280,,,20452815.0,1383405,,23015941.0,,729,14495.0,14048.0,118660,0,4463,3443977,,135796,162615,4775940,4770674,1827432,,0
2014-03-31,4,2013,310237,4043940,148837,-1269677,174,0.0,468489,98875,348337,4981212,,38100,4981212,2153,1002399,14048.0,170578,31574,711297,1704936,1704936,,2859756,,18000,40466,3661982,103157.0,2509468,277054.0,,96148,2275280,2013年12月31日,-1269677,2658355,2488687,0,16199874,18689699,,,3635784.0,30486,12457936,-1269677,2275280,,,20575008.0,1384209,,23233363.0,,5393,25443.0,,84161,1497,28185,3372735,,136851,169668,4375134,4543664,2008872,,0
2014-05-13,1,2014,327669,4029305,148837,-1367660,171,,309667,72780,452013,3363157,,124344,3363157,1556,1016446,14048.0,172276,33096,727248,1982150,1982150,0.0,4606554,,17400,336942,3994891,108745.0,2844199,275150.0,,96067,2275280,2014年03月31日,-1367660,2534667,2364863,0,14761926,17076937,,3037250.0,,36037,9011583,-1367660,2275280,,,19081500.0,1384463,,21616167.0,,12626,0.0,,92745,15141,3454,3303128,,137624,169804,4319574,4539230,1706883,,0
2014-08-12,2,2014,338875,3974695,148837,-135838,157,,437554,114048,618526,3143688,,279651,3143688,2964,991041,14048.0,169165,32339,672335,2004551,2004551,0.0,4505241,,16800,174697,4254937,94725.0,3174276,271392.0,,97508,2275280,2014年06月30日,-135838,2539065,2372101,0,15319746,17602838,,2575488.0,,54160,9549571,-135838,2275280,,,19520109.0,118611,,22059174.0,,14474,0.0,,66131,2883,23695,3209322,33266.0,133862,166964,4200363,4456336,2277161,,0
2014-11-13,3,2014,350709,3947628,148837,-198465,154,,439664,83292,531637,2919386,,180928,2919386,2428,863918,14048.0,175458,37807,538750,1829464,1827944,0.0,5285087,44946.0,16200,14317,4136453,98506.0,2589443,265766.0,,107527,2275280,2014年09月30日,-198465,2500193,2281853,0,14296122,16393954,,2482014.0,,55716,7935923,-198465,2275280,,,18343227.0,121746,,20843420.0,1520.0,1026,0.0,,70016,27322,0,3183187,45354.0,135223,218340,4047105,4449466,2282818,,0
2015-03-30,4,2014,361497,4024546,143837,-228440,128,,439614,106815,518927,2686685,160213.0,157430,2526472,2828,594265,14048.0,180010,36683,293801,1583581,1581561,0.0,5348301,45505.0,16200,29477,4605108,109769.0,1837719,256705.0,,112611,2275280,2014年12月31日,-228440,2499752,2275602,0,13555500,15306836,,2569476.0,,64749,7069394,-228440,2275280,,,17343061.0,121947,,19842813.0,2020.0,5777,0.0,,74973,82305,352,3193296,29711.0,140499,224150,3787561,4535977,1849269,1849269.0,0
2015-05-13,1,2015,406615,3968210,143837,-437925,144,,592167,121147,623014,2177419,97212.0,216399,2080207,2828,599020,14048.0,178808,38693,318510,1461523,1457672,0.0,3894862,73309.0,15500,292849,3746350,103245.0,1531648,,50940.0,110990,2275280,2015年03月31日,-437925,2298192,2080449,0,12330163,13832637,255418.0,,2266880.0,74424,6803970,-437925,2275280,18310403.0,16012211.0,,121947,18310403.0,,3851.0,1792,0.0,,75921,32700,43194,3083028,11044.0,137287,217743,3682048,4477766,2376870,2376870.0,0
2015-08-14,2,2015,373496,3886010,139877,-426659,103,,500086,87565,618847,2027168,80838.0,245351,1946330,9514,342192,14048.0,185728,41288,72585,1434803,1431021,0.0,4227362,81817.0,14800,915525,3853430,92110.0,1410652,,50456.0,113335,2275280,2015年06月30日,-426659,2226339,2012652,0,12025247,13226542,254109.0,,2123369.0,87982,5595506,-426659,2275280,17617738.0,15391399.0,,76466,17617738.0,,3782.0,1767,847.0,,66246,69537,0,3023960,1450.0,134926,213687,3366152,4391196,2145622,2145622.0,0
