date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原料,商譽,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,專利權,專利權淨額,專門技術,專門技術淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應付設備款,應收帳款,應收帳款淨額,應收所得稅退稅款,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－建築物,持有供交易之金融資產－流動,持有供交易金融負債－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－運輸設備,累計減損－其他無形資產,累計減損－其他設備,累計減損－專利權,累計減損－專門技術,累計減損－房屋及建築,累計減損－投資性不動產－建築物,累計減損－機器設備,累計減損－運輸設備,累計減損－電腦軟體,股本合計,股東往來,虧損性合約之短期負債準備,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,3150040,3150040,48584439,,,1829433,28716931,-187,-187.0,,,30562,9210008,,4375659,3103835,3103835,-107124,3566959,416919,145774,145774,14422,14422,8420169,5572754,141537,9973.0,7601345,12081,12081,,8510191,723990,-106937,-106937,,1461937,8468.0,49703,190577,14037347,14037347,182131,182131,208211,208211,3130,0.0,,,16829102,16829102,,22893182,3217507,3217507,,,,,,4834349,19113491,19082929,11538,,,,27937.0,11899950,11087462,192079,192079,,,3872303,3271802,2013年03月31日,26902314,2356379,,,36922120,29450186,48776482,48071306,0,1814617,55548179,66198514,,1279298,,,4065010.0,4065010.0,,,,25752081.0,2646678.0,11538.0,11847246,4576333,2831219,812488,,6856752,99168,,16196,,,,,615182,,,3271802,53924.0,337166,4056751,,2166599,,79615902.0,16189697,476053,,14010608,14010608,1703036,,,128392384.0,,,216826,117658,3445881,3445881,664406,11847246,21172618,3651203,3651203,894952,150544,150544,705176,24067723,62193870,6503735,0
2013-08-12,2,2013,10709479,3282257,13991736,51541739,,,1969065,24915548,-535,-535,,,18276,17366695,,11853812,4077469,4077469,113399,14163472,171736,240905,240905,11770,11770,8176051,4989487,156145,7007,9915446,10344,10344,0,4616450,728220,113934,113934,,2949,0,99653,185501,9262155,9262155,182044,182044,177897,177897,1703,0,0,,6287745,6287745,,15876019,3029028,3029028,,,,,,5512883,16721704,16703428,21388,,,,27929,13523243,12502936,271082,271082,,,3366521,3286008,2013年06月30日,21695504,2935316,,,39485859,30989630,45290802,44683824,0,3220044,73853714,67338984,,1255369,,,8579799,8579799,,,,28453840,1313165,21388,19971930,1546781,3176404,1020307,,7895190,109417,,10160,,,,,601039,5801,,3286008,21556,164340,4642756,,2133405,,89146801,16368869,396036,,14275150,14275150,1697683,,,134437603,0,0,239588,124370,3528505,3528505,748462,19971930,26905356,5320692,5320692,896038,155438,155438,606978,15293087,67098619,8823563,0
2013-11-13,3,2013,10648646.0,3537362,14186008,53683608,,,1633847,25929010,-781,-781.0,,,6000,8750828,,3493921,4747470,4747470,-412809,15098201,912193,299123,299123,10532,10532,8191080,4667195,93709,5078.0,10762935,404,404,,6524087,719356,-412028,-412028,,918089,4040.0,39583,317196,12616776,12616776,19595,19595,329428,329428,2247,0.0,,,6228388,6228388,,17893215,1103754,1103754,,,,,,5256907,10269431,10263431,117536,,,,27599.0,14315632,13152212,272958,272958,,,3106278,3291017,2013年09月30日,22708966,3894839,,,41310731,31845383,45946644,45261825,0,3220044,80724174,75202409,,1245521,,,6994219.0,6994219.0,,,,40163854.0,765519.0,117536.0,35411645,20858140,3508188,1163420,,8874412,118130,,15697,,,,,590936,0.0,,3291017,21449.0,67165,5170560,,1701012,,99096449.0,16454607,402114,,14354810,14354810,1697683,,,145043093.0,,,242109,123979,3467600,3467600,769384,35411645,19303467,8582578,8582578,878465,166610,166610,684819,18372275,69840684,9566870,0
2014-03-25,4,2013,10827499.0,3975373,14802872,54838929,,,1628419,24322764,-1078,,-1078.0,60506.0,16430,9839727,,2623087,8432098,5623294,-139863,14954861,151989,184126,184126,16268,16268,8480389,4552325,83559,2991.0,12745450,311,311,,3550593,723414,-138785,-72716,-66069.0,334791,0.0,34295,148096,8431379,8431379,14684,14684,277830,277830,2522,0.0,,,6309052,6309052,,19370541,1104528,1104528,,,,35766.0,1105398.0,6075476,14835368,14818938,112676,,,2869310.0,26116.0,15505094,14163130,316594,316594,,,1682240,3292887,2013年12月31日,21102720,5189626,,,42778695,30807676,44876844,43970772,0,3220044,86998888,79537725,,1184490,,,9259115.0,9259115.0,,,,38299393.0,557335.0,112676.0,39303186,22237757,3910620,1341964,,10100520,130814,,17444,,,,,1870499,0.0,,3292887,20157.0,240291,4545995,,1868710,,106324239.0,16494984,407033,5769.0,14384499,14384499,1697683,,,151201083.0,,,256986,126172,3474077,3474077,895655,39303186,16059114,9458663,9458663,1378292,152294,152294,906072,19325351,71663358,11218751,0
2014-05-06,1,2014,11166254.0,4331313,15497567,56410905,,,1613291,24451741,-1093,,-1093.0,61283.0,16574,8618204,,2616820,5210843,2582388,711354,16245893,748326,250567,250567,16510,16510,8798284,4394874,56413,1646.0,14486594,418,418,,3124019,739140,712447,761158,-48711.0,906654,0.0,7530,150630,7153276,7153276,9830,9830,259416,259416,2792,0.0,,,6481837,6481837,,11559778,601324,601324,,,,37326.0,935346.0,5028712,8703331,8686757,116406,,,2689738.0,26221.0,16964716,15403061,403474,427184,190665.0,174652.0,1521757,3295347,2014年03月31日,21231697,5424981,,,44036047,31071569,45975062,45013205,0,3220044,84984664,73738720,,1199013,,,16923051.0,16923051.0,,,35207155.0,,266426.0,116406.0,45708516,20774470,4390966,1561655,23710.0,11336194,146288,,12444,,,,,1628284,0.0,,3295347,21016.0,196580,3122603,,1809871,,102852028.0,16554763,427743,5769.0,14423568,14423568,1697683,,,148827090.0,174652.0,190665.0,262708,116420,3453025,3453025,1066627,45708516,14429893,7876089,7876089,1821026,174117,174117,961857,17867364,75088370,12514520,0
2014-08-07,2,2014,0.0,4115789,4115789,56254242,150000.0,150000.0,1390254,23127926,-1111,,-1111.0,60576.0,8698,11999709,,3278855,5789949,2974982,-50452,4376487,260698,185661,185661,7421,7421,8692021,3982819,47361,936.0,15576913,17173,17173,,3836536,724833,-49341,6919,-56260.0,402537,12.0,7381,152422,7607206,7607206,4558,4558,241080,241080,2381,0.0,,0.0,6384675,6384675,,14415821,964437,964437,,,1646549.0,38765.0,1078381.0,5957159,12955694,12946996,123207,2438.0,2438.0,2875543.0,25787.0,16750666,15025125,439974,468083,,42898.0,1085766,3307358,2014年06月30日,19175439,5709985,,,45318100,31423543,43683629,43093984,0,3952487,78692400,63935960,,1143444,,,13030734.0,13030734.0,,,24249769.0,,285337.0,123207.0,45034685,12242212,4701322,1725541,28109.0,12312880,157710,,7880,,,,,1581677,0.0,,3307358,13257.0,182772,3368121,,1573026,,96304565.0,16709152,388418,5769.0,14617282,15704694,610271,1087412.0,,139988194.0,42898.0,,270480,112770,3389288,3389288,1401895,45034685,12005176,7790841,7790841,1802212,165552,165552,589645,17612165,76052234,13605106,0
2014-11-04,3,2014,0.0,5223021,5223021,59068632,150000.0,150000.0,1548708,22887045,-1255,,-1255.0,61224.0,15001,8695640,,2784962,4955564,2132411,654201,5543540,320519,224552,224552,6460,6460,9481888,4282930,45935,221.0,15262592,310,310,,4754981,737958,655456,710665,-55209.0,925724,0.0,7322,174613,7986184,7986184,808,808,224496,224496,2979,0.0,,0.0,6535611,6535611,16970101.0,16970101,1447114,1447114,,,0.0,1369.0,859298.0,5050011,15347209,15332208,101903,,,2884377.0,25882.0,17774594,15812674,464127,495118,43863.0,175395.0,1040345,3311358,2014年09月30日,18934558,6191102,,,48199502,32679125,44314060,43638163,0,3952487,82829487,66115809,,1160979,,,12124476.0,12124476.0,,,25347059.0,,268404.0,101903.0,47999393,15464742,5190932,1961920,30991.0,13922322,175072,,8026,,,,,1598055,0.0,,3311358,12510.0,181192,2305479,,1729900,,100591587.0,16785559,401064,5769.0,14681043,15768455,610271,1087412.0,,144905647.0,175395.0,43863.0,277873,102801,3322743,3322743,1643163,47999393,9879338,7857811,7857811,1829906,191257,191257,675897,17762100,78789838,13257763,0
2015-03-03,4,2014,6833628.0,5731567,12565195,63611168,150000.0,150000.0,1398167,22956225,-1339,,-1339.0,68454.0,6904,7464290,,2709557,6785621,3482288,2224754,12767617,202422,220018,220018,5577,5577,9880500,3574323,42223,0.0,10072488,2007,2007,,4287704,702992,2226093,2282455,-56362.0,217090,,8680,113646,7179669,7179669,846,846,211763,211763,2238,0.0,,0.0,0,0,19218385.0,19218385,1156853,1156853,164803.0,164803.0,,1741.0,709857.0,4043135,13787353,13780449,376172,29106.0,29106.0,3371787.0,21636.0,19465202,17207325,479020,517318,,144324.0,1011978,3312948,2014年12月31日,19003738,5630436,,,56217956,37106417,46151384,45333397,0,3952487,95305599,74647542,,1129662,,,16736884.0,16736884.0,,,29539623.0,,175253.0,376172.0,52686331,11596574,5787921,2257877,38298.0,16189419,192994,,518256,,,,,2922120,,,3312948,11907.0,129576,2674875,,1527743,,106571339.0,16839470,429623,5769.0,14706395,15793807,610271,1087412.0,,152722723.0,144324.0,,285661,92667,3295993,3295993,1620865,52686331,17940811,7927524,7927524,1994552,208484,208484,817987,11265740,78075181,7962283,0
2015-05-12,1,2015,6791608.0,5843301,12634909,61737551,150000.0,150000.0,1318278,21941878,-1282,,-1282.0,66537.0,4925,6008403,,1876061,3730755,1692803,1785248,12807376,172467,284151,284151,4385,4385,9897504,3337780,47405,0.0,8988429,2299,2299,,4308276,695422,1786530,1841021,-54491.0,930311,,13910,114849,8873756,8873756,1099,1099,189711,189711,2775,,,0.0,0,0,15215103.0,15215103,874353,874353,93585.0,93585.0,,,1191631.0,2940711,11004194,10999269,367548,101244.0,101244.0,2104489.0,,19859462,17401171,468703,512568,3017.0,87029.0,995837,3313868,2015年03月31日,17989391,5104365,231959.0,367548.0,55886416,35811014,44812559,43994638,0,3952487,86661915,66494888,21777.0,1082567,14779090.0,14779090.0,,,,,,27356058.0,,,49997104,3732484,6051066,2458291,43865.0,17454064,201475,,508658,,,,,2621338,,,3313868,11718.0,28725,3635169,141780041.0,1347003,96967482.0,,16953644,529118,5769.0,14721074,15808486,610271,1087412.0,141780041.0,,87029.0,3017.0,284696,83221,3258662,3258662,1862066,49997104,23620799,6999500,6999500,1963535,191950,191950,817921,10305567,75285153,6907746,0
2015-11-04,3,2015,7203263.0,6916060,14119323,48874708,150011.0,150011.0,2048764,1767966,-1343,,-1343.0,65952.0,13263,5406433,,1810836,5085283,2944912,3653414,14249403,130080,347568,347568,3006,3005,10421984,2538847,30442,0.0,4473034,320,320,,6292389,33614,3654757,3697014,-42257.0,774730,,8822,80981,11309921,11309921,664,664,66739,8796,2686,,,0.0,7806278,7806278,20055673.0,20055673,516962,516962,138402.0,138402.0,,,855045.0,2740552,14617709,14604446,360267,0.0,0.0,2206323.0,,21263611,17446417,436557,520701,13189.0,325462.0,393200,3516318,2015年09月30日,-2184521,3089501,1098883.0,360267.0,64392726,25746044,30718525,30336408,0,3952487,84319998,74746499,21620.0,175729,15802101.0,15802101.0,,,100164.0,100164.0,,27223724.0,,,40465827,8395528,6955639,3060544,56741.0,22072052,223149,1.0,927498,,57943.0,756650.0,27403.0,16574630,8748.0,17845.0,3516318,0.0,14189,4242802,131114646.0,2062953,100396121.0,,21398710,611918,5769.0,18673268,19760680,1020343,1087412.0,131114646.0,,325462.0,13189.0,285796,53899,2462362,2462362,1764744,40465827,18825510,5777041,5777041,1913935,147495,129650,382117,16076123,56368147,2477798,0
