date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,75859,1199221,,1311063,3124,4371,,163247,,163247.0,6051,112878,37019,22052,22052,287,,96510,27186,,2927,287.0,5873,866174,866174,23920.0,,472593.0,61500,9878,,394819,80697,0.0,13471,1403438,2013年03月31日,990106,,3045213,3016220,1107000,288089,665137,3219793,6512,,,32868,,1297437.0,50819.0,244655,1403438,,,1518884.0,319588,352,9907,,0.0,213630,95699,213630,,4564097.0,22160.0,522935,108154,24219,272713,28993,853747,1344304,,35679,63451,,0
2013-08-01,2,2013,,,73442,1174791,,1261598,2466,3713,,283916,,186450.0,19419,111191,37749,18168,18168,287,,131891,28996,,16953,287.0,5880,827316,827316,23920.0,,475484.0,74681,6429,97466.0,446993,89545,0.0,13127,1403438,2013年06月30日,904950,,2985436,2980123,1107000,323780,825948,3301969,6536,,29134.0,32868,,1307673.0,51321.0,274910,1403438,,,1672868.0,319588,352,9907,,0.0,213630,95699,213630,,4658304.0,23500.0,550426,113186,26277,257963,5313,846920,1356335,,32714,97015,0.0,0
2013-11-08,3,2013,452735.0,49442.0,502177,1236524,,1354588,2359,3606,,158486,,158486.0,4463,533810,31633,12476,12476,287,,65265,26982,,2104,287.0,2327,816909,816909,23920.0,,0.0,71654,5142,,417145,87200,0.0,22090,1403438,2013年09月30日,997940,,3063464,3058157,1107000,323780,1161088,3312672,5731,,19256.0,32868,,1290039.0,45403.0,343470,1403438,,,1604975.0,319588,352,9907,,0.0,218760,90569,218760,,4668439.0,3123.0,631830,112346,22551,331254,5307,443887,1355767,,37817,35956,,0
2014-03-19,4,2013,455472.0,48192.0,503664,1208052,,1464021,1824,3071,,182221,,,15172,557961,54297,19449,19449,287,,68171,29569,42227.0,13348,287.0,2331,842614,842614,23920.0,,0.0,66552,4072,,477490,96703,0.0,21342,1403438,2013年12月31日,1107373,,3184594,3178299,1107000,323780,1017574,3314480,5081,,19498.0,32868,,1174838.0,60313.0,145982,1403438,,,1459384.0,319588,352,9907,,0.0,218760,90569,218760,,4643978.0,473.0,570411,121390,23781,320133,6295,441810,1329498,71250.0,113477,36271,,0
2014-05-08,1,2014,117764.0,46941.0,164705,1180533,71250.0,1572315,2349,3596,,154254,,,13718,203210,38505,36937,36937,287,,72552,29705,43151.0,11369,287.0,2159,888515,888515,23920.0,0.0,0.0,69412,2871,,453675,79782,,20927,1524887,2014年03月31日,1215667,,3631701,3624422,1107000,323780,777332,3537558,5943,,28207.0,32868,1268936.0,,71955.0,275630,1524887,,,1217737.0,537422,352,9907,,,503889,23274,503889,,4849438.0,0.0,667105,131113,28329,309005,7279,440405,1311880,0.0,43151,40688,,0
2014-08-12,2,2014,98801.0,44044.0,142845,1158629,71250.0,1515389,2199,3446,6977.0,332084,180702.0,,556,163488,20643,55708,55708,287,,59785,23175,41828.0,-1643,287.0,2828,914062,914062,23920.0,0.0,0.0,80145,3142,151382.0,480627,96368,,20592,1524887,2014年06月30日,1127516,,3581647,3573965,1107000,355005,866487,3605817,5167,,48779.0,32868,1304317.0,,51998.0,235630,1531864,,,1299434.0,550076,352,9907,,,520409,19408,520409,,4881081.0,0.0,592878,133140,27645,299520,7682,432947,1275264,0.0,41828,33782,,0
2014-11-03,3,2014,86363.0,40064.0,126427,1140465,142500.0,1608652,1583,2830,4660.0,176529,176529.0,,17664,148962,22535,43665,43665,287,,73591,23188,52935.0,16081,287.0,2779,939513,939513,23920.0,0.0,,81067,3191,,464619,98482,,23032,1531864,2014年09月30日,1220779,,3707516,3697325,1107000,355005,607051,3527973,4671,,38424.0,32868,1180443.0,,36740.0,160562,1536524,,,1091391.0,558405,352,9907,,,531284,16862,531284,,4798907.0,0.0,567392,142941,26345,341112,10191,484340,1270934,0.0,52935,47624,,0
2015-03-23,4,2014,85109.0,125334.0,210443,1138857,142500.0,1690504,1328,2575,,226527,226527.0,,41918,222039,11596,32756,32756,337,,54879,25102,45345.0,40590,337.0,2721,953525,953525,0.0,0.0,,64052,6249,,477682,117170,,26002,1526090,2014年12月31日,1302631,,3825761,3814154,0,355005,673445,3645583,5722,,25439.0,32868,1125093.0,,66752.0,87826,1526090,,,1074538.0,555642,352,9836,,,528936,16518,528936,,4900299.0,0.0,726073,156056,26681,244700,11607,401093,1254716,0.0,45345,27056,,0
2015-04-28,1,2015,47522.0,122603.0,170125,1128530,142500.0,1775648,1300,2547,,238740,,,32521,183169,13044,26245,26245,337,,52135,23770,57179.0,31221,337.0,3395,925491,925491,0.0,0.0,,33513,4344,,438139,98260,,28774,1539659,2015年03月31日,1387775,69975.0,3939922,3927939,0,355005,627008,3702462,5439,5140.0,,32868,,1325377.0,,97267,1539659,4946599.0,1006677.0,,580111,352,9836,,,560755,9168,560755,4946599.0,,,684131,143051,26712,236281,11983,379669,1244137,,57179,24970,,0
2015-08-06,2,2015,30739.0,33520.0,64259,1108719,142500.0,1704104,833,2080,,355611,201645.0,,19530,76076,11817,54720,54720,337,,54444,25201,48474.0,18697,337.0,3482,894173,894173,0.0,0.0,,71455,4226,153966.0,481323,96672,,28932,1545701,2015年06月30日,1277399,63529.0,3864781,3856973,0,393837,962281,4063989,5017,246489.0,,32868,,1595911.0,,391384,1545701,5288618.0,1423837.0,,587638,352,9836,-3497.0,,575052,5895,575052,5288618.0,,,503727,145362,25437,315857,7808,461556,1224629,,48474,25761,,0
