date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預收款,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,,24408,2457941,15880,486535,2287,567860,506315,72411,-3424,157430,24497,4885,30019,393316,309836,38114,249590,95980,11423,29295,130381,2601244,0.0,,,,571811.0,889518,44064,9997,10121,,61545,987431,22575,52108,364021.0,104646,167514,2112958,2013年03月31日,262085,,,3621382,3515232,0,161244,2756514,4833956,,41442,,63206,,800686.0,28987.0,,1025997,2112958,,22540,,4455554.0,919163,,8076936.0,37065,276985,145721,456928,141341,106150,1699040,3242980,253264,3674,12545,108525,0
2013-08-08,2,2013,,,24727,2493030,15880,218574,2556,704290,490458,59031,28294,204715,28463,4349,29718,397844,307522,39343,331801,140068,11423,30884,125748,2332333,0.0,,0.0,,574295.0,536287,45269,0,9760,147907.0,65925,779354,13722,49272,366960.0,104403,166397,2112958,2013年06月30日,-22184,,,3384621,3278989,0,177552,2348651,4165566,,41141,,63206,,547314.0,9227.0,5158.0,832634,2112958,,6469,,4092885.0,919163,,7477506.0,36977,263105,183567,508990,142431,105632,1744234,3311940,335500,3699,11457,151525,0
2013-11-07,3,2013,,,24279,1659270,15880,156216,2719,544288,504742,72840,-5484,179284,24753,7540,29260,402481,300250,39050,240151,118714,11423,32659,121694,2741485,0.0,,,,576790.0,1198050,44628,9998,5561,,39546,899183,16568,37796,369822.0,896065,168403,2112958,2013年09月30日,-84542,,,3293881,3182853,0,177552,2878098,5034069,,40683,,63206,,962089.0,4231.0,13541.0,884531,2112958,,7527,,5017291.0,919163,,8311172.0,36515,247398,196552,912524,139506,111028,2139193,3277103,243793,3642,11538,130252,0
2014-03-20,4,2013,,,98307,1737714,15880,226783,2122,602393,584018,55979,34443,270569,50723,4488,27935,402499,307159,40507,277045,110886,11423,34561,125430,2430115,0.0,,,,579296.0,728425,40030,0,11442,,18375,1037125,17113,42740,367938.0,907068,168584,2112958,2013年12月31日,-13975,,,3408364,3293347,0,177552,2322332,4433207,,39358,,63206,,522505.0,6161.0,8752.0,639072,2112958,,24240,,4397143.0,919163,,7805507.0,31536,264813,196537,828203,141222,115017,2074811,3372300,280732,3687,10653,121539,0
2014-05-06,1,2014,,,98236,1701492,15880,172557,1878,499970,462769,54376,35954,239781,26343,4512,30324,404908,300809,40653,272192,101152,11423,33937,119879,2254100,,,,0.0,581813.0,845533,41033,49868,4318,,37201,827008,14606,36072,370971.0,906249,164180,2112958,2014年03月31日,-68201,,,3362258,3240632,0,177552,2221297,4205367,,41747,,63206,691556.0,,13594.0,8241.0,505156,2112958,,22044,,4209373.0,919163,,7571631.0,37126,248498,235907,752857,140277,121626,1988076,3366264,275892,3700,14050,115202,0
2014-08-07,2,2014,,,96453,1663040,15880,64887,1827,512553,479057,76471,-6872,262005,29622,3899,29844,409556,297140,41873,262995,123192,11423,35707,118477,2113515,,39515.0,,0.0,584340.0,689139,46021,24993,10775,0.0,33496,719878,19054,41361,373849.0,884803,105793,2112958,2014年06月30日,-175871,,,3205045,3090136,0,177552,2076250,4091762,,41267,,63206,773145.0,,4684.0,10162.0,521287,2112958,,4793,,4161776.0,919163,,7366821.0,26308,220325,267136,871305,136790,114909,2085526,3275059,266627,3632,12738,135930,0
2014-11-13,3,2014,,,85240,1669367,12584,44145,1834,586846,548781,63108,49237,237084,33160,4256,29411,416680,300231,41873,225995,104558,11423,39461,119010,2731158,,,,0.0,586879.0,1407367,7820,24973,11398,,38065,904840,24463,35917,377219.0,886064,101692,2112958,2014年09月30日,-196613,,,3242701,3125503,0,177552,2813477,4810811,,40834,,63206,716925.0,,580.0,11786.0,532226,2112958,,5183,,4841404.0,919163,,8084105.0,86806,229016,262522,795352,139348,117198,2027927,3273294,229718,3723,14126,118684,0
2015-03-26,4,2014,,,69340,1701528,12584,146955,1597,730884,682208,91130,122632,230435,30767,4104,34809,393055,307692,43538,244742,115916,11423,43433,121317,2513953,,,,0.0,589428.0,958963,5902,24988,11437,,48676,1054050,32467,46264,349622.0,892572,121802,2112958,2014年12月31日,-93803,,,3448946,3324980,0,177552,2696180,4879754,,46232,,63206,849033.0,,12971.0,10184.0,695689,2112958,,24911,,4748081.0,942435,,8197027.0,28392,252615,234863,816803,142837,123966,2051901,3317273,248580,3838,14412,130328,0
2015-05-13,1,2015,591989.0,141129.0,733118,1659808,12584,178495,1623,557687,525724,57397,100182,913726,35288,4588,33242,395489,304579,43452,215644,128429,11423,43656,120574,2358844,,,,,0.0,1050620,12863,19989,9617,,31963,1052437,2588,41906,,894259,117962,2112958,2015年03月31日,-62263,21652.0,10162.0,3461318,3334070,0,177552,3281494,4787238,351833.0,44665,,63206,,1009410.0,,,666479,2112958,8042814.0,28861,4581496.0,,942435,8042814.0,,28833,247065,221719,657448,140553,127248,1300002,3255576,219450,3806,16891,145320,0
2015-08-13,2,2015,594561.0,180348.0,774909,1619661,12584,69992,1521,554397,537042,53239,64758,989699,40235,3494,31710,405309,256657,1349,231067,158172,11423,50861,117719,2287352,9652.0,0.0,,,0.0,811947,4748,0,12189,,17355,773976,2141,43768,,876266,105383,2112958,2015年06月30日,-170766,9693.0,3726.0,3303661,3180491,686000,177552,2978274,4034931,354448.0,43133,,63206,,610430.0,,,585554,2112958,7192461.0,10047,3888800.0,,942435,7192461.0,,20481,220167,243846,285050,137589,123170,910526,3157530,234803,3736,16383,174555,0
