date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,144945516,2997160,111881873,61207140,59455766,43045075,4366547,5475187,5562374,14090000,61112933,25126329,,14366138,10854716,12928849,-92639,55687123,339297,,,47800000,9393245,21596284,11444450,272587,22151595,8380822,12828172,10060,87036835,56904721,2013年03月31日,32718194,,282157235,238084091,17836314,39656897,106408983,208358114,5496,39506782,,15818437.0,-1568,1224751.0,27461675,56904721,,,220947144.0,8523861,204224,,,95051,,8224586,,503104379.0,47928,0.0,7627,,3787334,55883445,44073144,114538161,294746265,0
2013-08-09,2,2013,,144923035,3050164,110563018,75326576,64066209,50037383,10784208,4165565,5273933,16904400,75767154,29359318,,6301210,11136228,17169247,434439,47091623,339297,1707142.0,,44800000,5278651,19225382,6748870,210495,22941441,9028306,14747431,29507,96869734,56904721,2013年06月30日,30689913,,297405600,253126599,17836314,40366323,107250029,199121100,5314,39506782,,12733381.0,6139,1122204.0,30328403,58611863,,,216233138.0,8523861,204224,,,95051,,8224586,,513638738.0,26933,0.0,3659,,2462761,53046881,44279001,108983109,314517638,0
2013-11-08,3,2013,,144407200,3064642,120001656,70767705,65315799,45547913,5960848,3965814,5468131,15877500,70603711,34005336,,10121654,10910087,17548777,-166373,45903070,339297,,,50000000,6831617,17870680,849932,141687,23712087,9042104,10370501,5746,100161150,58611863,2013年09月30日,40128551,,300974693,257405551,18371403,40366323,103312973,199606242,6520,39506782,,13788758.0,2379,2156488.0,31529783,58611863,,,212548364.0,8527618,204224,,,98808,,8224586,,513523057.0,788,0.0,892,,3180613,48325304,43569142,109235391,313916815,0
2014-03-21,4,2013,21944368.0,145053156,2878666,123243532,76475419,71852908,45316216,5932666,3214692,7913999,13300700,77161270,25381749,3437381.0,12240725,10774831,10847941,684059,53825396,236522,,,50000000,7161965,24476468,1349848,172083,21756367,9511848,12050211,6963,104510758,58611863,2013年12月31日,43370427,,312707801,267412721,11219610,40366323,97876971,213919950,7487,39506782,,11459481.0,1792,2190113.0,27996683,58611863,,,212982318.0,8632578,204224,3771.0,,119962,80035.0,8224586,,525690119.0,704,0.0,1352,251529.0,3155945,54078987,45295080,115105347,311770169,0
2014-05-12,1,2014,20813381.0,144359462,2878666,128922929,71357188,67674941,43843932,4057972,3868017,10914104,17960000,72947550,23915548,3102167.0,15550368,10953061,10061994,1586412,55821437,236522,,0.0,60000000,8733960,20514594,1249882,222490,22610531,7960615,9194542,4509,105917180,58611863,2014年03月31日,49049824,,314076170,268893285,11219610,40366323,96077640,222773688,7011,39506782,14681663.0,,3950,2801516.0,30713305,58611863,,,218681748.0,8647465,204224,,4573.0,119962,94120.0,8224586,,532757918.0,356,,400978,259586.0,2915985,51391461,45182885,122604108,309984230,0
2014-08-08,2,2014,19387284.0,141323602,3678666,117740040,94070478,73363889,57296593,20310793,3522434,13532906,13455750,94371181,21003973,1616689.0,12061293,10817871,8876157,299506,49023201,244391,0.0,0.0,54000000,8071669,22038619,1249831,226975,22508277,9267211,11898949,9936,111287161,58611863,2014年06月30日,32959803,,324994497,279126362,11669610,42852687,106247820,223372548,6344,41927550,12067295.0,,1197,693400.0,29129665,58611863,,,223625697.0,8647669,204224,,4777.0,119962,94120.0,8224586,,548620194.0,461,,6183841,156054.0,2779123,52403952,45868135,117377877,325247646,0
2014-11-07,3,2014,18185100.0,141838493,3514495,125182037,79128681,67923433,48967557,6717942,4064741,14958046,17983980,80540738,20289663,2104563.0,13739786,10863732,9266621,1413526,53402109,299579,,0.0,58000000,7689102,17416807,2899235,201744,19599211,7850328,12059661,2694,106263010,58611863,2014年09月30日,40401800,,318033994,272694087,14805610,42852687,96271342,219318620,5915,41927550,11365721.0,,-1469,620159.0,36364777,58611863,,,213980629.0,8659028,204224,,4777.0,131706,93735.0,8224586,,532014623.0,7172,,433651,458079.0,2839912,48387476,45339907,117709287,312696003,0
2015-03-20,4,2014,23389560.0,144975464,3513344,119120854,87580223,85403726,37051836,9264670,2815901,15221828,18147440,91813226,25154683,1765123.0,6335961,10718436,9774533,4235625,48948094,332413,,0.0,56000000,6950717,15044168,2349524,205567,18966457,6796500,11118245,2743,107084191,58611863,2014年12月31日,34340617,,323886354,277882091,16801610,42852687,91265085,225931413,5709,41927550,14335920.0,,-2622,286812.0,29187199,58611863,,,206892209.0,8668561,204224,,9447.0,131706,98598.0,8224586,,530778563.0,5844,,654499,923110.0,2442073,47985578,46004263,115627124,304847150,0
2015-05-05,1,2015,28134596.0,144238589,3538342,120155488,90543803,88531297,36683525,7572932,1484681,12288233,19089056,94084937,30164927,2030331.0,9062170,11458204,8626744,3509452,39176855,333494,,0.0,56000000,8304966,14273872,2699672,266740,17264853,7053202,9900320,3335,107955705,58611863,2015年03月31日,35375251,401168.0,327271226,281187355,16871610,42852687,94206673,227113141,9353,41927550,,24089070.0,31682,,29037715,58611863,530400796.0,203129570.0,,8668561,204224,,9447.0,131706,98598.0,8224586,530400796.0,,0,,654750,736124.0,2235397,40728569,46083871,108922897,303287655,0
2015-08-07,2,2015,25682282.0,142364342,3538472,125324371,78438434,81285409,36561614,16828483,2763227,9972683,14348070,81235367,27439033,1756751.0,8229421,11255011,8671000,2765851,43185831,333494,,0.0,53000000,7041047,14398827,2199533,201045,18287667,8250117,8611604,4417,109592826,58611863,2015年06月30日,39491105,1948088.0,322441147,273507227,16871610,43905716,100237928,224439245,4481,41927550,,31609311.0,31082,,27417250,58611863,527413049.0,204971902.0,,8669120,204224,,10006.0,131706,98598.0,8224586,527413049.0,,1395,,654715,709700.0,2241069,39769263,48933920,104733974,302973804,0
