date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期遞延收入,長期預付租金,附買回債券負債,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,0,0,295839268,2461297,104150239,3059523.0,3177863,22600694,,145615,,13074409,1563199,26174596,4336342,5699427.0,21838254,13827198,440923,7241773,4648464,4845745,8265018,,10855028,533066,,,25835326,40949,4700658.0,7784753,3947320,11135382,2057719,77574465,2013年03月31日,30645362,,376935855,372037436,0,70828983,52750862,108718042,,,5699427,2675894,,35065755.0,5244582.0,155873,77574465,,245050,69471,,68505167.0,190167117,,445441022.0,84,923,107636,1325498,42076.0,,1750000,3839872,2593309,,4898419,15754305,336722980,6328632,11511210,0
2013-08-13,2,2013,0,0,296563757,2458874,78872100,2667257.0,3074721,63788122,27875023.0,-102998,,12614375,1570243,12708492,3734357,5481211.0,8974135,13641397,288294,8590586,6049843,4811041,7656753,,11717243,539472,,35913099.0,23655430,51438,4744825.0,7780608,4242690,10207126,2153828,77574465,2013年06月30日,1376826,,345288968,340922190,0,74819380,93153580,116380249,,,5481211,2675894,,58987872.0,4134530.0,194865,77574465,,135793,149213,,108748597.0,184578623,,454037565.0,120,944,104407,1346605,29060.0,193.0,1700000,3797237,2540743,,4366778,15595017,337657316,6409180,11044132,0
2013-10-31,3,2013,0,0,296810800,2454954,89520368,16880.0,3042355,22664934,22664934.0,-245168,,11325737,1577680,8762961,3987212,5361802.0,4775749,14744037,1315382,9060651,5505429,4831012,8087099,,12376159,466268,,,24344606,48365,4830259.0,7776464,4689694,8923153,2367447,77574465,2013年09月30日,12025094,,356057808,351429543,0,74819380,50218183,85771521,,,5361802,2675894,,34749913.0,2194950.0,1075222,77574465,,114242,135301,,66896590.0,184579878,,422954398.0,671,363,99069,1385251,,,1700000,3767384,3555222,,4628265,16678407,337182877,5071640,9748057,0
2014-03-25,4,2013,300000,300000,302714116,2423646,98239298,24267.0,3046182,26791769,26791769.0,-144005,,11361552,1598017,8597103,3960798,44398888.0,4636305,15388852,1334220,8491461,4882974,4834580,7848087,,15589108,556809,,,22900902,69304,5519103.0,8018031,4264104,7501743,2562293,77574465,2013年12月31日,20744024,,365344154,360289823,0,74819380,58827258,60513339,,,44398888,2675894,,14585105.0,4144076.0,254357,77574465,,129341,123464,,75840953.0,184620065,,441185107.0,246,337,101379,1515408,,,1400000,3700949,3608487,,5054331,17013695,380671768,2224130,9463535,0
2014-05-13,1,2014,300000,300000,299083643,2449370,108474715,0.0,2782364,22331388,,-371749,-371749.0,11296325,1602177,8633394,4011866,,4621528,15339039,1352445,8648900,5058850,4755169,8943748,,12354805,502784,,,22987820,62019,5616394.0,8013889,4312712,6796169,2770152,77574465,2014年03月31日,30979441,,375517361,370296904,0,74819380,53201106,69276779,,,44133669,2675894,18985956.0,,6267318.0,304357,77574465,,143358,118987,,70160039.0,184619473,,445677400.0,771,58,100907,1722465,0.0,,1400000,3615031,3590050,,5220457,16958933,376400621,5351072,9394148,0
2014-08-12,2,2014,300000,300000,298533250,2412507,100532148,0.0,2802406,57387787,38862229.0,-412430,,10966736,1606491,10450096,5266805,43763380.0,5183291,15383573,1329481,8621697,5212094,4774790,8193599,0.0,12386753,639736,,18525558.0,23610397,69680,5713227.0,8009747,4467343,5715227,2506021,77574465,2014年06月30日,20818527,,350281588,345734904,0,76893722,87034049,80527297,,,43763380,2819899,28141343.0,,4448390.0,1085000,77574465,,118904,120935,,104397058.0,168040721,,454678646.0,456,0,110501,1787114,287.0,24.0,1748000,3566075,3409603,,4546684,17363009,374151349,5594815,9060245,0
2014-11-11,3,2014,1650000,1650000,298193968,2425408,110263055,0.0,2778180,21546192,,-373283,,13197152,1609932,9460814,3911817,,5548997,15413463,1379037,8600160,5050455,4754948,8585502,0.0,15713709,371406,4000000.0,,25688614,62999,5821661.0,8005604,4267427,4634502,2799179,77574465,2014年09月30日,30549434,,360335164,355512219,0,76893722,58044164,61909537,,,43242716,2819899,8099025.0,,2082300.0,1015000,77574465,,117211,122129,,74055242.0,168047982,,434390406.0,180,4010,127486,1801152,1014.0,,348000,3457817,3549705,4000000.0,4822945,16011078,372480869,5741146,9937220,0
2015-02-13,4,2014,0,0,302650343,2366530,117923683,0.0,3914212,24334992,,886147,,11531821,1618957,6544753,3219399,,3325354,16171179,1514947,9106074,5601736,4757547,7096509,0.0,18518977,407965,,,26227999,81008,6500598.0,7620854,3456747,4027522,2953625,77574465,2014年12月31日,38210062,,369513847,364432230,0,76893722,58899740,69412240,,,42824626,2819899,23559603.0,,3361907.0,564400,77574465,,179374,92660,,77195985.0,168047935,,446709832.0,21,1163,132406,1833806,283.0,,1900000,3398087,3504338,,5081617,18296245,377297592,2444458,9912864,0
2015-05-11,1,2015,0,0,298417054,2364992,128363763,0.0,4316492,21179943,,1288383,,11029784,1485615,5809224,2916670,,2892554,16515595,1589141,8924982,5401901,4639437,6877302,0.0,14875274,255651,,,27605775,60557,,7670322,2754230,4025794,3255261,77574465,2015年03月31日,48650142,5447125.0,380560801,375300305,0,76893722,53559605,79718003,6569832.0,,42128997,2819899,,30801465.0,,560000,77574465,452695974.0,211347,86158,72135173.0,,168073694,452695974.0,,481,193,123815,1874077,0.0,,1850000,3717185,3523081,,5260496,18575568,372977971,5809257,9544169,0
2015-08-11,2,2015,2564,2564,295149385,2386928,101824309,0.0,3554836,57855070,20181807.0,478092,,11107926,1488911,17373391,2493865,,14879526,16879086,1981341,8736340,5252019,4654717,6712831,,15318154,431842,,37673263.0,27551809,21638,,7665842,2903450,3799162,2862920,77574465,2015年06月30日,21574425,4419564.0,353033334,347941756,0,77574465,90248204,94640426,6671082.0,,41411701,2675419,,34284519.0,,860000,77574465,462115285.0,253430,49175,109081951.0,,168064890,462115285.0,,2218,1216,108050,1907745,0.0,0.0,1797436,3571946,3484321,,5091578,18833747,367474859,5791572,9616451,0
2015-11-10,3,2015,61268,61268,292962916,2294126,113563319,0,3049696,20920618,20920618,179652,,11319104,1489466,6848435,2879802,,3968633,17730858,2736990,9706920,6234116,4634266,6556374,,14052074,351708,0,,27822125,64008,,7800131,1527889,3095298,3131241,77574465,2015年09月30日,33313435,2816573,364352817,359413006,0,77574465,49722606,68875768,6769952,,40916783,2675419,,20608465,,112856,77574465,433796997,149673,51028,69444180,,168095570,433796997,,0,25753,108893,1964118,0,15144,1830795,3589650,3472804,0,4939811,19721574,364921229,5407575,9768370,0
