date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,568647.0,1161720,,1730367,10644736,865070,3041424,85651.0,,1002931,1002931.0,,-83071,2115476,385109,1340016,535660,804356,396343,2310960,5961306,56865,22820.0,,533984,,169334,,,,,,,,1183749,4560440,,221111,28301.0,406403,,800672,1430838,3776172,2013年03月31日,,14158005,9223184,0,8151627,8937743,,1922221,,6372250.0,,413618,3776172,,,,17297758.0,2488659,,,,31455763.0,59162,22820,749381,124562,486774,5504040,1748675.0,1748675,,4086569,4934821,9146131,22518020,0.0,1421529,0
2013-08-12,2,2013,1779581.0,1392806,,3172387,11616384,870000,2765222,0.0,,1233800,,,23939,3543622,371235,1389513,546414,843099,316545,2339616,5322961,49007,0.0,,539562,,146032,,,87269.0,,,,,0,4196197,,246922,33076.0,405903,,805149,1473387,3776172,2013年06月30日,,13694982,8997004,4164000,9737097,9425468,,1952419,,6678811.0,118813.0,456663,3776172,,,,18649205.0,2518940,,,,32344187.0,188002,0,964190,124871,472516,6447621,1766978.0,1766978,,4142774,4697978,8912108,22918719,0.0,814635,0
2013-11-12,3,2013,279728.0,1695223,,1974951,11251045,858690,2847467,21673.0,,848888,,,-67561,2420841,445890,1224236,452901,771335,318898,2369258,5261618,32419,0.0,,554258,,182133,,,138487.0,,,,,0,3325006,,105847,33249.0,405178,,794851,1767477,3776172,2013年09月30日,,13689704,8935038,6734000,8534821,8119155,,1934082,,5153866.0,91419.0,1812341,3776172,,,,17216128.0,2517447,,,,30905832.0,36326,0,1431400,122819,513736,6189230,1781751.0,1781751,,4089569,4754666,8681307,22786677,0.0,820732,0
2014-03-27,4,2013,100059.0,1872041,,1972100,12038395,867970,2833635,0.0,,1066609,1066609.0,,59437,2411134,439034,1810554,584682,1225872,310879,2440430,4502598,50627,,59437.0,569871,,213678,,213678.0,138487.0,,,,,0,5611784,49992.0,119649,28443.0,404517,,803483,1810260,3776172,2013年12月31日,,13736949,8929671,6734000,11026335,10968903,,1969225,,7540858.0,106634.0,1735951,3776172,,,,20119813.0,2398914,,,,33856762.0,44231,0,1284164,195982,491411,6457066,1842116.0,1842116,,4141092,4807278,9093478,22887859,0.0,0,0
2014-05-08,1,2014,103423.0,1914788,,2018211,11727492,883920,3080628,0.0,,952489,952489.0,,208993,2436772,418561,2780602,601431,2179171,294307,2380245,4499894,54026,0.0,,607849,0.0,207972,,207972.0,138487.0,,426198.0,,0.0,0,4141388,49991.0,169130,28611.0,403787,,794815,1843064,3776172,2014年03月31日,,14356890,9326220,6734000,9841332,10630155,,1982654,5525869.0,,115922.0,1790335,3776172,265941.0,,,18872459.0,2398914,,,,33229349.0,88494,0,1520384,240040,463568,6410842,1743785.0,1743785,,4151561,5030670,9031127,22599194,0.0,0,0
2014-08-12,2,2014,102717.0,2262268,,2364985,11558219,866230,3225599,0.0,0.0,1249412,1249412.0,,-1194,2826434,461449,3924511,526968,3397543,303823,2506926,4836716,43471,,,609917,,189529,,189529.0,138487.0,,,0.0,0.0,0,3894396,49969.0,285322,28801.0,403056,448050.0,268278,1779971,3776172,2014年06月30日,,14086623,9273344,6734000,10358210,11523087,,1939954,6077179.0,,106610.0,2187348,3776172,,,,19570906.0,2411254,2411254.0,,,33657529.0,44041,0,598496,200199,482018,6505571,1868208.0,1868208,0.0,4041096,4813279,9212696,22134442,,448326,0
2014-11-13,3,2014,106141.0,2705895,,2812036,13313986,882470,2915887,0.0,,1305461,,,193040,3402121,590085,4231096,448798,3782298,310642,2580108,4815824,49027,,,643186,,204645,,204645.0,138487.0,,,0.0,0.0,0,3313322,0.0,416867,29005.0,402913,0.0,273351,1828820,3776172,2014年09月30日,,14070381,9155475,6734000,9996514,11323958,,1974647,5904587.0,,156340.0,1533318,3776172,,,,21237367.0,2408863,2408863.0,,,35307748.0,285952,0,566763,229884,491779,8430861,1907917.0,1907917,85596.0,4089637,4914906,11240853,23983790,,280922,0
2015-03-26,4,2014,0.0,3083927,57427.0,3141354,13448281,917560,2811180,0.0,,1408306,1408306.0,,625140,3727284,585930,5150241,586168,4564073,456105,2630137,5187522,58758,,,662161,,227245,,227245.0,138487.0,,,0.0,0.0,0,5284373,49940.0,469787,24702.0,402218,0.0,284265,2037207,3776172,2014年12月31日,,14670813,9477301,6734000,14145453,14238604,,2071248,7312574.0,,204270.0,2726012,3776172,,,,24465869.0,2403296,1640777.0,762519.0,,39136682.0,745268,0,1078757,318968,549777,7371311,1943274.0,1943274,72825.0,4401989,5193512,10320416,24898078,,197845,0
2015-05-14,1,2015,0.0,2472806,63030.0,2535836,13941639,985221,2931185,,,1153200,1153200.0,,488092,2886073,350237,4926908,504867,4422041,1230650,2582587,6280284,49310,8860.0,,661233,,222223,,222223.0,138487.0,,0.0,,0.0,949725,4491570,49972.0,461083,,401466,,281255,2025746,3776172,2015年03月31日,238075.0,14767081,9493874,6734000,12481297,12453910,24829.0,2030354,,5874634.0,,3168812,3776172,0.0,38904158.0,24137077.0,,2436912,2436912.0,,38904158.0,,493595,8860,969062,293723,504283,7820885,1896525.0,1896525,64148.0,4309984,5273207,11655780,26450248,382192.0,244000,0
2015-08-12,2,2015,0.0,2811138,67606.0,2878744,13651499,972171,2893819,0.0,,1584928,1584928.0,,350158,3233814,355070,5242788,514973,4727815,1094646,2574387,5930822,39922,16460.0,,690989,,192960,,192960.0,138487.0,,,,0.0,2938594,3868252,49941.0,457902,,400713,0.0,277255,1601209,3776172,2015年06月30日,109380.0,14369127,9318551,6734000,12836073,13322543,24957.0,2007117,,6212873.0,,3478973,3776172,,38635487.0,24266360.0,,2436889,2436889.0,,38635487.0,,510785,16460,1216020,267267,472158,5633579,1858441.0,1858441,166346.0,4239915,5050576,11430287,25312944,,389993,0
