date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,15770521,3202686,3020444,212557,0.0,238950,196482,243603,5671192,298848,0,,470281,401330,14086,2289507,883,15118,0.0,0,32840000,2013年03月31日,3100816,,,36042686,36042686,0,101870,4247123,15067806,4152623,,,10814437.0,,1761.0,32840000,,102032,169380,,4710649.0,0,,,,,,40753335.0,1018407,265.0,91193,50278.0,0.0,463526,25685529,219806,0
2013-08-09,2,2013,15217499,1512362,5017339,167673,0.0,196208,220388,237175,6641951,188287,0,,546261,248665,14500,2093772,1197,9752,0.0,0,32840000,2013年06月30日,1149263,,,34352362,34352362,0,362841,6148180,14967390,3987386,258.0,,10871042.0,891.0,11116.0,32840000,,124316,169380,,6554986.0,0,,,,,,40907348.0,1220311,251.0,93122,0.0,0.0,406806,25939958,183852,0
2013-11-08,3,2013,14931768,1880204,2314222,176533,0.0,174845,146422,235397,6551126,169710,0,,679897,271634,12007,1989613,1367,4697,0.0,0,33056270,2013年09月30日,1517105,,,34992382,34992382,0,362841,3474025,13432821,3867694,258.0,,9499505.0,0.0,8134.0,33056270,,21420,169380,,3878802.0,55908,,,,,,38871184.0,1196296,0.0,87775,0.0,0.0,404777,25438363,240544,0
2014-03-14,4,2013,15195916,2087032,2961528,142189,0.0,160922,167869,231512,5448038,171320,0,,443685,250598,8372,1763308,3188,4232,0.0,30000,33056270,2013年12月31日,1723933,,,35199210,35199210,0,362841,3983087,8661379,10167983,258.0,,5863626.0,,10702.0,33056270,,157982,169380,,4383991.0,55908,,,,,,39583201.0,450243,12.0,79885,0.0,0.0,400904,30921822,84702,0
2014-05-09,1,2014,14872486,2404859,2789857,133051,0.0,152015,147257,223094,5312391,196535,0,0.0,341413,199938,11308,1628986,1505,2716,0.0,27230,33056270,2014年03月31日,2041760,,,35517037,35517037,0,362841,3706795,9324758,10005786,258.0,6548816.0,,52986.0,10702.0,33056270,,159278,169380,,4099331.0,55908,,,,,,39616368.0,450892,62.0,73717,0.0,0.0,392536,30291610,204298,0
2014-08-08,2,2014,14558043,953914,4315261,123376,0.0,150512,147636,215517,5194634,127829,0,0.0,376675,184156,12692,1621125,1420,4993,0.0,25480,33056270,2014年06月30日,418873,,,34066501,34066501,0,535041,5258856,10020044,9844160,0.0,7342191.0,,58986.0,10702.0,33056270,,160574,169380,,5643753.0,56317,,,,,,39710254.0,451518,0.0,67893,0.0,0.0,384897,29690210,189254,0
2014-11-07,3,2014,14739755,994382,2860830,118111,0.0,149692,127947,218843,5156548,69768,0,0.0,676194,0,11806,1542966,516,3396,0.0,23140,38885155,2014年09月30日,459341,,,45764739,45764739,0,535041,3860392,20406766,9670723,0.0,16328532.0,,0.0,11204.0,38885155,,161870,169380,,4293753.0,5885202,,,,,,50058492.0,1953669,45138.0,61560,0.0,0.0,433361,29651726,250657,0
2015-05-07,1,2015,9215975,-8171057,3136457,163111,,203740,127715,253512,2518000,268820,46220,0.0,694760,1134,12100,1417765,27437,3562,,20750,38885155,2015年03月31日,-8706098,0.0,14506.0,36554620,36554620,2394831,535041,4254742,20180232,7336492,0.0,,16761476.0,,,38885155,41218454.0,206551,155580,4663834.0,,5886742,1747.0,,1949.0,5883046.0,41218454.0,,1157524,0.0,1947005,,,409092,21038222,238316,0
2015-08-04,2,2015,9234743,-8963931,3376389,135697,,225295,128101,216329,2451563,310024,46220,0.0,1152166,3112,11693,1351125,45367,7740,,18670,38885155,2015年06月30日,-9498972,0.0,19096.0,35867600,35761746,2394831,535041,4976502,20320796,7096975,0.0,,16409589.0,,,38885155,41233409.0,207847,172978,5365809.0,,5886742,1747.0,,1949.0,5883046.0,41233409.0,,1709428,0.0,2110662,,105854.0,389307,20912613,204629,0
2015-11-05,3,2015,9643504,-9877788,3376156,114972,,235338,128487,208855,3386668,154636,46220,0.0,985576,2914,15703,1299381,38840,3509,,16573,38885155,2015年09月30日,-10412829,,23418.0,34958837,34847889,2394831,535041,4824830,17898515,6942248,,,14825975.0,,,38885155,40188755.0,209143,196233,5229918.0,,5886742,1747.0,,1949.0,5883046.0,40188755.0,,1008102,0.0,2301247,,110948.0,405088,22290240,301195,0
