date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項－關係人合計,長期遞延收入,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,417550,0.0,417550,16030693,,5203383,4188138,3949645,599068,1214217,796667,1723772,1270531,453241,57615,845758,599068.0,57615,1734527,,3296633,127462,0.0,238493,3658916,3134844,3397070,2013年03月31日,5203383,,20527583,20527583,0,,11493126,16875752,1543839,,6623693.0,863393.0,0.0,1789500,,3397070,,13783,,15184912.0,11328062,11328062.0,,35712495.0,621846,416453,3012325,0.0,,3691786,18836743,0
2013-08-08,2,2013,180000,0.0,180000,15796206,,6152634,3990444,3849134,927970,508646,328646,1117261,764555,352706,52654,908276,927970.0,39863,1033632,,2034787,125084,0.0,141310,3385055,1359702,3397070,2013年06月30日,5825512,,21805736,21805736,0,327122.0,8824984,14851711,1439973,,7956061.0,353581.0,0.0,1800000,,3397070,,12442,,11790434.0,11328062,11328062.0,,33596170.0,692796,600004,2220000,0.0,12791.0,2965450,18744459,0
2013-11-04,3,2013,354840,0.0,354840,15324509,,7473475,4981435,4833406,693916,681434,326594,1741672,1042701,698971,245292,909640,693916.0,11688,2229692,,3034178,192828,0.0,148029,4370339,1133662,3397070,2013年09月30日,7146353,,22892523,22892523,0,327122.0,11254263,18870762,1310909,,9395397.0,549013.0,0.0,1774200,,3397070,,41175,,14238495.0,11328062,11328062.0,,37131018.0,728180,715198,2010760,0.0,233604.0,2984232,18260256,0
2014-03-20,4,2013,357660,0.0,357660,15061948,,9239703,6137064,6012596,1040915,1609625,1251965,2219987,959380,1260607,402525,856046,1040915.0,12198,2309945,,3591747,221002,1327.0,124468,5798599,3099070,3397070,2013年12月31日,8912581,,25005750,25005750,0,327122.0,13786961,24220313,1206404,,10792712.0,1202405.0,,894150,,3397070,,129641,,17082598.0,11328062,11328062.0,,42088348.0,866372,743637,2026740,0.0,390327.0,3295637,17868035,0
2014-05-07,1,2014,517990,,517990,14713866,,10361515,4407921,4283392,1403490,1653180,1135190,716932,478371,238561,395404,854618,1403490.0,12368,1426443,,2046402,94642,99.0,124529,3476350,874143,3397070,2014年03月31日,10034393,,26490137,26490137,0,327122.0,10346452,22506606,1211383,16012738.0,,1048205.0,,914100,,3397070,,181903,,13530969.0,11328062,11328062.0,,40021106.0,869503,734633,1919610,,383036.0,3184517,17514500,0
2014-07-25,2,2014,686895,,686895,13855296,50000.0,8325375,7544791,7424661,907729,1250955,564060,940309,661446,278863,396812,822485,907729.0,14641,1471487,0.0,2108391,74447,1241.0,120130,3910384,1294622,3397070,2014年06月30日,7385969,,23958236,23958236,0,939406.0,12255021,22309968,1166093,14693166.0,,264409.0,,895950,,3397070,,114837,,15061085.0,11328062,11328062.0,,39019321.0,886137,815479,1523115,,382171.0,2806064,16709353,0
2014-11-07,3,2014,669240,,669240,13806258,50000.0,9604054,5910394,5734303,1343777,784413,115173,1367725,1108851,258874,503558,920188,,98277,2690506,0.0,2986496,21810,0.0,176091,4699361,1749995,3397070,2014年09月30日,8664648,,25672963,25672963,0,939406.0,11694358,23465532,1165118,12957945.0,,274460.0,,1521000,,3397070,,195785,,14565689.0,11328062,,,40238652.0,968453,831556,1399320,,405281.0,2871331,16773120,0
2015-03-04,4,2014,1076100,0.0,1076100,15158960,50000.0,11105989,8010815,6777203,2518405,1230685,154585,2362975,1399661,963314,475367,1181377,,91180,2587998,0.0,3737324,13578,0.0,1233612,7651995,522130,3397070,2014年12月31日,10166583,,28349526,28349526,0,939406.0,15318710,27834791,1195729,14709693.0,,560014.0,,1582500,,3397070,,183794,,17913804.0,11328062,11328062.0,,46263330.0,1043627,842473,1076100,,384187.0,2595094,18428539,0
2015-05-04,1,2015,1064200,,1064200,14948823,50000.0,12009319,5722426,5160263,2127520,1349017,284817,1575407,1095596,479811,685038,1055552,,137417,2563450,0.0,2857198,8745,0.0,562163,4601771,67380,3397070,2015年03月31日,11069913,319146.0,28861971,28861971,0,939406.0,11886175,25395376,1149600,,16587368.0,,,1565000,11069913.0,3397070,43388212.0,64643,14526241.0,,11328062,11328062.0,43388212.0,,1047328,788861,907700,,547621.0,2640066,17992836,0
2015-08-06,2,2015,1049240,,1049240,14425021,50000.0,10521981,7769691,7515324,1831852,1500391,451151,1123322,847591,275731,704066,1156303,,162966,2472533,0.0,2573921,14459,0.0,254367,6429214,47436,3397070,2015年06月30日,9090210,281376.0,27078965,27078965,0,1431771.0,13756334,25543436,1110121,,15470931.0,,,1543000,,3397070,43067568.0,73496,15988603.0,,11328062,11328062.0,43067568.0,,1003583,782687,524620,,541100.0,2232269,17524132,0
