date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應收帳款淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付款,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,,605756,6561261,268470,2863579,85651.0,,701492,421723,279769,112943,-98100,,,957933,659954,659954,396698,2146341,4483267,12336,-98100.0,397666,169334,169334,190949,,,4558609,4558609,211520,,492210,1423520,2020000,2013年03月31日,2735216,,9821880,9802339,2501000,128363,6694864,7563737,1922221,,,5547351.0,183745.0,273109,2020000,,,12336,,13347674.0,5207809,,5207809,,23169554.0,7640,357081,124562,454868,4381907,4381907,1748675,1748675,4086569,19541,6652810,15605817,0.0,419903,352177,0
2013-08-12,2,2013,1061753.0,,1061753,6565629,270000,2448781,0.0,,1312435,997717,314718,81906,75127,,,1381538,676431,676431,316900,2169400,4459674,12587,75127.0,402422,146032,146032,190949,,,4193870,4193870,234453,,495015,1466038,2020000,2013年06月30日,2221344,,9569257,9560768,2501000,227437,7337569,7412881,1952419,,,5491434.0,118813.0,276762,2020000,,,12587,,13512203.0,5207809,,5207809,,23081460.0,41564,377976,124870,459804,3880364,3880364,1766978,1766978,4142774,8489,6174634,15668579,0.0,404649,319785,0
2013-11-11,3,2013,1171103.0,,1171103,6447250,266490,2666370,21673.0,,719685,408747,310938,61364,-10869,,,1489240,656887,656887,314304,2199433,4403873,12486,-10869.0,417682,182133,182133,190949,,,3322545,3322545,100168,,488580,1760349,2020000,2013年09月30日,2438933,,9701207,9692361,2501000,227437,6508065,6583626,1934082,,,4684621.0,91419.0,858231,2020000,,,12486,,12646395.0,5207809,,5207809,,22347602.0,14459,558070,122819,463352,3816078,3816078,1781751,1781751,4089569,8846,6138330,15763976,0.0,318710,318137,0
2014-03-31,4,2013,,,1593112,6468067,269370,3007264,0.0,,817011,443415,373596,291363,170965,0.0,0.0,1898691,879827,879827,309730,2274189,4450822,12726,170965.0,432073,213678,213678,190949,,,5611784,5611784,107929,,493860,1803212,2020000,2013年12月31日,2779827,,10225317,10215089,2501000,227437,9408771,9448985,1969225,0.0,,6920389.0,101379.0,947001,2020000,,,12726,,15150088.0,5207809,,5207809,,25375405.0,20179,624562,123714,471864,3343414,3343414,1842116,1842116,4141092,10228,5741317,15926420,0.0,411237,305579,0
2014-05-15,1,2014,1558669.0,,1558669,6144270,274320,3373997,0.0,,727584,336605,390979,321183,278185,,,1847410,1728653,1728653,293274,2195302,4444835,12138,278185.0,451517,207972,207972,190949,426198.0,0.0,4138613,4138613,57609,,521101,1836074,2020000,2014年03月31日,3146560,,10700106,10689042,2501000,227437,8176397,8878035,1982654,,4924455.0,,110387.0,1043135,2020000,265941.0,,12138,,13828569.0,5207809,,5207809,,24528675.0,31189,738171,125517,447386,3331353,3331353,1743785,1743785,4151561,11064,5652172,15650640,0.0,473794,288741,0
2014-08-12,2,2014,1788401.0,,1788401,6165920,268830,3044538,0.0,0.0,1340588,964843,375745,374203,67165,,,2037619,2162199,2162199,303392,2309506,4344488,12116,,441298,189529,189529,190949,,0.0,3882430,3882430,76240,448050.0,0,1773166,2020000,2014年06月30日,2718479,,10160005,10148563,2501000,326059,8337432,9155734,1939954,,5277294.0,,71596.0,977578,2020000,,,12116,,13966349.0,5207809,0.0,5207809,,24126354.0,15505,214383,122560,478262,3196851,3196851,1868208,1868208,4041096,11442,5628917,14970620,0.0,413836,249218,0
2014-11-13,3,2014,1770776.0,,1770776,6167618,273870,3120549,0.0,,1360325,1046880,313445,859664,260383,,,2013185,2080547,2080547,310579,2376624,4400216,12344,,468707,204645,204645,190949,,0.0,3310386,3310386,92519,,0,1821762,2020000,2014年09月30日,2794490,,10429656,10417792,2501000,326059,7743727,8715805,1974647,,4947540.0,,70234.0,867255,2020000,,,12344,,13412662.0,5207809,,5207809,,23842318.0,109998,219696,124405,488400,3167906,3167906,1907917,1907917,4089637,11864,5668935,15126513,,311194,242409,0
2015-03-26,4,2014,2071970.0,57427.0,2129397,6333092,284760,3481402,0.0,,1057550,704989,352561,465553,741069,,,2367982,2651155,2651155,323432,2423485,4725421,12905,,480211,227245,227245,285424,,0.0,5279995,5279995,128222,,0,2029761,2020000,2014年12月31日,3155343,,11177670,11164856,4182000,326059,10696258,10454787,2059831,,6225312.0,,84976.0,1626296,2020000,,,12905,,15252670.0,5207809,,5207809,,26430340.0,266554,318245,128959,542688,2003968,2003968,1943274,1943274,4401989,12814,4556412,15975553,,439055,238585,0
2015-05-14,1,2015,1832077.0,63030.0,1895107,6163368,281700,3864345,,,868942,513865,355077,546028,578024,,,2114292,2542410,2542410,1066519,2362683,5758695,12718,,466158,222223,222223,304580,0.0,0.0,4487539,4487539,74409,,0,2018392,2020000,2015年03月31日,3538286,99779.0,11378601,11365598,4531000,326059,9847404,9249844,2030354,,,5120582.0,,2086210,2020000,0.0,26002323.0,12718,14623722.0,,5207809,,5207809,26002323.0,,177924,344279,127573,499970,2286062,2286062,1896525,1896525,4309984,13003,4776318,16752479,382192.0,399913,219185,0
2015-08-12,2,2015,1845812.0,67606.0,1913418,6047962,277650,3492800,,,1351379,1004319,347060,670972,469027,,,2101386,2558014,2558014,1056086,2340286,5296001,12594,,481845,192960,192960,304580,,0.0,3859631,3859631,63950,0.0,0,1593910,2020000,2015年06月30日,3059477,59507.0,10897823,10885056,4531000,433323,10107715,9648494,2007117,,,5377682.0,,2556842,2020000,,25338693.0,12594,14440870.0,,5207809,,5207809,25338693.0,,166376,385114,125739,467559,1867130,1867130,1858441,1858441,4239915,12767,4333155,15690199,,399802,187968,0
