date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,人壽保險現金解約價值,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,商譽,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收所得稅退稅款,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計減損－以成本衡量之金融資產－非流動,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,76540.0,76540,2885876,,,18000.0,1940245,,46546,,325269,325269.0,38526,-33907,80484,3944,62060,,26585,152396,8669,,3372,814933,814933,,,388743,30293,91131,786636,,3477,26585.0,1625757,2013年03月31日,1344467,,,4426362,4316785,0,390033,1669358,3282814,,8669,,390371.0,205745,,1140265.0,29415.0,,724023,,1625757,,,,1936693.0,784690,,6363055.0,,,,590,15300,724023.0,240160.0,240160,34602,109577,267335,3080241,114422,0
2013-08-09,2,2013,101540.0,101540,2965510,,,18000.0,1707678,,33714,,586537,586537.0,35254,9341,104304,2764,48442,,25536,163573,8669,,3425,767958,767958,,,566213,23845,89067,977208,,108,25536.0,1625757,2013年06月30日,1070168,,,4239036,4127466,0,431765,1959981,3253506,,8669,,610241.0,205745,,780581.0,20733.0,,569282,,1625757,,,,2185446.0,784690,,6424482.0,,,,779,15224,,,199150,35060,111570,225465,3170976,125088,0
2013-11-06,3,2013,,114040,2984354,,,18000.0,1728140,,28331,,298800,,23835,-36966,121002,6962,53921,,23782,120161,8669,,3400,786419,786419,,,638349,23165,69651,1047524,,2857,23782.0,1625757,2013年09月30日,1090630,,,4210385,4101621,0,431765,1911656,3254368,,8669,,599241.0,205745,,712240.0,18020.0,,742669,,1625757,,,,2187151.0,784690,,6397536.0,,,,1073,11984,,,250640,34502,108764,275495,3143168,82259,0
2014-03-28,4,2013,152040.0,152040,2995316,,,18000.0,1747145,,29381,,335770,335770.0,12248,6203,154150,2110,46510,,24281,155263,8669,,3442,727482,727482,,,518157,15891,37960,940220,,557,24281.0,1625757,2013年12月31日,1109635,,,4279669,4163795,0,431765,1713043,3123758,,8669,,455863.0,205745,,911497.0,34256.0,,616859,,1625757,,,,2032718.0,784690,,6312387.0,,,,5264,11381,616859.0,290130.0,290130,34837,115874,319675,3188629,116984,0
2014-05-07,1,2014,182640.0,182640,2928201,,,18000.0,1705118,,35419,,256903,256903.0,8138,56624,184211,1571,41909,,22680,200593,8669,,3478,695802,695802,,0.0,362134,16357,8517,851867,,2444,22680.0,1625757,2014年03月31日,1067608,,,4286821,4172189,0,431765,1703505,3233046,,8669,,740482.0,205745,856985.0,,37980.0,,837403,,1625757,,,,2116557.0,784690,,6403378.0,,,,15852,14869,837403.0,374520.0,374520,35060,114632,413052,3170332,162055,0
2014-08-11,2,2014,182640.0,182640,2842752,,,0.0,1595283,,32295,,307860,307860.0,14979,-54,187365,4725,51454,,21154,143427,8669,,3424,670148,670148,,0.0,390586,16363,7137,835666,,0,21154.0,1625757,2014年06月30日,950328,,,4120371,4005970,0,439210,1738676,3202431,,8669,,990151.0,205745,607738.0,,3088.0,,826277,,1625757,,,,2092593.0,784984,,6212964.0,,,,3903,15685,826277.0,328860.0,328860,34131,114401,353917,3010533,105872,0
2014-11-12,3,2014,178130.0,178130,2863433,,,0.0,1597183,,27920,,211317,211317.0,14247,49688,192112,13982,58599,,19669,80810,8669,,3473,703229,703229,,0.0,465415,27835,7679,867174,,838,19669.0,1625757,2014年09月30日,952228,,,4178839,4058490,0,439210,1665238,3188861,,8669,,755352.0,205745,761502.0,,0.0,,760880,,1625757,,,,1987844.0,785862,,6166683.0,,,9045.0,15227,15865,760880.0,287710.0,287710,34533,120349,322606,2977822,42804,0
2015-03-27,4,2014,170530.0,170530,2840757,,,0.0,1509505,,25923,,235925,235925.0,10758,178234,176702,6172,49920,,22046,108971,8669,,12291,761963,761963,0.0,0.0,408633,11924,16035,787220,7991.0,917,22046.0,1625757,2014年12月31日,864550,,,4223194,4100238,0,439210,1709049,3261595,,8669,,821119.0,205745,795784.0,,0.0,7991.0,859830,,1625757,,,,2020565.0,786742,,6243759.0,,,,39820,23767,859830.0,249650.0,249650,35881,122956,311516,2982164,60799,0
2015-05-04,1,2015,146420.0,146420,2762503,,,0.0,1482994,,26743,,204072,204072.0,13234,138072,148125,1705,40201,,22658,117544,8669,,12330,769951,769951,,0.0,382137,16059,14780,685662,,1149,,1625757,2015年03月31日,838039,0.0,8389.0,4149888,4034404,0,439210,1555736,3068867,22658.0,8669,906434.0,,205745,,617104.0,,,790129,,1625757,5987808.0,434.0,1837920.0,,787581,5987808.0,,,,,31426,30225,790129.0,228100.0,228100,35109,115484,282184,2918941,70105,0
2015-08-10,2,2015,128310.0,128310,2737146,3196.0,,0.0,1487405,,20342,,182247,182247.0,14382,96657,132816,4506,65092,3196.0,21614,132343,8669,,3072,743166,743166,,,421181,10757,12771,778991,,301,,1625757,2015年06月30日,842450,0.0,8573.0,4103590,3998241,0,439210,1711730,3153764,21614.0,8669,890964.0,,205745,,631953.0,,,951467,,1625757,6061739.0,491.0,1958149.0,,788422,6061739.0,,,,,24255,29817,951467.0,200550.0,200550,34539,105349,246419,2907975,91536,0
