date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預收款,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有供交易金融負債評價調整－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期應付票據,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,791789.0,791789,4099151,1036626,1036626,95925,181754,181754,228310,228310.0,63436,62421,-36686,796143,86031,0.0,10008,86031,10008,344235,215570,32656,32656,4354.0,,27600.0,1759,9493,684152,684152,100582,,,878289.0,878289,182454.0,182454,10773,10773,136813.0,136813,172545.0,172545,1025.0,1025.0,547794,36276,104250,18491,319976.0,1367948,18710.0,1966364,4976893,2013年03月31日,-5490,,,5861173,5234834,10484000,7730,2243192,3548466,,26714,,60000.0,60000.0,,,93685,22500,,1857661.0,13310.0,1143.0,668700,4976893,,14409,,6947907.0,299284,,12809080.0,18710,27600.0,36952,93615,306487,668700.0,3360976.0,3360976,,,0.0,163413,626339,4704715,9260614,49859,4354,4976893
2013-08-09,2,2013,747678.0,747678,4060350,1037239,1037239,78481,162688,162688,303234,303234.0,36586,248371,-72235,749266,115050,,10039,115050,10039,340169,240255,53308,53308,1588.0,,35100.0,2079,11764,849969,849969,100582,,,884082.0,884082,199557.0,199557,38896,38896,132752.0,132752,264777.0,264777,2074.0,2074.0,742622,20585,64069,43085,315590.0,1377268,12590.0,1997447,4976893,2013年06月30日,-86690,,,5792369,5166887,10484000,10694,2441433,3621054,,24473,,60000.0,60000.0,,,154477,22500,,1421236.0,22524.0,1118.0,702500,4976893,,13263,,7094837.0,284330,,12887206.0,12590,35100.0,40496,86460,306432,702500.0,3307593.0,3307593,,,,165144,625482,4653404,9266152,37867,1588,0
2013-11-12,3,2013,752500.0,752500,4213284,1050431,1050431,-6223,153659,153659,347089,347089.0,73733,330484,-46886,755769,127050,,11067,127050,11067,336440,235023,56002,56002,3269.0,,41300.0,2288,9169,692967,692967,100582,,,889913.0,889913,130542.0,130542,3728,3728,160668.0,160668,278181.0,278181,,,969196,16773,108791,53966,311652.0,1363922,12945.0,1977950,4976893,2013年09月30日,-171394,,,5888483,5111041,10484000,10694,2938413,4174181,,37669,,60000.0,60000.0,,,154477,22500,,1726211.0,22807.0,1020.0,1210518,4976893,,16166,,7689337.0,287839,,13577820.0,12945,41300.0,32943,82415,311701,1210518.0,3400856.0,3400856,,,,158785,777442,4750924,9403639,41047,3269,0
2014-03-25,4,2013,861364.0,861364,4363669,740120,740120,-46099,154052,154052,333387,333387.0,114890,383063,-64181,866937,111050,,10023,111050,10023,313550,270645,38138,38138,5573.0,13063.0,50600.0,5305,60722,713421,713421,100582,,,895782.0,895782,138066.0,138066,2849,2849,134910.0,134910,138689.0,138689,1955.0,1955.0,453981,19231,48912,25077,285745.0,1365575,0.0,1804967,4976893,2013年12月31日,-211270,,,5824015,5054228,10484000,10694,2571519,3669526,,40730,,506000.0,506000.0,,,154477,22500,,1638477.0,7188.0,3944.0,920000,4976893,,14475,,7403584.0,288197,,13227599.0,13063,50600.0,53731,101198,312315,920000.0,3470935.0,3470935,,,,161762,769787,4832065,9558073,103749,5573,0
2014-05-13,1,2014,,939242,4463807,740545,740545,-182977,153212,153212,253920,,118539,383835,-64956,942374,120050,0.0,10023,120050,10023,311493,258259,32723,32723,,,,1852,56080,648690,648690,100582,,0.0,,901690,,194543,0,0,,179639,,134908,0.0,0.0,479531,18627,63466,34042,287141.0,1363448,,1793991,4976893,2014年03月31日,-348148,,,5664141,4916575,10484000,10694,2950290,3478902,,39617,,506000.0,506000.0,,,154477,22500,1408155.0,,3475.0,3185.0,1213700,4976893,,14630,,7461189.0,288197,,13125330.0,13101,36900.0,70398,107639,327549,,,3153177,,,0.0,159433,747566,4510899,9646428,130384,3132,0
2014-08-11,2,2014,675553.0,675553,4750401,752226,752226,281347,161788,161788,375483,375483.0,117511,385079,-84854,676234,259621,,10030,259621,10030,307962,261101,39638,39638,681.0,,43700.0,2030,55773,730434,730434,100582,,0.0,907638.0,907638,307759.0,307759,0,0,196814.0,196814,224436.0,224436,0.0,0.0,700448,16582,57085,45740,283432.0,1664191,0.0,1874712,4976893,2014年06月30日,-277171,,,6285477,5412630,10484000,10694,3186171,3882127,,38294,,506000.0,506000.0,,,547824,22500,1382063.0,,2592.0,3639.0,1387500,4976893,,15353,,7921248.0,339826,,14206725.0,0,43700.0,41055,127292,315885,1387500.0,3348485.0,3348485,,,,155660,872847,4735077,10324598,142870,681,0
2014-11-11,3,2014,1643037.0,1643037,4948852,714511,714511,242473,151352,151352,484970,484970.0,120673,376071,-107725,1644397,49000,,22965,49000,22965,306077,316136,37658,37658,1360.0,,0.0,2201,5019,624120,624120,100582,,0.0,1055.0,1055,240594.0,240594,0,0,184537.0,184537,279476.0,279476,,,930084,17068,100422,43489,281376.0,1664191,63600.0,1863296,4976893,2014年09月30日,-316045,,,6226815,5346687,10484000,10694,4263100,3637032,,36960,,506000.0,506000.0,,,547824,22500,1183172.0,,5735.0,4946.0,1343198,4976893,,16593,,7928803.0,335628,,14155618.0,63600,0.0,24635,131734,317288,1343198.0,3226837.0,3226837,,,,250494,880128,3665703,10518586,163352,1360,0
2015-03-26,4,2014,1494509.0,1494509,4991736,727322,727322,188804,151661,151661,320034,320034.0,174002,446591,-59423,1495394,97925,,10038,97925,10038,308533,278736,46355,46355,885.0,71100.0,0.0,3447,6965,730903,730903,100582,,0.0,1062.0,1062,179871.0,179871,0,0,172763.0,172763,173839.0,173839,0.0,0.0,449701,13109,42325,28575,282586.0,1723692,0.0,1841047,4976893,2014年12月31日,-369714,,,6219281,5341156,10484000,10694,3662857,3109159,,37688,,506000.0,506000.0,,,547824,22500,928230.0,,3644.0,4349.0,1229824,4976893,,16388,,7454547.0,335464,,13673828.0,71100,0.0,24060,136355,306787,1229824.0,3345740.0,3345740,,,,215378,878125,3791690,10564669,169389,885,0
2015-05-08,1,2015,,1047767,4978894,727165,727165,125649,139306,139306,238375,,125543,451729,-63058,1062380,92352,0.0,10038,92352,10038,305510,333163,41862,41862,,,,6996,15550,678510,678510,0,,0.0,,1069,,207897,0,0,,177680,,143780,0.0,0.0,596439,32929,73646,26786,,1723692,,1863037,4872053,2015年03月31日,-432869,5425.0,4416.0,6185992,5249939,0,10694,3417274,3018102,276014.0,36098,,,,506000.0,506000.0,547824,22500,,736187.0,,,1532154,4872053,13640385.0,16913,7454393.0,,315295,13640385.0,,32670,0.0,24937,133392,314928,,,3597148,,,0.0,265713,936053,4037119,10622283,174628,14613,0
2015-08-10,2,2015,,1269758,4903217,722211,722211,61671,113043,113043,348749,348749.0,133759,385110,-111587,1280939,90382,,10046,90382,10046,307171,344366,54109,54109,,,,7408,5574,875209,875209,0,,0.0,,0,251681.0,251681,48250,48250,147934.0,147934,238583.0,238583,0.0,0.0,716140,23382,73335,51711,,1723692,,1918928,4872053,2015年06月30日,-127133,3667.0,4844.0,6257395,5168743,0,10694,3708147,3203065,277263.0,34646,,,,506000.0,506000.0,178110,22500,,657057.0,,,1332167,4872053,13785160.0,17194,7527765.0,,346606,13785160.0,,38983,0.0,18900,133393,315992,1332167.0,,3379054,,,,274637,1088652,3819618,10582095,173236,11181,0
