date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地改良物成本,土地改良物淨額,土地淨額,存入保證金,存出保證金,存貨合計,工程存出保證金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,持有供交易之金融資產－流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,機器設備－重估增（減）值,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累積盈虧,累計折舊－土地改良物,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－土地,累計減損－房屋及建築,累計減損－機器設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,3333,191117,39500,,12511,,760,-159,5235,1902,109151,31,81388,16064,3843,-159.0,-159.0,69724,5722,5583,68514,,3843,,27732,0.0,,,,84877,10277,0,2801,82606,46601,0.0,0,16064.0,72667,68778,,10000.0,455520,2013年03月31日,29128,45019,,,,,,494861,494861,0,9776,119792,470539,,205,596,,215834.0,1663.0,51.0,0,3288,1825,29128.0,139,3675,,1463,10247,1125,1210,214,,455520,,2428,,184336.0,0,,679197.0,11645,1398,,,10000.0,1125,0,280,13493,48200,205.0,0.0,64544,208658,5536,0
2013-08-09,2,2013,3526,190691,9079,,33720,,653,-313,5322,1796,100562,21,75147,16044,3239,,,69724,5722,5444,68514,,3239,,25394,,0.0,,,94790,11909,0,2062,85522,21508,,0,16044.0,72667,67767,,,455520,2013年06月30日,-2266,45939,,,,,,464286,464286,0,11062,150065,467536,,682,283,,202077.0,0.0,103.0,0,3288,1684,,278,4686,,1604,10480,1125,1210,214,,455520,,2262,,213596.0,0,,677882.0,11823,1343,0.0,,,1125,0,313,15734,47174,,,63531,210346,57111,0
2013-11-12,3,2013,3683,192389,388,,11591,11591.0,287,-210,6374,2691,135069,232,95016,16025,3285,,,69724,5722,5305,68514,0.0,3285,,39821,0.0,0.0,,,78220,15830,49888,8125,105941,29198,,0,16025.0,72667,66756,,,455520,2013年09月30日,-10957,46980,,,,,,455698,455698,0,11062,195950,500540,,642,283,,153755.0,0.0,148.0,23744,3288,1544,,417,5697,,1744,10796,1125,1210,214,,455520,,2178,,258429.0,0,,714127.0,14086,3290,,,9985.0,1125,0,271,17271,46183,,,62479,213587,66157,0
2014-03-25,4,2013,3840,191568,23664,,13173,13173.0,138,-381,6571,2731,156130,208,121349,17714,3528,,,69724,5722,5166,68514,36.0,3528,,34573,0.0,,,,340918,30640,24988,13404,378777,94181,,23838,17678.0,72667,65745,,,455520,2013年12月31日,12319,47501,,,,,,478803,478803,0,11062,486092,814505,,1074,283,,99116.0,0.0,197.0,55000,3288,1404,,556,6708,,1884,11187,1125,1210,214,,455520,,1398,,550124.0,0,,1028927.0,14425,3238,,,,1125,0,1125,18252,45193,,,64032,214422,62128,0
2014-05-07,1,2014,3997,194050,27478,,10656,,249,-341,6638,2641,146815,317,138105,17694,3531,-341.0,-341.0,69724,5722,5027,68514,,3531,1151.0,8393,0.0,,0.0,,210493,23572,14999,20157,281223,7747,42907.0,42907,17694.0,72947,65011,0.0,14787.0,455520,2014年03月31日,16133,50210,,,,,,482657,482657,0,11062,359055,688457,,1010,283,136469.0,,0.0,233.0,70634,3288,1264,16133.0,695,7722,,2024,11534,1125,1210,214,,455520,,1906,,421285.0,0,,903942.0,15558,4024,,,14787.0,1125,0,333,16894,44203,1010.0,0.0,62230,215485,56876,0
2014-08-12,2,2014,3961,193894,34434,,27127,,216,-157,6831,2870,138441,187,100214,17710,4465,,,69724,5722,4888,68514,,4465,3695.0,38040,,0.0,0.0,,244635,35051,24961,11025,333050,95079,,9284,17710.0,72947,63991,,,455520,2014年06月30日,22991,51281,,,,,,489797,489797,0,11062,467200,802540,,946,381,163429.0,,0.0,254.0,116180,3288,1123,,834,8742,,2165,12028,1125,1210,214,,455520,,1390,,528122.0,0,,1017919.0,16125,4097,0.0,,9638.0,1125,0,0,16074,43212,,,60922,215379,49454,0
2014-11-12,3,2014,3961,195893,45627,,34136,34136.0,277,-412,7012,3051,119729,312,111024,17720,6813,,,69724,5722,4749,68514,0.0,6813,2274.0,8393,0.0,0.0,0.0,,243133,18401,59932,9781,316855,86137,,0,17720.0,72947,62972,,,455520,2014年09月30日,34184,53117,,,,,,500735,500735,0,11062,447973,791208,,882,381,210651.0,,0.0,286.0,73689,3288,983,,973,9761,,2305,12571,1126,1210,214,,455520,,1889,,507957.0,0,,1008692.0,18081,5510,,,9982.0,1174,48,42,13896,42222,,,59984,217484,45017,0
2015-03-19,4,2014,3961,196754,56753,3914.0,43119,43119.0,2657,-745,6894,2933,109227,42,84786,19401,9358,,,69724,5722,4610,68514,34.0,9358,1175.0,24399,0.0,,0.0,167486.0,267396,0,0,7430,294837,134154,,31137,19367.0,72947,61952,,,505520,2014年12月31日,45310,53861,,,,,,618375,618375,0,11062,361807,989566,,818,381,342876.0,,0.0,347.0,35000,4294,1764,,1112,10781,,2530,13206,1128,1210,214,,509434,,1968,,591177.0,52933,,1209552.0,19213,6007,,1144.0,10547.0,1174,46,107,13056,41232,,,229370,219986,62609,0
2015-04-29,1,2015,3961,195807,51729,0.0,27927,,2956,-640,6894,2933,84212,97,75835,19436,8908,-640.0,-640.0,69724,5722,4471,68514,36.0,8908,843.0,8280,0.0,,0.0,149864.0,182997,7990,0,10597,183452,216854,13410.0,13410,,72947,60933,0.0,30315.0,519385,2015年03月31日,40286,54790,0.0,391.0,,,,632374,632374,0,11062,268373,892924,19400.0,798,381,,326903.0,,,30000,4294,1498,40286.0,1251,11800,,2796,13889,1131,1210,214,,519385,1111425.0,1968,479051.0,,61900,1111425.0,,19447,5558,,1069.0,30315.0,1174,43,68,12988,40241,798.0,0.0,210678,218501,33588,0
2015-08-07,2,2015,3961,195021,29522,4854.0,44469,,3149,-488,7276,3315,68249,2430,43583,19467,10214,,,69724,5722,4332,68514,34.0,10214,536.0,22236,,0.0,0.0,141665.0,228980,11164,0,18773,275833,291910,,3200,,72947,59913,,,519385,2015年06月30日,14396,55755,241.0,174.0,,,,619620,619620,0,14381,326666,931251,19433.0,732,745,,218228.0,,,13595,3814,1232,,1390,12820,,2582,14581,1133,1210,214,,524239,1148881.0,2168,529261.0,,66347,1148881.0,,19815,5234,0.0,2182.0,25186.0,1174,41,30,11663,39251,,,202595,217630,44786,0
