date,season,year,不動產、廠房及設備合計,代收款,保固之短期負債準備,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,土地成本,土地淨額,在製品,在途原物料,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付票據,應付票據合計,應付租賃款－流動,應付股利,應付董監事酬勞,應付薪資,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產評價調整－流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,約當現金,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,402813,,13733.0,330369,6852.0,135585.0,49708,,,7454,0.0,60653,,6071,73757.0,10030.0,33243,343,,19154.0,373201.0,224194.0,224194.0,183234.0,50523.0,510917,510917.0,417.0,30206,,,68074.0,68074,33600.0,33600,,,,,70293.0,63441,5384.0,5384,33243.0,293595.0,147867.0,,854736,2013年03月31日,164574,,37439.0,15073.0,1319886,1319872,6105911,165795,287867,1205531,,,,593110.0,12099.0,50000,17684.0,5080.0,,63727.0,145728.0,22366.0,12604.0,5617.0,9913.0,854736,39544.0,,13733,,321110.0,164973,117075.0,47898.0,47898.0,,1640996.0,5805.0,188.0,,19154,10294.0,381.0,,,32309,50000.0,592693.0,14,33243,435465,,0,
2013-08-12,2,2013,397802,8594.0,,276191,6202.0,145996.0,136001,20375.0,,7138,0.0,80654,,9784,72817.0,8554.0,33482,312,,19010.0,354122.0,224194.0,224194.0,166341.0,28144.0,442155,442155.0,370.0,30206,,11929.0,,88289,,32786,815.0,85474.0,7936.0,10287.0,60406.0,54204,,7642,,293595.0,145834.0,174.0,854736,2013年06月30日,92301,,37439.0,14379.0,1265708,1265694,6105911,175219,357030,1223704,,8671.0,,683597.0,9904.0,0,17684.0,4420.0,,64263.0,147761.0,23060.0,13264.0,5641.0,9687.0,854736,39544.0,,9396,,390989.0,164973,,,,,1656697.0,5805.0,164.0,,19184,9944.0,257.0,477.0,,34879,0.0,683227.0,14,33959,432993,71245.0,0,71245.0
2013-11-13,3,2013,393315,6645.0,,289094,4198.0,147938.0,50930,22400.0,,6486,0.0,78851,,5517,73167.0,7548.0,32511,516,,15000.0,365324.0,224194.0,224194.0,182491.0,28298.0,464497,464497.0,375.0,30206,,12293.0,,82123,,43516,774.0,,8178.0,8059.0,59681.0,55483,,8692,,293595.0,143801.0,169.0,854736,2013年09月30日,105204,,37439.0,13684.0,1284712,1284699,6105911,175219,496698,1384103,,8671.0,,828259.0,13556.0,220000,17684.0,3760.0,,65619.0,149794.0,23755.0,13924.0,5664.0,9757.0,854736,36322.0,,7722,,529209.0,171075,,,,,1813921.0,5805.0,141.0,,15169,9944.0,187.0,,,35987,220000.0,827884.0,13,32511,429818,71432.0,0,71432.0
2014-03-26,4,2013,390697,4215.0,,330601,1314.0,145109.0,62966,36130.0,,6986,0.0,104690,,133819,75374.0,8409.0,25851,483,,15000.0,344309.0,224194.0,224194.0,169468.0,32506.0,431171,431171.0,561.0,30206,,11060.0,,99955,,40493,732.0,,7362.0,8414.0,74542.0,73228,,5485,,293595.0,141768.0,191.0,854736,2013年12月31日,146711,,37439.0,12990.0,1326219,1326206,6105911,175219,452800,1381169,,8671.0,,715289.0,8983.0,130000,17684.0,3100.0,,66965.0,151827.0,24449.0,14584.0,5687.0,9826.0,854736,29997.0,,5713,,479597.0,171075,,,,,1805816.0,5805.0,118.0,,15191,9944.0,118.0,946.0,,33467,130000.0,714728.0,13,26797,424647,99743.0,0,99743.0
2014-05-14,1,2014,388680,,5377.0,381000,1584.0,145109.0,65052,,,7125,0.0,109407,,14773,25026.0,9344.0,25896,422,,243388.0,348267.0,224194.0,224194.0,161492.0,42098.0,429321,429321.0,554.0,30206,0.0,,93986.0,93986,37015.0,37015,,,,,101683.0,100099,4161.0,4161,25896.0,267877.0,139740.0,,854736,2014年03月31日,197110,,25650.0,12322.0,1376618,1376605,6105911,175219,328726,1309305,,8671.0,510438.0,,17889.0,0,9019.0,2873.0,,15682.0,128137.0,13328.0,6146.0,245.0,421.0,854736,22573.0,,5377,,354953.0,171075,,,,,1731571.0,349.0,104.0,,243388,524.0,103.0,331.0,331.0,33164,0.0,509884.0,13,26227,422266,,0,
2014-08-12,2,2014,385262,7566.0,,301915,1342.0,155389.0,187783,45882.0,,9148,0.0,92941,,11271,25622.0,8872.0,25892,375,193.0,93000.0,343234.0,224194.0,224194.0,203162.0,51781.0,465361,465361.0,544.0,30206,0.0,13212.0,,115315,,40519,644.0,111116.0,8797.0,8776.0,89180.0,87838,,1772,,267877.0,137713.0,,854736,2014年06月30日,114945,,25650.0,11660.0,1297533,1297520,6105911,186970,457144,1360190,,0.0,691607.0,,15839.0,0,9019.0,2646.0,,16750.0,130164.0,13990.0,6373.0,260.0,436.0,854736,22573.0,,4747,,483123.0,171075,,,,,1780656.0,349.0,89.0,,93193,524.0,88.0,87.0,,34829,0.0,691063.0,13,25979,420466,84731.0,0,84731.0
2014-11-12,3,2014,382515,9602.0,,334976,1343.0,155389.0,56410,24859.0,,10187,0.0,93405,,8466,20507.0,9010.0,25891,313,253.0,15000.0,380149.0,224194.0,224194.0,183556.0,42634.0,473523,473523.0,375.0,30206,0.0,13619.0,,132906,,42599,598.0,,9068.0,8864.0,92591.0,91248,,318,,267877.0,135685.0,,854736,2014年09月30日,148006,,22689.0,11056.0,1338533,1338515,6105911,186970,345374,1291620,,0.0,692625.0,,13791.0,0,9019.0,2420.0,0.0,11497.0,132192.0,11633.0,6599.0,110.0,233.0,854736,22573.0,,6263,,371265.0,179009,,,,,1709798.0,184.0,74.0,,15253,309.0,76.0,0.0,0.0,35350,0.0,692250.0,18,25891,418178,83205.0,0,83205.0
2015-03-27,4,2014,378698,7946.0,,422335,1343.0,144328.0,44025,26833.0,,10052,0.0,99200,,6384,18941.0,8052.0,20182,366,0.0,0.0,313428.0,224194.0,224194.0,209497.0,37330.0,438500,438500.0,578.0,30206,0.0,5246.0,,115986,,48781,550.0,,3497.0,8449.0,119684.0,118341,,35,,267877.0,133658.0,,854736,2014年12月31日,235365,,22689.0,10464.0,1425889,1425874,6105911,186970,390795,1426216,,0.0,852904.0,,25795.0,50000,9019.0,2193.0,,10889.0,134219.0,12225.0,6826.0,117.0,239.0,854736,22573.0,,7008,,411579.0,179009,,,,,1837468.0,184.0,67.0,,0,309.0,70.0,602.0,,32188,50000.0,852326.0,15,20784,411252,90704.0,0,90704.0
2015-05-08,1,2015,375592,,7008.0,465321,1415.0,146479.0,38569,,,9877,0.0,99046,,14394,19546.0,7719.0,20183,368,7.0,20000.0,327445.0,224194.0,224194.0,222568.0,32554.0,458661,458661.0,549.0,30206,0.0,,119142.0,119142,55463.0,55463,,,,,141265.0,139850,236.0,236,,267877.0,131631.0,,854736,2015年03月31日,278351,32153.0,22689.0,9872.0,1468875,1468860,6105911,186970,421381,1502450,20183.0,0.0,,859425.0,,70000,9019.0,1966.0,,11827.0,136246.0,12817.0,7053.0,125.0,245.0,854736,22573.0,1911041.0,7008,442166.0,,179009,,,,1911041.0,,271.0,146.0,,20007,309.0,64.0,602.0,602.0,32631,70000.0,858876.0,15,20785,408591,,0,
2015-08-12,2,2015,371998,10311.0,,344863,1415.0,174708.0,166763,3948.0,15056.0,8000,0.0,99875,,4568,18376.0,6994.0,20175,457,35.0,20000.0,330462.0,224194.0,224194.0,226855.0,34775.0,432655,432655.0,459.0,30206,0.0,6662.0,,75012,,53543,450.0,128210.0,4441.0,8446.0,120766.0,119351,,88,,267877.0,129602.0,,854736,2015年06月30日,138038,15015.0,22689.0,9280.0,1348417,1348402,6105911,206825,663649,1625254,,0.0,,1040557.0,,250000,9019.0,1739.0,,11382.0,138275.0,13409.0,7280.0,140.0,251.0,854736,15271.0,2033480.0,3441,685063.0,,179009,,,,2033480.0,,271.0,131.0,,20035,309.0,58.0,1239.0,,35771,250000.0,1040098.0,15,21414,408226,89114.0,0,89114.0
