date,season,year,上期損益,不動產及設備－淨額,中期擔保放款,中期放款,中華郵政轉存款,交通及運輸設備,什項設備,以成本衡量之金融資產,保付支票,保留盈餘合計,保證責任準備,信用交易,備供出售金融資產,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產評價調整,備供出售金融資產－淨額,備抵呆帳－其他應收款,備抵呆帳－應收信用卡款項,備抵呆帳－應收利息,備抵呆帳－應收帳款,備抵呆帳－應收承兌票款,備抵呆帳－應收票據,備抵呆帳－貼現及放款,備抵呆帳－長期應收款,備抵呆帳－長期應收票據,備抵呆帳－非放款轉列之催收款項,備抵遞延所得稅資產評價,兌換（借方）,兌換（貸方）,公庫存款－定期,公庫存款－活期,其他什項金融資產,其他待出售資產,其他應付款,其他應收款,其他權益合計,其他無形資產,其他負債合計,其他資本公積,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,其他雜項資產,其他非營業資產,其他預付款,其他預收款,出口押匯,受限制資產－債務工具,受限制資產－其他,受限制資產－淨額,可轉讓定期存單,同業融資,員工福利負債準備,國外營運機構財務報表換算之兌換差額,土地,增資準備,外匯定期存款,外匯活期存款,央行及同業融資合計,央行及銀行同業存款合計,存入保證金,存出保證金,存出信託資金賠償準備,存放央行,存放央行及拆借銀行同業合計,存放銀行同業,存本取息儲蓄存款,存款及匯款合計,定期存款（不含NCD）,庫存外幣,庫存現金,庫藏股票合計,待交換票據,待出售資產－淨額,待註銷股本股數,意外損失準備,應付交割帳款,應付代收款,應付公司債合計,應付利息,應付即期外匯款,應付商業本票,應付所得稅款,應付款項合計,應付票據,應付股（官）息紅利,應付託售證券價款,應付費用,應付金融債券,應付金融債券合計,應付金融債券折價,應收代買證券價款,應收信用卡款項,應收利息,應收即期外匯款,應收帳款,應收帳款融資,應收所得稅退稅款,應收承兌票款,應收款項－淨額,應收票據,應收證券融資款,應解匯款,房屋及建築,承兌匯票,承受擔保品,投資性不動產投資－淨額,拆放銀行同業,持有供交易之金融負債,持有供交易之金融負債評價調整,持有供交易之金融資產,持有供交易之金融資產評價調整,持有至到期日金融資產,持有至到期日金融資產－淨額,採用權益法之投資成本,採用權益法之投資－淨額,採用權益法認列之投資權益調整,撥入放款基金,擔保透支,支票存款,放款轉列之催收款折溢價調整,放款轉列之催收款項,整存整付儲蓄存款,普通股股本,暫付及待結轉帳項,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程,本期所得稅負債合計,本期所得稅資產合計,本期損益,本行支票,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,活期儲蓄存款,活期存款,無形資產－淨額,營業保證金及交割結算基金,特別盈餘公積,特別股負債合計,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債合計,當期所得稅資產合計,短期擔保放款,短期放款,租賃權益改良,累積盈餘,累積虧損,累計折舊－交通及運輸設備,累計折舊－什項設備,累計折舊－房屋及建築,累計折舊－租賃權益改良,累計減損－備供出售之金融資產,累計減損－其他什項金融資產,累計減損－其他待出售資產,累計減損－土地,累計減損－承受擔保品,累計減損－持有至到期日金融資產,結構型商品所收本金,股本合計,股本溢價,與待出售資產直接相關之負債合計,行員活期儲蓄存款,負債及權益總計,負債準備合計,負債總計,負債總額,買入匯款,貼現及放款折溢價調整,貼現及放款－淨額,資本公積合計,資本公積－採權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,轉存央行存款,追溯適用及追溯重編之影響數,透支,透支銀行同業,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,進口押匯,進項稅額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產,遞延所得稅資產合計,遞延收入,避險之衍生金融負債－淨額,避險之衍生金融資產淨額,銀行同業存款,銀行同業拆放,銷項稅額,長期應收款,長期應收款折溢價,長期應收票據,長期應收票據折價,長期擔保放款,長期放款,附買回票券及債券負債合計,附賣回票券及債券投資,附賣回票券及債券投資淨額,零存整付儲蓄存款,零用及週轉金,電腦軟體,非控制權益合計,非放款轉列之催收款項,預付其他稅款,預付房地款,預付所得稅稅款,預付設備款,預付費用,預收利息,預收收入,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-08,1,2013,,3444870,86011288,32998460,1963594,35141,1181545,143486,8724,4746970,49429,,19234575,71041.0,,71041,19228078,72238,23038,4927,3888,20205,12382.0,3506026,,,22312,,,,55000,141839,1969632,0.0,216299,149262,86629,,293307,89666,1095897,14555,1132063,,10232.0,38475,70703,354326,,99004,99004,5912200,3751408,202704,15588,2106800,,12777956,9537373,3751408,5849839,132268,799506,,19404289,67404556,1168965,112952888,394948794,73229359,343148,2365004,0.0,5691189,0.0,,,,,0.0,532236,588081,,398910,8574617,5691189,,146124.0,466042,13600000,13557060,42940,144328.0,472113,636586,588123,432795,337752,57466,776787,4548945,1312657,343135,12853,1992863,790523,150565,0.0,800267,13983,45942,12755748,25278,9602615,8027954,120000,132993,12993,14555,16522,6361546,,1143116,15308663,23187442,3351,2013年03月31日,3488008,,,,3488008,404386,,28696578.0,28696578,0,1160137,89086681,67102155,83658,183994.0,98825,0.0,,9582076.0,,398910.0,57466.0,58777339,40032135,,,,22121,820026,962307,,77538,1171811,0.0,77000,150565,1574661,,23187442,569058,0.0,1933748,,252133,,428294402.0,820.0,63452,324668418,675537,16813,,456990980.0,47200000,,1022,211800.0,59925,12781026,0.0,0.0,111021,111021,340195,340195,14736.0,0.0,0.0,1549,3672896,,26200,,,,105107189,2988708,482833,4363781,4363781,123423,13770,83658,0.0,212248,0.0,,,9975,60339.0,3226.0,72374.0,0
2013-08-14,2,2013,,3434225,92208298,35790613,1963594,34355,1220523,143484,9128,3750836,50269,864.0,19355132,81127.0,,81127,19358300,72653,24777,5369,4295,20225,,3820563,1434.0,17202.0,27097,,,,55000,164104,1990711,0.0,671201,390890,109582,,322931,89666,952991,42277,1142323,,,65121,163752,375673,,81443,81443,5926200,3266172,205674,28455,2106800,1681090.0,11262077,10373960,3266172,9900983,159179,883278,50000.0,18745888,66605446,1090433,114874001,408224418,73378549,315097,2598974,0.0,5816890,0.0,,,,,0.0,457872,793342,30000.0,212084,9248772,5816890,231874.0,,668522,13535800,13504169,31631,,504674,711498,793508,418899,355612,56589,587653,5207362,1922,363612,2899,1992863,609071,150565,0.0,709558,14404,32887,13850572,20211,4793733,3688457,204000,132232,-71768,12277,15520,7188937,-38.0,972176,14936405,23187442,3728,2013年06月30日,1623227,,,,1710802,474189,,29404487.0,29404487,0,1993524,93123057,74505472,91297,,134085,0.0,,9821772.0,,212084.0,56589.0,61378217,40332367,,0.0,-87575.0,21490,850765,971061,,77959,1185388,0.0,77000,150565,1105276,,24868532,569058,0.0,1820480,,255943,,445398872.0,,67522,345620987,675537,16813,,474803359.0,47100000,,3172,38151.0,47291,13870783,0.0,,111021,111021,358290,358290,,0.0,0.0,1138,7898100,,231803,-7768.0,1830386.0,110148.0,114579114,2999692,262811,4380862,4380862,129960,378,91297,0.0,220613,,,,0,,,,0
2013-11-07,3,2013,,3410837,94646725,35935581,1963594,32792,1228860,143484,77002,4537893,50853,1547.0,19341839,-49458.0,,-49458,19215539,72653,26437,9005,4150,19345,,3604949,1611.0,27224.0,25228,381.0,,,55000,172314,1987213,0.0,587079,623181,-37965,,369012,89666,1004341,44899,1156488,10607.0,,98205,167821,500809,,190217,190217,5206200,4122435,208645,11493,2106800,,12822653,10423553,4122435,12913695,201191,891986,50000.0,19742714,68625211,1414651,117027418,415456219,77096739,334739,2760559,0.0,1356101,0.0,,,,300520.0,0.0,530047,407178,34900.0,135138,4777511,1356101,231874.0,,818766,13535800,13512483,23317,,489772,645010,406762,399134,269779,56589,545109,5293086,11600,366172,16632,1992863,545946,148177,0.0,1032497,23569,34155,12193589,4397,4312213,3258187,120000,133245,13245,9999,17145,5433303,-215.0,1856844,13502780,24868532,1996,2013年09月30日,2410284,,,,2497859,389419,,30043997.0,30043997,0,1993524,92512760,78789554,89839,,134085,0.0,,5867110.0,,135138.0,56589.0,64229156,39089540,,0.0,-87575.0,20753,875475,979650,,76842,1168397,0.0,77000,148177,1054026,,24868532,569058,0.0,1790339,,259498,,452013683.0,,79677,356225597,675537,16813,,482057680.0,47800000,,2305,,57724,12197986,0.0,,111021,111021,306314,305933,,0.0,0.0,473,10949628,,276492,-10637.0,2192713.0,125625.0,119866662,2970366,254048,5027475,5027475,140553,1060,89839,0.0,219416,,,,2400,,,,0
2014-03-12,4,2013,,3416335,93717250,37980674,1963594,32679,1226107,143484,124524,5050993,92078,73.0,19325041,-58919.0,,-50444,19197158,72652,25747,9061,3979,19367,,4458143,7749.0,28309.0,24991,,,,55000,173344,2036144,0.0,743074,692821,-34177,,400541,72291,1011621,111741,1158259,,,85221,147999,458754,,164290,164290,5036300,4968239,256751,24742,2106800,,13607102,10257017,4968239,8341508,252542,925509,50000.0,23103763,75496734,1219116,118883641,429704469,75298220,399276,2781109,,1190949,0.0,,,,49971.0,,344878,588686,104136.0,292018,4420341,1190949,,,794558,16054700,16042869,11831,,525194,645032,589087,375105,305259,57372,695684,6485651,1017,466635,9240,1992863,708225,2243,,2142971,36015,38785,12111970,83046,4366551,3340584,120000,142654,22654,7605,16450,5505726,-100.0,2191487,13696590,25345339,818,2013年12月31日,2923384,,,,3060271,884910,,31037590.0,31037590,0,1993524,95003023,89301139,97380,,134085,,,5590728.0,,292018.0,57372.0,67497398,36850255,,0.0,-136887.0,21410,857879,988225,,77439,1200540,0.0,77000,2243,1025967,,25345339,586331,,1752031,,348829,,465175145.0,,90767,362916674,675435,16813,,496212735.0,50200000,,963,,74800,12195016,0.0,,111021,111021,391478,391478,,,,514,6377400,,433786,-15204.0,2857411.0,147418.0,124828290,2970735,358769,4550801,4550801,116662,278,97380,,204162,,,,2400,,,,0
2014-05-07,1,2014,3060271.0,3403597,94418822,40201392,1854500,32641,1234081,142684,7056,6087832,110231,,18905648,-21039.0,,-13137,18813341,72652,26405,9344,4691,19433,,4868009,5541.0,51349.0,28829,,,520.0,55000,166421,2029614,,509089,674123,4301,,445742,43687,1482314,110705,1124534,-734.0,,115402,171036,924646,3000000.0,188638,3188638,5343300,3947276,259631,25340,2106800,452626.0,16435588,9865692,3947276,13825027,273733,1364172,50000.0,18606865,73210631,2666708,122209289,436450224,74324817,331147,2898173,0.0,925295,,0.0,1300.0,321933.0,40202.0,,503387,541790,104614.0,410802,3919464,925295,,,517386,15262500,15259692,2808,,495326,656958,541795,467439,228127,57658,558325,6507928,1741,470536,11247,1992863,560382,2243,,6453766,44144,4239,22507225,77319,1404624,922043,120000,143169,23169,6091,34336,5143140,-71.0,1576521,12847528,25677846,3394,2014年03月31日,3960223,,,,1036839,335420,,32901354.0,32901354,0,1993524,97048186,90643963,119076,,134085,,,6822191.0,80.0,410802.0,57658.0,64746421,36301685,,,-136887.0,22178,869222,996788,,79170,1227372,,77000,2243,482581,,26130472,618249,,1900187,,371162,,475160386.0,0.0,99772,364058995,678749,16813,,508061740.0,48100000,,310,0.0,48383,22584544,3860.0,,111021,111021,447118,447118,,,,1002063,10968464,,475861,-42950.0,3038159.0,169434.0,126918357,3002290,260888,5175963,5175963,113390,868,119076,0.0,208437,,,,2400,,,,0
2014-08-12,2,2014,,3384419,98485452,41373150,1678559,31805,1241716,142684,15257,5003896,112804,,20323173,40025.0,,47429,20292989,63152,26514,10533,3869,13080,,4793859,7005.0,70473.0,46232,,,,55000,202107,1989709,,571434,587021,44673,,509478,14356,1481027,207979,1109973,,,76968,192111,540021,,174243,174243,4989800,3726573,261218,4648,2106800,1579241.0,17010686,11403483,3726573,11607909,313673,1400544,50000.0,22056612,77983758,1597922,121672276,436821480,69896004,338915,2814280,0.0,1038000,0.0,0.0,800.0,293200.0,34369.0,0.0,387975,485188,204047.0,251127,4773387,1038000,513557.0,,701806,14400000,14400000,0,,560455,724534,485122,379723,210087,56985,737716,7269704,650,592934,5424,1992863,747858,0,0.0,3977146,55920,-14300,12577926,22156,1378788,905695,120000,141206,21206,3932,33729,5723089,-69.0,1321082,12228268,26935822,3515,2014年06月30日,2045701,,,,2045701,475697,,34247383.0,34247383,0,2885334,98153658,93045040,118767,,72861,0.0,,5789532.0,0.0,251127.0,57164.0,67689201,37066235,421.0,,0.0,22038,890410,1005318,20.0,77613,1203240,,77000,0,473093,,28515063,652582,0.0,1819945,,374822,,473082889.0,,104626,373932438,683751,16813,,507330272.0,51900000,,1268,0.0,41620,12600082,8101.0,,111021,111021,435015,435015,,0.0,0.0,1004138,8925212,3591.0,540838,-47198.0,3703030.0,207561.0,128208379,3092101,257493,1654260,1654260,125746,415,118767,0.0,227052,,,179.0,5600,,,,0
2014-11-05,3,2014,,3366759,100051189,41029621,1287984,32743,1245657,145684,14313,6031036,117865,471.0,20725727,2176.0,,10016,20656688,63153,25548,10607,3398,13783,,4693990,8294.0,89700.0,51439,,,,55000,218205,2026683,,659260,652409,36228,28000.0,501750,14356,1480103,301520,1170210,0.0,,99578,174819,643084,,505986,505986,4359800,3385857,265393,34052,2106800,,20144999,11242867,3385857,7581600,317444,1349862,50000.0,19441843,76845135,2897861,121768534,441539191,72253394,322420,2830263,0.0,1035083,0.0,0.0,800.0,256208.0,396042.0,0.0,530725,723460,299394.0,128468,5584804,1035083,513557.0,,940054,14400000,14400000,0,,535998,734315,723284,327026,151003,56985,468206,7469029,1637,720128,7731,1992863,530415,0,0.0,5253292,59644,24055,10607418,-82652,1224078,742194,120000,140085,20085,2126,39813,5514097,253.0,1348342,10466113,28515063,22948,2014年09月30日,3072841,,,,3072841,394808,,35266078.0,35266078,0,2885334,98511785,94671615,144803,,72861,0.0,,7086621.0,0.0,128468.0,57103.0,68876369,36501181,1564.0,,0.0,21207,907542,1013807,67.0,79055,1181263,,77000,0,481884,,28515063,652582,0.0,1769934,,384058,,474264653.0,,97248,378440054,683751,16813,,509530731.0,52100000,,1164,,83699,10524766,,7244.0,111021,111021,415380,415380,,0.0,0.0,710,6292906,9487.0,632394,-55864.0,3853428.0,189321.0,130599428,3075221,262685,485815,485815,145996,994,116803,0.0,230545,,,118.0,6755,,,,0
2015-03-11,4,2014,,5103786,101479176,41531841,1045021,35775,1283045,145684,50956,6537277,119042,,20741401,41337.0,,52799,20711997,64453,26172,10069,3133,15376,,5526354,11486.0,109174.0,59340,,5.0,,105000,224621,2107358,,639979,537630,154860,,512056,14356,1479607,340296,1206142,,,66447,181050,524364,,341093,341093,3978800,3499960,495679,113523,2106800,,21271735,12254930,3499960,10697387,321079,1411016,50000.0,25312676,82314107,2955561,123573408,455966124,75596496,377512,3032034,0.0,3187587,0.0,0.0,800.0,299330.0,57188.0,0.0,365749,1081845,338676.0,218945,7363659,3187587,,,971193,14400000,14400000,0,,573390,730993,1082704,317541,59010,0,758101,8118751,3067,811881,255,1992863,760788,0,0.0,4751431,66309,67051,13008717,2889,1418003,1418003,120000,140282,20282,1620,36700,5986756,215.0,1266424,10090846,28515063,2139,2014年12月31日,3579082,,,,3719256,906056,,35890951.0,35890951,0,2885334,101470321,98449009,143759,,72861,0.0,,9552955.0,,218945.0,1021.0,72845463,36338932,1961.0,,-140174.0,22006,925852,1022247,153.0,82203,1245459,,77000,0,0,,28515063,652582,0.0,1868341,,615521,,494131902.0,,102446,384382280,683751,16813,,530022853.0,52200000,,1327,,133360,13011606,,,111021,111021,552103,552103,,0.0,0.0,248,9652118,9313.0,611615,-53908.0,3991636.0,194155.0,131552236,3358619,273573,1545361,1545361,138594,261,143759,0.0,257899,,1725000.0,1021.0,5600,,,,0
2015-05-06,1,2015,3719256.0,9159693,99612379,41779760,1028283,33653,1274574,145684,7308,7427151,119179,,21229215,,85135.0,96342,21244207,64453,25505,11196,3397,15351,,5338636,11552.0,129426.0,87544,,0.0,0.0,105000,225276,2085507,,586904,757767,132559,28000.0,572490,14356,1560180,340418,1188807,0.0,,115760,247001,428567,0.0,561424,561424,3672800,3719686,660568,47424,7914300,0.0,22706195,12555461,3719686,16692518,307680,1421971,50000.0,21258041,79476845,4063288,126041975,456376603,75501411,349526,3250284,0.0,878590,0.0,0.0,800.0,357756.0,214214.0,0.0,521744,800794,339090.0,368062,4605291,878590,,,612067,14400000,14400000,0,,531454,731246,799902,336123,9540,0,628097,7801254,477,886175,8826,1992863,633222,0,0.0,5668804,132576,57463,22010042,58881,3170800,3170800,120000,140516,20516,1328,42608,5406028,328.0,1199318,9700071,28515063,22449,2015年03月31日,4468956,,368062.0,1086.0,1024368,503082,36758524.0,,36758524,0,2885334,102558256,95127658,147844,,72861,0.0,8542583.0,,0.0,,,70768088,35290425,1961.0,,-274668.0,20760,934678,1030569,251.0,81350,1210942,,77000,0,0,,28515063,652582,0.0,2128164,535879244.0,780547,499120720.0,,,103498,376793452,683751,16813,535879244.0,,52500000,0.0,833,,190039,22068923,0.0,,111021,111021,571635,571635,,0.0,0.0,274,15663961,17607.0,617668,-50556.0,3893776.0,183820.0,128574839,3435730,964045,3449995,3449995,129092,895,119844,0.0,256102,,0.0,1086.0,5600,,,,0
2015-08-07,2,2015,0.0,9164576,103322995,41493903,1023059,33690,1292514,145684,13298,5893227,121110,,19720813,,113570.0,124968,19765587,70453,24667,10119,2744,9317,,5050054,8106.0,122662.0,93749,,0.0,0.0,105000,258429,2055862,,717179,637340,145403,28000.0,523927,14356,1483754,304733,1021051,0.0,,77812,230886,435283,0.0,362992,362992,3881800,3806220,663416,31833,7914300,1824964.0,24770506,12882844,3806220,15863765,269444,1388172,50000.0,22085716,81276558,4502957,127432695,463257911,74221743,360894,2708680,0.0,1032385,0.0,0.0,1300.0,315885.0,63375.0,0.0,397818,261099,298914.0,263115,4961436,1032385,712877.0,,875056,14400000,14400000,0,,613733,770193,261292,277174,51,0,583317,7096057,6150,850262,15339,1992863,585762,0,0.0,4540842,140170,156347,22699146,147492,3943896,3943896,120000,139702,19702,1190,35065,5579491,380.0,1040481,9658220,28515063,17657,2015年06月30日,1895484,,263115.0,1164.0,2028285,505752,37062408.0,,37062408,0,3959058,102551278,99153915,156769,,38685,0.0,8605431.0,,0.0,,,72788187,35634797,6359.0,1693.0,-134494.0,21679,937083,1038891,497.0,80194,1193728,,77000,0,0,4629.0,30340027,652582,0.0,2090892,542659592.0,785826,505597184.0,,,92644,381978165,683751,16813,542659592.0,,54600000,0.0,768,,296517,22846638,0.0,,111021,111021,537698,537698,,0.0,0.0,406,14840300,23597.0,585657,-47709.0,3869193.0,212215.0,127876203,3457200,1022713,4279554,4279554,136709,515,128769,0.0,106982,,0.0,1164.0,0,,,,0
