date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特許權淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,4000000,42467432,181328,44474881,201702,1283271,9520082,,960908,497322,8270596,1043351,464324,,6318788,,,960605,19744,4511996,,,15845930,824563,3483166,31077183,,,8995369,5988073,52506,0,202376.0,,12824909,71815,116298.0,299289,,1465638,34208328,2013年03月31日,26412987,,61657307,60535199,730725849,18061894,29668719,26208745,,26464045,,500000.0,,0.0,4299327,,7108585.0,2076391.0,101715.0,3415825,34208328,,142870,783856,,42758158.0,12431851,,104415465.0,0.0,,2349609,1033721,,1122108,13089439,78206720,991621,3227245,0
2013-07-30,2,2013,4000000,42186757,181328,33636089,1170723,1134421,25217748,10421590.0,940741,344540,8247023,1304587,1608294,,6278431,,,962194,19744,6017082,,,15845930,826266,3179472,31077183,,,14791824,6425088,84583,0,184805.0,14796158.0,13844799,70547,116184.0,323214,,1451899,34208328,2013年06月30日,14374045,,50455378,49543625,730725849,19262044,42357092,32852932,,26236761,,500000.0,,0.0,4112400,,11277499.0,1267049.0,,767482,34208328,,163314,814993,,61404449.0,12431851,,111859827.0,0.0,,2478346,975433,,911753,19047357,79006895,760857,2942436,0
2013-10-31,3,2013,4000000,42519084,181328,37885132,955500,1253952,10796668,,439285,444804,8453019,1321915,1487358,,6230555,,,958408,19744,6470126,,,15845930,822537,3154564,31077183,,,14792235,6036261,104910,399600,193627.0,,14129515,68682,116127.0,328554,,2262210,34208328,2013年09月30日,18623088,,54859126,53892932,730725849,19262044,35407764,28855606,,26001958,,500000.0,,0.0,3925473,,7786162.0,913868.0,,8328480,34208328,,181331,837570,,54487649.0,12431851,,109346775.0,0.0,,2491672,973957,,966194,19079885,80491169,834540,3131104,0
2014-01-28,4,2013,1000000,42985801,178325,41433176,960945,1226889,11657899,,494348,412682,5095582,1475676,1097828,,6242796,,,953593,19744,5595899,,,15845930,818386,3781354,31077183,50275.0,,14792647,6661431,73080,2396971,408904.0,,14583899,49557,115463.0,320394,,2289356,34208328,2013年12月31日,22171132,,58520641,57433894,730725849,19262044,58605638,29493868,,54837271,,500000.0,,0.0,32748545,,7954294.0,1512072.0,,30605813,34208328,,193886,880069,,79831738.0,12456891,,138352379.0,0.0,,2599791,924576,2000000.0,1086747,21226100,108858511,521368,2619906,0
2014-04-29,1,2014,1208218,42808799,178325,45517399,968198,1066762,11622096,,794278,257250,5160803,1511762,921057,55100.0,6194933,865957.0,272350.0,2236577,1293483,5813472,5541122.0,5541122.0,15845930,830657,2937872,31077183,46310.0,0.0,14793058,6020209,38495,499328,4677.0,,14091403,56249,112437.0,339688,,725578,34208328,2014年03月31日,26255355,,64419439,61381183,730725849,19262044,49616875,28538717,,62059692,,500000.0,,,40018829,8178517.0,,2230805.0,,23844858,34208328,,195604,916543,,78506359.0,12475389,,142925798.0,,,2657317,894765,8285989.0,3038256,28889484,114387081,544833,2440823,0
2014-07-28,2,2014,2208218,45272817,175926,34589710,978415,1010379,27276090,12211491.0,989547,220517,5984349,1489581,896783,33566.0,6160446,863217.0,344516.0,1840208,904848,5503359,5158843.0,5158843.0,15845930,827656,3059935,31077183,0.0,0.0,14793470,6377758,80108,1299113,121837.0,15064599.0,14278173,49929,107704.0,337502,,878726,34208328,2014年06月30日,13052044,,53377646,50417130,730725849,21537666,55391030,26806250,,61711258,,500000.0,,,39704882,6000358.0,,1684140.0,,12371276,34208328,,196359,949565,,89702471.0,12475758,,143080117.0,,,2441763,883900,14286435.0,2960516,34311441,116273867,553110,2286550,0
2014-10-31,3,2014,2208218,47242761,175926,38326843,940040,963017,13771413,13771413.0,1054493,154123,6203002,1621211,970146,26882.0,6186952,943264.0,435135.0,1826318,892315,5550451,5115316.0,5115316.0,15845930,831492,3311781,31077183,0.0,0.0,14793881,7593223,89953,5793853,142100.0,,14725520,41260,102511.0,342727,,874032,34208328,2014年09月30日,16789177,,57265817,54101254,730725849,21537666,55140795,28709277,,61398146,,500000.0,,,39365264,6987365.0,,1175744.0,,20166146,34208328,,205361,983079,,89392197.0,12489143,,146658014.0,,,2466243,901677,14181881.0,3164563,34251402,117948737,678672,2373573,0
2015-01-29,4,2014,2208218,47066319,192652,41355524,2213757,3480153,12310967,12310967.0,1000549,-302986,6471565,1998735,2994483,26657.0,6219622,2967826.0,271574.0,1876538,933611,6160394,5888820.0,5888820.0,15845930,820504,3210988,29717344,0.0,0.0,14794293,7590325,79392,5593031,191951.0,,14990240,34561,122423.0,354208,6.0,897246,34208328,2014年12月31日,19817858,,66512250,60259352,698751601,21537666,53468928,32834704,,61168844,,500000.0,,,39103292,7903777.0,,2114614.0,,18900000,34208328,,217083,1014349,,87025002.0,14715830,,153537252.0,,,2688568,882732,13182326.0,6252898,33556074,120702548,486343,2264612,0
2015-04-30,1,2015,5208218,47179634,192652,45156294,2215954,3193574,11318540,11318540.0,927797,-591474,9582268,2042793,3009574,26275.0,6140095,2983299.0,273057.0,1706962,772547,6564594,6291537.0,6291537.0,15845930,803288,3251466,29717344,0.0,0.0,14794704,6988449,71906,11984492,1467.0,,14994000,39534,,325607,6.0,879875,34208328,2015年03月31日,23618628,2152004.0,70130088,63771634,698751601,21537666,56124602,33292888,131127.0,64290404,,,500000.0,,42304379,,8217370.0,,,13800000,34208328,157229770.0,225476,1039973,87099682.0,,14715830,157229770.0,,,,2805669,810542,10627772.0,6358454,30975080,123936882,637187,2331257,0
2015-07-30,2,2015,11208218,48054585,192652,33860061,1202977,2907379,26737820,11494165.0,1043530,-883827,14939343,1586431,1818905,45794.0,6167772,1773111.0,111223.0,1697068,777283,6301843,6190620.0,6190620.0,15845930,794318,2922435,29717344,,0.0,14795116,6016033,78049,7390761,116680.0,15243655.0,15230871,45642,,304763,6.0,1546612,34208328,2015年06月30日,10518866,1348042.0,57978155,52183048,698751601,23038209,69508148,32150797,125467.0,63720784,500000.0,,323940.0,302986.0,41707082,,8787664.0,,,12650000,34208328,156507880.0,231420,1064679,98529725.0,,14715830,156507880.0,,,208051.0,2816496,796474,8648218.0,5795107,29021577,124357083,598767,2144694,0
2015-10-29,3,2015,11343163,47848489,190492,38019245,1060194,2327690,10905911,10905911.0,1090414,-1487650,15057892,1504959,3028643,55149.0,6103262,2973494.0,109199.0,1689407,765363,7060319,6951120.0,6951120.0,15845930,804274,2239636,29717344,,0.0,14795527,5791968,85660,17676940,176209.0,,15836886,60094,,304032,2218.0,1544691,34208328,2015年09月30日,14678050,1519188.0,61616826,55738409,698751601,23038209,64808470,31264956,119770.0,63026613,,,360031.0,302986.0,41077421,,7277631.0,,,13350000,34208328,154872105.0,244702,1087645,93255279.0,,14715830,154872105.0,,,169826.0,2265512,774966,8608718.0,5878417,28446809,123607149,669240,2209770,0
2016-01-29,4,2015,10267891,47247121,192700,41652299,1028132,2664478,11273991,11273991.0,1178226,-1173954,14398786,1842100,3042945,39846.0,6111153,3003099.0,109366.0,1837767,765344,6176468,6067102.0,6067102.0,15845930,797787,4188213,29717344,,0.0,14795938,6410405,91486,10793487,,,15640120,62103,,330165,0.0,1584362,34208328,2015年12月31日,18311104,1876908.0,65291724,59555705,698751601,23038209,59232218,34158789,274636.0,62402424,,,359062.0,302986.0,40445341,,8579422.0,,,14220938,34208328,156085673.0,166217,1231244,90793949.0,,14586376,156085673.0,,,158322.0,2014310,811782,11682472.0,5736019,31561731,121926884,439628,2288795,0
2016-04-28,1,2016,7304336,46456383,192700,45425361,1240934,3078008,9934246,9934246.0,988328,-742101,11676493,1906876,3014735,36725.0,6013259,2978010.0,121657.0,1767734,711605,6192094,6070437.0,6070437.0,15845930,786973,2783390,29717344,,0.0,14796350,6975192,69661,8494931,,,15619839,80635,,328900,0.0,1624118,34208328,2016年03月31日,22084166,2768167.0,69660336,63760620,698751601,23038209,49835177,32957970,269156.0,61666642,,,369008.0,302986.0,39807453,,8704003.0,,,9730763,34208328,153745954.0,185724,1247308,84085618.0,,14586376,153745954.0,,,109971.0,1847468,770160,14591581.0,5899716,34250441,120787984,526106,2465281,0
