date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,2029664,2029664,56358308,21768181,-128497,447322,1731898,318447,-462188,3169575,188500,199668,7906,191762,1201374,0.0,4236400,15348,,-333691,23490,27319,10280202,10280202,0.0,,,8545357.0,3236576,1197811,201779,,3617841,1051599,116604.0,137346.0,4638368,23780608,2013年03月31日,5902118,,,49509229,45419126,0,5601432,20466818,25156638,,,125908,10264631,,6291661.0,38253.0,76095.0,10890926,23780608,,,42310472.0,332525,,91819701.0,0.0,6274.0,,403996,719411,11686653,,1061280,2826281,4090103,21843654,66663063,0.0,3321125,908598,458854.0,951411,0
2013-08-12,2,2013,,3975574,3975574,58859305,20733571,-138784,437035,3332865,304897,369185,5245388,242233,245898,8256,237642,1283454,0.0,4581617,16197,,507969,23240,29599,10689604,10689604,,0.0,,8675472.0,2496130,1197680,277030,,3431124,1361319,117308.0,136556.0,4641615,23780608,2013年06月30日,4867508,,,49354573,45214938,0,5601432,24307465,25661228,,,134211,10264631,,6172104.0,29915.0,63832.0,11728457,23780608,,,45846725.0,331574,,95201298.0,0.0,0.0,,398634,749731,11181700,,1142906,2916302,4139635,21539260,69540070,0.0,3392450,1155298,464221.0,1027581,0
2013-11-11,3,2013,8630977.0,5125211,13756188,60241778,20349206,-123960,451859,3165278,322983,45406,15325497,248227,241159,7512,233647,1270203,0.0,3814420,16352,,169366,23239,32027,11638553,11638553,,,,0.0,4082877,1197883,519887,,3580402,1951018,118009.0,135767.0,4580951,23780608,2013年09月30日,4483143,,,48565837,44517818,0,5601432,31744776,27265240,,,131949,10264631,,5736134.0,48279.0,47128.0,7404186,23780608,,,48814418.0,342598,,97380255.0,889.0,0.0,,392772,758291,15406667,,1128955,2924314,4048019,17069642,70115015,0.0,3747863,372376,469351.0,1321082,0
2014-03-24,4,2013,7843896.0,5952394,13796290,62721601,21719730,-142843,332301,3871842,1313931,694556,15057284,91489,140396,16945,123451,1558300,297.0,5105276,1049972,,837399,146323,57463,10749179,10749179,,,,0.0,2860903,1197965,279027,,3844666,2435350,116644.0,134977.0,4580670,23780608,2013年12月31日,5853667,,,50748152,46560231,0,5601432,32688394,27154602,,,80724,10264631,,4938635.0,88480.0,23875.0,9332093,23780608,,,50189819.0,365337,,100937971.0,800.0,0.0,,1006517,827820,14936608,,1295036,3015291,4187921,17501425,73783369,0.0,3708570,351334,631216.0,1169505,0
2014-05-12,1,2014,8093299.0,5859139,13952438,63591556,20413011,-153646,308777,3874530,1363037,1215584,15411100,88635,136756,8395,128361,1443298,304.0,5237679,1066218,,1369230,23696,14900,11733456,11733456,0.0,,0.0,2872345.0,3347810,1197965,635609,,4121060,1920305,117420.0,134239.0,4229573,23780608,2014年03月31日,4546948,,,49875579,45774540,0,5601432,33229038,31087726,,,78902,10264631,7761955.0,,64775.0,18890.0,8696431,23780608,,,55593219.0,365337,,105468798.0,818.0,158399.0,,951003,800346,16939136,,1301878,3037992,4101039,22364181,74381072,,4032267,481283,637286.0,1370027,0
2014-08-11,2,2014,8006752.0,7834768,15841520,63473246,19708655,-141100,260676,3593676,1323196,409110,16984493,85447,145864,5220,140644,1419876,7329.0,4912211,513673,,550210,23896,15912,10566128,10566128,,,0.0,2824058.0,3269293,1198209,1033171,,4867852,1593570,113136.0,133501.0,3789245,23780608,2014年06月30日,3842592,,,48176078,44263710,0,5601432,34749332,29222798,,,76212,10264631,6954704.0,,53528.0,13351.0,8616962,23780608,,,54390237.0,365337,,102566315.0,0.0,13462.0,,928385,698426,14455124,,1275515,3118444,3912368,19640905,73343517,,3758133,620797,643385.0,1057526,0
2014-11-10,3,2014,0.0,9784008,9784008,64709549,20950345,-148267,253509,3453247,1403361,1151236,11105483,73342,264193,35212,228981,1524805,7466.0,4886391,521277,,1299503,10186,16748,10000956,10000956,,,0.0,2885290.0,3663171,1797830,747635,,5462808,1949348,111415.0,46217.0,3621227,23780608,2014年09月30日,5084282,,,50195263,46246505,0,5601432,31281888,28320445,,,75403,10264631,5373528.0,,62856.0,16160.0,10451666,23780608,,,52460611.0,364316,,102655874.0,0.0,18587.0,,929605,743133,15820436,,1395738,3157598,3948758,21178723,74335429,,3850091,541349,649419.0,1248133,0
2015-03-23,4,2014,0.0,9960018,9960018,67748488,21315004,-136265,265511,3489970,1850902,3033602,11258666,77454,302790,46354,256436,1835779,0.0,4170617,29538,,3169867,185455,66951,9574497,9574497,,,0.0,3010986.0,4530263,1797898,335431,,5266745,2321386,110769.0,18703.0,3647110,23780608,2014年12月31日,5460779,,,52516807,48500064,0,5601432,32420418,29410927,,,74617,10252793,6510559.0,,60774.0,20894.0,10947416,23780608,,,53453734.0,370850,,105970541.0,0.0,53890.0,,820375,634568,15312286,,1539555,3300644,4016743,21033316,76559614,,3563154,502932,270552.0,1221194,0
2015-05-11,1,2015,0.0,10185759,10185759,66425047,20110816,-118823,282953,3017149,1442756,2494853,11563326,117867,292761,7527,285234,1601037,0.0,3754598,33246,,2613676,3824,9456,10292595,10292595,0.0,,0.0,2986891.0,4795792,2396885,753207,,5223643,1762468,,18681.0,3422575,23780608,2015年03月31日,4256591,22294.0,18827.0,50613655,46734015,0,5601432,32550301,27167565,91196.0,275008.0,71954,10252793,,4137346.0,,,10001648,23780608,101799920.0,51186265.0,,347738,101799920.0,,0.0,10032.0,,813813,656547,13224191,,1506017,3241693,3879640,18635964,74632355,,3997169,195195,,1259700,0
2015-08-10,2,2015,0.0,8294532,8294532,65537934,19390303,-103280,298496,3319143,904783,2106485,9624829,118918,387056,56926,330130,1578785,1831.0,4308878,543469,,2209765,4054,99908,10133023,10133023,,,0.0,2954019.0,4676674,3393782,753769,,5150082,1886405,,18642.0,3412430,23780608,2015年06月30日,3520752,33138.0,19038.0,49421035,45658730,0,5616758,32415043,25721289,89435.0,279805.0,125216,10252793,,3634099.0,,,10613708,23780608,100060330.0,50639295.0,,381334,100060330.0,,,22564.0,39813.0,808083,637445,12860801,,1483465,3191444,3762305,18224252,74339041,,3566990,194252,,1211379,0
