date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收款,長期應收票據及款項淨額,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,39279,39279,1205110,1730325,10720,20526,188553,39985,7456,6451,133800,44133,4854,375982,39571,336411,271300,211298,134570,6519,176,682828,682828,0.0,,,0.0,241327,77550,79818,123,1117682,37100,80025,0.0,10598.0,5289,1269482,2013年03月31日,,,3620051,3452069,0,386790,1171194,3669201,,3535,13000.0,0.0,1343535.0,,1337077.0,84794.0,,411037,1269482,,,,,1442494.0,318462,,5062545.0,3874.0,880.0,,24314,,,,44229,103175,3535,167982,271300,1393344,24700,,0
2013-08-12,2,2013,39589,39589,1218468,1608009,10693,21984,463890,55229,8200,3489,172401,44409,4820,593295,38139,555156,63371,5175,161660,9741,178,667878,667878,0.0,,,0.0,253938,104929,29953,53,1217202,45831,85293,0.0,8251.0,5300,1269482,2013年06月30日,1178132.0,,3530843,3368354,0,429877,1324102,3711653,,3333,0.0,0.0,,,1077651.0,57372.0,,310815,1269482,,,,,1615513.0,318462,,5146356.0,3514.0,2121.0,228040.0,23958,,,,49945,104946,3333,162489,291411,1434703,46795,,0
2013-11-11,3,2013,39902,39902,1202238,1754972,8120,22690,208937,43412,11059,1967,156497,46889,6987,523323,73995,449328,58579,5175,168812,7334,174,696017,696017,0.0,,,0.0,230567,111101,9985,27,1266838,47059,80065,0.0,5894.0,5166,1269482,2013年09月30日,1325095.0,,3645273,3499413,0,429877,866682,3382424,,3128,0.0,0.0,,,746961.0,30644.0,,182490,1269482,,,,,1162765.0,318462,,4808038.0,2630.0,1015.0,237504.0,23580,,,,47510,103843,3128,145860,296083,1425614,57461,,0
2014-03-24,4,2013,40217,40217,1219914,1914354,8960,22672,237590,47738,18127,3373,200350,45068,4851,537614,51767,485847,27256,5175,139220,9854,177,721057,721057,0.0,80370.0,,0.0,242372,116410,99586,108,1307351,53131,91248,0.0,3537.0,5178,1269482,2013年12月31日,1484477.0,,3850115,3702648,0,429877,1054993,3777357,,2924,0.0,0.0,,,954423.0,55067.0,,207782,1269482,1775.0,,0.0,,1341902.0,318462,,5192017.0,1497.0,1703.0,259653.0,24752,,2451.0,2451.0,18544,62862,2924,147467,286909,1414660,63876,,0
2014-05-08,1,2014,0,0,1238662,2066329,8970,23056,202925,41790,6992,5561,221423,3679,3679,667650,61825,605825,26277,5175,113148,9678,835,728571,728571,0.0,79980.0,0.0,39873.0,202182,82963,59840,32,1177564,51442,97638,0.0,2440.0,5132,1269482,2014年03月31日,1636452.0,,4025113,3875646,0,429877,1064691,4023065,,2723,0.0,0.0,,1197615.0,,70577.0,,400703,1269482,0.0,,0.0,,1407249.0,318412,,5432362.0,0.0,1082.0,276408.0,26576,,2475.0,2475.0,18662,63128,2723,149467,342558,1409297,37032,,0
2014-08-11,2,2014,0,0,1221050,1918846,9230,23450,498480,51295,4430,1467,176378,11463,11463,775252,60367,714885,24744,5175,117373,9334,830,728122,728122,,89703.0,0.0,39141.0,258141,84467,0,14,1211634,59082,101362,,1367.0,4936,1269764,2014年06月30日,1438054.0,,3836925,3684162,0,480792,1066033,3841710,,2523,,,,830652.0,,70886.0,,91287,1269764,0.0,,,,1403804.0,319174,,5240729.0,0.0,30776.0,273886.0,29687,,2426.0,2426.0,18202,61049,2523,152763,337771,1399019,43734,,0
2014-11-11,3,2014,0,0,1226094,2099522,22182,23181,226780,37864,5708,2644,215022,9656,9656,704144,60816,643328,23913,5175,123132,8867,2004,758514,758514,,0.0,0.0,37626.0,268566,145963,0,142,1379549,53896,115703,,274.0,9230,1270274,2014年09月30日,1618730.0,,4061715,3905305,0,480792,1076016,4080255,,2322,,,,1006604.0,,54074.0,,332971,1270274,0.0,,,,1431440.0,320487,,5493155.0,0.0,31311.0,293885.0,28941,,2474.0,2474.0,18464,61863,2322,156410,355424,1412900,47924,,0
2015-03-23,4,2014,0,0,1236410,2279179,28664,24157,288581,47574,7956,3659,330734,16834,16834,524326,98700,425626,24380,5175,135103,7967,1937,828432,828432,,0.0,0.0,30861.0,222941,140531,0,96,1405623,47268,128068,,0.0,13297,1272231,2014年12月31日,1798387.0,,4364977,4207703,0,480792,1177287,4492579,,2122,,,,1485962.0,,71989.0,102.0,388741,1272231,0.0,,,,1570685.0,325559,,5935662.0,0.0,32519.0,338157.0,31994,,2586.0,2586.0,19205,64381,2122,157274,393398,1443083,56515,1717.0,0
2015-05-11,1,2015,27984,27984,1214943,2411057,138956,24161,227712,43348,8203,1994,290247,55001,27017,623644,101572,522072,31094,5175,205891,7522,1901,840666,840666,0.0,0.0,0.0,0.0,197206,159335,59671,96,1265925,52040,121523,,,9188,1273089,2015年03月31日,1930265.0,84892.0,4456071,4302202,0,480792,1166264,4502909,7120.0,1921,,,,,1418431.0,,,339003,1273089,0.0,5994368.0,,1538297.0,,327809,5994368.0,,0.0,31527.0,340939.0,35355,,2544.0,2544.0,18799,121010,1921,153869,372033,1491459,72914,,0
2015-08-10,2,2015,26633,26633,1239850,2277906,256043,23730,526455,44813,10894,956,274353,50239,23606,856386,94828,761558,29814,5175,190323,7918,1960,923741,923741,0.0,0.0,0.0,0.0,222003,301391,109640,96,1384993,50039,125955,,,8975,1273518,2015年06月30日,1735242.0,79925.0,4306384,4154729,0,542664,1456306,4645399,6061.0,1720,,,,,1036392.0,,,121744,1273518,0.0,6146862.0,,1840478.0,,328952,6146862.0,,0.0,0.0,354358.0,36865,,0.0,0.0,18578,119825,1720,151655,384172,1501463,60620,,0
