date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,29875,11180152,1999388,91237461,3148713,3838850,12448082,3902461,-1923449,1229218,1199343,439742,775305,78538,325009,,30020,207991,12843869,55970,,,6508817,863898,6795262,0.0,,557703.0,,0,817071,59319500,13493702,2013年03月31日,65954720,,,182461645,182437692,7794085,23072429,35245797,123765880,,15600284,,113594.0,413.0,,2210312.0,,94091283.0,1401428.0,63629.0,12784775,13493939,,,,37188368.0,79685711,,219650013.0,9579,1395748,1705030,1167266,1098436,,109044,117018,23953,1942571,95884133,971579,237,23708
2013-08-05,2,2013,30120,11252592,1825479,97285734,3147296,4285725,27279278,5586088,-660499,861279,831159,550261,790322,79880,290920,,48016,172145,10955686,55970,,,9410502,1462576,10389279,0.0,,560018.0,,251492,613494,59137366,13493939,2013年06月30日,67572127,,,178352968,178314988,7794085,24641182,56857846,141101773,,15480905,,113661.0,379.0,,5072425.0,,107225081.0,1721390.0,61170.0,16114200,13494088,,,,59000406.0,68251635,,237353374.0,8621,2011326,1606201,1352238,1758540,,102408,118775,37980,2142560,96251601,810433,149,14859
2013-11-04,3,2013,37087,11187612,1797297,105714035,3153172,4202699,15263714,4473886,-2472422,1279429,1242342,609465,806861,104161,270768,,47317,154038,12938160,55970,,,10552376,1967926,11059054,0.0,,561923.0,,391931,491490,58907116,13494088,2013年09月30日,76000428,,,185099473,185056690,7794085,24641182,50970132,143292712,,15332039,,113636.0,355.0,,5072425.0,,107616875.0,2143614.0,66708.0,19760220,13494667,,,,53095377.0,68376380,,238194850.0,2853,1916133,1141050,1318384,1571712,,93460,116730,42783,2125245,94902138,953692,579,57945
2014-03-21,4,2013,29950,11312107,2061563,114294875,3426121,4487354,16835299,3652885,-895749,1375797,1345847,459984,848763,108121,256088,,47754,137593,9346792,55970,,,8862146,2082028,7627591,0.0,,606033.0,,549573,341937,59669761,13494667,2013年12月31日,84581268,,,195353399,195315206,7794085,24641182,61384592,161740929,,15509193,,113678.0,364.0,,5072425.0,,132997726.0,3151805.0,30226.0,29051500,13497140,,,,63283463.0,68474910,,258636862.0,26017,2132090,1478707,1050108,1778859,,86855,118495,38193,1898871,96895933,1404263,2473,247293
2014-04-30,1,2014,32036,14770255,2884943,124442241,3650008,4255419,20936214,4318985,192154,1299960,1267924,700721,882618,129334,266929,,64653,150006,16649438,55970,,0.0,15584856,1836555,13572139,0.0,,609305.0,,783567,397393,1645672,15708379,2014年03月31日,94728634,,,228398339,228338337,7794085,24641182,68530219,210883898,,60583941,,11709.0,382.0,,5072425.0,166999036.0,,6749315.0,46909.0,22100970,15709889,,,,70144913.0,88050023,,298543252.0,22349,2473160,937883,732076,1916537,,79326,116923,60002,1614694,87659354,1678226,1510,151011
2014-07-31,2,2014,32906,15179733,2715868,113435324,3447913,4205509,48495820,4437674,-2898726,1334787,1301881,811499,942883,132115,260921,,114761,146638,19325997,55970,,0.0,16703540,1735059,12983016,0.0,,627202.0,,520771,387993,1710883,15709889,2014年06月30日,85146888,,,214316954,214280344,7794085,27392687,107750500,236391886,,59487766,,310616.0,937.0,,895749.0,190138131.0,,5364568.0,42211.0,34045588,15710215,,,,109539956.0,88089501,,323856910.0,71138,2013764,897128,846573,2618286,,68805,114283,36610,1789456,87465024,2360294,326,32639
2014-11-06,3,2014,35002,16736187,3422408,126734564,6474655,4560665,29798732,5359364,557333,1510476,1475474,1314836,945442,136937,435807,,117331,318909,24463919,55970,,0.0,20604954,701908,15418455,0.0,,630302.0,,433281,123136,1903406,15710215,2014年09月30日,98446128,,,230979290,230850401,7794085,27392687,102383103,243526329,,59259332,,326149.0,924.0,,895749.0,185070345.0,,6249519.0,44528.0,43453914,15714455,,,,104103722.0,87900019,,335083012.0,63600,2416799,2168555,775177,2946263,,60872,116898,128889,1720619,91556683,2203998,4240,424023
2015-03-19,4,2014,38062,23294555,3782384,136855169,7575242,4894091,32766959,5296078,6606113,714144,676082,776062,1263435,146876,314312,,121643,194392,22341336,55970,,0.0,13927964,677196,12552399,0.0,,940996.0,,288378,127787,2154613,15714455,2014年12月31日,108566733,,,247605747,247168148,7794085,27392687,101619838,248554935,,60757826,,1086146.0,946.0,,895749.0,192797506.0,,7322589.0,47323.0,46160593,15714922,,,,103512924.0,88047914,,351118671.0,50393,3547217,4040793,629651,3196429,,53920,119920,437599,1893086,102563736,2247248,467,46700
2015-04-30,1,2015,41606,27334036,3715411,144080790,6378300,6047368,29317638,3069152,5268545,552055,510449,903049,1249707,135347,337883,,119698,185306,28084741,55970,,0.0,19117651,532322,13346717,0.0,,,,282609,879935,2221197,15714922,2015年03月31日,115792354,7699862.0,23861.0,253620025,253142264,7794085,27392687,108158259,252763449,954626.0,63006716,493259.0,,,210401.0,895749.0,,196143151.0,,,50933722,15715763,,363833599.0,110213574.0,,88133136,363833599.0,,5009,1654357,4161243,805608,3155960,,40036,152577,477761,2055315,111070150,2384253,841,84103
2015-07-31,2,2015,45052,28299971,3695796,115856316,5522326,7908335,63786495,3183007,4874709,1032185,987133,941954,1232880,137696,346823,,118702,196473,33653896,55970,,0.0,18102087,703913,12250444,,,,,354724,1304738,2363381,15715763,2015年06月30日,83823840,2573237.0,278640.0,225437834,224582201,7794085,32032476,143693944,256141174,950073.0,63907154,754466.0,,,210379.0,0.0,,195824210.0,,,57490882,15715818,,371355496.0,145917662.0,,88191328,371355496.0,,5145,668505,4285966,990838,2891779,,26409,150350,855633,2223718,115214322,2709002,55,5533
