date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,,521106,96083,6428732,2540994,,114095,120669,256653,7067873,,57244,357566,572456,25483638,0.0,,,1249515,41934,2723810,16254,159366.0,99836,106308,11598035,23199,16565158,2013年03月31日,2777370,,,23776584,23260950,0,2679717,16461706,32244395,15549,,971645,,3678681.0,68859.0,442.0,5020000,16565158,,,21351877.0,10407,,45128461.0,8542,57638,4524063,515634,4890171,12884066,156583,,0
2013-08-12,2,2013,,547783,77641,5715462,2551577,,1785634,11296,292665,7083788,261405.0,52337,360772,1353176,24271504,0.0,,,1167642,59674,2645519,6653,76915.0,89839,70021,11580867,26983,16565158,2013年06月30日,2040347,,,23534000,22583692,0,2848430,16958020,31783626,15046,145765.0,826685,,4457368.0,2195.0,460.0,4130000,16565158,,,21911628.0,10407,,45445628.0,8542,60506,4584294,950308,4953608,13662002,133459,6822383.0,0
2013-11-06,3,2013,,627712,69665,5960907,2699413,,402116,9854,371390,7203757,19930.0,66222,370170,3017915,24615679,0.0,,,901672,125657,3136600,6420,62835.0,165706,73161,11501890,28825,16565158,2013年09月30日,2285792,,,23828377,22907862,0,2848430,17352977,31859554,18230,106934.0,826685,,3972347.0,5762.0,472.0,5508158,16565158,,,23361847.0,10407,,47190224.0,8542,66433,5630158,920515,6008870,15330670,149766,7183827.0,0
2014-03-14,4,2013,,723974,69665,6080804,3001031,105109.0,452287,10098,807410,8154282,31628.0,70128,423675,2927001,26628106,0.0,,,1086573,74017,3173918,2121,108793.0,165179,51035,11633191,31998,16565158,2013年12月31日,2405689,,,24387183,23463779,0,2848430,19603821,34781572,17243,28034.0,826685,,4629950.0,11830.0,192.0,6540000,16565158,,,25972427.0,10407,,50359610.0,8542,69857,5936389,923404,6368606,15578038,197819,8122654.0,0
2014-04-22,1,2014,,793063,69665,5996102,2756612,107017.0,242110,5219,551738,8457245,,95520,426986,4211319,27619808,0.0,0.0,,986241,251266,4297017,6490,0.0,145294,59867,11691926,39862,16565158,2014年03月31日,2320987,,,24008537,23123405,0,2848430,20559236,35034613,23405,,826685,4072931.0,,12867.0,51.0,6306000,16565158,,,28040274.0,10407,,52048811.0,8542,77941,7045510,885132,7481038,17014198,279311,,0
2014-08-12,2,2014,,837527,68596,4696532,2893498,1104465.0,1952742,87134,638867,8784854,28129.0,64979,397619,3263360,29362023,0.0,0.0,,1130627,49782,4052586,13349,61815.0,169451,54424,11722877,42108,16565158,2014年06月30日,1175139,,,22764634,21910964,0,3017204,23106312,37139304,20540,,504189,4218527.0,,24557.0,87.0,7036000,16565158,,,31518967.0,10407,,54283601.0,8542,84824,8006494,853670,8412655,17144297,289181,8756725.0,0
2014-11-11,3,2014,,813439,68596,5147129,2914528,1392789.0,354207,12128,1141784,9048759,91305.0,67133,395558,3252751,31902647,0.0,0.0,,303963,64699,5244672,24598,0.0,182827,75193,11743380,43422,16565158,2014年09月30日,1625736,,,23736244,22864478,0,3017204,22313774,38784552,18916,,504189,3329185.0,,6876.0,111.0,7266000,16565158,,,32470252.0,10407,,56206496.0,8542,88651,9752378,871766,10156478,17421944,300800,8957454.0,0
2015-03-18,4,2014,,941906,58021,7377604,2779393,1164059.0,380077,130318,839035,9290446,49210.0,83893,376933,3194965,33134769,0.0,0.0,,205300,255735,4804626,15554,0.0,115789,87278,11983433,39652,16565158,2014年12月31日,3856210,,,25693341,24792204,0,3017205,21350989,39642732,20342,,504189,2998223.0,,26251.0,397.0,6373000,16565158,,,31446002.0,10407,,57139343.0,8542,94233,9709538,901137,10095013,17496611,312672,9241236.0,0
2015-04-27,1,2015,,1111523,58021,8886875,2945368,1179074.0,356346,17403,1032335,8300485,35844.0,73645,317608,3304552,33545428,,0.0,,539871,449872,4472315,15446,0.0,103654,79995,12266540,39538,16565158,2015年03月31日,5365481,2772.0,148.0,27351903,26494775,0,3017205,21047107,40653460,23403,,504189,,3523489.0,,,6910000,16565158,58731297.0,31379394.0,,10407,58731297.0,,8542,95186,10006137,857128,10332287,18077837,364330,8264641.0,0
2015-08-11,2,2015,,1105471,58021,7565048,3005655,1194925.0,2013601,15661,1169196,8193445,35714.0,63011,331066,3370722,33867217,,0.0,,508948,302870,3944814,18583,0.0,145436,79299,12320220,34369,16565158,2015年06月30日,3748323,106914.0,157.0,26146131,25309809,0,3312536,22689175,40938997,22156,,504189,,3357840.0,,,7600000,16565158,59147013.0,33000882.0,,10407,59147013.0,,8542,102132,9972099,836322,10311707,18208016,404721,8157731.0,0
2015-11-05,3,2015,,1076306,58021,7574016,2506571,1403929.0,343152,16980,622707,8459031,31561.0,68051,333026,3638933,34999917,,0.0,3000000.0,441202,221178,5322125,21920,0.0,168770,46784,12764599,33194,16565158,2015年09月30日,3757291,107277.0,132.0,25617263,24772288,0,3312536,23467510,41226734,32031,,504189,,2971917.0,,,8551625,16565158,60344139.0,34726876.0,,10407,60344139.0,,8542,110392,7917798,844975,11259366,19117405,447612,8427470.0,0
2016-03-17,4,2015,1170464.0,1168913,58021,8046960,2581852,2054584.0,464611,22378,640465,9690731,37072.0,104693,343475,3661994,34813207,,0.0,3000000.0,705495,239686,3287754,10802,0.0,156981,32534,13149435,34633,16565158,2015年12月31日,4230235,107115.0,141.0,26059107,25262990,0,3312536,24109194,41645933,39214,,504189,,3496080.0,,,9603000,16565158,61933275.0,35874168.0,,10407,61933275.0,,8542,120548,8412957,796117,11764974,20287342,438067,8483195.0,0
2016-04-25,1,2016,1161897.0,1172515,58021,8313480,2149685,2045553.0,548420,11868,175943,9396699,55010.0,94795,303561,3196366,36034002,,0.0,3000000.0,1104636,156398,4961257,32255,,161443,25579,13851817,28661,16565158,2016年03月31日,4496755,5580.0,201.0,25838417,25064988,0,3312536,24679245,41361616,36976,,504189,,2327127.0,,,8474000,16565158,61947103.0,36108686.0,,10407,61947103.0,,8542,195578,8117338,773429,11429441,20585487,556916,8179792.0,0
2016-08-11,2,2016,1152311.0,1166809,58021,9318596,1951724,2134005.0,306258,19069,22133,8755993,31326.0,80793,327514,3135967,34478770,,0.0,3000000.0,909061,209549,4240099,24574,38669.0,164022,55392,13824905,25663,16565158,2016年06月30日,5269166,213384.0,80.0,26628896,25916294,0,3545241,19394587,39357678,36357,,504189,,1997334.0,,,4697000,16565158,60010838.0,33381942.0,,10407,60010838.0,,8542,271433,10651299,712602,13987355,20653160,610494,7572356.0,0
2016-11-09,3,2016,2857278.0,1165804,212199,9971765,2236118,1874670.0,5293485,20686,-16096,10150449,64283.0,71932,331431,3140883,33476279,,0.0,3000000.0,1369379,218792,3020771,32123,,253763,82429,13845312,22403,11595611,2016年09月30日,5922335,216643.0,32.0,22227024,21561687,0,3545241,24915642,38075031,33040,,504189,,1350024.0,,,4614000,11595611,58713833.0,36486809.0,,10407,58713833.0,,8542,344491,8231194,665337,11571167,20638802,583768,7228888.0,0
