date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,26006.0,10728223,67465,67465,4092419,1669365,1398636,67743,-229272,-93497.0,118516,92510,598476,42524.0,1876481,8320,360099,57888,57888,-135775,,4111975,4111975,0.0,,,2058876,1109.0,,270729.0,2356302,89994,1868161.0,254796,326199.0,326199,5353226,2013年03月31日,1484097,,,11145843,9258279,0,1766731,6583455,9062049,,357603,841591.0,,1728979.0,378692.0,108580.0,2356897,5353226,,,10309859.0,41906,,21455702.0,432486,299268,1417437,259687,1887564,3726404,12393653,0
2013-08-12,2,2013,18689.0,10675698,67618,67618,3287465,2765749,1588039,322644,-226568,-93497.0,81731,63042,498814,36547.0,1911143,7159,392639,86835,86835,-133071,,3807133,3807133,,214129.0,,2018241,0.0,,1177710.0,2304006,116265,1903984.0,253093,,337379,5353226,2013年06月30日,294784,,,10102930,8667539,0,1934626,6978848,8191113,,354060,1058055.0,,1124010.0,387746.0,18241.0,1725381,5567355,,,10490578.0,39287,,20593508.0,432166,321908,1168421,269257,1435391,3511730,12402395,0
2013-11-11,3,2013,469365.0,10221419,66711,66711,3846059,1700895,1700895,255719,-275325,,523900,54535,489861,,1885958,7029,377957,80634,80634,-275325,33637.0,3785025,3785025,,,,2054139,0.0,,,2439862,97728,1878929.0,244227,,358444,5567355,2013年09月30日,853378,,,10722089,9177376,0,1934626,7495374,8675986,,351607,1058055.0,,1574198.0,474362.0,33593.0,2742078,5567355,,,9890758.0,39287,,20612847.0,403939,316496,105487,263686,1544713,2395384,11936861,0
2014-03-17,4,2013,417830.0,10254360,59071,59071,4315540,2020888,2020888,338719,-176916,,505303,87473,646960,35821.0,2054430,7080,383989,82570,82570,-176916,,4044507,4044507,,,,2301652,529.0,,,2695723,104553,2047350.0,241405,,374137,5567355,2013年12月31日,1322859,,,11270909,9745266,0,1934626,7444858,9431866,,353556,1058055.0,,1582742.0,382096.0,18662.0,2234390,5567355,,,10225601.0,39287,,21496510.0,637813,398126,88500,265598,1525643,2780743,12064644,0
2014-05-13,1,2014,414433.0,10435567,59924,59924,4971339,1971898,1767157,400021,22846,,516390,101957,605117,,2108255,6559,402471,97491,97491,22846,36483.0,4753631,4753631,,,0.0,2647615,568.0,,204741.0,2703289,154278,2101696.0,238041,364141.0,364141,5567355,2014年03月31日,1978658,,,12000217,10600827,0,1934626,7549852,10159821,,354929,1058055.0,1506126.0,,381964.0,37359.0,2031417,5567355,,,10387955.0,39287,,22388172.0,686521,373278,43327,268497,1399390,2838103,12228351,0
2014-08-12,2,2014,743.0,10478256,59148,59148,2929371,3787452,1950225,401714,-151499,,67586,66843,618796,,2111451,4585,400990,99808,99808,-151499,40448.0,4382418,4382418,,222694.0,0.0,2696273,0.0,,1837227.0,2730452,251053,2106866.0,226916,314505.0,314505,5567355,2014年06月30日,685543,,,9935352,8607208,0,2066912,9587196,10052923,,355165,176916.0,1598175.0,,660199.0,70315.0,2375686,5790049,,,12348731.0,39287,,22284083.0,650084,396180,0,260734,1328144,2761535,12231160,0
2014-11-10,3,2014,0.0,10811901,59859,59859,3803360,2278990,2278990,414226,-3994,,69684,69684,669747,,2163332,4646,347869,41381,41381,-3994,43614.0,4757027,4757027,,,0.0,2980886,,,,2878470,312433,2158686.0,224397,,339695,5790049,2014年09月30日,1559532,,,11077575,9628702,0,2066912,8031524,10977991,,356807,176916.0,1828755.0,,242533.0,117333.0,2459431,5790049,,,12462668.0,39287,,23540243.0,812675,421724,1455137,262874,1448873,4431144,12562252,0
2015-03-20,4,2014,0.0,11480185,61436,61436,4638696,2773900,2773900,414594,384965,,87787,87787,696304,20485.0,2346258,33494,330671,38154,38154,384965,,5232683,5232683,,,0.0,3100873,,,,3387792,335797,2312764.0,227402,,366197,5790049,2014年12月31日,2394868,,,12423595,10852997,0,2066912,8223027,12106455,,361084,176916.0,1891230.0,,282379.0,148055.0,1978088,5790049,,,12973143.0,39287,,25396738.0,1044338,463308,1359520,272032,1570598,4750116,13290283,0
2015-05-11,1,2015,0.0,11559568,60988,60988,5476637,2202648,1900235,462051,275447,,82647,82647,782768,4968.0,2359534,23584,308244,39402,39402,275447,,5559838,5559838,,,0.0,3237635,,,302413.0,3120320,133139,,217384,383403.0,383403,5790049,2015年03月31日,3232809,431412.0,128718.0,12914468,11581420,0,2066912,8098943,12540473,2335950.0,364553,176916.0,,2353639.0,,,2144601,5790049,25856410.0,12941942.0,,39287,25856410.0,,921735,421797,1561730,263874,1333048,4842999,13315937,0
2015-08-10,2,2015,0.0,11888210,60423,60423,4136662,4316552,2171214,538437,127989,,60512,60512,822733,4661.0,2384454,25763,296998,33744,33744,127989,,4870314,4870314,,173702.0,0.0,3102253,,,2145338.0,2695417,136954,,208534,400232.0,400232,5790049,2015年06月30日,1830263,415218.0,195171.0,11812713,10298888,0,2306399,8861036,11432240,2358691.0,374862,0.0,,2173214.0,,,966501,5963751,24972638.0,13159925.0,,70486,24972638.0,,1007481,311139,906954,258593,1513825,4298889,13540398,0
2015-11-12,3,2015,,12858281,63000,63000,5390766,2629157,2629157,607061,690032,,53646,53646,832920,4897.0,2453278,28924,300165,32658,32658,690032,,5096376,5096376,,,0.0,3372612,,340175.0,,3602338,208500,,207229,,589915,5963751,2015年09月30日,3084367,351320.0,185497.0,13807656,12110515,0,2306399,8501789,12951425,2424354.0,401807,0.0,,2418733.0,,,1754879,5963751,27697349.0,13889693.0,,65966,27697349.0,,1308766,325527,1625860,262610,1697141,5387904,14745924,0
