date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1036841,,687316,-35235,34780,83275,92908,-49247,,105850,46921,91514,56390,-14012,938252,29900.0,,,169626,180000,45567,390949,12055,,,964152,2013年03月31日,451019,,1848201,1848192,1658000,231144,1278379,2417100,,25615,5153,,785024.0,128200.0,565861,964152,,,1845698.0,275871,677,,275194,,3693899.0,,150991,67805,123173,408000,9,567319,1276799,0
2013-08-12,2,2013,1025123,,699181,-28957,45083,129291,22060,-23846,0.0,87092,44773,92400,64985,5111,940592,29900.0,,,192241,100000,58353,454943,10893,,,964152,2013年06月30日,440528,,1885466,1885458,1658000,238653,1314397,2496736,,29442,20000,,899432.0,40775.0,706645,964152,,,1898897.0,275871,677,,275194,,3784363.0,,124043,84100,122994,408000,8,584500,1287627,0
2013-11-13,3,2013,1013904,,764498,-25605,63397,87626,16335,-29538,0.0,164104,43618,91537,72457,-3933,946144,29900.0,,,222581,180000,38656,467145,15320,,,964152,2013年09月30日,505845,,1945071,1945083,1658000,238653,1449948,2556952,,27085,20000,,994438.0,50810.0,706171,964152,,,1910854.0,275871,677,,275194,,3855925.0,,73952,87369,122130,282000,-12,460906,1298973,0
2014-03-26,4,2013,1015830,,819782,-18195,71440,110883,16838,-14867,0.0,18342,32603,94449,70683,3328,936836,29900.0,,,241971,140000,48645,504888,14687,94449.0,,964152,2013年12月31日,561129,,2015031,2015038,1658000,238653,1341414,2661601,,19032,20000,,886068.0,77313.0,704260,964152,,,1953154.0,275871,677,,275194,,3968185.0,,269681,91291,129599,426000,-7,611740,1306584,0
2014-05-09,1,2014,1017856,,905837,-13547,101441,96575,14861,21058,0.0,16415,37004,94641,70385,34605,935911,29900.0,,0.0,236912,140000,34225,506913,16431,94641.0,,964152,2014年03月31日,647184,,2137009,2137018,1658000,238653,1324234,2748580,,17008,20000,1007742.0,,90902.0,709205,964152,,,1946637.0,275871,677,,275194,,4083646.0,,229718,101762,128376,426000,-9,622403,1335066,0
2014-08-11,2,2014,1001622,,808494,12578,127566,255032,17857,23073,0.0,12542,43845,94833,63054,10495,1032822,29900.0,,0.0,290117,170000,42902,512065,6200,94833.0,,964152,2014年06月30日,534946,,2041681,2041690,1658000,258681,1525172,2822502,,15260,14867,948674.0,,79799.0,674520,964152,,,2137605.0,275871,677,,275194,,4179286.0,260.0,261039,91600,149282,426000,-9,612433,1356784,0
2014-11-12,3,2014,1003235,12210.0,847092,8859,123847,111652,20967,27699,0.0,23547,47171,95025,56563,18840,1057614,29900.0,,0.0,251027,210000,30622,519718,17457,95025.0,,964152,2014年09月30日,573544,,2084904,2084914,1658000,258681,1442230,2821294,,13851,14867,1007728.0,,62522.0,752860,964152,,,2099343.0,275871,677,,275194,,4184247.0,0.0,150639,97088,153247,465000,-10,657113,1362953,0
2015-03-20,4,2014,1004110,,903481,95002,281605,129642,21748,142990,0.0,37827,38603,97799,62039,47988,1041849,29900.0,,0.0,262089,160000,22030,545737,23252,97799.0,,964152,2014年12月31日,629933,,2256583,2256594,1658000,258681,1487299,2866237,,26078,14867,1027229.0,,68913.0,806798,964152,,,2139839.0,275871,677,0.0,275194,,4396422.0,,167819,107741,156353,447000,-11,652540,1530185,0
2015-05-09,1,2015,980799,,915620,38448,226803,111232,17789,84460,0.0,41258,50101,97991,73449,46012,1092935,0.0,,0.0,225453,160000,32412,502302,17187,,,947572,2015年03月31日,642072,73952.0,2218769,2218780,0,258681,1452010,2862802,97991.0,18543,14867,,911244.0,,807703,947572,4320596.0,2101827.0,,271128,666,0.0,270462,4320596.0,,,271244,104826,158200,447000,-11,649817,1457794,0
2015-08-07,2,2015,970021,,894718,10521,260317,153241,22709,42034,0.0,53751,55376,98163,69886,31513,1076516,0.0,,0.0,244512,160000,34933,571458,14859,,,947572,2015年06月30日,608086,63296.0,2155442,2155452,0,281479,1516115,2830215,98163.0,17265,5153,,813086.0,,806382,947572,4303880.0,2148438.0,,271128,666,0.0,270462,4303880.0,,0.0,276211,105160,156176,429000,-10,632323,1473665,0
