date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,0.0,11304625.0,11304625,53857274,,-240687868,,90852,,,66079947,2493644,204946,-10799,13963846,2659221,1179658,1312677,196833,2979083,713622,16767390,347533,,,,1793341,622413,295697.0,5658007,290.0,820147.0,5785008,239590181,2013年03月31日,,2483163,2339095,6869820,,83159547,28832806,,,,,,2528871.0,700000,239590181,,,92324294.0,3795114,,,,,,,,,94807457.0,0.0,9945,3262434,7842125,295697,2265461,2265461,144068,9164747,65974651,,0
2013-08-07,2,2013,0.0,10974917.0,10974917,54952775,,-239016344,,108441,,,67941580,2408053,213220,6731,13424719,2449802,987517,1334838,211374,2740078,524970,13346431,347533,,,,1840117,1081427,293859.0,7352237,0.0,829605.0,8180589,239604731,2013年06月30日,,4009583,3849319,6869820,,84839543,28992784,,,,,,4685326.0,551700,239606194,,,94229791.0,3600271,,,,,,,,,98239374.0,0.0,12160,3264707,8043250,293859,2215108,2215108,160264,9390248,69246590,1463.0,266000
2013-11-12,3,2013,0.0,7625833.0,7625833,54249154,,-237038788,,105533,,,70134520,2275413,205342,1394,9750344,2124511,970067,1367507,250842,2514116,350691,11082064,347533,,,,1369356,673804,291995.0,6062034,207.0,824670.0,10009727,239608511,2013年09月30日,,5994650,5836488,6869820,,82018024,23645271,,,,,,3050144.0,90000,239608511,,,87782728.0,3612904,,,,,,,,,93777378.0,0.0,947,3253577,4396250,291995,2163425,2163425,158162,5764704,70132107,,0
2014-03-14,4,2013,0.0,7294000.0,7294000,52798680,,-233081650,,103317,,,66314804,2096513,218339,-2334,9350323,2056323,1373303,1232106,122244,2137976,27599,7716658,347533,,,,1219248,718018,290102.0,6632853,12797.0,819760.0,12852246,239608511,2013年12月31日,,10005137,9873778,6869820,,77692393,22045965,,137532.0,,,,3995502.0,90000,239608511,,,83321682.0,3696784,,,,,,,,,93326819.0,0.0,183,3251103,4397000,290102,2110377,2110377,131359,5629289,71280854,,0
2014-05-09,1,2014,0.0,7293250.0,7293250,49543429,,-226978068,,100962,,,59491132,1987970,223469,2662,9863548,2570298,1061545,1506439,398154,2090987,35058,6542281,347533,1700000.0,,0.0,1058640,275156,288182.0,5454458,33393.0,820103.0,15874551,239610081,2014年03月31日,,16069173,16005339,6869820,,70778476,24112202,,507185.0,,,7109086.0,,90000,239610081,,,79411351.0,3718197,,,,,,,,,95480524.0,0.0,186,3251208,7126250,288182,2055929,2055929,63834,8632875,71368322,,0
2014-08-08,2,2014,0.0,7495500.0,7495500,48633769,,-5245662,,148189,0.0,,54720921,1889968,230539,44190,10387832,2892332,1000206,1767797,662414,2225695,225652,5879742,347533,1700000.0,0.0,0.0,961817,157996,286234.0,5665508,22257.0,819149.0,20783746,23961008,2014年06月30日,,24400879,24335333,686982,,66229166,23809972,,473057.0,,,7421752.0,,600,23970573,,,74924645.0,5913765,,,,,,,,,99325524.0,0.0,182,3251096,6927500,286234,2000043,2000043,65546,8695479,75515552,9565.0,173900
2014-11-10,3,2014,0.0,3897750.0,3897750,51602537,,2210125,,135586,0.0,,46954445,1918467,236073,24167,6461883,2564133,1026492,1273137,311216,2279000,336318,5135431,347533,,0.0,0.0,1062078,205908,284256.0,5825524,99307.0,677665.0,23555371,23983358,2014年09月30日,,32313856,32260045,687558,,54684314,18408127,,438929.0,,,4166833.0,,0,24546778,,,66486387.0,5826508,,,,,,,,,98800243.0,0.0,186,2380693,10528750,284256,1942682,1942682,53811,11802073,80392116,563420.0,10244000
2015-03-12,4,2014,0.0,3900000.0,3900000,51175927,,10778122,,115366,0.0,,41099884,1660987,248012,5939,6870922,2970922,891640,1255663,298419,2270017,386211,5148407,347533,,0.0,0.0,1075345,133595,282250.0,6025292,19825.0,674994.0,28347485,24095278,2014年12月31日,,41638912,41563307,687559,,49179746,21262018,,537136.0,,,7267855.0,,0,24748843,,,62915685.0,6377936,,,,,,,,,104554597.0,0.0,276,846648,12480000,282250,1883806,1883806,75605,13735939,83292579,653565.0,11883000
2015-05-11,1,2015,0.0,750000.0,750000,50914799,,17106607,,142095,0.0,,36601290,1645488,241006,21330,2886862,2136862,820490,1190744,277208,2213708,390332,5179350,347533,0.0,0.0,0.0,1290011,196385,280214.0,6056484,78.0,,30128423,24266978,2015年03月31日,,48371653,48287090,687558,,44576548,21371486,633322.0,503376.0,,,,7428590.0,3602000,24342383,106120469.0,57748816.0,,7164303,,,,,,,,106120469.0,,0.0,274,846582,11981250,280214,1823376,1823376,84563,13172268,84748983,75405.0,1371000
2015-08-10,2,2015,,550000.0,550000,51033685,,16507613,,112596,,7457414.0,32686029,1520958,247407,-14063,645242,95242,1432925,1175668,264614,2173306,411956,5463715,347533,0.0,,0.0,1969492,159568,,5913910,0.0,,31212185,24284008,2015年06月30日,15429801.0,47740937,47645851,687558,1077812.0,46519745,21767467,632907.0,473369.0,,,,7188552.0,3602000,24293083,107619121.0,59878184.0,,7206751,,,,,,,,107619121.0,,,271,846513,12182500,278147,1761350,1761350,95086,13358439,85851654,9075.0,165000
