date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,741198,2150640,223893,1670070,1062416,633937,,85730,165498,1333010,591812,247799,370880,5545,241728,241728,201593,1542917,155236,,813864,,1150989,163742.0,247273,1808788,5969099,2013年03月31日,-947340,,10120805,8587195,8474996,2426181,2625217,8481915,,408201,,14520.0,191229,,,4363141.0,133493.0,,328443,5969099,,16407,,4168404.0,937764,,14289209.0,14403,92834,1172307,,1533610,1543187,5807294,,,0
2013-08-14,2,2013,,653056,2184945,249022,1760353,1288146,1114492,,130180,228921,1529631,876575,305138,390196,5395,268531,268531,221302,1290902,155236,,919886,,1710615,163499.0,301865,1171719,5969099,2013年06月30日,-180088,,10315057,8766151,8474996,1909685,2728063,8981703,,395019,,14520.0,30756,,,4202550.0,25469.0,25651.0,236309,5969099,,16768,,4409436.0,963014,,14724493.0,14001,57197,1291177,,1548906,1681373,5742790,,,0
2013-11-13,3,2013,590556.0,590556,2160199,256788,1797908,1131315,1046158,,63338,156801,1420110,733590,275528,467298,889,559912,559912,223014,1080860,155236,,757932,0.0,1760354,163097.0,293150,1193002,5969099,2013年09月30日,-142533,,10320159,8722730,8474996,1909685,2443724,8388728,,361179,,14520.0,30756,,,4047619.0,41916.0,,206034,5969099,,17732,,3995173.0,954158,,14315332.0,15194,56216,1084151,80298.0,1597429,1551449,5926604,95964.0,95964.0,0
2014-03-24,4,2013,,938447,2154641,311448,1813177,1150505,1018727,,94128,199670,1645796,704035,232700,421807,889,597509,597509,223573,922217,155236,,823034,,1536101,116289.0,293069,1161455,5969099,2013年12月31日,-127263,,10365512,8776889,8474996,1909685,2709677,8275040,,335098,,0.0,30755,,,4331395.0,51781.0,,165151,5969099,,23915,,3836100.0,950179,,14201612.0,7994,54625,704616,81056.0,1588623,1126423,5926572,3314.0,3314.0,0
2014-05-14,1,2014,,861716,2123072,308432,1821637,1166560,1181764,,161873,430555,1381950,516927,244429,408494,1299,1365029,1365029,210979,1241031,63401,0.0,1015873,,1355492,116054.0,287253,1203367,5919949,2014年03月31日,-118803,,10594934,9021268,3559996,1909685,2636206,7594771,,358435,,14903.0,30755,,3402456.0,,48571.0,,164513,5919949,,25299,,3876269.0,912528,,14471203.0,8027,49080,831569,80162.0,1573666,1240063,6876432,3307.0,3307.0,0
2014-08-13,2,2014,,926634,2181735,248888,2021976,1506078,781649,,237175,234692,1706552,776645,264364,400552,1299,1297355,1297355,205292,1231012,63401,0.0,974564,,1925868,115773.0,276968,1470465,5919949,2014年06月30日,208799,,10528260,9044730,3559996,1790538,3464961,8519142,,326613,,14903.0,22639,78188.0,3326890.0,,17533.0,0.0,744725,5919949,,21587,,4624327.0,931514,,15152587.0,12852,49772,758814,,1483530,1159366,6633445,,3273.0,0
2014-11-14,3,2014,,715657,2235239,249812,2185049,1114127,694553,,114744,225765,1465615,746639,291691,409061,1299,1415193,1415193,212783,1278700,63401,0.0,1000636,,1989764,115485.0,279123,1459508,5919949,2014年09月30日,371872,,10721885,9187271,3559996,1790538,3003649,8363611,,297258,,14903.0,22639,,3541829.0,,13813.0,,497324,5919949,,26261,,4320788.0,919909,,15042673.0,17853,48376,908078,79494.0,1534614,1317139,6679062,3319.0,3319.0,0
2015-03-23,4,2014,,905296,3490672,241005,2223772,984307,731787,0.0,144819,309932,1745666,836995,224616,411266,2319,306037,306037,221747,1347742,63401,0.0,728569,,1729796,105889.0,282663,1409239,5919949,2014年12月31日,410595,,10924940,9326296,3559996,1790538,2826174,8037745,,278188,,14903.0,22639,,3576732.0,,26005.0,,304085,5919949,,21849,,3894522.0,936044,,14819462.0,14830,42126,657082,81311.0,1598644,1068348,6781717,3375.0,3375.0,0
2015-05-14,1,2015,,660369,3453733,260905,2781442,836874,2460389,,468234,294084,1458134,795007,218257,384434,2319,237523,237523,208090,1292726,63401,,881572,,1523886,,274651,413096,5919949,2015年03月31日,968265,41920.0,11442922,9826520,3559996,1790538,2956558,8164433,94407.0,213176,14903.0,,22639,,,3794642.0,,,557144,5919949,15530356.0,17788,4087434.0,,894446,15530356.0,,14911,52450,746442,79618.0,1616402,1130876,7365923,2758.0,2758.0,0
2015-08-12,2,2015,,684988,3501095,331076,2519774,985194,2277796,,457772,135541,1973996,1286276,196738,379114,2319,233885,233885,204649,1426940,63401,,1000627,,1747820,,265530,385556,5919949,2015年06月30日,670345,39954.0,10942232,9406339,3559996,1831596,3772745,8465767,94060.0,220685,15313.0,,17833,,,3613048.0,,,742701,5919949,15727910.0,15467,4785678.0,,894476,15727910.0,,22942,46520,633819,78086.0,1535893,1012933,7262143,2732.0,2732.0,0
