date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款合計,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,1398602,49775,5141905,792920,23870,680007,-53546,-53546.0,293054,293054.0,2034230,137707,1896523,,68576,3476.0,219181,50397,32623.0,35025,1257015,253529.0,,457931.0,1042598,32.0,,23575.0,198501.0,2075467,0.0,32477.0,,1495173,2013年03月31日,3934337,,6714347,6720658,1000000,1137729,2335839,7190241,,68709,25204.0,,69839,,1030609.0,274437.0,29000,1495173,,16456,,2404415.0,390655,,9118762.0,255,0.0,,143180,-6311,68576,1928521,,133759,0
2013-08-09,2,2013,1395458,49775,4377655,485648,23183,1866390,-50760,,242116,,2051274,97673,1953601,,56587,,574254,49487,,34652,1384579,253529.0,,,1121232,,,,,2114842,,,,1495173,2013年06月30日,2986256,,5950029,5959194,1000000,1308172,3384541,7144362,,68334,25204.0,,83227,,1108019.0,109078.0,29000,1495173,,16456,,3441128.0,390655,,9391157.0,269,0.0,,110587,-9165,56587,2246795,,490115,0
2013-11-11,3,2013,1389212,49775,4722191,162260,21809,862961,-56014,,252448,,1544277,109390,1434887,,53417,3484.0,649976,48464,22098.0,37427,1449531,253529.0,,,1026527,,,,,2183384,,27835.0,,1495173,2013年09月30日,3330792,,6286074,6298476,1000000,1308172,2353867,6399386,,64532,25204.0,,83227,,1059930.0,156475.0,39000,1495173,,16456,,2407284.0,390655,,8693358.0,0,4.0,,93464,-12402,53417,2293972,,564085,0
2014-03-24,4,2013,1680306,49775,4779298,160011,23183,598835,-50147,,294914,,1647700,89495,1558205,,53598,1077.0,167751,15992,23048.0,30509,1384206,0.0,,322590.0,926069,,,,276245.0,1843082,,29473.0,260797.0,1485173,2013年12月31日,3387899,,6607924,6600335,0,1308172,2076188,6369325,,78308,25204.0,,83227,,1334326.0,197871.0,45000,1485173,,13457,,2129786.0,386011,,8737710.0,42,0.0,,83061,7589,53598,2368385,,121250,0
2014-04-30,1,2014,2048007,46734,5121455,160202,27133,626256,-36537,-36537.0,269810,,1911772,48283,1863489,,54243,959.0,71385,15281,24178.0,26029,1559506,0.0,,403289.0,1175908,,,,222967.0,2042112,,29106.0,260094.0,1485173,2014年03月31日,3730056,,6961607,6956102,0,1308172,2371871,6751536,,76021,25204.0,,83227,994857.0,,260934.0,25000,1485173,,13457,,2426114.0,386011,,9387721.0,506,,,81607,5505,54243,2636185,83087.0,30075,0
2014-08-06,2,2014,2112817,46734,4507377,238725,54437,1670564,-21515,,250704,,1312750,15027,1297723,,54653,,97877,15543,,25490,1705185,0.0,0.0,,1201251,,,,,2141022,,,259391.0,1485173,2014年06月30日,3011689,,6360441,6357046,0,1445541,3285117,6949439,,75456,25204.0,,50147,1480903.0,,125141.0,24000,1485173,,13457,,3339770.0,386011,,9700211.0,0,107.0,,78856,3395,54653,2750772,70747.0,56844,0
2014-11-07,3,2014,2293655,45734,4919039,0,39582,831697,-27720,,288248,,1388863,65673,1323190,,55251,958.0,100719,24919,25922.0,24620,1643021,0.0,0.0,568033.0,1159166,,,,263664.0,2393762,,28371.0,137851.0,1485173,2014年09月30日,3423351,,6763994,6762503,0,1445541,2399824,6414159,,85105,25204.0,,50147,941469.0,,79314.0,26000,1485173,,13457,,2455075.0,386011,,9219069.0,1942,0.0,,77060,1491,55251,2804910,47044.0,51180,0
2015-03-18,4,2014,2185816,45734,5322880,1001,43103,685615,28190,,253193,,1703756,33908,1669848,,43574,991.0,181326,29297,26655.0,24852,1575521,0.0,0.0,366202.0,1108299,,,,319413.0,2167289,,15928.0,136232.0,1485173,2014年12月31日,3827192,,7221142,7222254,0,1445541,2262560,6781623,,78086,3204.0,,50147,1272283.0,,170919.0,30000,1485173,,13457,,2306134.0,386011,,9527276.0,1077,,,72152,-1112,43574,2745653,61773.0,127177,0
2015-05-08,1,2015,2598209,45734,5701556,3003,6607,747138,18891,18891.0,260276,,1737092,56140,1680952,,44628,979.0,87508,29283,28325.0,23028,1475771,,,455518.0,1043628,,,,291620.0,2285566,,,135995.0,1485173,2015年03月31日,4205868,266655.0,7588800,7591631,0,1445541,2376154,6987238,15324.0,69042,,3204.0,50147,,1424677.0,,45000,1485173,10009582.0,13457,2420782.0,,386011,10009582.0,,0,280.0,,76045,-2831,44628,3022344,60849.0,35197,0
2015-08-10,2,2015,2920546,45734,4945685,333285,5130,1958337,11612,,277136,,1172784,26456,1146328,,44976,972.0,103826,29265,29276.0,22458,1589295,,,521945.0,1203622,,1113880.0,,322512.0,2016173,,,135758.0,1485173,2015年06月30日,3350253,241033.0,6830205,6828481,0,1595432,3728678,7245066,14728.0,61282,,3204.0,0,,2089945.0,,35000,1485173,10603859.0,13457,3773654.0,,386011,10603859.0,,93,0.0,,83313,1724,44976,3358793,43584.0,52103,0
