date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,7263210,4811925,128430,13698.0,488466,771362,545783,21198,301250,2901,,,37344,440863,-107232,2259862,,,,13184874,,,9674,14471150,,9091,237926,2571728,2013年03月31日,3412191,,13138013,9921837,0,784726,15457047,22888318,615008,,5262170.0,846720.0,343167,2571728,,,18229272.0,2516986,,111784,,43157,,2362045,,,31367285.0,,,1379735,48502,1355146,3216176,2772225,8478967,323663,0
2013-08-12,2,2013,7393955,4558651,128430,13698.0,491250,1167377,492203,102967,659820,3870,,,37353,381828,-25463,1859889,,128587.0,,13333348,,,6741,14666590,,9538,256695,2571728,2013年06月30日,2677882,,13099891,9884130,0,887519,16256827,23133152,993250,,5775195.0,854506.0,235035,2700315,,,18640650.0,2522197,,116995,,43157,0.0,2362045,,,31740541.0,,,1341827,83661,1004643,3215761,2383823,8607389,312169,0
2013-10-28,3,2013,7365758,4860170,128430,14290.0,484208,821743,412398,-64411,657264,2962,,,39605,393985,-192841,1915262,,,,11632302,201447.0,,4864,13399959,,12593,310802,2700315,2013年09月30日,2979401,,13319635,10021549,0,887519,14520496,21591207,993250,,5550193.0,898683.0,304193,2700315,,,16902725.0,2525475,,120273,,43157,0.0,2362045,,,30222360.0,,,1358197,76400,984427,3298086,2382229,8631153,283550,0
2014-03-17,4,2013,7529588,5499632,133617,14290.0,493326,995936,489115,-256785,763679,1993,,,50331,413556,-390402,1733533,,,,10595500,203598.0,,6900,11609922,,15226,336251,2700315,2013年12月31日,3618863,,13804886,10471512,0,887519,13873769,20974705,993250,,6797372.0,972055.0,336101,2700315,,,16043419.0,2528350,,123148,,43157,0.0,2362045,,,29848305.0,,,1378815,100879,740504,3333374,2169650,8873600,313254,0
2014-04-29,1,2014,7521502,5605760,133617,14290.0,504248,807359,403343,-53679,775728,3397,,,50229,410318,-187296,1614069,,,,9355382,245938.0,,8104,10771587,,13450,352059,2700315,2014年03月31日,3724991,,14202590,10784024,0,887519,13260342,20675415,993250,7571733.0,,984523.0,1083308,2700315,,,15363628.0,2531628,,126426,,43157,0.0,2362045,,,29566218.0,,,1404104,102676,648953,3418566,2103286,8890803,283546,0
2014-08-11,2,2014,7385653,5257050,133617,14892.0,494319,1380408,351385,-276134,778007,3412,,,50522,428590,-409751,1841070,,108013.0,0.0,9761431,308580.0,,4977,11484587,,23635,367774,2700315,2014年06月30日,3692146,,13706962,10324920,0,1008118,14753288,21510050,556786,7453390.0,,1071923.0,1447962,2808328,,,16579379.0,2535676,,129704,0.0,43157,0.0,2362045,770.0,,30286341.0,,32.0,1389875,99955,385694,3382042,1826091,8776291,337647,0
2014-10-28,3,2014,7568919,5008213,133617,14891.0,510921,1060425,234390,-24813,474094,3065,,,50511,367180,-158430,1912562,,,0.0,10391168,345755.0,,5914,12246935,216.0,26079,412210,2813078,2014年09月30日,3443309,,10422309,10362636,0,1008118,17022339,21165033,556786,6477871.0,,1082310.0,3662673,2813078,,,19706695.0,2566158,15063.0,131025,0.0,43157,0.0,2376913,,,30129004.0,,3460.0,1413517,104741,1220328,59673,2684356,8963971,245564,0
2015-03-13,4,2014,7740204,5376398,16227,15499.0,413886,1107792,88518,421947,48678,2389,,,51541,369511,405720,1808673,,,0.0,9749967,331313.0,,4942,12356362,285.0,27233,419216,2813318,2014年12月31日,3811495,,11243685,11179894,0,1008118,15444935,20967247,556785,6401364.0,,1120145.0,3082098,2813318,,,18773205.0,2568231,15063.0,132347,0.0,43157,0.0,2377664,,,30016890.0,,664.0,1465951,106826,1810778,63791,3328270,9049643,266260,0
2015-04-28,1,2015,7505282,5634081,16227,7153.0,409392,938771,105806,260303,43794,2182056,1527.0,2180529.0,54352,368385,244076,1816576,,,0.0,8381778,276736.0,,5371,10877101,6186.0,70449,435503,2813318,2015年03月31日,4069178,1003392.0,11337169,11276911,0,1008118,13649027,19410254,556785,,4114199.0,,2999185,2813318,28237322.0,16900153.0,,2569209,15063.0,133325,0.0,43157,0.0,2377664,,28237322.0,,,6848.0,1392996,108506,1803778,60258,3251126,8827068,223880,0
2015-08-10,2,2015,7295085,5267093,16227,0.0,403742,1387259,271369,61582,103801,2264520,1648.0,2262872.0,54395,385228,45355,1835338,,140666.0,0.0,7963274,300194.0,,3098,9813829,20980.0,45115,421346,2813318,2015年06月30日,3852800,883170.0,10906269,10851431,0,1114293,12975796,18881572,300000,,4369210.0,,2335000,2953984,27488114.0,16581845.0,,2568772,15063.0,132888,0.0,43157,0.0,2377664,0.0,27488114.0,,,702.0,1373343,101141,2178311,54838,3606049,8606542,260509,0
2015-10-30,3,2015,7501818,5496942,16227,0.0,429551,1018206,100449,945001,108701,2417354,1684.0,2415670.0,54358,391043,928774,2080164,71129.0,,0.0,9100152,275428.0,,3541,11732788,104886.0,46144,429323,2953984,2015年09月30日,4082649,917175.0,11942977,11893570,2585000,1114293,14436903,20312965,300000,,3594947.0,,3013700,2953984,29177440.0,17234463.0,,2568772,15063.0,132888,0.0,43157,0.0,2377664,0.0,29177440.0,,,0.0,1432091,112740,1311111,49407,2797560,8864475,236233,0
2016-03-23,4,2015,7322691,5683657,-48415,0.0,364395,1077344,55723,791013,354752,1516864,149.0,1516715.0,47057,424632,839428,2100196,83953.0,,0.0,9138607,262090.0,,2823,11012098,532910.0,39575,422429,2953984,2015年12月31日,4269364,908651.0,11946359,11914398,3000000,1114293,14329869,20148569,300000,,4515343.0,,2585000,2953984,28784259.0,16837900.0,,2569697,15063.0,132888,0.0,43157,0.0,2378589,0.0,28784259.0,,602.0,627.0,1444307,101543,1016667,31961,2508031,8635690,375233,0
2016-04-29,1,2016,7027457,5892587,-48415,0.0,357437,887272,78709,505648,422256,1209245,910.0,1208335.0,51620,397216,554063,2055338,83953.0,,0.0,7993474,205702.0,200000.0,4689,9188701,563761.0,39698,403545,2953984,2016年03月31日,4478294,891148.0,11864042,11837963,3000000,1114293,13380702,19031882,300000,,5543034.0,,2775000,2953984,27317434.0,15453392.0,,2569697,15063.0,132888,,43157,,2378589,,27317434.0,,1161.0,0.0,1421070,99897,600000,26079,2072690,8285552,353396,0
2016-08-08,2,2016,6930220,5488459,-48415,,358416,1306339,96036,506671,153863,1416492,4600.0,1411892.0,53602,358795,555086,2079041,83953.0,0.0,0.0,7472462,166183.0,200000.0,1987,9017288,502714.0,35210,341516,2953984,2016年06月30日,3984331,788551.0,11458105,11434858,3000000,1204128,13306885,18473915,300000,,4998548.0,,3215000,2953984,26558420.0,15100315.0,,2569697,147951.0,0,0.0,43157,0.0,2378589,0.0,26558420.0,,2500.0,0.0,1389828,95558,350000,23247,1793430,8084505,328586,0
2016-10-28,3,2016,6593421,5668981,-48415,,348415,906094,79211,83827,237023,1188216,78.0,1188138.0,53361,474319,132242,2260005,83953.0,0.0,,8665112,185408.0,,2939,10290294,683208.0,18258,319121,2953984,2016年09月30日,4164853,710275.0,11203055,11192536,3000000,1204128,14766851,19888933,300000,,5041278.0,,4060000,2953984,27719806.0,16516751.0,,2569697,147951.0,0,,43157,,2378589,,27719806.0,,0.0,1110.0,1396539,95597,300000,10519,1749900,7830873,327353,0
