date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付票據,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,在建房地,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待售房地,待註銷股本股數,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,累計減損－以成本衡量之金融資產－非流動,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,223500,43659,32678.0,26610,-2982361,-949529.0,-949529.0,0.0,45725,161531,5139,161531.0,0.0,5639,80332.0,-949769,-183.0,225661,2161,4435,4435.0,0.0,,,151215,,131,,31048.0,-57.0,335817.0,500.0,512235,335817.0,176418.0,42402.0,0.0,,,,,3711,114041.0,114041.0,55664.0,55664,12.0,12.0,0.0,,0.0,5911,144663,9072.0,64079,147060.0,1270729,30552.0,30552,2102,4075000,2013年03月31日,-2984533,161526,161526,0,,1415345,899825,,,2172,,42402.0,9.0,849586,6068.0,4075000,,,,2155705.0,18656,,18377.0,279.0,,,2317231.0,0.0,143448,0,445697.0,445697,1553.0,1553.0,0.0,740360,1417406,0.0,31048.0,,,0
2013-08-12,2,2013,,225000,40898,32678.0,26610,-3019789,-953046.0,-953046.0,0.0,42207,518830,162380,518830.0,0.0,748,125725.0,-953286,-183.0,232286,7286,15830,15830.0,0.0,,,142823,,131,,25115.0,-57.0,885219.0,1833.0,1027516,885219.0,142297.0,,0.0,,,,,777,1158.0,1158.0,16088.0,16088,0.0,0.0,0.0,,0.0,3383,97722,1987.0,37906,137399.0,1260510,30370.0,30370,2198,4075000,2013年06月30日,-3021961,120581,120581,0,,1834665,1418291,,,2172,,82348.0,11.0,903146,6068.0,4075000,,,,2698436.0,18656,,18377.0,279.0,,,2819017.0,0.0,143319,0,577629.0,577629,1393.0,1393.0,0.0,863771,1400726,0.0,25115.0,,,0
2013-11-12,3,2013,,229290,38338,32678.0,26610,-3049192,-954453.0,-954453.0,0.0,40801,140423,112637,140423.0,0.0,525,140628.0,-954693,-183.0,241812,12522,26949,26949.0,0.0,,130148.0,140426,,132,,10564.0,-57.0,905069.0,10235.0,1021074,905069.0,116005.0,,0.0,,,,,21457,0.0,0.0,8700.0,8700,0.0,0.0,0.0,,0.0,2951,81161,71.0,72760,127872.0,1250460,29970.0,29970,2104,4075000,2013年09月30日,-3051364,89771,89771,0,,1442651,1395262,,,2172,,38568.0,11.0,917622,6068.0,4075000,,,,2691802.0,18656,,18377.0,279.0,,,2781573.0,0.0,144103,0,834474.0,964622,215.0,215.0,0.0,1249151,1386311,0.0,10564.0,,,0
2014-03-27,4,2013,,230806,58852,33083.0,26610,-640727,-954128.0,-954128.0,0.0,41035,126252,194371,126252.0,0.0,624,120360.0,-954216,0.0,268818,37951,32938,32938.0,,,126594.0,143054,,131,,33945.0,-88.0,847656.0,11057.0,1045872,947392.0,98480.0,,0.0,,,99736.0,,50200,0.0,0.0,34125.0,34125,0.0,0.0,61.0,134.0,,1230,172049,364.0,68659,130178.0,1217776,32793.0,32793,1685,1630000,2013年12月31日,-642899,56759,56759,0,,1562187,1487877,,,2172,,11822.0,14.0,885653,6473.0,1630000,,2768.0,,2810817.0,21702,,18377.0,3325.0,,,2867576.0,0.0,142921,2502,836061.0,962655,0.0,134.0,0.0,1248630,1379699,0.0,33945.0,,,0
2014-05-13,1,2014,,230999,57227,33083.0,26610,-129306,-958349.0,-958349.0,0.0,36814,105824,19156,105824.0,0.0,618,32461.0,-958437,0.0,288185,57123,51109,51109.0,,,122977.0,138693,,5811,,22384.0,-88.0,984271.0,11057.0,1162222,1084007.0,78215.0,,0.0,,,99736.0,0.0,60652,540.0,540.0,25218.0,25218,0.0,0.0,63.0,116.0,,1211,195103,97.0,3465,125640.0,1910187,32284.0,32284,1880,2130000,2014年03月31日,-131478,1063959,1063959,0,,1398355,1630565,,,2172,161884.0,,11.0,895590,6473.0,2130000,,3190.0,,2639357.0,21702,,18377.0,3325.0,,,3703316.0,0.0,142157,3818,837175.0,960152,0.0,116.0,0.0,1241002,2072751,0.0,22384.0,,,0
2014-08-12,2,2014,,17768,55490,28912.0,26610,-217624,-959287.0,-959287.0,0.0,35876,106516,172359,106516.0,0.0,299,3282.0,-959375,0.0,83029,65196,24981,0.0,24981.0,,119295.0,132171,,59289,,12103.0,-88.0,991090.0,12668.0,1325570,1297352.0,28218.0,,0.0,9097.0,9097.0,99736.0,0.0,3725,0.0,0.0,7071.0,7071,0.0,0.0,65.0,100.0,,1,193824,243.0,15277,117711.0,1905722,25761.0,25761,1692,2130000,2014年06月30日,-219796,974703,974703,0,,473117,1725843,,,2172,141145.0,,21.0,95376,2302.0,2130000,,5041.0,,2864213.0,21702,,18377.0,3325.0,,,3838916.0,0.0,141668,4325,1997962.0,2117257,0.0,100.0,0.0,2391096,2113073,206526.0,12103.0,,,0
2014-11-12,3,2014,145148.0,145148,181549,,26610,-1197337,,,,12018,119111,170333,,,4648,,-15,,224458,10970,17668,4417.0,13251.0,16000.0,,114678,12750.0,17221,1221.0,,,,,1870379,1867154.0,3225.0,,,,8300.0,,0.0,3058,,0.0,,42715,,,,,,0,277456,52.0,3465,100516.0,1785600,,26471,1412,2130000,2014年09月30日,-1199509,954350,954350,0,,1584674,2216233,,,2172,34265.0,,,1024999,,2130000,,,,3313854.0,21702,21702.0,,,,,4268204.0,,141773,2502,,1472729,,0.0,,1729180,2051971,,,68340.0,68340.0,0
2015-03-23,4,2014,141594.0,141594,170493,,26610,-1202838,,,,31960,90229,147227,,,978,,19927,,277274,57582,25426,12028.0,13398.0,16018.0,,102006,12695.0,17239,1221.0,,,,,1886556,1883751.0,2805.0,,,,8300.0,,0.0,10791,,0.0,,19041,,,,,,33,266346,40.0,3465,87626.0,1785000,,26213,1685,2130000,2014年12月31日,-1205010,968791,968791,0,,1568094,2196852,,,2172,5708.0,,,1023532,,2130000,,,,3289117.0,21702,21702.0,,,,,4257908.0,,141648,3541,,1477369,,0.0,,1721023,2061056,,,78098.0,78098.0,0
2015-05-11,1,2015,150900.0,150900,163342,,26610,-1224989,,,,33713,85952,35843,,,767,,21545,21545.0,343035,104651,39557,14458.0,25099.0,15584.0,,87688,658.0,17087,1503.0,,,,,1995703,1993133.0,2570.0,,,,8300.0,,0.0,3282,,,,10359,,,,,,0,223815,0.0,10172,,1785000,,26197,1685,2130000,2015年03月31日,-1227161,949649,949649,0,,1654860,2295373,85345.0,,2172,,17059.0,,1176389,,2130000,4350863.0,,3401214.0,,23093,23093.0,,0.0,,4350863.0,,,141648,3541,,1517018,,,,1746354,2055490,,,,87484.0,0
2015-08-10,2,2015,1620943.0,1620943,154857,,26610,-1246124,,,,66758,89083,138515,89083.0,,813,,54590,,1821006,103690,40781,10379.0,30402.0,0.0,,86913,2068.0,101,101.0,,,,,2065962,2063280.0,2682.0,,,,8300.0,,0.0,1577,,,,7308,,,,,,2,220197,80.0,7556,,1785000,,26048,1685,2130000,2015年06月30日,-1248296,961559,961559,0,,3228573,2354423,83160.0,1355.0,2172,,10732.0,,1171084,,2130000,4418693.0,,3457134.0,,23093,21702.0,,1391.0,,4418693.0,,,141648,3541,,0,,,,228561,2064270,,,,96373.0,0
