date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,96369,705675,204044,208490,-96174.0,,35177,7486.0,91143,39000,91143.0,28144,0.0,-97524,131322,1884,44444,,11100.0,,0.0,23108,60999,803,,-1350.0,17954.0,22395,588073,,,,127306,3119,145694.0,145694,60.0,10333,110.0,110.0,5154.0,876972,313679,2153033,2013年03月31日,172961,,,2518685,2506623,0,,770534,1187354,,11100,35529,,274421.0,8468.0,370176,2153033,,,938356.0,242624,,3457041.0,0.0,60898.0,,89732,,144714,30279,12062,167822,2269687,,,7522,,33069,0
2013-08-09,2,2013,,96576,708959,181773,211602,-79775.0,,32183,0.0,85647,15602,85647.0,7360,41000.0,-66153,139506,5583,48028,,20688.0,,0.0,22959,59737,660,,13622.0,17821.0,22444,567703,,,,90564,2844,192870.0,192870,14.0,10213,,,5138.0,872739,299956,2153033,2013年06月30日,167393,,,2552991,2540386,0,868.0,722390,1205812,,20688,43341,,305657.0,9627.0,378600,2153033,,,885477.0,241904,,3438468.0,0.0,0.0,,88804,,140128,29842,12605,163087,2232656,784.0,784.0,6791,,37347,0
2013-11-13,3,2013,,96588,704506,166423,176887,-78846.0,,33404,0.0,92853,15670,92853.0,10908,0.0,-76242,144789,5984,36456,,11447.0,,133448.0,23591,197670,1451,,2604.0,18652.0,22073,596747,,,,109803,2871,141985.0,141985,96.0,5542,,,4939.0,868882,282881,2153033,2013年09月30日,132678,,,2497857,2483732,0,868.0,709499,1063275,,11447,43341,,237362.0,12814.0,330699,2153033,,,868628.0,230054,,3366485.0,0.0,0.0,,71401,,135538,29311,14125,159129,2303210,775.0,775.0,11387,,42217,0
2014-03-26,4,2013,,111851,708016,128466,233435,-76123.0,,25406,0.0,106508,32725,106508.0,11649,0.0,-68594,164431,7283,42769,,11486.0,,0.0,19919,57852,289,,7529.0,19919.0,22125,608345,,,,99634,3041,154462.0,154462,,6591,,,0.0,864873,429381,2153033,2013年12月31日,189226,,,2598370,2583023,0,868.0,778416,1161674,,11486,43341,,311664.0,7227.0,364850,2153033,,,836776.0,265149,,3435146.0,0.0,0.0,995.0,73398,,37446,29636,15347,58360,2273472,788.0,,2620,3182.0,45297,0
2014-05-13,1,2014,,142808,702786,128466,211896,,,24261,0.0,119506,32775,,8707,,-34572,198123,6707,52299,,,,,20146,55980,299,,,20146.0,22101,648587,0.0,,0.0,128690,5773,,154221,29.0,6551,,0.0,0.0,860942,618742,2153033,2014年03月31日,167687,,,2656519,2640534,0,868.0,975925,1344192,,13299,43341,448751.0,,6832.0,484226,2153033,,,1137631.0,310177,,3794150.0,,0.0,1270.0,69743,140290.0,140290,29322,15985,161706,2449958,786.0,,1059,3199.0,48608,0
2014-08-13,2,2014,,141199,688443,122002,126642,-49610.0,,24483,,208624,32780,208624.0,12716,0.0,-48609,191632,10408,49028,,13653.0,,,19435,56628,341,,1001.0,19435.0,22135,629141,,,0.0,163540,5160,323305.0,323305,9212.0,8025,,,0.0,857011,704950,2153033,2014年06月30日,52092,,,2558827,2543488,0,5956.0,1096742,1292695,,13653,68594,236011.0,,11264.0,483742,2153033,,,1247444.0,312422,,3806271.0,,,1626.0,70889,,129641,28591,15339,150702,2513576,774.0,,2348,3213.0,40025,0
2014-11-12,3,2014,,161628,696409,117241,76256,-44037.0,,8718,,103876,32733,103876.0,15758,,-36554,207380,5327,51411,,14441.0,,,19520,59664,317,,7483.0,19520.0,21723,641230,42829.0,,0.0,133816,5184,214914.0,214914,2457.0,7096,,2114.0,0.0,853080,681158,2153033,2014年09月30日,1706,,,2490675,2475635,1731000,5956.0,1103792,1316053,,14441,68594,371564.0,,16330.0,604473,2153033,,,1317275.0,325729,,3807950.0,,,2572.0,69904,,191391,29128,15040,213483,2491897,791.0,791.0,5297,3199.0,40425,0
2015-03-17,4,2014,80394.0,80394,703396,80382,51831,-44457.0,-44457.0,35457,,98952,45724,98952.0,21871,,-29636,136242,12268,55407,,17197.0,,,19641,58533,151,14821.0,14821.0,19641.0,21751,621664,42829.0,12678.0,0.0,71620,3426,94702.0,94702,1757.0,5419,,,,836482,663507,2153033,2014年12月31日,-22719,,,2477228,2462009,1731000,5956.0,819651,1196033,,17197,68594,346262.0,,18837.0,444850,2153033,,,1148094.0,329610,,3625322.0,,,4462.0,69792,304340.0,304340,29864,15219,328443,2429289,816.0,,2377,4390.0,43580,0
2015-05-08,1,2015,,76336,696188,82168,59980,-44948.0,,34531,,98531,21618,98531.0,14287,,-30940,131953,7643,56000,,16812.0,,,17108,59725,193,,14008.0,17108.0,22239,616117,42829.0,24955.0,,60010,2484,131493.0,131493,2641.0,5924,,10245.0,,791822,642049,2153033,2015年03月31日,-14570,19163.0,,2486036,2470925,1731000,5956.0,762609,1180532,4401.0,16812,68594,,283530.0,,428850,2153033,3539748.0,1053712.0,,331681,3539748.0,,,,3390.0,70452,,270605,29377,15111,291103,2359216,809.0,,3515,,47974,0
2015-08-12,2,2015,,70016,689173,73472,72090,,,32926,,114679,22191,114679.0,6133,,-34357,161683,7205,52331,,16795.0,,,15640,63774,212,,,15640.0,24814,610235,42829.0,87592.0,0.0,49970,4424,88637.0,88637,6942.0,5849,,2926.0,,661361,626999,2153033,2015年06月30日,30605,2352.0,,2495903,2481152,1731000,5956.0,763149,1318002,4413.0,16795,35529,,423628.0,,407850,2153033,3520151.0,1024248.0,,333215,3520151.0,,,,2576.0,70575,,242883,28762,14751,261099,2202149,803.0,,5573,,84462,0
