date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款－關係人,長期應付票據及款項－關係人合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,11429.0,2777904,2789333,26253249,28409,3936034,,164381,,,,-800933,2866145,76812,479461,476517,2944.0,586522,17975,400.0,1150305,47472,-800933,255689,0.0,16103.0,,,,0.0,139811,100000,,,108890,17575.0,0.0,4033500,2013年03月31日,1912284,,,8632866,8632866,0,1356253,3615324,2065835,,667497,,1020282.0,45796.0,298138,4033500,,,20872805.0,1464265,48853,,,1042374,1414278,1134.0,371904,,29505671.0,1053.0,0.0,185410,94669,7873,17144837,,,0.0,17257481,27439836,516311,0
2013-08-09,2,2013,0.0,2405126,2405126,26060691,28413,3592989,,604814,,201464.0,,-738619,2497167,92041,429741,426757,2984.0,408168,17405,360.0,1221879,60885,-738619,287011,,0.0,,,,0.0,150709,200000,,403350.0,40582,17045.0,0.0,4033500,2013年06月30日,1102163,,,8351702,8351702,0,1421961,3972163,1917462,,1068865,,1056244.0,20291.0,498714,4033500,,,20886819.0,1463832,48853,,701.0,1042374,1414278,0.0,371904,,29238521.0,468.0,0.0,103884,88510,10076,16808741,,,,16914656,27321059,752826,0
2013-11-07,3,2013,0.0,2417226,2417226,26133327,28402,3663791,,612328,,208978.0,,-893072,2582202,164976,395430,286921,108509.0,296717,16877,35.0,1039537,60966,-893072,253876,,0.0,,,,0.0,154137,200000,,403350.0,29375,16842.0,0.0,4033500,2013年09月30日,1172965,,,8268051,8268051,0,1421961,4088797,1799823,,1068865,,1058816.0,41469.0,497299,4033500,,,20738815.0,1463832,48853,,701.0,1042374,1414278,0.0,371904,,29006866.0,1362.0,0.0,62326,38267,5777,16594874,,,,16650018,27207043,681854,0
2014-03-25,4,2013,0.0,3569577,3569577,25400375,28408,3795416,,174619,,174619.0,,-812687,3700502,130925,832949,233106,599843.0,238440,15024,36.0,985333,59620,-812687,235861,,889153.0,,,,0.0,165595,200000,,,25369,14988.0,0.0,4033500,2013年12月31日,1304590,,,8648489,8480061,0,1421961,5023127,2882816,,1068865,,883238.0,58028.0,724318,4033500,,,20654176.0,1463832,48853,,701.0,1042374,1414278,0.0,371904,,29302665.0,65.0,0.0,16246,55802,5733,15560223,,,168428.0,15631049,26419849,687273,0
2014-04-30,1,2014,0.0,2817363,2817363,25476399,28426,3883496,,164132,,164132.0,,-584211,3025577,208214,550611,215359,335252.0,303963,14879,0.0,1319217,59392,-584211,237208,,345840.0,,0.0,,,148935,200000,,,41492,14879.0,,4033500,2014年03月31日,1392670,,,8965020,8796617,0,1421961,4352651,2230787,,1068865,944688.0,,70451.0,743404,4033500,,,20095379.0,1463832,48853,,701.0,1042374,1414278,0.0,371904,,29060399.0,152.0,,110948,60976,5570,15666873,,,168403.0,15742728,26829612,955862,0
2014-08-11,2,2014,,2654022,2654022,25550726,28410,3464701,,573396,,170046.0,,-790711,2931011,276989,449656,255369,194287.0,314173,19193,4480.0,1527124,58951,-790711,274768,,0.0,,0.0,,,189935,200000,,403350.0,38745,14713.0,,4033500,2014年06月30日,1194693,,,8339611,8171322,0,1457321,4741580,1601480,,812687,819221.0,,50890.0,796204,4033500,,,20375067.0,1463832,48853,,701.0,1042374,1414278,,371904,,28714678.0,144.0,,19090,55802,6938,15558492,,,168289.0,15633487,27113198,1154000,0
2014-11-06,3,2014,,2436535,2436535,27283138,28425,3524641,,582461,,179111.0,,-601683,2572711,136176,236380,236380,0.0,273315,14546,0.0,1219385,58698,-601683,255231,,0.0,,0.0,,,211563,300000,,403350.0,27232,14546.0,,4033500,2014年09月30日,1254633,,,8588088,8420290,0,1457321,4455614,1358597,,812687,833663.0,,62409.0,726470,4033500,,,21303367.0,1463832,48853,,701.0,1042374,1414278,,371904,,29891455.0,0.0,,6091,52932,1910,16780275,,,167798.0,16847753,28532858,887372,0
2015-03-26,4,2014,,2449065,2449065,28723685,28458,3615306,,204194,,204194.0,,-181359,2624544,175479,273257,273257,0.0,281555,14689,0.0,1182322,62315,-181359,250420,,48986.0,,0.0,,,198103,300000,,,53552,14689.0,,4033500,2014年12月31日,1345298,,,9264729,8931279,0,1457321,4308675,1694158,,812687,1060030.0,,31059.0,950775,4033500,,,22366765.0,1463832,48853,,701.0,1042374,1414278,,371904,,31631494.0,0.0,,7913,56704,2871,17986697,,,333450.0,18058090,29937336,838452,0
2015-05-14,1,2015,,2552708,2552708,30038638,28448,3635326,431.0,209025,,209025.0,,-305210,2667446,114738,249357,249357,0.0,359611,14470,,763267,58900,-305210,266209,,0.0,,0.0,,624762.0,140095,300000,,,61843,,,4033500,2015年03月31日,1365318,32879.0,,9181804,8848747,0,1457321,4179351,1695871,14470.0,812687,,1112073.0,,829550,4033931,32529345.0,23347541.0,,1484700,48853,,701.0,1042374,1414641,20505.0,372267,32529345.0,,356.0,324.0,6389,55321,3121,18473313,,,333057.0,19168190,30833474,344756,0
2015-08-11,2,2015,,2453429,2453429,30346389,28437,3192331,,401687,,195978.0,,-463776,2539819,86390,268607,268607,0.0,357203,14251,0.0,500957,58580,-463776,266098,,0.0,201675.0,0.0,,627556.0,199834,300000,,205709.0,59019,,,4033931,2015年06月30日,1531154,67758.0,,8901382,8448861,0,1479818,4437108,1581801,14251.0,181359,,976513.0,,928010,4235606,32460572.0,23559190.0,,1484700,48853,,701.0,1042374,1414641,20505.0,372267,32460572.0,,0.0,673.0,11564,54656,2988,18424946,,,452521.0,19122082,30878771,85174,0
