date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,71364.0,13372138,154189,4532838,757790,,502163,502163,,267118,223261,97042,202575,177002,25573.0,246959,36471,534980,288683,3248721,0.0,,1189722,653421,709728,,2249104,537528,210488.0,,,523179,12578353,2013年03月31日,3345944,,19782264,17378309,0,0.0,6053227,13589180,,,2017394.0,1186894,,896741.0,3097938,2670897,12578353,,85876.0,,8586021.0,0,,28368285.0,18159,178,1995621,194619,,,,,290214,246297,2403955,2532794,14779105,581211.0,,54855.0,54855.0,0
2013-08-08,2,2013,97108.0,13331703,157863,4411144,752072,,580612,580612,740628.0,349369,232445,83984,145001,128643,16358.0,242907,33941,534790,285087,3431767,,,1189951,634975,469963,,2286241,407413,208966.0,,,522272,12578353,2013年06月30日,3224250,,19804566,17338866,0,0.0,6392633,13942106,,,1264698.0,1186894,,1327835.0,3171701,3186307,12578353,,88536.0,,8878446.0,0,,28683012.0,9844,844,1995281,194278,,,,,247625,249703,2465700,2485813,14740906,413906.0,,51353.0,51353.0,0
2013-11-13,3,2013,0.0,13201079,157863,4139272,764497,,718887,718887,1287299.0,314258,90544,61427,262002,241317,20685.0,213028,27049,520688,274975,3421725,,,1256161,635946,769762,,2200666,467501,185979.0,,,857360,12578353,2013年09月30日,2952378,,19472887,17031883,0,0.0,6914438,13664366,,,440548.0,1186894,,1232283.0,3148359,3351119,12578353,,91380.0,,9120230.0,0,,28593117.0,639,4969,1992764,191761,,,,,0,245713,2441004,2205792,14928751,434517.0,,29117.0,29117.0,0
2014-03-26,4,2013,0.0,13156248,142863,3890215,834763,,659015,659015,1309157.0,474648,129790,102658,185155,162286,22869.0,263691,17049,486613,238538,3713098,,,1225163,611573,589760,,2275348,782106,246642.0,,,883680,12578353,2013年12月31日,2703321,,19420935,16943224,0,0.0,6006123,13173506,,,478481.0,1186894,,373251.0,2842999,2678143,12578353,,109993.0,,8625534.0,8,,28046469.0,2686,293,1995720,203559,,,,,360000,248075,2477711,2619411,14872963,378855.0,,27132.0,27132.0,0
2014-05-14,1,2014,0.0,13023687,36902,3849193,823520,729676.0,535861,535861,1336523.0,1325567,144048,92346,102090,102090,,262650,16008,519542,269896,3859518,,0.0,1250460,597419,799721,,2463602,907574,246642.0,,,1023118,12578353,2014年03月31日,2662299,,20265968,17753121,0,,6267856,13611920,,,355231.0,1186894,404810.0,,2937131,2854751,12578353,,82977.0,,8882582.0,8,,29148550.0,2619,383,1991706,203705,,370.0,,,360000,249646,2512847,2614726,15536630,421538.0,,51702.0,51702.0,0
2014-08-13,2,2014,0.0,12904261,286902,3742694,756065,685735.0,552956,552956,1230761.0,1096710,155389,90809,20043,20043,,257668,19071,531835,288829,4026215,329183.0,0.0,1451441,649895,489782,,2599144,814602,238597.0,,,1021480,12578353,2014年06月30日,2555800,,19537641,17088582,35000000,,6191285,13964255,,,500240.0,1186894,771690.0,,2768675,2801859,12578353,,89879.0,,10059610.0,8,,29597251.0,84,92061,1990657,202683,,,,100.0,1620000,243006,2449059,3868325,15632996,384759.0,,64580.0,64580.0,0
2014-11-13,3,2014,,12839375,286902,3697837,792853,588534.0,648344,648344,1438012.0,1099345,233967,158082,152979,152979,,258015,19418,570766,324918,3758510,0.0,0.0,1241331,624885,919640,,2443746,751654,238597.0,,,997068,12228353,2014年09月30日,2510943,,19531286,17046399,0,,6225140,13440198,,,325411.0,1186894,361917.0,,3116039,2454843,12228353,,94616.0,,9395851.0,20864,,28927137.0,7514,148,1992293,204294,,403.0,,,920000,245848,2484887,3170711,15486939,298929.0,,75885.0,75885.0,0
2015-03-24,4,2014,,12868983,275902,3824483,832503,514634.0,590357,590357,1492563.0,1273415,290985,166406,99310,99310,,360844,21393,791765,528580,4033159,0.0,0.0,1355486,566097,1199724,,2536328,893436,339451.0,,,1023053,12228353,2014年12月31日,2637589,,19952281,17347281,0,,6257192,13785306,,,221661.0,1186894,376748.0,,2990129,2170861,12228353,,78801.0,,9531741.0,21030,,29484022.0,4881,235,1993705,224379,,,,,920000,263185,2605000,3274549,15698716,309234.0,,124579.0,124579.0,0
2015-05-13,1,2015,,12555642,275902,3983435,831002,451387.0,491830,491830,1373366.0,1105905,273477,102664,99130,99130,,346640,7189,968709,152676,4171340,,,1426981,531894,1199438,,2543510,864833,,258691.0,,970901,12228353,2015年03月31日,2796541,,19906938,17338724,0,,6231053,14912704,339451.0,12696.0,,1186894,,483503.0,2969843,2255599,12228353,30615092.0,51815.0,10708154.0,,21031,30615092.0,,19,1204449,1990461,221156,,0.0,,,2140000,257554,2568214,4477101,15702388,359032.0,558479.0,170813.0,170813.0,0
2015-08-13,2,2015,,12596146,261952,4021139,869209,350191.0,702935,580652,927150.0,950965,283559,143012,79923,79923,,348459,9008,1121869,131539,4273219,0.0,,1317771,525794,1788550,122283.0,2570611,904819,,258593.0,,923022,12228353,2015年06月30日,2831495,,19797449,17227731,0,2750.0,7271852,15315278,339451.0,269122.0,,1186894,,902099.0,2927326,2590540,12228353,31047795.0,59154.0,11250346.0,,27274,31047795.0,,3549,1209665,1990035,220744,,,,0.0,1640000,257823,2569718,3978494,15732517,382135.0,732507.0,140547.0,140547.0,0
