date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他預付款,其他預付費用,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,員工福利負債準備－流動,商品存貨,土地成本,土地淨額,土地－重估增（減）值,在製品,在途原物料,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付利息,應付員工紅利,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據,應付票據合計,應付董監事酬勞,應付薪資,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,用品盤存,當期所得稅負債,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－模具設備,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－非流動,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,288720.0,293492,,582212,3538623,176748,2490,2490.0,68482,68482,2135,0,,,23263,,6575.0,10845,8747.0,2490,587658,5446,190036,44124,41210,0.0,199138,,19421,60.0,105456,3075.0,5118,482714,684705,201991,27140,,635,505487,500369,5118,766,89536.0,,0.0,0.0,0.0,2688.0,,335267,335267,55000,54951,49,196184,196184,,14000.0,388432,386297,65561,65561,2098.0,41210.0,1014494,654816,14225,,,1624146,2013年03月31日,-122048,,3825.0,5770011,1964412,773490,174316,1943683,1943683,5249253,147499,1513673,1418845,,,,38280.0,38280.0,3210.0,3210.0,,,0.0,151297,,304774.0,73895,,313275,1928.0,-125873.0,145912,359678,3805599,599174,30520,16476,1624146,367773,,3075.0,,3344275.0,229835,35.0,175977.0,214853.0,5491.0,9456.0,38876.0,,5287958.0,38293,7773,,14285,24953,8477,75419,74336,1083,59660,0.0,313275,302080,1713973,1713973,,,0.0,1830602,3869113,93316,198503,0
2013-08-05,2,2013,290305.0,293725,,584030,3483282,184681,2490,2490.0,68482,68482,2160,0,,,27964,,6944.0,5894,5838.0,2490,586123,2093,190629,41775,41078,0.0,190884,22.0,19702,,89224,2006.0,7326,482714,684705,201991,31789,0.0,637,491140,483814,7326,781,89536.0,,0.0,0.0,0.0,2555.0,297.0,353018,353018,0,0,0,167621,167621,112.0,18056.0,432366,430206,62897,62897,56.0,41078.0,1015132,648885,13717,,,1624146,2013年06月30日,7425,,11758.0,5659377,1932264,761772,160328,1951616,1951616,5249253,78333,1457241,1487036,,,,40713.0,40713.0,3210.0,3210.0,,,,98923,,352497.0,70248,,320509,,-4333.0,148854,366247,3727113,601444,31030,17013,1624146,362801,,2006.0,,3339091.0,229835,35.0,175977.0,214853.0,5491.0,9456.0,38876.0,,5290707.0,38302,7272,0.0,13717,25066,8053,75281,74336,945,57813,,320509,351716,1765491,1765491,,,0.0,1881850,3803671,89972,190247,0
2013-11-05,3,2013,205983.0,341469,,547452,3443539,169110,2490,2490.0,68482,68482,2106,0,108667.0,,29676,,6226.0,9364,9306.0,2490,552405,4953,191284,39989,40925,0.0,170888,,17929,,107678,1737.0,6586,482714,684705,201991,39532,0.0,637,538542,531956,6586,1538,89536.0,,0.0,0.0,0.0,2443.0,,319403,319403,20000,19962,38,195905,195905,,21007.0,352290,350184,53226,53226,58.0,40925.0,1015487,642633,14192,,,1633213,2013年09月30日,-8146,,-3813.0,5726591,1905821,762358,152042,2021810,2021810,5249253,78333,1415582,1476530,,,,133153.0,133153.0,3210.0,3210.0,,,,98923,,292263.0,67677,,296494,,-4333.0,151295,372854,3820770,610316,31527,17561,1741880,384746,,1737.0,,3200445.0,197866,35.0,146791.0,185667.0,5491.0,6673.0,38876.0,,5222255.0,42371,10844,0.0,14192,25066,7505,74491,74336,155,59606,,296494,290725,1669447,1669447,,,,1784863,3745725,85606,170251,0
2014-11-04,3,2014,130384.0,179621,,310005,3266009,93214,4026,4026.0,70018,70018,1073,0,0.0,0.0,32781,,10159.0,8743,8660.0,4026,315371,5366,195271,34461,39748,,166716,,16626,,112567,1799.0,7514,482714,684705,201991,25909,2855.0,637,498861,491347,7514,1135,0.0,0.0,,,,1810.0,,336235,336235,75000,74901,99,154554,154554,,20812.0,354689,353616,37591,37591,83.0,39748.0,1022257,622766,15612,0.0,0.0,1796852,2014年09月30日,-84042,,1544.0,5970837,1777918,774848,130002,2058331,2058331,0,78333,1207419,1262696,,,,104880.0,104880.0,3210.0,3210.0,,,,98923,152180.0,,74587,,291778,0.0,-85586.0,160810,399491,4192919,644846,33528,19269,1796852,350016,,1799.0,,2772740.0,164239,35.0,154581.0,154581.0,5491.0,4132.0,0.0,,4831071.0,44269,10741,,15612,24685,5416,75492,74336,1156,62422,,291778,151045,1450081,1450081,,,,1565321,3568375,91213,166079,0
2015-03-19,4,2014,131100.0,178665,,309765,3234152,100016,4026,4026.0,70018,70018,1774,1,0.0,0.0,52230,2922.0,21191.0,6594,913.0,4026,313319,3554,197984,35110,37456,,154532,,14295,,107067,,5728,482714,684705,201991,32504,0.0,637,479258,473530,5728,1198,0.0,0.0,,,,1949.0,,366159,366159,75000,74906,94,170217,170217,,26168.0,418727,416953,44160,44159,5681.0,37456.0,1027230,621081,11318,0.0,0.0,1796852,2014年12月31日,-77240,,6567.0,6039273,1755082,776353,123153,2065133,2065133,0,78333,1272073,1343728,,,,104880.0,104880.0,3210.0,3210.0,,,,98923,185005.0,,81266,15.0,295227,0.0,-83807.0,162874,406149,4284191,653200,34207,19735,1796852,333959,,,,2802911.0,164239,35.0,154581.0,154581.0,5491.0,4132.0,0.0,,4868044.0,44278,10071,0.0,11318,24685,4950,76904,74336,2568,62404,,295227,183807,1416478,1416478,,,,1530838,3524316,95561,153895,0
2015-05-06,1,2015,0.0,202319,110013.0,312332,3217699,-114116,4026,,70018,70018,2859,0,0.0,0.0,41831,,,8874,,4026,317056,4724,198745,33739,195131,0.0,123427,,17335,,116764,,9782,482714,684705,201991,33918,0.0,637,499297,489515,9782,1435,,0.0,,,,,,321449,321449,75000,74907,93,171178,171178,,,367524,364665,41560,41560,,,1027420,614781,10620,0.0,0.0,1796852,2015年03月31日,-291372,15.0,,6126691,1753820,773649,116690,1851001,1851001,0,78333,1237832,1226791,37280.0,0.0,0.0,,,,,3210.0,3210.0,,98923,,208403.0,76037,,311396,3026.0,,165006,412639,4372871,656959,34756,20200,1796852,338833,4745175.0,,2894174.0,,164239,,,,,,,4745175.0,,44235,9479,,10620,24685,4485,74883,74336,547,104030,,311396,203942,1386328,1386328,157851.0,157851.0,,1656342,3518384,93372,122790,0
2015-05-06,1,2016,,191863,129623.0,321486,3017061,-41061,8169,8169.0,74161,74161,2271,0,0.0,0.0,30927,,,8360,,8169,329568,8082,201116,27777,102988,0.0,156613,,22713,,90797,,12688,482714,684705,201991,28569,0.0,637,432355,419667,12688,641,0.0,0.0,,,,,,336767,336767,75000,75000,0,144349,144349,,,308131,305860,37160,37160,,,977667,591160,27821,0.0,0.0,1796852,2016年03月31日,-141077,0.0,,6336921,1609385,777737,91314,1928199,1928199,0,1093,1188497,1270613,36737.0,0.0,0.0,,,,,3210.0,3210.0,,98923,,353636.0,82708,,271886,0.0,,173339,386507,4727536,686423,37055,21348,1796852,300301,4609886.0,,2681687.0,,164239,,,,,,,4609886.0,,45393,8338,,27821,25730,4382,74445,74336,109,88228,,271886,352995,1315757,1315757,,66251.0,0.0,1493190,3339273,105421,155976,0
2015-08-11,2,2015,0.0,221384,157123.0,378507,3189810,-190356,4026,,70018,70018,2392,2,,0.0,40213,,,5175,,4026,386365,7858,199536,32378,171968,,112056,0.0,17612,,122931,,8946,482714,684705,201991,26201,0.0,637,460672,451726,8946,786,0.0,0.0,,,,,,336702,336702,75000,74909,91,149001,149001,,,339402,337010,41047,41045,,,1028687,609611,15253,0.0,0.0,1796852,2015年06月30日,-290372,0.0,,6203867,1741253,774014,108963,1774761,1774761,0,1093,1346800,1298625,37101.0,0.0,0.0,,,,,3210.0,3210.0,,98923,,349729.0,72129,,359610,0.0,,167158,419076,4462614,665051,35314,20664,1796852,302594,4793529.0,,3018768.0,,164239,,,,,,,4793529.0,,44193,8879,,15253,24685,4021,75049,74336,713,119810,,359610,348943,1424951,1424951,134867.0,134867.0,,1671968,3494904,89741,111419,0
2015-11-10,3,2015,0.0,221688,131256.0,352944,3161096,-154493,4026,,70018,70018,13789,2,,0.0,38752,,,6502,,4026,356857,3913,200232,30941,172462,,92327,,16030,,107792,,8174,482714,684705,201991,26477,2836.0,637,431862,423688,8174,781,0.0,0.0,,,,,,314489,314489,75000,74912,88,130731,130731,,,352549,338760,59184,59182,,,1028687,603188,19674,,,1796852,2015年09月30日,-254509,0.0,,6278789,1726815,775596,103590,1810624,1810624,0,1093,1220065,1197850,36916.0,0.0,0.0,,,,,3210.0,3210.0,,98923,,254517.0,71323,,304324,0.0,,169291,425499,4551974,672006,35960,21114,1796852,286583,4636558.0,,2825934.0,,164239,,,,,,,4636558.0,,44246,8286,,19674,24685,3571,74743,74336,407,112057,,304324,253736,1358664,1358664,,135546.0,0.0,1605869,3438708,87353,91690,0
2016-03-24,4,2015,0.0,934581,123047.0,1057628,3097777,-90639,10870,10870.0,76862,76862,9195,0,0.0,0.0,41923,,,6914,,10870,1063780,6152,200716,29436,113530,,120328,,24485,,93689,,10216,482714,684705,201991,29354,0.0,637,402490,392274,10216,697,0.0,0.0,,,,,,348757,348757,75000,75000,0,135574,135574,,,364065,354870,41794,41794,,,977332,597132,22549,0.0,0.0,1796852,2015年12月31日,-190655,0.0,,6317855,1676751,776225,97048,1881322,1881322,0,1093,1961267,1235049,36952.0,0.0,0.0,,,,,3210.0,3210.0,,98923,,301369.0,80578,,296233,0.0,,171280,380200,4641104,679177,36386,20842,1796852,269231,4631705.0,,2750383.0,,164239,,,,,,,4631705.0,,44203,7817,0.0,22549,25730,4888,74380,74336,44,98479,,296233,300672,601206,601206,,76578.0,0.0,789116,3396656,105063,119691,0
