date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,3382305,30493,1742343,441078,56576,2597687,205772,,161030,441078,32308,71872,8433,499991,35802,8882,7575,7072,3020280,714492,,362646,6932,,1199445,41732,,,882011,0.0,151319,42350,492416.0,793570,0,6327735,2013年03月31日,807126,,,9398977,7857171,191776824,63233,2398782,6111840,,541,871984,,156927.0,7803.0,3332.0,542144,6327735,,,3687582.0,60507,60507.0,,13086559.0,1566143,0.0,788809,134321,11415,1541806,1288800,6974719,0.0,0
2013-08-08,2,2013,3327857,30493,989458,597462,52875,2520076,541365,98424.0,223920,597462,28956,53803,8433,491274,32101,8876,4495,5179,2789902,722599,,470565,4914,,699755,11282,442941.0,,1005420,0.0,149112,36168,486779.0,791559,0,6327735,2013年06月30日,423,,,8720422,7252563,193934824,117051,3177756,6322518,,420,871984,,483188.0,793.0,28.0,1420126,6327735,,,4457706.0,60507,60507.0,,13178128.0,1528102,0.0,788676,153104,9613,1467859,1279950,6855610,0.0,0
2013-11-06,3,2013,3285694,30451,1105473,1109164,52464,3025608,135947,,127292,1109164,28215,62342,8433,491351,28988,8875,3873,3870,2693060,733574,,384943,2898,,699724,18091,,,637719,0.0,106848,30536,487478.0,789548,0,6327735,2013年09月30日,116438,,,9475795,7912867,196934824,117051,2165383,5613561,,316,871984,,367449.0,851.0,21.0,894714,6327735,,,3445547.0,104069,104069.0,,12921342.0,1535830,0.0,788813,147176,7810,1562928,1280164,7307781,0.0,0
2014-03-20,4,2013,3406817,30451,1527408,836937,49056,2754125,210370,,151223,836937,22928,70855,5295,444801,20436,8874,2794,259,2457223,827898,,357950,2387,,549437,14132,,,691262,0.0,38983,25290,442007.0,1001013,16964,6327735,2013年12月31日,538373,,,9402925,8007700,206934824,117051,2175435,5454964,,256,871984,,397570.0,5387.0,29.0,1012844,6327735,,,3408287.0,143518,,,12811212.0,1573473,0.0,788051,126186,6008,1395225,1232852,7356248,0.0,0
2014-05-12,1,2014,3352506,30451,1522979,936026,53698,2852077,200938,,127837,936026,20352,78657,5295,444092,18926,8874,2639,552,2814999,852003,0.0,383288,2282,,949561,13656,,,740951,11.0,38623,19672,441453.0,999179,16935,6327735,2014年03月31日,533944,,,9428742,8078682,208563824,117051,2588805,5847894,,189,871984,335165.0,,5503.0,13.0,1013225,6327735,,,3821016.0,143945,,,13249758.0,1638268,,788119,131601,4205,1350060,1232211,7401864,,0
2014-08-04,2,2014,3307281,30451,1136197,1406446,65213,3318292,607517,193136.0,186458,1406446,17924,57938,5295,443810,17174,8874,2639,602,2972421,852003,0.0,345612,2280,,949709,12005,414381.0,,690892,11.0,54518,27759,441171.0,997353,16708,6327735,2014年06月30日,93160,,,9553497,8213136,208563824,158602,2983683,5951699,,120,884435,389582.0,,830.0,8.0,1047806,6327735,,,4215505.0,194761,,,13769002.0,1506899,,788012,129924,2403,1340361,1231822,7817303,,0
2014-11-10,3,2014,3261634,3070,1153941,1275587,197403,3435148,202297,202297.0,160257,1275587,56721,155434,5295,441905,15869,8874,2536,1099,3188897,852003,0.0,314367,2284,133314.0,999668,11590,,,619166,,63617,20751,439369.0,995739,16508,6327735,2014年09月30日,110904,,,9442566,8100066,208563824,158602,3194206,6008626,,355,884435,410224.0,,280.0,8.0,1473685,6327735,,,4423989.0,194806,,,13866555.0,1192869,,787878,129606,601,1342500,1229783,7857929,,0
2015-03-25,4,2014,3230350,34310,1075446,1059172,200380,3214346,139243,,69955,1059172,74558,131985,5295,441196,134211,8874,2754,698,3373292,852003,0.0,333226,2390,133314.0,958992,23490,,,745446,,13475,22099,438442.0,978042,16381,6327735,2014年12月31日,32409,,,9138209,7805156,208563824,158602,3502318,6132779,,382,884435,376152.0,,7352.0,840.0,1829753,6327735,,,4731121.0,194806,,,13869330.0,1199155,,787607,128529,119344,1333053,1228803,7736551,,0
2015-05-11,1,2015,3204097,34310,1056972,720403,239262,2833627,130386,,72365,720403,60628,158205,5295,441662,126701,8874,4892,304,3158949,852003,0.0,323532,2376,133314.0,1248681,16235,,,765543,0.0,24516,14463,,976213,16079,6327735,2015年03月31日,13935,7481.0,840.0,8701198,7447913,208563824,158602,3481147,6066243,436770.0,324,884435,,397475.0,,,1558514,6327735,13411613.0,4710415.0,,194806,,13411613.0,,1234625,,787606,154019,112228,1253285,1229268,7345370,,0
2015-08-11,2,2015,3161735,34310,1047568,524230,265740,2570942,233801,139853.0,73318,524230,29711,162260,5295,423811,125222,8874,1350,258,3147142,852003,,265989,2376,133314.0,1349073,8307,93948.0,,828222,0.0,26367,28071,,974417,15797,6327735,2015年06月30日,4531,113.0,23654.0,8372231,7242336,208563824,158602,3670766,6243199,422461.0,264,884435,,537272.0,,,1648082,6327735,13254415.0,4882184.0,,194806,,13254415.0,,1151153,,787607,128529,110795,1129895,1211418,7011216,,0
2015-11-10,3,2015,3145836,34310,865472,-57350,198108,2073053,146440,,46798,-57350,36693,156684,5295,418154,126779,8874,1350,248,3011804,852003,0.0,250653,906,133314.0,1249459,12240,,822088.0,822088,,24958,32679,,972500,15483,6327735,2015年09月30日,-177565,165.0,833.0,7519244,6478660,208563824,158602,3349630,5552126,416804.0,246,884435,,325120.0,,,1519760,6327735,12095309.0,4576065.0,,194806,,12095309.0,,933054,,808281,174976,109362,1040584,1226435,6543183,3000.0,0
2016-03-22,4,2015,3140644,34310,923793,292061,235646,2393571,142276,,30348,292061,58231,99087,5295,419382,125347,11874,1630,248,2487245,852003,0.0,256304,1311,161836.0,999035,5633,,1133248.0,1133248,,81879,34543,,950026,15312,6327735,2015年12月31日,-119244,979.0,850.0,7902487,6886392,208563824,158602,3062875,5366231,417752.0,187,884435,,279876.0,,,1437270,6327735,12198781.0,4296294.0,,194806,,12198781.0,,983509,,814037,173153,107930,1016095,1233419,6832550,,0
2016-05-03,1,2016,3104054,34310,920799,148722,222302,2269076,123615,,39450,148722,34316,149882,5295,111038,120915,8875,1630,248,2446171,852003,0.0,236502,1223,143007.0,849570,19273,,932161.0,932161,,30064,8405,,948269,14835,6327735,2016年03月31日,-122238,979.0,24.0,7757497,6740059,208563824,158602,2978963,4996091,109408.0,155,884435,,218423.0,,,1570478,6327735,11656220.0,3898723.0,,194806,,11656220.0,,949209,,808722,168515,106497,1017438,919760,6660129,,0
2016-08-03,2,2016,3094988,34310,893416,172123,311930,2230107,126427,126427.0,51699,172123,24218,133919,5295,110716,119673,8874,1630,440,2429746,852003,,286517,295,143007.0,1149759,6011,0.0,1009494.0,1009494,,15674,26014,,946545,14771,6327735,2016年06月30日,-30377,0.0,17.0,7733817,6736077,208563824,39358,3652824,5716029,109086.0,228,884435,,864158.0,,,1916590,6327735,12314656.0,4580839.0,,194806,,12314656.0,,873378,,817299,158005,105064,997740,928015,6598627,,0
2016-11-09,3,2016,3056538,34310,985673,38706,165675,2221216,140311,,46963,38706,34475,107160,5295,109353,118241,8874,1720,440,2390026,852003,0.0,297482,618,189123.0,599839,6788,,976299.0,976299,,18826,19366,,944787,14603,6327735,2016年09月30日,61880,26944.0,17.0,7691963,6694917,208563824,39358,2776085,4822372,107633.0,189,884435,,324425.0,,,1480505,6327735,11365303.0,3673340.0,,194806,,11365303.0,,773615,,787902,153047,103632,997046,897255,6542931,,0
