date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,土地淨額,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,營業器具淨額（觀光飯店業適用）,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-04,1,2013,50000.0,824343,216473,16556.0,73783,73783.0,82940,5383,5383.0,171698,3310,1095,25493.0,19900,,73303,,45347,285402.0,8.0,27956,62920,62920.0,,34595,,27727,61260,4464,19892.0,284921.0,0.0,674910,2013年03月31日,126155,64697.0,,,1091842,1024229,0,22988.0,88154,322314,771872,,2145,72580.0,2164.0,,502866.0,14511.0,,0.0,57730.0,674910,,,595615.0,127463,127463.0,,1687457.0,5284.0,5248.0,3401.0,15794,250000,67613,273301,915585,,39771,118388,0
2013-08-11,2,2013,100000.0,1021098,114218,11248.0,138597,,70419,12512,,239320,3072,597,23988.0,19943,,90497,,62326,285402.0,8.0,28171,60624,60624.0,,34629,,25379,31464,1004,19935.0,272315.0,0.0,674910,2013年06月30日,13925,282909.0,,,992051,929103,0,21568.0,97776,445177,476410,,2145,71917.0,2517.0,,282963.0,7252.0,,,52603.0,674910,,,618469.0,127463,,,1610520.0,5642.0,4754.0,3349.0,20370,150000,62948,173292,1134110,,18091,136248,0
2013-11-06,3,2013,100000.0,1085529,53500,10465.0,77463,,71642,5145,,242545,2737,1436,22784.0,19936,,94746,,66453,285402.0,8.0,28293,83482,,,45841,,17689,36039,2349,19928.0,261019.0,0.0,674910,2013年09月30日,-46793,370532.0,,,916655,861018,0,20213.0,97776,589010,520070,,2145,68161.0,2517.0,,290831.0,0.0,,205472.0,47704.0,674910,,,789216.0,127463,,,1705871.0,5461.0,4253.0,270.0,3381,180000,55637,200206,1185801,,23826,139808,0
2014-02-22,4,2013,100000.0,1152695,48928,9723.0,99370,,63667,12439,,271829,5319,1004,,23599,72.0,85227,,55508,,,29719,89818,,,69360,,34803,50851,3543,23527.0,,0.0,674910,2013年12月31日,-51365,,,,916705,863740,0,,97776,623708,501069,,2145,,2517.0,,253644.0,0.0,7208.0,148346.0,,674910,,,827307.0,127463,,,1744012.0,,,0.0,2876,180000,52965,203599,1242943,,21611,166510,0
2014-05-03,1,2014,100000.0,1210095,65456,10815.0,134079,134079.0,129228,12167,12167.0,259591,3727,872,,22555,53.0,74534,,45395,,,29139,70362,70362.0,,50531,,27933,40132,2651,22502.0,,,674910,2014年03月31日,-34837,,,,930002,879996,0,,97776,627662,440743,,2145,,2517.0,162276.0,,7787.0,7204.0,147741.0,,674910,,,800217.0,127463,127463.0,,1730219.0,,,0.0,2702,150000,50006,172555,1289476,,17203,155864,0
2014-08-01,2,2014,50000.0,1158503,32631,13040.0,137339,,99628,8275,,195010,3829,683,,21533,39.0,70194,,39639,,,30555,68301,68301.0,0.0,54821,,28630,33712,1270,21494.0,,,674910,2014年06月30日,-65145,,,,879235,843279,0,,97776,570112,386384,,2145,,0.0,148151.0,,9021.0,7188.0,145291.0,,674910,,,741645.0,127463,,,1620880.0,,,0.0,3654,150000,35956,171533,1234496,,14411,141181,0
2014-11-10,3,2014,150000.0,1191323,-52320,0.0,129789,,84450,14353,,317513,3292,4979,,20502,31.0,86058,,48201,,,37857,100738,,0.0,58687,50000.0,23088,37170,2971,20471.0,,0.0,674910,2014年09月30日,-150096,,,,798134,764406,0,,97776,874663,460291,,2145,,0.0,200020.0,,2233.0,6297.0,293353.0,,674910,,,945165.0,127463,,,1743299.0,,,0.0,3482,50000,33728,70502,1283008,,23666,164221,0
2015-02-09,4,2014,100000.0,1244441,-29743,0.0,153262,,79048,25639,,255955,5059,127,,27462,18.0,95849,,52020,,,43829,101230,,0.0,60312,,31530,45527,1575,27444.0,,,674910,2014年12月31日,-127519,,,,827233,798269,0,,97776,809047,465205,,2145,,0.0,205196.0,,4787.0,6297.0,303201.0,,674910,,,986509.0,127463,,,1813742.0,,,,6102,150000,28964,177462,1348537,,26205,150896,0
2015-05-01,1,2015,200000.0,1225740,19257,0.0,114282,114282.0,73300,21731,21731.0,341702,4131,1655,,22416,8.0,89383,,50652,,,38731,73350,73350.0,,35503,,41761,73109,2024,,,,674910,2015年03月31日,-78519,,16692.0,6297.0,866913,843361,0,,97776,800055,446539,22408.0,2145,,0.0,,190768.0,,,250115.0,,674910,1769384.0,902471.0,,127463,127463.0,1769384.0,,,,,5577,80000,23552,102416,1322845,,26036,137571,0
2015-08-10,2,2015,100000.0,1193002,5163,0.0,111296,111296.0,72984,17293,17293.0,237236,4078,1287,,22267,8.0,107679,,45243,,,38436,74727,74727.0,,50176,,30110,47864,1385,,,,674910,2015年06月30日,-92613,,14901.0,6297.0,845275,824829,0,,97776,750585,369969,22259.0,2145,,0.0,,136690.0,,,306866.0,,674910,1678127.0,832852.0,,127463,127463.0,1678127.0,,,,,5332,60000,20446,82267,1308158,24000.0,28735,133158,0
2015-11-13,3,2015,0.0,1168015,-75453,0.0,109764,,21800,28002,,152313,3329,774,,22276,7.0,105915,,41605,,,40310,75415,,0.0,50502,0.0,1379,26338,1817,,,,674910,2015年09月30日,-173229,,1382.0,0.0,773424,754922,0,,97776,608294,353193,22269.0,2145,,0.0,,196970.0,,,292954.0,,674910,1633994.0,860570.0,,127463,,1633994.0,,,,,4726,230000,18502,252276,1280801,24000.0,30079,148984,0
2016-02-04,4,2015,0.0,1116742,-22874,0.0,147872,,14649,19335,,116861,7230,1896,,27213,8.0,79214,,39350,,,39864,78823,,0.0,94847,,4590,61483,1567,,,47848.0,674910,2015年12月31日,-120650,,12459.0,0.0,809232,798834,0,,97776,573538,348183,27205.0,2145,,0.0,,167901.0,,,196909.0,,674910,1599983.0,790751.0,,127463,,1599983.0,,,,,5851,190000,10398,217213,1251800,,21864,109631,0
2016-05-10,1,2016,0.0,1082845,49039,,91925,91925.0,3471,18190,,88332,3854,1686,,27237,8.0,73299,,33803,,,39496,55339,55339.0,,52184,,11748,44653,910,,,47848.0,674910,2016年03月31日,-48737,,25029.0,0.0,878616,869602,0,,97776,430170,283808,27229.0,2145,,,,149236.0,,,160952.0,,674910,1496023.0,617407.0,,127463,127463.0,1496023.0,,,,,6078,160000,9014,187237,1212215,,28513,84478,0
2016-08-04,2,2016,50000.0,1103400,22346,6411.0,92056,92056.0,2110,11673,,135979,3790,756,,27227,8.0,72874,33388.0,33388,,,39486,64891,64891.0,,69913,,4715,25108,383,,,47848.0,674910,2016年06月30日,-75430,,9711.0,0.0,844454,836392,0,,97776,315600,264969,27219.0,2145,,,,146410.0,,,3226.0,,674910,1497281.0,652827.0,,127463,127463.0,1497281.0,,,,,6045,310000,8062,337227,1232312,0.0,18900,82189,0
2016-11-07,3,2016,,1142389,-59695,2899.0,92876,92876.0,5348,5014,,109849,4511,2010,,27218,8.0,64952,25908.0,25908,,,39044,88141,88141.0,,72174,,8807,34058,993,,,47848.0,674910,2016年09月30日,-157471,,0.0,7543.0,753135,747692,0,,97776,283706,320193,27210.0,2145,,,,150011.0,,,0.0,,674910,1584059.0,830924.0,,127463,127463.0,1584059.0,,,,,6532,520000,5443,547218,1263866,0.0,29190,105338,0
