date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-23,1,2013,0.0,182000,182000,1628464,201164,1442792,-152950,138315,0,459252,,459252.0,94259,-153599,261728,79728,4145,2172,2172,73046,2,158936,97747.0,97747,45171,-649,15814.0,1504336,0,,,0,1568411,20183.0,1756,2369754,257007,54092.0,420127,2076709,2013年03月31日,833389,,4363371,4225824,0,430946,3804283,6212472,,47343,,178457,,1889739.0,86232.0,1274022,2076709,,,4488410.0,859922,,8851781.0,132699,0,3613,134874,44960,476207,18952,45375,137547,684127,2639309,89619,0.0,0
2013-08-08,2,2013,0.0,182000,182000,1621801,196167,1255909,-111499,178496,0,935626,654784.0,280842.0,91292,-53842,236136,54136,22146,3434,3434,73117,2,155446,92597.0,92597,45171,57657,16836.0,1565087,0,,,0,1947801,12043.0,2333,2605853,259878,53882.0,408997,2076709,2013年06月30日,520292,,4206835,4076397,0,485695,4469072,6679925,,48605,,249922,,1962132.0,66209.0,1111304,2076709,,,5132162.0,797621,,9338997.0,157620,0,33659,159796,49560,430177,19233,46013,130438,663090,2659072,139878,0.0,0
2013-10-25,3,2013,0.0,182000,182000,1579349,196162,1467207,-78124,203995,0,531133,229934.0,301199.0,74645,-62075,251089,69089,29430,4855,4855,72567,2,141493,80950.0,80950,45171,16049,15262.0,1522991,0,,,0,1930252,6020.0,2284,2717136,317382,53671.0,411081,2076709,2013年09月30日,731590,,4407834,4279462,0,485695,4255204,6648618,,50026,,249922,,1844333.0,95048.0,1385299,2076709,,,4856647.0,797621,,9264481.0,54079,0,37399,135657,33757,393219,18894,45281,128372,601443,2615863,105302,0.0,0
2014-03-21,4,2013,0.0,182000,182000,1554838,211454,1601051,32370,254001,0,580501,,,124412,97075,215707,33707,20234,4784,4784,93554,2,145237,,145237,0,64705,0.0,1629228,0,,,0,1914753,1082.0,1155,2675008,331897,74368.0,418037,2076709,2013年12月31日,865434,,4653253,4572456,0,485695,4126418,6768638,,4784,,249922,,1879453.0,68860.0,1330911,2076709,,,4731911.0,797621,,9385164.0,13449,0,4000,165479,28175,346460,19184,0,80797,605493,2616526,104406,0.0,0
2014-04-25,1,2014,0.0,182000,182000,1555387,211298,1801839,81432,188620,0,443906,,,97093,135648,251567,69567,10638,6040,6040,93295,2,125165,,125165,0,54216,0.0,1627474,0,,,0,1946296,978.0,1771,2727495,317127,74368.0,442678,2076709,2014年03月31日,1066222,,4889029,4811817,0,485695,4397718,7106116,,6040,,249922,2248436.0,,104865.0,1640023,2076709,,,4773506.0,797621,,9662535.0,8312,0,1352,181722,27231,100771,18925,0,77212,375788,2556419,76501,0.0,0
2014-07-25,2,2014,,182000,182000,1499731,205609,1564866,104578,209950,0,1027365,,,109946,94369,266004,84004,14754,7078,7078,92865,2,140408,,140408,0,-10209,,1557755,0,,0.0,281652,2098227,,28517,3011832,286523,74368.0,427605,2076709,2014年06月30日,878398,,4553781,4482739,0,552022,5205729,7860592,,7078,,134446,2585533.0,,99584.0,1677398,2076709,,,5824594.0,746795,,10378375.0,8634,2040,30059,187670,27402,54638,18495,0,71042,618865,2517783,264190,,0
2014-10-31,3,2014,,0,0,1530601,206155,1790199,59408,185484,0,488164,,,100444,142940,72815,72815,16826,7210,7210,93286,2,154255,,154255,0,83532,,1692496,0,,0.0,285046,2088133,,44489,3094366,268448,74368.0,407635,2076709,2014年09月30日,1103731,,4827995,4756643,0,552022,4503307,7389694,,7210,,134446,1979520.0,,101312.0,1697245,2076709,,,5080775.0,746795,,9908770.0,11149,3480,31357,181873,27736,13783,18916,0,71352,577468,2519076,206237,,0
2015-03-13,4,2014,0.0,0,0,1539336,205275,1936291,55838,175446,0,659623,,,120518,259262,42540,42540,15866,9150,9150,95761,2,158299,,158299,0,203424,0.0,1936312,0,,0.0,288440,2090145,,24672,2820962,399250,76357.0,419921,2076709,2014年12月31日,1249823,,5084116,5019057,0,552022,4795863,7949062,,9150,,134446,2412474.0,,108533.0,1842548,2076709,,,5402715.0,746795,,10486831.0,27802,1950,45349,208535,30342,12166,19402,0,65059,606852,2537769,198331,0.0,0
2015-04-24,1,2015,,0,0,1314103,212683,2174952,41675,159345,2854,571380,,,102308,200251,51477,51477,13661,8193,8193,95476,2,229243,,229243,0,158576,0.0,1844492,0,,0.0,277326,1996914,,2775,2801229,414860,,426315,2076709,2015年03月31日,1488484,152320.0,5273828,5210995,0,552022,4541325,8034324,76357.0,8193,94778.0,134446,,2512508.0,,1747000,2079563,10426161.0,5152333.0,,756229,10426161.0,,19459,661,45989,226519,41955,11026,19117,0,62833,611008,2391837,204499,0.0,0
2015-07-31,2,2015,142411.0,0,142411,1278075,259645,1846370,33881,148471,31528,1140911,,,124975,147702,246927,104516,7702,9477,9477,95166,2,222998,,222998,0,113821,,1764189,0,41534.0,0.0,0,2100560,,32517,3057369,207251,,402799,2079563,2015年06月30日,1080527,93627.0,5025278,4965796,0,631397,5542184,8542668,76357.0,9477,93869.0,134446,,3034124.0,,1909549,2152625,10908439.0,5883161.0,,819099,10908439.0,,18093,0,42051,236014,44306,9797,18807,0,59482,340977,2365771,211138,,0
