date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,838131,18773,856904,887087,18298,12530684,197392,1295581,66849.0,-2203,11532507,220381,6857190,232317,291204,6624873,503800,19634,590905,87105,65834990,12583,,,430653,4233240,662153,537819,97708,702271,47161,100515,19634.0,292372,32702.0,5982701,2013年03月31日,10049701,,23221807,20796006,7539508,2463312,60054795,81868002,,31929,17671,,4941882.0,358940.0,41238215,5982701,,98632,,60732953.0,2297407,,83954760.0,0.0,559906,741.0,59687,35332,168184,2425801,678158,2086758,2757238,,10164018,0
2013-08-13,2,2013,1278433,18723,1297156,890923,18298,11393684,185952,3395404,97957.0,-13346,14521831,129887,7308332,236753,326770,7071579,4511,19692,91616,87105,69323853,12583,,,0,4888534,618717,230877,75144,592663,74527,68838,19692.0,291105,32476.0,5982701,2013年06月30日,8344320,,21667595,19652598,7539508,3013199,66020873,86365367,,20647,36165,,4980156.0,326816.0,41847568,5982701,,115982,,66264121.0,2302142,,87931716.0,0.0,573722,0.0,59687,35332,163869,2014997,243248,1566349,3345319,,12768018,0
2013-11-13,3,2013,537184,18590,555774,904399,18298,12301527,191227,1208563,23148.0,-8197,15744606,227452,8114509,251374,27215,7863135,12511,19709,99616,87105,71959289,12583,,,1390630,3491252,504286,249930,54291,350945,93296,140961,19709.0,289838,0.0,5982701,2013年09月30日,9252163,,23451939,20615613,7539508,3013199,65648480,89156877,,32052,36165,,3940194.0,326815.0,43952838,5982701,,115899,,67276000.0,2352165,,90727939.0,0.0,610077,300.0,59687,35332,157494,2836326,1627520,1571062,3924458,,14934165,0
2014-03-25,4,2013,540881,18664,559545,909379,18298,13332667,196202,1206389,0.0,-3041,18192816,237284,8053116,233638,1949,7819478,12031,21746,99136,87105,80327515,12583,,,1396062,4663299,243977,945755,65063,410554,196981,125161,21746.0,288571,0.0,5982701,2013年12月31日,10283303,,24549555,21651909,7539508,3013199,75520499,100123656,,28942,36165,,5927758.0,424666.0,49659118,5982701,,119416,,77150905.0,2352165,,101700460.0,150.0,690448,0.0,59687,36276,152761,2897646,1630406,1576804,4392123,,17394038,0
2014-05-06,1,2014,534621,18736,553357,900071,18298,13985482,194472,1323819,,-4502,19068360,234821,8071623,197903,4913,7873720,4045,21731,109938,87105,85063111,12583,,,1401395,3468970,227804,1162729,47284,410760,55214,78559,21731.0,287304,0.0,5982701,2014年03月31日,10936118,,25222041,22303538,7539508,3013199,78657639,103938051,,26252,36165,4977714.0,,424666.0,52809847,5982701,,124160,,80288621.0,2352440,,105510662.0,150.0,697972,0.0,59687,36276,148019,2918503,1630982,1572611,4583098,18788.0,18275269,0
2014-08-06,2,2014,529505,18664,548169,906805,18298,11980087,201394,2500210,,1248,19459148,283757,7848529,228262,5804,7620267,386369,21804,496734,87105,85182857,12583,,0.0,2906806,4313095,141184,2598429,34758,671240,71425,57184,21804.0,286037,0.0,8974051,2014年06月30日,8323102,,26185391,23295405,7539508,3653944,81353876,108698160,,27432,3041,9719005.0,,167090.0,51993096,8974051,,146866,,84485745.0,2352602,,110671136.0,150.0,684900,,59687,36276,143422,2889986,3131869,1972976,4463020,23260.0,18621418,0
2014-11-11,3,2014,345860,18689,364549,907780,18298,17932325,202025,1476876,,2626,15157736,262205,8482362,327868,6434,8154494,512718,21890,636343,87105,79102005,12583,,0.0,3412296,4301074,270427,753720,8938,496784,78362,275432,21890.0,284770,,8974051,2014年09月30日,14275340,,32577011,29268573,11309261,3653944,68350396,102443148,,31514,3041,9530945.0,,160990.0,46063527,8974051,,157108,,71983143.0,2372154,,104560154.0,150.0,699451,0.0,59687,36276,138724,3308438,3632747,2117006,3777807,36520.0,14524548,0
2015-03-20,4,2014,347297,18760,366057,915869,18298,19277712,206750,1216712,,7978,16939051,205025,7891462,200819,93407,7690643,515233,22037,637550,87105,81200168,12583,,0.0,3417807,5515677,151844,1173830,82957,938544,111115,492430,22037.0,283503,,8974051,2014年12月31日,15620727,,34280534,30619317,11309261,3653944,70278858,106043069,,29224,3041,10722689.0,,16842.0,45031044,8974051,,150901,,73912357.0,2372159,,108192891.0,0.0,755580,,59687,58628,133968,3661217,3633499,2149822,3931081,35212.0,16274562,0
2015-05-13,1,2015,349397,77693,427090,913598,18298,21965987,213724,1109415,,14761,15752711,263080,8118142,242166,94376,7875976,515630,47171,640840,87105,81917226,12583,,0.0,3423217,3983005,167165,1249661,121114,420366,57989,463902,,282236,,8974051,2015年03月31日,18309002,18309.0,37820296,33316362,11309261,3653944,65357419,104623771,47171.0,26887,3041,,9132451.0,,42814344,8974051,106778132.0,141695,68957836.0,,2374146,106778132.0,,0.0,844217,150.0,59687,58628,70342,4503934,3600417,2154361,3669478,38105.0,14968165,0
2015-08-11,2,2015,351108,74825,425933,929524,18298,15401813,213949,5422420,,14900,17319031,399109,8098600,199298,68765,7899302,517213,47204,623514,87105,87026143,12583,2692215,0,3428706,3831544,83256,2961832,23246,493807,42119,371069,,280969,,8974051,2015年06月30日,10734575,241801,33121459,29444577,11309261,4667238,74613123,109188144,47204,25370,0,,8564312,,44611522,11666266,111338696,118471,78217237,,2374181,111338696,,0,762840,300,59687,58628,68517,3676882,3604114,2150552,3829254,19196,16425224,0
