date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,830183,569897,1295503,0.0,30220.0,0.0,96670,3000.0,11511,-4766,,93996,13037,51684,15108,-4766,307581,17830,,355101,3218.0,577240,2448,0.0,1305947,2013年03月31日,711837,,,2853316,2790092,443582,560744,627691,2101145,30815,,,14912.0,,22922,,1058047.0,12300.0,0.0,44420,1305947,,18986,,731631.0,211238,34257.0,78174,33573,,22282,1903.0,41049,,,,3584947.0,14893.0,52256,22887,0.0,63224,103940,1483802,86168,0
2013-08-09,2,2013,809513,573211,1291170,0.0,30398.0,0.0,151794,3000.0,12894,3190,,82492,9165,49983,14560,3190,324810,17830,,378322,4489.0,635414,3406,0.0,1305947,2013年06月30日,678719,,,2854257,2794738,443582,567108,664837,2155453,31472,,,15000.0,,45343,,1080922.0,12488.0,,15000,1305947,,17252,,767306.0,212261,37224.0,78174,33532,,22282,0.0,41049,,,,3621563.0,3466.0,52486,22354,0.0,59519,102469,1466110,54978,0
2013-11-08,3,2013,805823,579852,1208300,0.0,29962.0,0.0,71791,0.0,12566,-12886,,102913,10090,51494,13903,-12886,117096,17830,,518463,6614.0,577850,608,0.0,1305947,2013年09月30日,595849,,,2748570,2694694,443582,567108,731730,2120289,30735,,,,,45343,,1284184.0,10515.0,,0,1305947,,21434,,837194.0,211163,34796.0,78174,34729,,22415,0.0,41049,,,,3585764.0,0.0,53970,35162,0.0,53876,105464,1465475,87933,0
2014-03-07,4,2013,768741,121210,723298,0.0,0.0,0.0,90663,0.0,18818,-3173,,125411,4790,66053,13029,-3173,108670,26324,,489071,282.0,458315,2047,,1305947,2013年12月31日,110847,,,2255434,2211126,1179582,567108,739628,2129320,25080,,,,,45343,,1460111.0,11008.0,,0,1305947,,23193,,805741.0,211378,34763.0,78174,34977,,22415,0.0,41049,,,,3061175.0,0.0,60,3795,0.0,44308,66113,931855,76569,0
2014-05-13,1,2014,753269,123802,765270,0.0,0.0,0.0,84679,1500.0,18727,5683,,117127,1248,65780,13441,5683,138425,46819,0.0,504831,3405.0,347914,2005,,1298587,2014年03月31日,152819,,,2245514,2238495,2542582,567108,754663,2109576,23919,,37470.0,33200.0,,45343,1502638.0,,19227.0,,0,1298587,,23894,,820504.0,215774,,78174,35777,39493.0,21512,0.0,40818,,,,3066018.0,0.0,61,8811,0.0,7019,65841,956442,61149,0
2014-08-12,2,2014,739197,121444,889696,0.0,0.0,0.0,155896,0.0,12461,-7461,,108849,8501,62897,12137,-7461,106931,75104,0.0,689880,2664.0,565485,463,,1300108,2014年06月30日,306620,,,2293202,2285976,4470582,567108,997657,2456353,22759,,148043.0,0.0,,15968,1562890.0,,16035.0,,0,1300108,,24333,,1060614.0,178737,,78174,35928,39574.0,21512,0.0,3549,,,,3353816.0,0.0,60,1926,0.0,7226,62957,897463,51579,0
2014-11-12,3,2014,743622,111287,992751,0.0,0.0,0.0,132674,3000.0,32467,-31177,-38218.0,99731,7304,64807,12172,7041,84410,17829,0.0,776100,2174.0,571326,230,,1288637,2014年09月30日,409675,,,2477949,2470464,443582,567108,1076296,2730542,22057,,405620.0,,,15968,1592654.0,,17864.0,,13000,1288637,,31753,,1142187.0,238082,,78174,79106,39649.0,5128,0.0,36025,0.0,,,3620136.0,,1084,456,0.0,7485,65891,889594,36531,0
2015-03-13,4,2014,762981,102770,1009621,,,,144687,,13066,-504,-31963.0,81513,5606,68842,16404,31459,80924,17830,0.0,655354,0.0,524969,244,,1319387,2014年12月31日,426545,,,2527368,2519789,443582,567108,958877,2646219,21078,,801918.0,,,15968,1185281.0,,28983.0,,25000,1319387,,23340,,1027847.0,209115,,78174,22587,39649.0,5128,,36877,,26700.0,,3555215.0,,128,5763,,7579,68970,908996,34211,0
2015-04-30,1,2015,749773,101689,1036970,,,,121883,2000.0,16535,-1671,-25708.0,119188,8659,68899,18070,24037,86595,17830,0.0,522621,888.0,437043,388,,1321047,2015年03月31日,453894,33410.0,,2556484,2548922,443582,567108,854835,2585135,20102,946681.0,,,0.0,15968,,1054237.0,,,34000,1321047,3480345.0,20845,923861.0,,210406,,78174,48834,39649.0,5128,,38621,,,3480345.0,,,127,5576,,7562,69026,895210,34997,0
2015-08-12,2,2015,773599,160321,913474,,,,295749,3500.0,19236,-4795,-19402.0,71710,3999,68957,17937,14607,66710,17830,0.0,781058,777.0,549265,1573,,1320747,2015年06月30日,297490,25481.0,,2429842,2422101,443582,595834,1237667,2760538,19193,910453.0,,,,20150,,1169637.0,,,39000,1320747,3737025.0,20392,1307183.0,,210505,,78174,48813,39649.0,5128,,38741,,,3737025.0,,,559,5437,,7741,69516,976487,39665,0
