date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-19,1,2013,2357756,1210218,499382,,,15653,0.0,,-9947,35339,16809,39576,,,,,57367,27658,21758.0,21758.0,13935,5900,661913,,404978,74605,462377,345478,57099,43432.0,271014,1140598,2013年03月31日,805151,,,3988494,3988494,0,322381,1543620,2939796,,26276,82686,,1307753.0,15329.0,12559.0,470000,1140598,,43987,,1663988.0,1647625,,1647625,1647625,,,5652482.0,,,63001,29982,,,0,120368,2712686,37388,18530,0
2013-08-07,2,2013,2359787,1039919,825315,,,14503,2615.0,,30116,105331,16991,88619,,,,,52711,31145,21763.0,21763.0,10374,9382,501163,,349949,175133,422201,562025,279112,42337.0,268591,1140598,2013年06月30日,591453,,,3858258,3858258,0,365780,2000181,3270109,,24140,82686,,1375059.0,25948.0,300.0,475000,1140598,,43358,,2123990.0,1647625,,1647625,1647625,,,5982248.0,147.0,,71098,28476,,,0,123809,2712139,24512,88340,0
2013-10-29,3,2013,2339360,1124295,535118,,,13095,1593.0,,8963,42434,18771,101699,,,,,52517,34611,21763.0,21763.0,10719,12848,441797,,430464,135427,550283,458211,117095,41798.0,266168,1140598,2013年09月30日,675829,,,3921481,3921481,0,365780,1926928,3278185,,30774,82686,,1566087.0,32417.0,313.0,705000,1140598,,46068,,2058573.0,1647625,,1647625,1647625,,,5980054.0,,1418.0,79128,30956,,,0,131645,2701869,26594,23663,0
2014-02-25,4,2013,2368097,1143487,562419,,,12681,0,,43565,54068,20409,78350,,,,,47132,33885,21768,21768,9721,12117,503737,,515436,55346,348193,223865,193831,37411,263745,1140598,2013年12月31日,695021,,,3975275,3975275,0,365780,1814841,3193507,,31907,82686,,1792123,22267,11263,575000,1140598,,30305,,1944780,1647625,,1647625,1647625,,,5920055,,4470,82807,28914,,,0,129939,2726548,24994,33659,0
2014-04-16,1,2014,2318967,1165986,483968,,,17496,,,75778,41376,7643,88124,,,,,46624,38177,21773.0,21773.0,9732,16404,440905,,400087,88438,376859,364457,40079,36892.0,261321,1140598,2014年03月31日,717520,,,4029987,4029987,0,365780,1849085,3325544,,30657,82686,1957786.0,,23945.0,12809.0,772307,1140598,,31916,,1981810.0,1647625,,1647625,1647625,,,6011797.0,7048.0,0.0,86101,37131,,,0,132725,2686253,27029,33733,0
2014-07-30,2,2014,2271051,983480,736463,,,25396,0.0,,27859,53525,9305,82749,,,,,46101,38174,21778.0,21778.0,9753,16396,510079,0.0,396459,144211,379276,488113,71243,36348.0,258898,1140598,2014年06月30日,511120,,,3799562,3799562,0,389674,2276609,3586348,,28874,82686,1996384.0,,11386.0,257.0,902496,1140598,,27567,,2413530.0,1647625,,1647625,1647625,,,6213092.0,4502.0,85.0,90820,29747,,,0,136921,2626744,32766,44220,0
2014-10-29,3,2014,2317855,1044690,441800,,,20859,0.0,,73400,55949,9012,66681,,,,,45567,38475,21778.0,21778.0,9770,16697,551445,0.0,424107,63807,382748,332972,47376,35797.0,210682,1140598,2014年09月30日,572330,,,3906313,3906313,0,389674,1883229,3308751,,27178,82686,1873504.0,,8329.0,3601.0,859546,1140598,,29587,,2024397.0,1647625,,1647625,1647625,,,5930710.0,104.0,1268.0,95601,27769,,,0,141168,2621959,28297,46937,0
2015-01-30,4,2014,2296798,1118020,524295,10206.0,524295.0,16754,,,184336,80421,8324,67732,,,,,30423,36793,21782.0,21782.0,8427,15011,508567,0.0,464757,55388,597069,280565,112051,21996.0,208669,1140598,2014年12月31日,645660,,,4090579,4090579,0,389674,1858284,3460742,,29814,82686,1847927.0,,18170.0,11585.0,675000,1140598,,25761,,1964045.0,1647625,,1647625,1647625,,,6054624.0,4286.0,0.0,75338,21808,,,0,105761,2593882,18492,72097,0
2015-04-24,1,2015,2247156,1135719,435465,10594.0,,21193,,,148777,44699,7248,63421,,,,21787.0,29182,35108,217.0,217.0,7904,13104,524905,0.0,401564,50403,486647,261473,15697,,206656,1140598,2015年03月31日,663359,4677.0,9614.0,4072719,4072719,0,389674,1649474,3281077,21278.0,26653,82686,,1882461.0,,,675000,1140598,5827441.0,26263,1754722.0,,1647625,,1647625,1647625,,5827441.0,,809.0,316.0,76066,30791,,,0,105248,2546364,15350,37451,0
2015-07-29,2,2015,2193235,1002310,541325,92502.0,541325.0,14640,,,122153,40447,8368,74527,,21792.0,,21792.0,28448,39541,2052.0,2052.0,7900,15697,430599,0.0,338527,23979,501686,210472,106183,,204643,1140598,2015年06月30日,510678,13177.0,440.0,3912859,3912686,0,408946,1478427,2961280,20548.0,26793,82686,,1603325.0,,,400000,1140598,5453333.0,28470,1540474.0,,1647625,,1647625,1647625,,5453333.0,,0.0,331.0,33599,27841,,,173,62047,2492053,19077,32079,0
2015-10-29,3,2015,2159814,1059818,417747,10076.0,,11833,,,188104,33267,8860,72772,69155.0,21792.0,3617.0,21792.0,27745,38408,,,7911,16616,544242,0.0,396838,18690,560042,232821,14792,,202630,1140598,2015年09月30日,568186,18572.0,458.0,4036132,4036145,0,408946,1425879,3079161,19834.0,25377,82686,,1627661.0,,,500000,1140598,5528192.0,30126,1492060.0,,1647625,,1647625,1647625,,5528192.0,,563.0,0.0,38436,22802,,,-13,66181,2449031,14540,24407,0
2016-02-16,4,2015,2112411,1085425,455213,13559.0,,23258,,,142750,29218,8269,78339,,,,21797.0,17908,46367,4140.0,4140.0,7852,20430,542417,0.0,404835,3282,428656,172637,106914,,200616,1140598,2015年12月31日,593793,17942.0,455.0,4016423,4016398,0,408946,1452232,3126435,10056.0,24409,82686,,1754524.0,,,500000,1140598,5531235.0,28183,1514812.0,,1647625,,1647625,1647625,,5531235.0,,0.0,,44672,20997,,,25,62580,2404800,19235,20949,0
2016-04-25,1,2016,2097456,1017989,437040,14674.0,,22333,457.0,457.0,106207,22886,8547,80441,,,,21801.0,12608,39663,3297.0,3297.0,3298,14565,620044,0.0,346292,1363,498505,129720,38961,,198603,1140598,2016年03月31日,526357,18927.0,621.0,3912379,3912419,0,408946,1514270,3107667,9310.0,22901,82686,,1702935.0,,,656419,1140598,5487800.0,16669,1575421.0,,1647625,,1647625,1647625,,5487800.0,,0.0,0.0,48543,21510,,,-40,61151,2380133,13650,14339,0
2016-07-26,2,2016,2080939,877565,466281,39838.0,466281.0,32043,,,58780,27466,8537,71324,,21806.0,,21806.0,15441,36104,0.0,0.0,6797,14298,661954,0.0,371623,1269,451168,163269,7298,,196590,1140598,2016年06月30日,373067,11456.0,1057.0,3734135,3725654,0,421812,1789206,3224626,8644.0,22562,82686,,1819244.0,,,844571,1140598,5587711.0,26702,1853576.0,,1648711,435.0,1647625,1647625,651.0,5587711.0,,,0.0,48929,26890,,,8481,64370,2363085,17269,18929,0
2016-10-27,3,2016,2038829,849149,400994,11804.0,,41799,,,-22251,17377,9223,59684,59684.0,21806.0,0.0,21806.0,14583,29714,0.0,0.0,6583,7908,705198,0.0,391149,754,448006,194085,16901,,194577,1140598,2016年09月30日,344651,9328.0,1279.0,3623758,3616207,0,421812,1756068,3158559,8000.0,31006,82686,,1677287.0,,,902336,1140598,5476680.0,22326,1852922.0,,1648711,,1648711,1648711,,5476680.0,,0.0,,52271,23995,30000.0,30000.0,7551,96854,2318121,14320,8154,0
