date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,,200000.0,1464234,854290,141822,5609,-8964,206371,6371,38904,1230,1230,23444,,140356,140356,25964,,141582,183492,3734,74647,982370,2013年03月31日,652648,,,2578374,2578374,1255000,188083,494639,1436133,14001,13559,,1012968.0,3011.0,982370,,1026,8594,,504463.0,776642,,3082837.0,827,51070,,70378,0.0,14001,9824,1646704,0
2013-07-30,2,2013,,200000.0,1478268,802308,191755,8035,-7654,206107,6107,34822,1133,1133,19984,,155739,155739,25964,,166590,176809,4347,74436,982370,2013年06月30日,580034,,,2527702,2527702,1255000,192167,570917,1459113,11395,30107,,1028733.0,4283.0,982370,,1498,8614,,580664.0,776642,,3108366.0,684,50628,,65170,0.0,11395,9747,1649253,0
2013-11-05,3,2013,,200000.0,1475456,793943,149786,7104,-11924,205829,5829,27314,987,987,19114,,175221,175221,25964,,178243,192844,2604,74224,982370,2013年09月30日,571669,,,2515067,2515067,1255000,192167,542188,1437979,12611,30107,,982359.0,6369.0,982370,,1583,8755,,551930.0,776642,,3066997.0,378,50533,,47613,0.0,12611,9742,1629018,0
2014-04-30,1,2014,0.0,0.0,1464971,762098,126278,9712,-4740,5455,5455,14191,5781,5781,17500,,191176,191176,25964,,151728,149519,1693,73801,982370,2014年03月31日,539824,,,2490406,2490406,1255000,192167,292819,1199489,7850,30107,782575.0,,6772.0,982370,,1805,9229,,307829.0,776642,,2798235.0,781,50623,,34624,,7850,15010,1598746,0
2014-08-05,2,2014,0,0,1443825,778062,166952,10143,-10817,5549,5549,20946,5733,5733,15864,,215364,215364,25964,0,230086,243376,3616,73590,982370,2014年06月30日,560522,,,2500293,2500293,1255000,192167,413869,1357374,5487,25373,812999,,9162,982370,,2009,10010,,429612,776642,,2929905,111,50930,,33765,,5487,15743,1572531,0
2014-11-04,3,2014,0.0,0.0,1428544,790843,183534,11893,-5308,16763,16763,30264,5858,5858,15172,,190863,190863,25964,0.0,222567,259089,4100,73378,982370,2014年09月30日,573303,,,2521853,2521853,1255000,192167,438221,1417588,6542,25373,869070.0,,13402.0,982370,,1642,10841,,454920.0,779912,,2976773.0,313,52309,,35549,,6542,16699,1559185,0
2015-02-26,4,2014,0.0,0.0,1416466,760048,174623,7363,7430,4751,4751,19849,6100,6100,14972,,223472,223472,15602,0.0,205020,142390,4987,73167,982370,2014年12月31日,542508,,,2514176,2514176,755000,192167,395792,1377832,7387,25373,928486.0,,9818.0,982370,,1399,11835,,413727.0,779930,,2927903.0,181,51285,,38079,,7387,17935,1550071,0
2015-05-04,1,2015,0,0,1400262,721590,130667,7965,7508,3665,3665,23744,5891,5891,12591,,248527,248527,15602,0,175060,129899,1903,72955,982370,2015年03月31日,504050,7377,,2475796,2475796,755000,192167,317951,1281485,5751,25373,,817025,,982370,2812102,1168,12464,336306,,779930,2812102,,14,52422,,39058,,5751,18355,1530617,0
2015-08-04,2,2015,,,1387622,683635,177500,6512,2527,4833,4833,24742,5705,5705,11489,,234998,234998,86230,0.0,163302,134419,3307,72744,982370,2015年06月30日,475779,248.0,,2362232,2362232,4717000,194268,347416,1214188,4244,13588,,809858.0,,982370,2728755.0,1309,13402,366523.0,,779930,2728755.0,,224,352,,38468,,4244,19107,1514567,0
2015-10-28,3,2015,,,1372699,702691,140744,6951,18537,3829,3829,26355,5820,5820,9494,,206001,206001,100539,0.0,193646,215563,2821,72532,982370,2015年09月30日,494835,141.0,,2382989,2382989,5455000,194268,342619,1246960,4233,13588,,739211.0,,982370,2745260.0,1477,13832,362271.0,,779930,2745260.0,,2782,50058,,39342,,4233,19652,1498300,0
2016-03-04,4,2015,,,1377228,694605,154700,5952,19001,4465,4465,10070,5955,5955,7898,,178393,178393,100539,,131979,185541,1282,72321,982370,2015年12月31日,486749,56.0,20930.0,2375367,2375367,5455000,194268,292790,1190957,2970,13588,,738665.0,,982370,2692962.0,1347,14305,317595.0,,779930,2692962.0,,243,50124,4545.0,41588,,2970,24805,1502005,0
