date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2014-03-12,4,2013,,24863,1177273,25504,1298805,38665,0,,3780,790,19833,31240,6377,42592,2,2,82649,23654,19833,435450,,,52064,11588,11588,,86826,,115551,,3522,,22451,0,608000,2013年12月31日,1181782,,2137588,2137588,0,117023,294817,1250033,6289,,,625340,74434,0,608000,,,420543,210950,,,2558131,4441,16383,121283,58995,125726,1308098,557,,0
2015-03-23,4,2014,,25282,1466922,26455,1470373,81498,,,16779,0,63052,33843,8561,17927,2,2,97506,35571,63052,609072,0,,120380,,4147,,16148,212128,212128,,4592,,42549,,608000,2014年12月31日,1299835,,2352375,2352375,0,152293,592369,1438259,5415,18245,533459,,56510,279843,608000,,,704368,210950,,,3056743,14407,22186,97590,61935,111999,1618484,1753,,0
2015-05-12,1,2015,25395,25395,1631858,26231,1509481,62001,,,20006,,48844,36136,10741,11208,2,2,96819,35890,48844,618366,,113411,113411,5741,5741,10486,10486,184509,184509,5400,5400,35150,35150,,608000,2015年03月31日,1338943,75053,2377275,2377275,0,152293,581184,1431026,5165,18245,,554645,,278356,608000,3209738,832463,,210950,,3209738,,10078,18639,241199,60929,251279,1778712,1742,,0
2015-08-11,2,2015,25508,25508,1718211,25900,1390602,340840,346,,18817,,31185,31820,6312,17820,2,2,87281,27842,31185,632906,,,169876,,2236,,12885,339892,339892,,6346,,32059,,608000,2015年06月30日,1187707,37661,2240737,2240737,0,184650,881792,1510646,4569,18245,,461081,,286128,608000,3364205,1123468,,210950,210950,3364205,,6895,17598,234779,59439,241676,1853559,1725,0,0
2016-03-23,4,2015,25765,25765,1781599,25742,1498188,94941,1092,,22368,,51395,31121,5356,8571,2,2,101447,42000,51395,589101,,,94310,,2709,,17938,,203657,,4493,,36017,,668800,2015年12月31日,1295293,16052,2794133,2794133,0,184650,631257,1727208,4623,18245,,861256,,373094,668800,3657734,863601,,575750,575750,3657734,,10527,17115,221815,59447,232344,1930526,1745,,0
2016-05-11,1,2016,,25845,1769601,25356,1520557,81339,65,81339,28117,,30632,31429,5584,9619,2,2,142683,84614,30632,579131,,,123527,,5927,,9715,219766,219766,,3872,,24044,,668800,2016年03月31日,1317662,23117,2795739,2795739,0,184650,355432,1414688,3998,18245,,548413,,80313,668800,3372775,577036,,575750,575750,3372775,,6274,16449,215328,58069,221604,1958087,1726,,0
2016-08-10,2,2016,,26014,1717854,24764,1377424,305523,0,305523,21305,,-1826,31071,5057,11988,2,,150619,94328,-1826,583390,,,181303,,5971,,1090,312700,312700,,4476,,31390,,668800,2016年06月30日,1150468,14675,2620148,2620148,0,208711,588125,1503361,4189,18245,,536416,,48492,668800,3416993,796845,,575750,,3416993,,0,16206,208718,56291,208720,1913632,1696,,0
