date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,70067,4177133,23388,1086836,217299,665319,269059,-7446,89600,19533,190308,307686,215017,191549,840,11963,395784,395784,176415,,311468,251.0,1261998,33814,306846.0,,3801023,2013年03月31日,757159,,,6486683,6312110,5658911,230487,1600993,3792425,,99190,,1630843.0,74569.0,9142.0,449165,3801023,,10621,,1993960.0,1608112,,8480643.0,1086.0,1848,55381,83433,11505.0,174573,392967,4688218,391.0,391.0,0.0,0
2013-08-08,2,2013,70067,4211221,23388,953029,204273,966717,245745,-9476,89110,19043,202916,308315,257739,231865,840,14232,391888,391888,176415,,315046,133.0,1411799,27091,307475.0,,3801023,2013年06月30日,619587,,,6353817,6176273,5658911,267840,1709212,3685863,,65602,,1395810.0,26623.0,9190.0,292782,3801023,,18801,,2085075.0,1608112,,8438892.0,1026.0,1631,56408,65917,11642.0,177544,375863,4753029,398.0,398.0,,0
2013-11-07,3,2013,81832,4522997,23388,1028647,199874,799801,87515,-19429,100089,18257,211995,311120,263979,238317,840,14228,381052,381052,176415,,300982,1249,1293400,25581,310280,,3801023,2013年09月30日,695205,,,6421398,6245958,5658911,267840,1730785,3625665,,65602,,1615324,2680,9539,481891,3801023,,44093,,2280528,1612132,,8701926,864,1988,66023,236635,11434,175440,549743,5076261,395,395,0,0
2014-03-20,4,2013,97846,5000308,23388,1141677,196886,874450,92677,-14203,113879,16033,224684,271570,303013,251187,840,40305,365631,365631,176415,,284956,2115.0,1287356,33530,270730.0,,3801023,2013年12月31日,808235,,,6535117,6364214,5658911,267840,1632833,3118159,,65602,,1103712.0,22592.0,9258.0,295835,3801023,,39006,,2164132.0,1612132,,8699249.0,910.0,1625,57495,258104,11521.0,170903,531299,5581090,401.0,401.0,,0
2014-05-09,1,2014,112361,5010855,23388,1179667,220236,851605,139705,16763,131718,19357,180110,271449,750198,736892,840,13306,395997,395997,176415,0.0,264279,0.0,1218580,28702,270609.0,,3801023,2014年03月31日,846225,,,6599532,6433170,5658911,267840,1616248,3495986,,65602,1523724.0,,42397.0,9168.0,292432,3801023,,33817,,2958240.0,1612132,,9557772.0,0.0,1721,57109,1068822,,166362,1341992,6061786,,,,0
2014-08-08,2,2014,124126,5214201,23388,973384,279139,1066768,301086,14238,149215,25089,180258,271208,608989,594719,840,14270,400734,400734,176415,0.0,288705,0.0,1341943,42394,270368.0,,3801023,2014年06月30日,655200,,,6391489,6224362,5658911,303979,1761309,3278663,,14205,1003076.0,,60295.0,9172.0,159573,3801023,,36753,,3071767.0,1612132,,9463256.0,0.0,1459,58876,1037791,,167127,1310458,6184593,,,,0
2014-11-11,3,2014,124126,5386644,23388,1044538,305427,784584,308026,51162,145344,21218,183472,276699,509074,496141,976,12933,387114,387114,176415,0.0,271755,1.0,1311589,38368,275723.0,,3801023,2014年09月30日,726354,,,6506375,6336533,5658911,303979,1605142,3113732,,14205,885133.0,,8286.0,30.0,368837,3801023,,26335,,2890300.0,1616225,,9396675.0,0.0,1700,58410,1006759,,169842,1285158,6282943,,,,0
2015-03-18,4,2014,145206,5717705,23388,1088806,325200,890523,327139,94483,175697,30491,188555,234712,452624,439665,977,12959,386854,386854,176415,0.0,264420,0.0,1263401,34715,233735.0,0.0,3801023,2014年12月31日,770624,,,6595228,6424122,5658911,303979,1640592,3218858,,14203,1018028.0,,24554.0,166.0,251382,3801023,,34016,,3194320.0,1616225,,9789548.0,0.0,1369,51773,1317647,,171106,1553728,6570690,,,,0
2015-05-08,1,2015,206455,5834071,37668,1080905,347740,660555,418864,109578,241209,34754,221118,234531,324283,312014,977,12269,388426,388426,176415,0,268804,,1216368,33353,,0,3801023,2015年03月31日,762723,35506,43,6600875,6431316,5658911,303979,1483469,3412470,233554,14203,,1134298,,,240889,3801023,10008568,36506,3407693,,1616225,10008568,,,1325,52336,1688368,,169559,1924224,6596098,,,,0
2015-08-07,2,2015,244203,5876665,37668,841122,267299,849363,423050,24121,279797,35594,232966,235623,182224,170958,977,11266,383466,383466,176415,,253765,,1209733,40185,,0.0,3801023,2015年06月30日,424654,16638.0,35.0,6273756,6106076,5658911,322673,1797002,3626130,234646.0,93795,,1336695.0,,,360766,3801023,10042353.0,36673,3768597.0,,1616225,10042353.0,,,1634,52367,1734338,,167680,1971595,6416223,,,,0
