date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－長期應收款項,催收款項,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－非流動,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現利息收入－長期應收分期帳款,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,融資租賃之未賺得融資收益,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收分期帳款,長期應收款,長期應收票據,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,0,4425322,205948,5032532,570887,265142,0.0,0.0,1075763,,19134,1197560,134056,161721,1994514,,454903,91280,535356,308524,646205,295782,,,384971,4433,59966,239671,21885,,805838,74596,294589,1437273.0,478334,20000,10000.0,3541607,4445292,2013年03月31日,2166950,0.0,,10292497,9918670,10417545,2248641,3867091,6175107,,423540,,3000.0,616941,,2975113.0,309642.0,595085,4445292,0.0,,11528,,5973133.0,717494,,16265630.0,410153,285727,100000,21885,0.0,0.0,0.0,29234,29234,14907,373827,2106042,10090523,213005,10958,1063504,0
2013-08-14,2,2013,0,4466505,189496,4074951,591075,295606,,,2629087,,39413,1166590,137910,130249,2010591,,573703,117987,542660,315372,696068,295782,,,377789,11509,109944,272058,20388,,840825,101137,251547,1447543.0,476316,0,10000.0,3679844,4445292,2013年06月30日,968122,,,9279211,8892462,10417545,2436549,5379568,6371395,,431206,,3000.0,670280,,3149404.0,215034.0,597557,4445292,,,11561,,7501720.0,628588,,16780931.0,369571,286860,100000,20388,,,,28745,28745,15066,386749,2122152,10409536,238519,96533,1028680,0
2013-11-13,3,2013,0,4581912,179496,4586360,650206,323554,,,900576,,97041,1184755,137720,240894,2034546,,447338,44862,552363,307458,655351,295782,,,307784,16674,99983,198228,19286,,794157,105515,254640,1462897.0,757169,0,10000.0,3673988,4445292,2013年09月30日,1479531,,,9855399,9461499,10417545,2436549,4945713,6257730,,427286,,3000.0,670280,,2806966.0,121190.0,2116523,4445292,,,11299,,7091558.0,628588,,16946957.0,510007,288484,100000,19286,,,,50592,50592,14803,393900,2145845,10689227,236994,29623,1047035,0
2014-03-27,4,2013,0,4940768,190042,5134282,748514,354728,,,1400633,,184138,1181333,154891,853562,1993158,,1380775,225874,550476,228665,636288,295782,,,382741,27033,69958,171320,29513,,817276,103534,276182,1413169.0,472391,0,10000.0,3781749,4445292,2013年12月31日,2027453,,,10554536,10136034,10417545,2436549,6103406,7014197,,335000,,0.0,670280,,2901636.0,227659.0,2642729,4445292,,,11329,,8207893.0,668104,,18762429.0,422768,282779,100000,29513,,,,68144,68144,58242,418502,2104487,11748232,254437,799850,1026442,0
2014-05-14,1,2014,0,5002482,189268,5625595,774606,299654,0.0,0.0,945219,,175231,1256495,146665,171057,2013506,,1329053,211201,555925,211958,729772,295782,,0.0,386415,12576,99968,224729,31543,,799827,108631,271070,1426038.0,470910,0,10000.0,3866762,4445292,2014年03月31日,2518766,0.0,,11055094,10618440,10417545,2436549,5764213,7156215,,335222,,0.0,670280,3562508.0,,323890.0,2514921,4445292,0.0,,11358,,7889077.0,668104,,18944171.0,478346,284605,100000,31543,0.0,0.0,0.0,64770,64770,51600,436654,2124864,11787956,260398,789524,1109830,0
2014-08-13,2,2014,20000,5039834,189268,4519889,853854,291947,,,2756366,1200514.0,117914,1278323,152842,174273,2031086,,1306384,163820,567901,215462,772888,295782,66679.0,0.0,359880,18966,69953,215757,28993,1555852.0,878623,156471,256825,1434192.0,468879,0,10000.0,3965502,4445292,2014年06月30日,1888784,,,9948176,9522096,10417545,2631105,7407934,7586176,,333622,,0.0,0,3759276.0,,208700.0,2499989,4511971,,,11223,,9530243.0,668104,,19478419.0,478179,286807,80000,28993,,,,89125,89125,44753,426080,2122309,11892243,255787,793224,1105481,0
2014-11-12,3,2014,40000,5142950,189268,5078985,718254,262020,,,2520156,964304.0,160598,1326254,146745,133123,2058605,,1348429,214812,579739,200366,725115,295782,,0.0,424055,21000,69970,260574,31647,1555852.0,952469,155019,266047,1447219.0,474940,0,10000.0,4015594,4511971,2014年09月30日,2447880,,,10567443,10123876,10573805,2631105,6886743,7527033,,326286,,0.0,0,3792116.0,,89939.0,2174795,4511971,,,10631,,9015979.0,668104,,19583422.0,458748,286902,60000,31647,,,,81927,81927,38535,443567,2129236,12056389,326142,812789,1139509,0
2015-03-24,4,2014,40000,5382038,189268,5550062,733147,221707,,,2080809,,142693,1259322,167650,178968,2041872,,1370259,235119,578928,254286,706660,295782,,0.0,497922,15400,74949,317103,35694,,881366,167640,259514,1427250.0,472719,0,10000.0,4056488,4511971,2014年12月31日,2918957,,,11071012,10611316,10573805,2631105,6688900,7589065,,326041,,0.0,0,3942981.0,,283818.0,2159577,4511971,,,10489,,8828040.0,702372,,19899052.0,430274,281467,86779,35694,,,,74807,74807,15113,459696,2139140,12309987,288515,790934,1051672,0
2015-05-14,1,2015,40000,5419208,189268,6068962,670666,240870,0.0,0.0,967769,,143763,1366087,155409,146022,2052308,,1376057,251884,588603,246906,652681,295782,,0.0,397467,11448,69980,287927,32315,,851224,184008,267450,,470498,0,10000.0,4065421,4511971,2015年03月31日,3437857,0.0,389957.0,11601420,11131286,10573805,2631105,6378070,7717453,1431390.0,334628,0.0,,0,,4086528.0,,2887435,4511971,0.0,20105321.0,10493,8503901.0,,702372,20105321.0,,430204,281918,63030,32315,0.0,0.0,0.0,70199,70199,25685,470134,2125831,12387868,428670,781383,1170678,0
2015-08-13,2,2015,41614,5425649,171908,4779671,170100,249559,,,2813737,1008949.0,-12358,1339784,155280,135585,2067851,,1334966,203115,599197,252214,559056,288389,0.0,0.0,363737,19354,99975,228167,35463,1804788.0,963985,134544,244687,,468661,10000,0.0,4192409,4511971,2015年06月30日,1945172,,237546.0,10176835,9697701,10273805,2834499,7622838,7479276,1433191.0,334263,0.0,,0,,4730890.0,,2520538,4511971,,19939706.0,10347,9762871.0,,706806,19939706.0,,2438,283015,61835,35463,,,,63965,63965,18890,479134,2140033,12460430,527991,796782,1142890,0
2015-11-12,3,2015,41729,6061582,171908,5317361,147320,224581,,,971791,971791.0,-38266,1314444,141844,178929,2083612,16500.0,1281950,107416,610389,261234,559634,288389,,0.0,440739,21830,119985,185368,32889,0.0,1020459,139185,222943,,32938,10000,0.0,4187557,4511971,2015年09月30日,2482862,,149060.0,10630841,10209483,10273805,2834499,6383212,6545319,1423834.0,356793,0.0,,0,,3841278.0,,3179995,4511971,,19150089.0,9750,8519248.0,,706806,19150089.0,,2597,287461,42674,32889,,,,72192,72192,15066,421358,2136036,12604770,422974,826042,1130871,0
2016-03-16,4,2015,41681,6896580,216033,5720665,120884,249322,,,1829546,,-61565,1291599,166519,141609,2163754,16500.0,1386649,195861,607025,267759,485241,288389,,0.0,419430,31220,29991,190017,35503,,990242,137734,268512,,32901,10000,0.0,4281707,4511971,2015年12月31日,2886166,,260631.0,11098892,10666493,10273805,2834499,6958347,6568147,1504726.0,353517,76312.0,,0,,3963264.0,,2905913,4511971,,20272157.0,9550,9173265.0,,783811,20272157.0,,2594,287301,41614,35503,,,,74713,74713,14446,432399,2214918,13704010,371755,833870,1083399,0
2016-05-12,1,2016,77710,7410448,216033,6182252,138687,231418,0.0,0.0,1172044,,-68239,1405190,160558,167707,2181140,16500.0,1362364,157114,618488,256224,485870,288389,,0.0,464040,19561,614956,180367,31683,,884702,203324,260358,,32865,10000,0.0,4216327,4511971,2016年03月31日,3347753,0.0,380335.0,11525226,11121406,10273805,2834499,7131936,7334842,1514469.0,477381,142851.0,,0,,4568536.0,,2895443,4511971,0.0,21563276.0,9550,10038050.0,,783811,21563276.0,,2543,281598,715424,31683,0.0,0.0,0.0,67795,67795,14283,403820,2906114,14228434,470264,866948,1166922,0
2016-08-11,2,2016,131681,7383778,197066,4856033,141113,236540,,,2759097,954309.0,-88375,1526806,215529,146400,2152621,16500.0,1361024,124135,625664,255304,434135,288389,0.0,0.0,360833,48738,559976,203899,32334,1804788.0,914080,214921,255609,,32829,0,,4120099,4511971,2016年06月30日,1753725,,236284.0,10197226,9798180,10273805,3040743,8378910,7584571,1478123.0,478048,63418.0,,61565,,4951781.0,,2683277,4511971,,21669087.0,9550,11471861.0,,806940,21669087.0,,2550,275132,930780,32334,,,,61051,61051,13822,399046,3092951,14084516,460564,906712,1179596,0
2016-11-11,3,2016,105643,7324080,197066,5307086,156318,227259,,,1122028,1122028,-112804,1452588,144877,178403,2143822,8250,1447817,166195,633660,258841,376842,288389,,0,387600,36470,394979,186856,28441,0,930585,206106,225478,,32793,0,0,4199906,4511971,2016年09月30日,2204778,,114948,10649908,10234599,10273805,3040743,6572572,6143259,1473471,473182,77992,,61565,,3576002,,2877103,4511971,,20319752,9550,9669844,,816735,20319752,,2478,274390,943900,28441,,,,70364,70364,13293,415309,3097272,14176493,413055,939124,1202068,0
