date,season,year,不動產、廠房及設備淨額,交通及運輸設備,什項設備,以成本衡量之金融負債－流動,以成本衡量之金融資產－非流動,保留盈餘合計,保證責任準備,備供出售金融資產未實利益（損失）,備供出售金融資產－流動,備供出售金融資產－非流動,其他待出售資產,其他應付款,其他應收款,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債,其他流動資產,其他準備合計,其他準備－其他,其他設備,其他負債,其他資產合計,其他資產－其他,其他金融負債－流動,其他金融負債－非流動,其他金融資產－流動,其他金融資產－非流動,出租資產,員工福利負債準備,國外營運機構財務報表換算之兌換差額,土地,央行及銀行同業存款,央行及銀行同業融資,存入保證金,存出保證金,存放央行及拆借銀行同業,存款及匯款,存貨,庫藏股票,待出售非流動資產淨額,待分配股票股利（增資準備）,待處分股權投資,待註銷股本股數,應付佣金,應付保險賠款與給付,應付債券,應付再保往來款項,應付再保賠款與給付,應付到期長期負債（一年或一營業週期內到期長期負債）,應付帳款,應付建造合約款,應付建造合約款－關係人,應付款項合計,應付款項－關係人,應付短期票券,應付票據,應付融券擔保價款,應付費用,應收其他退稅款,應收帳款,應收所得稅退稅款,應收款項淨額,應收款項－關係人,應收票據,房屋及建築,承受擔保品－淨額,投資性不動產淨額,持有至到期日金融資產－流動,持有至到期日金融資產－非流動,採用權益法之投資,普通股股本,會計項目,期貨交易人權益,未分配盈餘（待彌補虧損）合計,未完工程及預付房地設備款,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債總額,流動資產合計,無形資產淨額,無活絡市場之債券投資－非流動,營業保證金及交割結算基金,特別盈餘公積,特別股負債－流動,現金及約當現金,生物資產淨額,當期所得稅負債,當期所得稅資產合計,短期借款,租賃資產改良,累計減損－待處分股權投資,股本合計,與待出售非流動資產直接相關之負債,融券存入保證價款,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款淨額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－受領股東贈與,資本公積－庫藏股票交易,資本公積－採用權益法認列之關聯企業及合資淨值之變動數,資本公積－普通股股票溢價,資本公積－特別股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動,透過損益按公允價值衡量之金融資產－流動,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產淨額,避險之衍生金融負債－流動,避險之衍生金融資產－非流動,長期借款,附買回票券及債券負債,附賣回票券及債券投資,電腦及機器設備,非控制權益,非流動負債合計,非流動資產合計,預付所得稅稅款,預付款項,預收款項,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-10,1,2013,15621280,48971,65020.0,,493420,5123608,49429,-593085,0.0,20439768,,8840564,1952296,-589765,,0.0,233583,296943,16847,16847,3080915,120899,3468008,2519469,,14555.0,0.0,0.0,254889.0,516449,3320,5841790,5849839,2536230.0,143209,923539,67404556,394745371,2445181,1612790,0.0,,0.0,,,,8900000,,,5487722,1164229,,,10012885,516372,0.0,8092,,0.0,0.0,3760700,0.0,7301001,229385,1588005,2390833,,1211620,,8027954,769152,14105902,2013年03月31日,,1948483,0,,,,39317190.0,18552360,280172859,338614,429704645,432561601,113845,0.0,25000.0,2836511,,11304120,0.0,409083.0,58691.0,9350797,0.0,0.0,14105902,,,,582725,,443888319.0,324668418,1525405,0.0,0.0,0.0,0.0,0.0,1525405,0.0,1525405,0.0,,483205509.0,79930,13921017,1021135,1021135,498861,,0.0,3401151,482833,4363781,3938862,20764830,14183674,50643908,58691.0,568508,,0
2013-08-14,2,2013,16242101,46879,,,493419,5277961,50269,-499242,0.0,20544436,0.0,9923715,1904357,-489827,0.0,0.0,166163,350513,17346,17346,314156,217329,3115124,2226380,,12277.0,,,,481884,9415,5889838,9900983,1500000.0,168223,888744,66605446,408024107,2412947,1612790,0.0,,,,,,11400000,,,2964805,1255228,,,11193680,478851,30000.0,14737,,,,4208655,0.0,8266389,212325,2153377,2402449,,1288513,0.0,3688457,930390,14105902,2013年06月30日,,2170737,3737017,,,,40240854.0,18806651,280172859,380521,444883339,454671441,121418,,,2726703,,11248744,,238599.0,57661.0,10057929,,,14105902,,,,549499,,461370192.0,345620987,1525405,,,,,,1525405,,1525405,,,501611046.0,65411,14875329,1021159,1021159,515747,,,3118366,262811,4380862,3851762,21434203,16486853,46939605,57661.0,640238,,0
2013-11-11,3,2013,16949713,49293,64330.0,,560597,5495572,50853,-530332,,20470944,,4719163,1606169,-527301,,0.0,491090,335838,17846,17846,243361,292622,2630518,1733068,,9999.0,,,,481043,3031,5287250,12913695,2069900.0,212220,897450,68625211,415247072,1992926,1612790,0.0,,,,,,11400000,,,2525094,1587061,,,6341418,0,34900.0,35194,,,,3989788,,7850564,120668,2254607,2373420,,1899651,,3258187,899786,14105902,2013年09月30日,,2388348,5182266,,,,40850591.0,18986788,280172859,380521,449337310,461662948,120944,,,2726703,,7572758,,166646.0,57991.0,9219826,,,14105902,,,,549742,,468016561.0,356225597,1525405,,,,,,1525405,,1525405,,,508867152.0,73621,13249506,1021069,1021069,413864,,,5193599,254048,5027475,3749793,21863803,18679251,47204204,57991.0,604414,,0
2014-03-24,4,2013,16966084,44888,252182.0,,552581,5362072,92078,-405255,,20499537,,4878582,1965982,-399467,,,206066,268136,15713,15713,59796,327331,2545223,1586803,,111741.0,,,,534353,5788,5340473,8341508,2086000.0,263595,958420,75496734,429508619,1786523,1612790,0.0,,,,,,14400000,,,2124455,1212771,,,6091504,522761,,151,,,,3988366,,8794689,6261,2840341,2334616,,1899576,,3340584,1034461,14105902,2013年12月31日,,2254848,5234355,,,,41837510.0,18979528,280172859,380521,458844223,475754343,128701,,,2726703,,7686056,,302712.0,57612.0,9212993,,,14105902,,,,642144,,481383871.0,362916674,1523811,,,,,,1523811,,1523811,,,523221381.0,88836,13270253,1021022,1021022,500291,,,5773815,358769,4550801,3699774,22857982,22539648,47467038,57612.0,920604,,0
2014-05-12,1,2014,17739468,42072,119803.0,,551781,5567662,110231,-375781,,20090604,,4254847,1778308,-369838,,,208154,3869923,17518,17518,252962,383292,2854207,1455061,,6091.0,,,,536562,5943,5340473,13825027,913980.0,285226,1399146,73210631,436257310,2678888,1612790,171986.0,,,0.0,,,14400000,,,1459964,2478925,,,6737795,503617,404070.0,4023,,,,4781577,,9534541,42600,2974656,2912182,0.0,1762589,,922043,1104474,14105902,2014年03月31日,,2460438,1759336,,,,43685615.0,19214747,280172859,380521,471345729,491981352,305539,,,2726703,,8527439,,422518.0,58142.0,10291754,,,14105902,,,,664311,,494177379.0,364058995,1523811,,,,,,1523811,,1523811,,,537862994.0,60652,23631779,1021022,1021022,550937,,,6071708,260888,5175963,7312640,24470868,22831650,45881642,,1020465,,0
2014-08-13,2,2014,17637972,40934,114844.0,,551781,5445396,112804,275847,,21690976,,5057716,1856105,276727,,,336041,873707,17523,17523,245140,448919,2721349,1244688,,3932.0,,,,537487,880,5340473,11607909,149335.0,325166,1476661,77983758,436586162,2751117,1612790,172300.0,,,0.0,,,14400000,,,811272,2520121,,,7582663,484749,503623.0,4826,,,,4996816,,10449216,156776,3596295,2879816,,1762514,,905695,1668515,14105902,2014年06月30日,,2242304,1835019,,,,45521028.0,19739046,280172859,476389,469681546,490452503,291678,,,2726703,,7838723,,300261.0,59451.0,11010347,,,14105902,,,,667814,,492722039.0,373932438,1523811,,,,,,1523811,,1523811,,,538243067.0,51691,13622092,1021022,1021022,560084,,,6173640,257493,1654260,7181746,25781982,23040493,47790564,,958665,,0
2014-11-10,3,2014,17400964,41679,53210.0,,540788,5875413,117865,-208875,,22037261,,5633005,1864281,-200815,,,585979,1043368,18028,18028,298362,511936,2710026,1285324,,2126.0,,,,541037,8060,5399083,7581600,0.0,328947,1424702,76845135,441325258,2281548,1612790,0.0,,,0.0,,,14400000,,,898272,1879929,,,7522501,296456,599110.0,9567,,,,4924537,,10587496,122,3798678,2853434,,1936503,,742194,1332341,14105902,2014年09月30日,,2672321,1692186,,,,46456543.0,19691521,280172859,476389,469074793,491309224,305649,,,2726703,,9025403,,177391.0,59153.0,9733624,,,14105902,,,,676930,,492366196.0,378440054,1523811,,,,,,1523811,,1523811,,,538822739.0,91917,11538939,1021022,1021022,507789,,,6350442,262685,485815,7063010,26765022,23291403,47513515,,1002191,,0
2015-03-26,4,2014,18808757,42603,94924.0,,538810,6318917,119042,-282063,,22117429,,7709126,2495468,-254603,,,530309,1034679,81927,81927,289441,6355,2556411,1060936,,,,,,674745,27460,5399082,10697387,0.0,341892,1495475,82314107,455729119,1462349,1165133,,,,0.0,,,14400000,,,900271,1488423,,,9202008,365509,638523.0,4459,,,,4561651,,10902196,1338,3845077,2716187,,1937171,,1418003,2138448,13716932,2014年12月31日,,3115825,3672821,,,,47277301.0,20073872,242175859,476389,488402305,508001164,290731,,,2726703,,11780810,,325530.0,1303.0,9600337,,,13716932,,,,875714,,511259662.0,384382280,1457759,,,,,,1457759,,1457759,,,558536963.0,139739,14017714,1021022,1021022,730039,,,6212374,273573,1545361,6593699,27203429,22857357,50535799,1303.0,559027,,0
2015-05-11,1,2015,22703743,40629,0.0,,538810,6668066,119179,-270890,,22685252,,4729337,2342383,-259565,,,717958,1122774,83094,83094,373297,6062,2698100,1204795,,0.0,,,,838210,11325,11206582,16692518,0.0,322823,1493305,79476845,456149996,1706690,1040214,0.0,,,,,,14200000,,,864272,1739140,,,6476445,404305,638937.0,7968,,,,4277317,,10391715,4131,3772015,2685307,,1937096,,3170800,2178525,13616932,2015年03月31日,,3464974,1955148,501868.0,1426.0,48335933.0,,20449000,229175859,476389,493380302,507914954,280993,,,2726703,,11191539,,,,9775688,,,13616932,,,564788931.0,1040483,516452998.0,,376793452,1463781,,,,,,1463781,,1463781,,564788931.0,,194270,23093126,1021022,1021022,680658,,,6482306,964045,3449995,6442780,27886933,23072696,56873977,1426.0,683261,,0
2015-08-10,2,2015,22912851,39513,276775.0,,538810,7016684,121110,-283543,,21175787,,5071360,1876577,-276024,,,541685,565132,84762,84762,107219,10553,2301423,875367,,,,,,839726,7519,11206582,15863765,0.0,284055,1426056,81276558,463047392,2229283,1040214,0.0,,,,,,11300000,,,3624272,2044343,,,7121786,153012,598768.0,6083,,,,4628431,,10198124,4087,3693116,2655334,,1937060,,3943896,1708502,13616932,2015年06月30日,,3705166,2135627,430538.0,4354.0,48878060.0,,20781159,229175859,584815,502520445,516493613,279360,,,2726703,,11463924,,,,9817922,,,13616932,,,571999971.0,1045598,523121911.0,,381978165,1463781,,,,,,1463781,,1463781,,571999971.0,,298592,23861728,1021022,1021022,708669,,,6940238,1022713,4279554,6491801,28096901,20601466,55506358,4354.0,632704,,0
