date,season,year,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,代理店往來（海陸運輸業適用）,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他金融負債－流動,其他金融資產－非流動合計,其他長期借款,其他長期投資（淨額）,其他長期負債準備,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商標權淨額,商譽,基金合計,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,專利權淨額,專門技術淨額,工程進度請款金額,庫存現金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-流動,淨確定福利資產-非流動,無形探勘及評估資產淨額,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別股股本,特別股負債－流動,特別股轉換普通股權利證書,特許權淨額,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,發展中無形資產淨額,短期借款合計,礦產資源淨額,股本合計,與待出售非流動資產直接相關之負債,著作權淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延兌換利益,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,銀行長期借款,長期借款合計,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,18000.0,18000,795478,,,,,,,-2143655,,30001,,,146775,,146775.0,25322,25322.0,27585,27585.0,21631,3631,31242,,,,,,,454100.0,10,10.0,79880,35612,,,,,25865,25865.0,,,,,1017772.0,0.0,,,,,,,,13909.0,13909,,,,,513.0,513,,,86337.0,86337,,,,,,,103884,,,,,,,,3540370,,2013年03月31日,,-2143655,,,1639708,1434734,0,,182838,1302525,,,,888,,,113136.0,113136.0,,,,,,,1017772.0,,,10.0,,0.0,,3540370,,,,,454100.0,,672948.0,10434,169,10265.0,,,,2312656.0,,,,,1732,,,,,,,,,36000.0,36000,,,44268,,204974,490110,1010131,,1119,,,,,,0
2013-08-13,2,2013,18000.0,18000,764776,,,,,,,-2152394,,30807,,,109191,,109191.0,24304,24304.0,40362,40362.0,18439,439,121412,,,,,,,456760.0,10,10.0,80337,35538,,,,,37154,37154.0,,,,,762222.0,0.0,,,,,,,,19465.0,19465,,,,,1172.0,1172,,,96008.0,96008,,,,,,,120210,,,,,,,,3540370,,2013年06月30日,,-2152394,,,1648982,1438772,0,,148291,1288601,,,,812,,,244628.0,244628.0,,,,,,,762222.0,,,24.0,,0.0,,3540370,,,,,456760.0,,636561.0,10434,169,10265.0,,,,2285543.0,,,,,1732,,,,,,,,,31500.0,31500,,,44799,,210210,488270,996942,,1141,1141.0,,,,,0
2013-11-12,3,2013,18000.0,18000,593099,,,,,,,-64048,,32804,,,66238,,66238.0,4181,4181.0,44803,44803.0,288157,270157,89814,,,,,,,448368.0,0,0.0,64876,42811,,,,,41572,41572.0,,,,,1083204.0,0.0,234285.0,234285.0,,,,,,20766.0,20766,,,,,4539.0,4539,,,116099.0,116099,,,,297.0,297.0,,117371,,,,,,,,1456870,,2013年09月30日,,-64048,,,1664751,1448059,0,,379791,1709482,,,,778,,,138895.0,138895.0,,,,,,,1083204.0,,,91.0,,0.0,,1456870,,,,,448368.0,,853659.0,10434,169,10265.0,,,,2518410.0,,,,,0,,,,,,,,,25500.0,25500,,,22065,,216692,473868,808928,,1135,1135.0,,,,,0
2014-03-18,4,2013,0.0,0,619877,,,,,,,621926,,34546,,,132680,,132680.0,190181,190181.0,76285,76285.0,3990,3990,73412,,,,,,,0.0,107160,107160.0,65491,43270,,,,,18053,18053.0,,,,,1524943.0,0.0,,,,,,,,11249.0,11249,,,,,444.0,444,,,50007.0,50007,,,,305.0,305.0,,117555,,,,,,,,1456870,,2013年12月31日,,621926,,,2512879,2165515,0,,161455,1943152,,,,873,,,85701.0,85701.0,,,,,,,1524943.0,,,13092.0,,0.0,,1456870,,,,,0.0,,268615.0,10434,169,10265.0,,,,2781494.0,,,,,0,,,,,,,,,0.0,0,,,22221,,347364,107160,838342,,550,550.0,,,,,0
2014-05-13,1,2014,,0,619799,,,,,,,611787,,35067,,,105020,,105020.0,2999,2999.0,102112,102112.0,4049,4049,78555,,,,,,,0.0,116983,116983.0,25214,3825,,,,,17935,17935.0,,,,,,0.0,,,,,,0.0,,7869.0,7869,,,,,5260.0,5260,,,48123.0,48123,,,,305.0,305.0,,117338,,,,,,,,1456870,,2014年03月31日,,611787,,,2537918,2181203,0,,134110,1990730,,,,863,,,86826.0,86826.0,,,,,,1720450.0,,,,11912.0,,,,1456870,,,,,0.0,,251093.0,10434,169,,10265.0,,,2789011.0,,,,,34962,,,,,,,,,0.0,0,,,21389,,356715,116983,798281,,575,,,,,,0
2014-08-12,2,2014,,0,400343,,,,,,,539119,,36355,,,126073,,126073.0,4097,4097.0,89176,89176.0,163,163,91017,,,,,,,0.0,112714,112714.0,69434,49291,,,,,23052,23052.0,,,,,1540633.0,0.0,,198601.0,,,,0.0,,13005.0,13005,,,,,5442.0,5442,,,66551.0,66551,,,,97.0,97.0,,113269,,,,,,,,1456870,,2014年06月30日,,476926,,,2313078,2219375,0,62193.0,203145,2008020,,,,1516,,,50966.0,50966.0,,,,,,1540633.0,,,,58462.0,,0.0,,1456870,,,,,0.0,,315859.0,134210,169,,0.0,134041.0,,2628937.0,,,,,32442,,,,,,,,,0.0,0,,,20143,,93703,112714,620917,,564,564.0,,,,,0
2014-11-12,3,2014,10139.0,10139,450126,,,,,,,510996,,34791,,,97918,,97918.0,3773,3773.0,83846,83846.0,59462,49323,312623,3297.0,3297.0,,,,,0.0,114263,114263.0,125348,36762,0.0,5860.0,,,80412,80412.0,,,,,1373918.0,0.0,0.0,0.0,,,,0.0,,3031.0,3031,,,,,4685.0,4685,,,49795.0,49795,,,,227.0,227.0,,113621,,,,,,,,1456870,,2014年09月30日,,448803,,,2277476,2185923,0,62193.0,225371,1911542,,,,9157,,,51916.0,51916.0,,,,,,1373918.0,,,,60275.0,,,,1456870,,,,,0.0,,367109.0,134211,169,,0.0,134042.0,,2644585.0,,,,,27564,,,,,,,,,27475.0,27475,,,88586,,91553,141738,733043,,11314,11314.0,,,,,0
2015-03-20,4,2014,10139.0,10139,444013,,,,,,,497034,,35052,,,136022,,136022.0,3673,3673.0,114014,114014.0,73738,63599,81073,3196.0,3196.0,,,24940.0,,0.0,79250,79250.0,156946,13992,,5860.0,,,109902,109902.0,,,,,1412194.0,0.0,,,,,,0.0,,6855.0,6855,,,,,173.0,173,,,26478.0,26478,,,,305.0,305.0,,117022,,,,,,,,1456870,,2014年12月31日,,434841,,,2271477,2202129,0,62193.0,276621,1890199,,,,9056,,,59483.0,59483.0,,,,,,1412194.0,,,,59833.0,,0.0,,1456870,,,,,0.0,,380811.0,134211,169,,,134042.0,,2652288.0,,,,,185750,,,,,,,,,,24940,,,86746,,69348,104190,762089,,11341,11341.0,56208.0,,,,0
2015-05-12,1,2015,10139.0,10139,409492,,,,,,,419382,,36002,,0.0,125635,,125635.0,8890,8890.0,73080,73080.0,72805,62666,304026,2915.0,2915.0,,,22405.0,,0.0,78125,78125.0,199619,14178,,5860.0,,,192217,192217.0,,,,,905692.0,0.0,,,,,,0.0,,2598.0,2598,,,,,3870.0,3870,,,28631.0,28631,,,,2391.0,2391.0,,113478,,,,,,,,1456870,,2015年03月31日,,357189,58005.0,,2149243,2083543,0,62193.0,262913,1745320,,,,8775,58603.0,58603.0,,,,,,,,,905692.0,,,,,0.0,,1456870,,,2512686.0,,0.0,363443.0,,134211,169,,,134042.0,2512686.0,,,,,,233538,,,,,,,,,,22405,,,83481,,65700,100530,767366,,11332,11332.0,101960.0,,,,0
2015-08-12,2,2015,,10139,396049,,,,,,,376668,,34403,,,121535,,121535.0,14774,,64977,,69156,59017,71609,,2782.0,,,,,,77275,77275.0,263182,15688,,5860.0,,,145660,,,,,,,,,0.0,,,,,,,5565,,,,,,1508,,,,35284,,,,,8800.0,,110611,,,,,,,,1456870,,2015年06月30日,,314475,10.0,,2096539,2032726,0,62193.0,197774,1578572,,,,8642,,58049.0,,,,,,,,,834789.0,,,,,,,1456870,,,2391459.0,,,294920.0,,134211,169,,,134042.0,2391459.0,,,,,,194524,,,,,,,,,,19871,,,80432,,63813,97146,812887,,215083,11326.0,167062.0,203757.0,,,0
