date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2833982,15389,1154464,-1628.0,23268,,323544,39271,46,,112990,42401,64083,211074,1674.0,998579,0,,,644247,1048,74935.0,2411,1058777,218521,7556,1533444,2013年03月31日,748324,,3030629,2982225,0,241438,1782602,2761317,59578,164702,,323414.0,49583.0,568253,1533444,,,2894685.0,294271,303.0,293968.0,0.0,,5925314.0,5591,15713,0,43974,1048000,48404,1112083,3163997,33817,,0
2013-08-12,2,2013,2771129,14139,1199988,,22952,0.0,416614,39671,44764,44764.0,112776,172787,56083,425472,,1042826,0,,,693993,1276,0.0,9156,1032496,248244,17004,1533444,2013年06月30日,767271,,3120029,3072467,0,268015,1834204,2925773,58807,164702,,312165.0,54094.0,538000,1533444,,,3118287.0,294271,,294271.0,,,6238316.0,8295,11065,0,42996,1228000,47562,1284083,3312543,26563,,0
2013-11-11,3,2013,3054482,14139,1271467,,23385,0,533817,49234,13006,13006,225034,232013,56083,133055,,908716,0,,,652855,2675,0,7615,1054824,236596,13695,1410768,2013年09月30日,838750,,3032072,2989512,0,268015,2054463,2895506,58987,164702,,331882,43538,585298,1410768,,,3167381,294271,,294271,,,6199453,3631,10110,835,43284,1056000,42560,1112918,3303947,35051,,0
2014-03-24,4,2013,3119986,13139,1328296,,23047,0.0,399057,30123,69086,69086.0,1622,333539,45911,131123,,1050581,0,,,636458,3159,0.0,5484,961889,213337,10003,1410768,2013年12月31日,895579,,3151965,3102421,0,268015,1997734,3126066,62932,164702,,456862.0,58741.0,881543,1410768,,,3344983.0,294271,,294271.0,,,6496948.0,11670,23004,1338,43702,1300000,49544,1347249,3370882,23681,,0
2014-04-24,1,2014,3104410,13139,1384340,,24263,0.0,364507,27894,53954,53954.0,4905,328435,45816,139823,,1068008,0,0.0,,621419,2062,0.0,174,1046215,212292,9526,1410768,2014年03月31日,951623,,3190669,3143333,0,268015,2230088,3462712,62601,164702,700440.0,,78564.0,1150238,1410768,,,3637703.0,294271,,294271.0,,,6828372.0,8219,18096,1799,45687,1360000,47336,1407615,3365660,27543,,0
2014-08-12,2,2014,3164057,11214,1438033,,25502,0.0,432550,32657,2699,2699.0,4565,439078,45815,113875,,1036805,0,0.0,,573553,865,219746.0,339,1066738,266336,13320,1410768,2014年06月30日,978282,,3206965,3145771,0,295049,2246962,3566192,60339,164702,629339.0,,58208.0,955758,1410768,,,3753098.0,294271,,294271.0,,,6960063.0,1378,20372,321,44386,1460000,61194,1506136,3393871,36045,,0
2014-10-31,3,2014,3273011,11214,1551816,,30482,0.0,477489,29948,90400,90400.0,774,198835,45815,71517,,1080780,0,0.0,,648199,413,249776.0,0,1202435,284921,16743,1269692,2014年09月30日,1092065,,3270220,3206179,0,295049,2301784,3466568,60722,164702,564360.0,,55818.0,852286,1269692,,,3660536.0,294271,,294271.0,,,6930756.0,17029,19922,2937,47724,1310000,64041,1358752,3464188,38142,,0
2015-03-13,4,2014,3409368,11214,1666198,,30173,0.0,509073,34911,187947,187947.0,2211,312009,43157,51098,,1171599,0,0.0,,724517,845,,3480,1227925,295612,9922,1269692,2014年12月31日,1206447,,3485158,3418108,0,295049,2220741,3734577,62592,164702,584378.0,,67926.0,900443,1269692,,,3828579.0,294271,,294271.0,,,7313737.0,12246,20274,4681,44888,1560000,67050,1607838,3579160,47774,,0
2015-04-17,1,2015,3354156,11215,1807104,,52702,0.0,490075,46716,159620,159620.0,4231,294784,43118,50425,,1256108,0,0.0,,744028,692,,0,1344641,301043,15838,1269692,2015年03月31日,1347353,80320.0,3599041,3530687,0,295049,2371245,3952198,63676,164702,,535444.0,,1050581,1269692,7475823.0,3876782.0,,294271,,294271.0,,7475823.0,,1318,26162,2419,44153,1460000,68354,1505537,3523625,78760,,0
2015-08-13,2,2015,3483038,11214,1624096,,33293,0.0,892360,55006,107917,,9187,1493,43068,108166,,1324888,0,0.0,1376741.0,784624,582,0.0,1838,1329585,364452,18031,1269692,2015年06月30日,1127960,53918.0,3488611,3419678,0,331434,2426719,4189954,62053,164702,,939945.0,,679436,1269692,7896391.0,4407780.0,,417973,,,,7896391.0,,4774,35464,1252,41966,560000,68933,1981061,3706437,87797,,0
2015-11-04,3,2015,3812727,9482,1776970,,128683,0.0,719603,50581,241225,241225.0,110544,0,43068,137811,,1405166,0,0.0,1383056.0,762563,641,193802.0,1286,1507424,362984,34708,1269692,2015年09月30日,1280834,48580.0,3779340,3706587,0,331434,2703048,4406234,65972,164702,,741751.0,,842022,1269692,8475869.0,4696529.0,,418700,,418700.0,,8475869.0,,24007,88884,7357,43643,560000,72753,1993481,4069635,86053,,0
