date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,200000,1546119,493293,179490,179490,185573,8353,-3413,213372,13372,63240,63240,0,151864,40566,14851,847,780,497032,497032,2813,,,157998,157998,0.0,0.0,10034,10034,626364,28461,151017.0,827887,2013年03月31日,340456,,1550974,1369446,354726,152837,1002231,1769363,,,365771.0,29707.0,405547,827887,,,1856839.0,54492,,3407813.0,0.0,0.0,105165,51765,597579,24935,181528,854608,1638450,652,652,0
2013-05-07,1,2014,312500,1463736,619725,117134,117134,206955,8012,31588,331959,19459,156809,65183,91626,182479,64748,38678,847,791,476743,476743,2813,,0.0,167351,167351,,,1710,1710,581667,27171,181632.0,869281,2014年03月31日,448251,,1795261,1572521,372463,171474,977693,1910560,,542345.0,,57458.0,212260,869281,,,1695164.0,54740,,3490425.0,,,152325,51381,382667,25279,222740,717471,1579865,679,679,0
2013-08-06,2,2013,150000,1511900,458806,84002,84002,251801,14953,12401,160092,10092,84744,81103,3641,152450,60203,34139,847,783,466392,466392,2813,41394.0,,144857,144857,0.0,0.0,8451,8451,602061,23215,151603.0,827887,2013年06月30日,287332,,1565983,1392167,354726,171474,946437,1712684,,,436652.0,47669.0,333567,869281,,,1763891.0,54492,,3329874.0,0.0,0.0,117062,45087,547942,25281,173816,817454,1617190,665,665,0
2013-11-07,3,2013,200000,1483735,518647,76151,76151,212561,10578,4432,213440,13440,107015,74550,32465,153073,60650,34992,847,779,472285,472285,2813,,,174258,174258,9992.0,9992.0,9455,9455,603979,15654,152226.0,869281,2013年09月30日,347173,,1633545,1444287,372462,171474,1002624,1819964,,,533643.0,66703.0,316215,869281,,,1776284.0,54740,,3409829.0,0.0,0.0,122282,45480,498305,24879,189258,773660,1589865,659,659,0
2014-03-19,4,2013,216667,1473004,561121,108397,108397,243481,20486,19156,228068,11401,144347,68574,75773,181593,58866,32962,847,785,517618,517618,2813,,,218463,218463,0.0,0.0,5926,5926,576856,24174,180746.0,869281,2013年12月31日,389647,,1706953,1501485,372463,171474,1071992,2002168,,,609620.0,93293.0,282761,869281,,,1878238.0,54740,,3585191.0,,0.0,142652,51153,482001,25119,205468,806246,1583023,670,670,0
2014-08-07,2,2014,366667,1462702,545322,132064,132064,294029,11636,12544,393796,27129,180568,75918,104650,183388,57552,31161,847,1783,460917,460917,2813,43464.0,0.0,156949,156949,,,2473,2473,570102,22325,182541.0,869281,2014年06月30日,349882,,1704317,1522538,354726,195440,1100860,1894785,,516508.0,,37510.0,216103,912745,,,1762291.0,54740,,3466608.0,,,153043,51569,325000,24608,181779,661431,1571823,665,665,0
2014-11-05,3,2014,0,1444533,623455,120711,120711,241310,18864,30715,21043,21043,251088,71949,179139,184045,66987,40299,847,1790,479683,479683,2813,,0.0,183457,183457,0.0,0.0,2877,2877,621146,50340,183198.0,912745,2014年09月30日,428015,,1821577,1619215,391086,195440,743807,2105009,,562500.0,,37370.0,257750,912745,,,1847864.0,55113,,3669441.0,,,162577,52912,757435,24898,202362,1104057,1564432,677,677,0
2015-02-25,4,2014,0,1499134,669636,111530,111530,283594,19778,78732,18771,18771,352157,72047,280110,229378,59819,32142,847,1808,489598,489598,2813,,0.0,165303,165303,,,2941,2941,639154,50292,228531.0,912745,2014年12月31日,474196,,1934875,1713413,1200017,195440,729448,2212223,,549005.0,,65250.0,193589,912745,,,1896473.0,55113,,3831348.0,,0.0,180027,60172,757620,25869,221462,1167025,1619125,709,709,0
2015-05-07,1,2015,0,1489699,714376,121439,121439,215043,11362,62340,17160,17160,449614,74729,374885,235496,76883,48769,847,2802,402642,402642,2813,,0.0,140695,140695,,,9395,9395,501896,40835,,912745,2015年03月31日,518936,44347.0,1973191,1741761,1200017,195440,609930,2137656,234649.0,,609170.0,,183290,912745,3762279.0,1789088.0,,55113,3762279.0,,,,180949,58041,762713,25312,231430,1179158,1624623,698,698,0
2015-08-06,2,2015,0,1517142,590492,122659,122659,405694,16819,50704,12774,12774,433603,72427,361176,236142,59234,31911,847,2423,394710,394710,2813,0.0,0.0,146810,146810,,,2848,2848,524991,53048,,912745,2015年06月30日,367689,33018.0,1795937,1606241,1200017,222803,781569,2123217,235295.0,,576695.0,,180425,912745,3758739.0,1962802.0,,55113,3758739.0,,,,176286,59146,768805,24900,189696,1181233,1635522,692,692,0
