date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵呆帳－其他應收款項,備抵存貨跌價,其他應付款合計,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待分配股票股利,待售房地,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,累計減損－以成本衡量之金融資產－非流動,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,陳飾品,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2006450,67904,154734.0,91446,554768,26245,429955,12802,56,26301,0,0,2106880,2585,109173,82,109091,0,26086,7722,3775,449668,9704,3947,6441159,6441159,54928,,232325,,55271,8857,137,3218,,16382.0,2707525,2013年03月31日,373263,,,3266264,3216193,3437778,117679,3343256,6940184,,6189121,63826,,125049.0,10330.0,,1148200,373263,63288.0,2707525,,916,,3858499.0,8828,,7124763.0,244299,17507,489157,3775.0,50071,515243,184579,17093,97845,0
2013-08-08,2,2013,2006634,67473,152365.0,89077,488719,26245,429955,51594,9934,36179,0,0,2382139,1360,400290,81,400209,0,26046,10122,3775,470712,9704,6347,6335973,6335973,54928,0.0,106095,,26680,13642,109,2282,,16342.0,2707525,2013年06月30日,313202,,,3203393,3150144,3437778,122985,3588474,7119903,,6189121,52532,,154916.0,1803.0,,1108700,313202,63288.0,2707525,,3916,,4100689.0,8828,,7304082.0,185236,17507,486169,3775.0,53249,512215,184179,31163,374145,0
2013-11-13,3,2013,2232219,67042,152365.0,89077,432310,26245,429955,24439,278,26523,0,0,2909005,841,406239,81,406158,0,26057,15972,3775,576860,9754,12197,6496281,6496281,54928,0.0,85179,,31356,144,100,1398,,16303.0,2707525,2013年09月30日,256793,,,3144259,3093735,3437778,122985,4021016,7484899,,6264197,52532,,232867.0,1756.0,,1053400,256793,63288.0,2707525,,916,,4530238.0,8828,,7674497.0,222407,17507,483165,3775.0,50524,509222,189598,125329,675945,0
2014-03-18,4,2013,2694798,67539,151738,88450,383874,26245,429955,24481,930,27175,0,0,3598559,555,636322,81,636241,0,20300,16490,4353,676199,9604,12137,6595641,6595641,54928,,85185,,39616,0,129,23060,,10696,2707525,2013年12月31日,208357,,,3156846,3045299,3437778,122985,4892221,7893546,,6264212,52532,,253307,1641,2,1226900,208357,63288,2707525,,1024,,4926678,8828,,8083524,204313,17499,14157,,111547,34457,189978,179842,903206,0
2014-05-14,1,2014,2689583,70943,,88004,352589,26245,429955,15033,8217,34462,0,0,3775364,694,736174,80,736094,0,20796,136412,4825,734205,10120,131587,6751511,6751511,54928,,83000,0.0,23512,3314,0,5296,,10676.0,2707525,2014年03月31日,177072,,,3123160,3014014,3437778,122985,5007288,7849508,,6364261,52532,31823.0,,1641.0,175.0,1187400,177072,,2707525,,1024,,5039206.0,8828,,8162366.0,107678,17499,11122,4825.0,109146,31918,312858,208634,1085087,0
2014-08-07,2,2014,2684369,70284,151292.0,88004,330621,16245,397915,11560,1311,17556,0,0,3888278,1137,716439,80,716359,0,20777,137152,5505,788353,10120,131647,6835524,6835524,54928,0.0,80822,0.0,25579,4247,0,4120,,10657.0,2707525,2014年06月30日,178282,,,3098335,2992046,3437778,122985,5226688,8042131,,6364264,29354,47078.0,,0.0,479.0,1296000,178282,63288.0,2707525,,1024,,5255537.0,8828,,8353872.0,218757,16301,8072,5505.0,106289,28849,311741,218423,1202772,0
2014-11-11,3,2014,2677586,70046,145597.0,82309,296651,16245,397915,5823,9733,25978,0,0,4032438,746,702456,80,702376,0,20779,137152,5505,877229,10160,131647,6924400,6924400,54928,0.0,80822,0.0,29943,35,0,2824,,10619.0,2707525,2014年09月30日,144312,,,3061881,2958076,3437778,122985,5222763,8006191,,6364264,29354,42955.0,,0.0,690.0,1153500,144312,63288.0,2707525,,1024,,5250118.0,8828,,8311999.0,100826,16301,6576,5505.0,103805,27355,305808,222307,1354106,0
2015-03-24,4,2014,2674057,69430,54401.0,27719,210512,16245,397915,14928,101,16346,0,0,4168810,480,676577,81,676496,0,20121,137115,5505,999425,10160,131610,7046596,7046596,54928,,80822,0.0,39054,1500,0,13160,,9961.0,2707525,2014年12月31日,58173,,,2972374,2871937,3437778,122985,5368203,8130381,,6364264,29354,75813.0,,0.0,819.0,1142800,58173,26682.0,2707525,,1111,,5408459.0,8828,,8380833.0,96174,16188,20135,,100437,40256,250452,221141,1494273,0
2015-05-12,1,2015,2667276,68595,,27719,197664,16245,397915,8360,108,16353,0,0,4239966,523,611461,81,611380,0,20100,137115,5505,1158946,10160,131610,7206117,7206117,54928,,80822,0.0,53558,0,0,4323,,,2707525,2015年03月31日,45325,0.0,891.0,2957690,2859089,3437778,122985,5484205,8230721,9940.0,6364264,29354,,79011.0,,,1181210,45325,,2707525,8480338.0,1111,5522648.0,,8828,8480338.0,,98636,16188,18343,5505.0,98601,38443,249617,230174,1572167,0
2015-08-13,2,2015,2660489,67789,50967.0,25311,181072,16245,397915,6296,114,16359,0,0,4331705,16083,530836,81,530755,0,20080,137115,5505,1312668,10160,131610,7359839,7359839,54928,0.0,80822,0.0,47284,0,0,2976,,,2707525,2015年06月30日,28733,0.0,790.0,2938830,2842497,3437778,122985,5714036,8443082,9920.0,6364264,29354,,135836.0,,,1327640,28733,25656.0,2707525,8689485.0,1111,5750655.0,,8828,8689485.0,,176046,16188,16539,5505.0,96333,36619,246403,236645,1655133,0
