date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－非流動,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－非流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,原料,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應付設備款,應收分期帳款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收所得稅退稅款,應收票據,應收票據淨額,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫付款,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,未實現利息收入－應收分期帳款,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－運輸設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-24,1,2013,114290,114290,479688,,,65490.0,495230,31.0,31.0,37.0,9011.0,9048,129720.0,3074.0,129576.0,115267,112857.0,16229,15527,573659,7514,17554,,82610.0,49865.0,,,,33080,68071,0.0,-119.0,-5400.0,10000.0,5400.0,437754.0,15496.0,15496.0,266091.0,266091.0,261409.0,,2415,929894,929894.0,1546.0,0.0,,,324155.0,324155,9561.0,9561,185.0,185,,2410.0,,680275.0,545761,2601.0,2601,,102773.0,99699,109734.0,77849.0,0.0,0.0,615505,,2013年03月31日,332327,13584.0,4794.0,,45204.0,148827.0,59904.0,1148667,1139048,0,145602,1344177,2332523,1585,,24359.0,24359.0,17301,,663616.0,76436.0,,179424,99929.0,287123.0,32745.0,31885.0,88923.0,13706.0,615505,360307.0,,65490,,1781086.0,12786,3779.0,9007.0,9007.0,,2929753.0,0,9881,0,26101.0,12395.0,25114,25114.0,38838,179424.0,562141.0,378715.0,378715,33080.0,65656,1585.0,9619,436909,597230,0.0,22929,,451855,0,451855
2013-08-07,2,2013,130419,130419,477634,,,74690.0,387062,52.0,52.0,63.0,9011.0,9074,138205.0,2920.0,129302.0,124729,121888.0,12739,29858,560366,3166,21070,,84934.0,48534.0,,,,34001,67523,0.0,-492.0,-5400.0,10000.0,5400.0,416446.0,29806.0,29806.0,266091.0,266091.0,268982.0,,2515,928468,928468.0,1058.0,0.0,,,424634.0,424634,11606.0,11606,331.0,331,0.0,2841.0,,784419.0,634295,11844.0,11844,,68602.0,65682,111815.0,78018.0,0.0,0.0,615505,,2013年06月30日,209068,14468.0,11919.0,,90912.0,151934.0,57941.0,1055831,1045211,0,160701,1431079,2310395,1710,,27396.0,27396.0,17293,,561280.0,64228.0,,170495,,118156.0,36400.0,33797.0,93993.0,14574.0,615505,372342.0,,74690,,1848798.0,12786,3779.0,9007.0,9007.0,,2904629.0,0,9508,0,27156.0,12582.0,33454,33454.0,38293,170495.0,560222.0,350264.0,350264,34001.0,65008,1710.0,10620,417719,594234,0.0,38113,,426781,0,426781
2013-10-31,3,2013,132089,132089,462933,0.0,0.0,76550.0,445697,13.0,13.0,16.0,9011.0,9027,137334.0,1092.0,150791.0,113806,110327.0,11012,23197,507406,3914,18765,,93148.0,53643.0,,,,33604,66307,0.0,-697.0,-5400.0,10000.0,5400.0,411988.0,23184.0,23184.0,266091.0,266091.0,260190.0,,2403,852965,852965.0,1236.0,0.0,,,375496.0,375496,27415.0,27415,0.0,0,0.0,3479.0,299886.0,539170.0,688979,14058.0,14058,0.0,43855.0,42763,111374.0,75802.0,0.0,0.0,615505,,2013年09月30日,267703,8273.0,12743.0,,149547.0,141735.0,47445.0,1108450,1097185,0,160701,1388973,2313262,1537,,19835.0,19835.0,17293,,634884.0,57357.0,0.0,230943,,118156.0,39505.0,35572.0,94290.0,15361.0,615505,331578.0,,76550,,1784794.0,12786,3779.0,9007.0,9007.0,,2893244.0,0,9303,0,27040.0,11679.0,27222,,40178,230943.0,633648.0,334995.0,334995,33604.0,63904,1537.0,11265,395821,579982,0.0,20698,,371403,0,371403
2014-03-26,4,2013,120828,120828,428714,,,,458980,,,,,9065,,,,152302,,7070,32181,477693,2423,10535,,,,,,,34202,61201,,,,,,,,,,,,,2583,731490,,,,,,,266915,,33661,,63,,,,,942181,,31838,,,31557,,,,0.0,692455,,2013年12月31日,280986,,,,,,,1368566,1356285,0,160701,1247710,2441316,1478,,,20726.0,17293,,645827.0,31995.0,,208360,,,,,,,692455,,,76696,,1610212.0,172669,,,,,2978778.0,25,9542,0,,,27226,,37004,,,,301074,34202.0,58618,,12281,362502,537462,0.0,10550,,354442,0,354442
2014-05-12,1,2014,120828,120828,421503,,0.0,,512622,,,,,8971,,,,109616,,9192,30116,564705,9039,11551,,,,6229.0,,6229.0,34070,67128,,,,,,,,,,,,,2592,846437,,,,,0.0,,421403,,34276,,63,,,,,1089937,,34249,,,44178,,,,,692455,,2014年03月31日,334628,,,,,,,1421185,1407862,0,160701,1453203,2681210,1099,,,20826.0,17293,596434.0,,33697.0,190.0,210911,,,,,,,692455,,,76652,,1794121.0,172669,,,,,3215306.0,1880,9771,0,,,35981,,35395,,,,270867,34070.0,58307,,13323,340918,534096,,18445,,434838,0,434838
2014-08-13,2,2014,120828,120828,440914,,0.0,,455912,,,,,9096,,,,257290,,24007,19881,370006,2602,8979,,,,,,,33451,59102,,,,,,,,,,,,,1936,789033,,,,34623.0,0.0,,437690,,39804,,18,,,,,1016015,,23370,,,42877,,,,,692455,,2014年06月30日,261635,,,,,,,1355024,1340917,0,176984,1480450,2597497,800,,,20736.0,17293,640288.0,,45629.0,,251262,,,,,,,727078,,,78751,,1792894.0,138046,,,,,3147918.0,0,9823,0,,,38333,,40509,,,,240660,33451.0,57166,,14107,312444,550421,,22369,,246576,0,246576
2014-11-07,3,2014,120828,120828,439001,,0.0,,498988,,,,,4512,,,,109167,,18744,34286,366744,2977,7869,,,,,,,34306,59860,,,,,,,,,,,,,1318,723285,,,,0.0,0.0,,383676,,30641,,0,,,,,1092760,,21355,,,25928,,,,,727078,,2014年09月30日,304711,,,,,,,1413595,1398398,0,176984,1401773,2556874,501,,,20820.0,17293,621245.0,,42755.0,,403480,,,,,,,727078,,,65310,,1680445.0,138046,,,,,3094040.0,0,9954,0,,,33913,,33292,,,,210453,34306.0,58542,,15197,278672,537166,,14914,,242939,0,242939
2015-03-25,4,2014,120223,120223,434961,,8000.0,,558259,,,,,4559,,,,134937,,25420,49247,310004,2968,8192,6687.0,,,,507.0,,0,16929,,,,,,,,,,,,,1622,596274,,,,,0.0,,362704,,25846,,507,,,,,1150767,,36137,,,26179,,,,,727078,998.0,2014年12月31日,363982,,,,,,,1489879,1472630,0,176984,1352032,2588876,633,,,16250.0,17293,713975.0,,51286.0,,404017,,,,,,,727078,,,62731,,1595795.0,138046,,,,,3085674.0,0,0,0,,,43468,,31716,,,,200295,0.0,14266,,17249,243763,496798,,15682,1041.0,186813,0,186813
2015-05-13,1,2015,182951,182951,428382,,8000.0,,614538,,,,,4464,,,,100347,,26850,46282,320269,2421,9944,8805.0,,,0.0,504.0,0.0,2522,15791,,,,,,,,,,,,2522.0,1552,617706,,,,,0.0,,359734,,34270,,504,,,,,1108827,,23633,,,24985,,,,,727078,635.0,2015年03月31日,420261,,,42222.0,,,,1543841,1525944,0,176984,1227135,2757210,725,16250.0,,,17293,,903228.0,,,303755,,,,,,,727078,,3249008.0,66034,1705167.0,,138046,,,,3249008.0,,0,0,0,,,41483,,34436,,,,434027,0.0,14115,,17897,478032,491798,,25787,124.0,134897,0,134897
2015-08-11,2,2015,178012,178012,437054,,8000.0,,518212,,,,,4563,,,,228009,,22674,26068,250938,3268,8800,8800.0,,,,0.0,,2474,15331,,,,,,,,,,,,2474.0,1570,640312,,,,72708.0,0.0,,435310,,23930,,0,,,,,1141711,,36216,,,26685,,,,,727078,,2015年06月30日,300158,,,29978.0,,,,1499961,1482112,0,200761,1305349,2760577,588,16250.0,,,17293,,840972.0,,,277207,,,,,,,799786,,3256942.0,59977,1756981.0,,138046,,,,3256942.0,,0,381,0,,,42066,,30829,,,,407092,0.0,13761,,17849,451632,496365,,26576,0.0,69658,0,69658
2015-11-13,3,2015,156240,156240,453945,,8000.0,,610041,,,,,4512,,,,115976,,7366,48694,194042,2785,5012,4459.0,,,,0.0,,2588,16660,,,,,,,,,,,,2588.0,2354,564400,,,,0.0,0.0,,264016,,31988,,1,,,,,1065759,,41553,,,37393,,,,,799786,553.0,2015年09月30日,391987,,,24925.0,,,,1617087,1596567,0,200761,1058453,2577463,451,11205.0,,,17293,,827382.0,,,373548,,,,,,,799786,,3087622.0,53957,1470535.0,,138046,,,,3087622.0,,0,4439,0,,,58004,,26591,,,,351490,0.0,14306,,20520,412082,510159,,12954,0.0,35017,0,35017
