date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,1148308,25271,638905,,83160,11234,-3546,0.0,99060,16007,-3546.0,301033,,,,32974,23977,49945.0,112712,76272,381993,44,24258,80,310485,133786,1278139,2013年03月31日,469289,,1923324,1923324,0,132832,537005,927236,642,36784,,185626.0,27965.0,130000,1278139,,,685731.0,9826,9826.0,,2609055.0,0.0,6852.0,39666,47320,10000.0,0.0,148726,1681819,16116,0
2013-08-12,2,2013,1183569,25271,559960,,230779,12783,-2904,0.0,99579,23470,,339504,339504.0,,,45922,22651,124920.0,114067,74942,431889,0,33279,123,309120,133660,1278139,2013年06月30日,368040,,1845021,1845021,0,155136,728799,990115,557,36784,,150269.0,22518.0,93000,1278139,,,868044.0,9826,,,2713065.0,0.0,0.0,39666,47303,0.0,0.0,139245,1722950,22268,0
2013-11-12,3,2013,1040200,25271,351906,,75325,12664,-4457,0.0,100103,31752,,182130,182130.0,,,12195,21593,59954.0,66964,53009,276628,59,19348,125,307755,133375,1278139,2013年09月30日,159986,,1635414,1635414,0,155136,509954,754687,480,36784,,248498.0,10914.0,210000,1278139,,,749723.0,9826,,,2385137.0,0.0,0.0,39666,91617,100000.0,0.0,239769,1630450,15235,0
2014-03-27,4,2013,1214523,25271,489769,,56900,160421,-3581,0.0,87395,21800,,162403,162403.0,,,16858,25253,59956.0,95725,19643,108706,8,10932,40,306390,117065,1278139,2013年12月31日,297849,,1774153,1774153,0,155136,525892,697207,403,36784,,242647.0,1557.0,250000,1278139,,,654581.0,9826,,,2428734.0,0.0,0.0,41294,46075,0.0,0.0,128689,1731527,12050,0
2014-05-09,1,2014,1258595,25271,493895,,51254,186371,-2318,,80867,5563,,219241,219241.0,,0.0,31895,21332,59953.0,115228,27498,171791,0,11642,40,305025,118233,1278139,2014年03月31日,301975,,1779542,1779542,0,155136,537525,710642,334,36784,107449.0,,365.0,230000,1278139,,,689686.0,9826,,,2469228.0,,0.0,41294,45565,30000.0,0.0,152161,1758586,14108,0
2014-08-08,2,2014,1258020,25271,440252,,86213,16752,-4433,,78380,10313,,239448,239448.0,,0.0,36833,16180,49986.0,78466,52102,258121,2498,20117,41,303660,73729,1278139,2014年06月30日,241092,,1723784,1723784,0,158795,589780,711758,281,40365,149105.0,,0.0,270000,1278139,,,709454.0,9826,,,2433238.0,,,41294,50206,,0.0,119674,1721480,25676,0
2014-11-11,3,2014,1233400,25271,473701,,68279,13270,-2459,,78687,12172,,268778,268778.0,,0.0,44745,18514,0.0,72815,55395,315629,6988,20956,42,302294,78670,1278139,2014年09月30日,274541,,1759207,1759207,0,158795,556878,734423,237,40365,82896.0,,2130.0,295000,1278139,,,676859.0,9826,,,2436066.0,,,41294,49599,,0.0,119981,1701643,25864,0
2015-03-30,4,2014,1219949,24042,504691,,70550,8112,-2459,,79900,19998,,248641,,,0.0,39897,24239,0.0,90731,57173,337906,5703,20866,45,300929,80964,1278139,2014年12月31日,305531,,1790197,1790197,0,158795,610821,824744,193,40365,180870.0,,8231.0,320000,1278139,,,731939.0,9826,,,2522136.0,,,41218,51317,,0.0,121118,1697392,22601,0
2015-05-14,1,2015,1211364,24042,515028,,68943,7169,-5213,,80362,15455,,212194,212194.0,,,38992,20663,0.0,69866,64226,336859,10680,14083,40,299564,77854,1278139,2015年03月31日,315868,11679.0,1797780,1797780,0,158795,564369,801384,148,40365,,197874.0,,290000,1278139,2483729.0,685949.0,,9826,,2483729.0,,,,41218,53918,,,121580,1682345,22485,0
2015-08-11,2,2015,1195887,24042,514741,,99507,8182,-5870,,80814,23397,,237833,,,,51137,19026,0.0,68473,60350,354476,1745,17232,41,298199,79091,1278139,2015年06月30日,309036,7352.0,1796836,1796836,0,162881,575845,820121,127,42824,,171732.0,,270000,1278139,2494713.0,697877.0,,9826,,2494713.0,,,,41218,53849,,,122032,1674592,28880,0
