date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,工程存出保證金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付員工紅利,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應付董監事酬勞,應付設備款,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,69883,1177266,397410,,11762,19933,0,131525,61642,387927,40267,347660,24115.0,15654,24257,,,485,142,967660,,0,,,163217.0,7400,390768,119538,59945.0,486027,3900,462,1246537,831726,100626,15169.0,74912,1387503,2013年03月31日,324712,,1828752,1828752,0,72698,2658699,3658271,,,,103862.0,52109.0,1406830,1387503,,,3129696.0,43839,,4958448.0,195.0,469.0,,,23742,291657,0.0,470997,1300177,0
2013-08-08,2,2013,67647,1227886,343206,,15135,22956,0,163673,96026,435070,35967,399103,24115.0,15566,24307,,,485,192,755538,,0,69375.0,,99397.0,8700,435876,28598,59978.0,452794,5250,1185,1154225,1041533,173082,15081.0,77412,1449867,2013年06月30日,245655,,1908739,1908739,0,97551,2691007,3676389,,,,93985.0,22912.0,1512041,1519242,,,3120786.0,46291,,5029525.0,,287.0,,,23531,314529,0.0,429779,1353136,0
2013-11-04,3,2013,95578,1277656,404641,,8991,23121,0,216880,121302,386728,38385,348343,24115.0,15435,24381,,,475,266,749867,,0,69375.0,,74337.0,4400,412343,37899,0.0,522712,3500,1091,1400864,1023811,131583,14960.0,77278,1674412,2013年09月30日,307090,,2218996,2218996,0,97551,2568430,3781664,,,,65690.0,25147.0,1344458,1743787,,,2974922.0,70568,,5193918.0,,0.0,,23.0,32916,316720,0.0,406492,1412254,0
2014-03-11,4,2013,124323,1273651,402742,0.0,8791,3031,0,183479,59156,242098,33349,208749,12001.0,15784,12267,,,485,266,517069,,0,0.0,,0.0,4500,330417,22184,0.0,523770,3600,691,1154988,991989,252708,15299.0,152590,1819197,2013年12月31日,305191,,2291646,2291646,0,97551,2138075,3294651,,,,132768.0,19830.0,1049604,1819197,,,2469778.0,69707,,4761424.0,,0.0,,,28265,315919,0.0,331703,1466773,0
2014-05-09,1,2014,136558,1276673,442078,,10522,2960,0,197261,60703,368059,160903,207156,1801.0,15639,3038,,,485,1237,493994,,0,,0.0,0.0,5388,538918,5344,0.0,380720,4312,822,1151230,1109483,235222,15154.0,152456,1819197,2014年03月31日,344527,,2330982,2330982,0,97551,2161809,3418537,,,57589.0,,26629.0,1002415,1819197,,,2547395.0,69707,,4878377.0,0.0,0.0,,,27673,369947,0.0,385586,1459840,0
2014-08-08,2,2014,143842,1316093,319991,,42091,2959,0,353430,209588,314697,85158,229539,1801.0,15478,461986,459392.0,,485,793,557212,,0,0.0,0.0,0.0,6050,709776,49604,9986.0,341510,4850,31191,1256599,1450647,292612,14993.0,152322,1819197,2014年06月30日,203373,,2208895,2208895,0,116618,3271077,3930077,,,55351.0,,14501.0,1750001,1819197,,,3679587.0,69707,,5888482.0,178.0,0.0,,,28004,393032,0.0,408510,1958405,0
2014-11-11,3,2014,58490,2055954,311734,,31970,2920,0,214927,156437,240579,66380,95760,1801.0,15303,3079,,,485,1278,711570,78439.0,0,0.0,0.0,0.0,5675,658526,34521,,280794,4515,21780,1039483,1678710,213324,14818.0,152188,1819197,2014年09月30日,195116,,2200638,2200638,0,116618,2058368,3986454,,,99208.0,,0.0,837630,1819197,,,4024922.0,69707,,6225560.0,,,660.0,0.0,27885,1951251,0.0,1966554,2239106,0
2015-03-19,4,2014,46382,2079783,322368,,26146,2984,6637,145574,99192,180310,42275,59596,0.0,14529,714,,,499,714,507215,78439.0,0,,0.0,,1450,414256,25106,,286720,1160,23536,1136195,1570111,428510,14030.0,152054,1819197,2014年12月31日,205750,,2217909,2217909,0,116618,1222455,3909149,,,83546.0,,1243.0,323410,1819197,,,3951835.0,69707,,6169744.0,,,278.0,,28044,2714851,,2729380,2260595,0
2015-04-30,1,2015,234614,2079190,326748,,6633,13559,0,340581,105967,251286,136215,36632,0.0,14234,689,,,579,689,535047,78439.0,0,,0.0,,1540,652607,9606,,290174,1250,3843,978587,1363749,616522,,151784,1819197,2015年03月31日,210130,951.0,2355539,2215652,0,116618,1842478,4235655,13655.0,,,476905.0,,541469,1819197,6495180.0,4139641.0,,69707,6495180.0,,457.0,,0.0,,27862,2282929,139887.0,2297163,2259525,0
2015-07-30,2,2015,215000,2069040,279775,,3857,46931,-1825,318528,103528,200572,135157,65415,0.0,14132,211052,210728.0,-1825.0,579,324,540866,0.0,0,36384.0,0.0,,1724,464568,37169,0.0,258121,1386,747,1092388,1235897,356890,,151514,1819197,2015年06月30日,156702,9874.0,2368994,2203238,0,123073,1768973,3730705,13553.0,,,256754.0,,676856,1855581,6196501.0,3827507.0,,69707,6196501.0,,0.0,,407.0,,34190,2044402,165756.0,2058534,2465796,0
