date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,72573,15000.0,87573,973377,33198.0,22644.0,-70630,85258,4800.0,453,20000.0,-1093,101903,14330,40131,9999,30132,26627,20738,34358,2378,-1093,,5353,268730,,,,223337,4828.0,21436,346999,622,0.0,1094342,2013年03月31日,1499512,1476546,0,556694,972248,15874,,262115.0,,97112,1094342,,18020,,651117.0,453927,,2150629.0,,172.0,132128,73513,14455.0,6283,22966,94423,1178381,0
2013-08-02,2,2013,,54432,28960.0,83392,933038,7500.0,22644.0,-29370,96305,18300.0,20424,0.0,314,87600,4208,47948,13211,34737,27869,5958,37329,4076,314,,5384,206576,,,,182626,0.0,22377,396207,688,0.0,1094342,2013年06月30日,1459625,1439122,0,547762,942477,14874,,263134.0,,125895,1094342,,14659,,623109.0,373836,,2082734.0,,417.0,132372,68972,0.0,5958,20503,75347,1140257,0
2013-11-07,3,2013,,36291,0.0,36291,894993,7500.0,22644.0,-132178,96761,14100.0,20404,0.0,-343,41693,5402,51124,10304,40820,27615,5633,41426,9930,-343,,3881,234301,,,,206954,0.0,33004,348628,244,0.0,1094342,2013年09月30日,1349730,1332880,0,684053,1015554,14601,,353353.0,0.0,256124,1094342,,35417,,754633.0,371059,,2104363.0,,527.0,115145,64420,0.0,5633,16850,70580,1088809,0
2014-03-14,4,2013,,18185,0.0,18185,834912,1009.0,20611.0,-283976,83989,14100.0,27707,0.0,395,22892,4707,39497,7279,32218,28024,5309,39179,5537,395,,5618,139386,,,,130863,0.0,21791,202743,0,0.0,1094342,2013年12月31日,1192276,1181820,0,528677,773288,14336,,362946.0,,241549,1094342,,13493,,594583.0,371059,,1786859.0,,740.0,104533,59857,0.0,5309,10456,65906,1013571,0
2014-05-09,1,2014,,9859,0.0,9859,800829,1009.0,0.0,-341350,66211,23700.0,21286,0.0,1027,13769,3910,42455,10459,31996,46440,4983,58588,6499,1027,,5649,127447,,0.0,144599.0,93017,0.0,21342,228073,297,,1094342,2014年03月31日,1138331,1129986,0,330089,688986,13264,268419.0,,,93039,1094342,,19011,,527341.0,375967,,1665672.0,195.0,17.0,103810,47653,0.0,4983,8345,197252,976686,0
2014-08-08,2,2014,,9859,0.0,9859,768200,1009.0,0.0,-121711,61218,17000.0,21986,,142,16101,6242,36349,9409,26940,45906,4659,56069,4318,142,,5845,109689,,0.0,145441.0,101691,,26317,235124,5208,,1094342,2014年06月30日,1066816,1064764,0,303015,634724,12258,225359.0,,,71755,1094342,,8933,,498715.0,91991,,1565531.0,75.0,412.0,94205,45188,,4659,2052,195700,930807,0
2014-11-11,3,2014,,9859,,9859,737336,0.0,0.0,-128610,74182,13500.0,21457,,923,14677,4818,45111,12630,32481,46394,4334,59915,7913,923,,5608,169425,,0.0,146286.0,188179,,44912,344494,1434,,1094342,2014年09月30日,1060799,1058646,0,425123,776440,11721,194519.0,,,86382,1094342,,3291,,618466.0,91991,,1679265.0,60.0,0.0,93793,42723,,4334,2153,193343,902825,0
2015-03-30,4,2014,,9859,,9859,530146,0.0,0.0,-403999,77849,0.0,19561,,2918,14765,4906,34948,8842,26106,56052,4260,61393,1283,2918,251.0,4058,143491,,0.0,147133.0,156321,,35847,335979,42,,1094342,2014年12月31日,785537,785252,0,340268,690026,10739,156005.0,,,55194,1094342,,292,,531919.0,91991,,1317456.0,45.0,0.0,25107,40258,,4009,285,191651,627430,0
2015-05-13,1,2015,,9859,,9859,516541,0.0,,-416647,65967,0.0,19206,,2265,14674,4815,32084,14716,17368,81645,3931,85562,2520,2265,247.0,1397,122587,,0.0,147982.0,116727,,32967,326000,164,,1094342,2015年03月31日,772187,771951,0,285251,609534,10340,,109493.0,,54775,1094342,1247144.0,141,474957.0,,91991,1247144.0,,60.0,0.0,25107,37793,,3684,236,189706,637610,0
2015-08-10,2,2015,,9859,,9859,507295,0.0,,-437654,57257,0.0,18698,,1886,15284,5425,26157,7134,19023,80699,3837,84889,2793,1886,478.0,1397,142101,,0.0,148834.0,119542,,31843,231266,406,,1094342,2015年06月30日,750774,750565,0,269876,581414,9944,,162786.0,,45950,1094342,1208649.0,0,457875.0,,91991,1208649.0,,0.0,0.0,25107,35328,,3359,209,187999,627235,0
