date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,2399571,44277,707821,,,381804,21780,418,,,53055,2106,259863,,142237,,418,1317550,1439,,,244686,,7888,910702,36997,304633,,54307,1147276,2537362,2013年03月31日,578445,,,5763594,5575270,55295,118605,1395979,3689177,,52059,10771,,866623.0,,20465,99538.0,12977.0,609008,2537362,,,,1870063.0,2331108,530,,2330578,,,7633657.0,,29999.0,0.0,122013,84288,,,92208,188324,474084,3944480,185810,0
2013-08-12,2,2013,2408337,44277,463423,,,958849,36825,-734,,,57573,19418,258619,,153649,,-734,1329286,1439,,,203593,,17171,917773,45851,349357,,54926,1136887,2537362,2013年06月30日,252818,,,5444024,5253599,55295,163058,2013194,3980002,,48853,47547,,1104790.0,,21373,92118.0,12526.0,683890,2537362,,,,2488992.0,2254987,530,,2254457,,,7933016.0,,28743.0,0.0,124797,84712,,,92382,190425,475798,3953014,135433,0
2013-11-11,3,2013,2450358,44277,601797,1274.0,9214.0,512142,21501,-43215,,0.0,59785,19532,257561,,234840,,-44489,1329463,1439,,,238917,,2957,994086,38403,379123,,53758,1076637,2537362,2013年09月30日,391192,,,5535245,5349492,55295,163058,1807392,3859535,,46093,47547,,889375.0,,21853,71179.0,1471.0,922412,2537362,,0.0,,2358950.0,2254987,530,0.0,2254457,,,7894195.0,,29298.0,0.0,125792,97630,,0.0,168205,185753,551558,4034660,157283,0
2014-03-31,4,2013,2492568,44277,715065,3373.0,8496.0,504244,32804,-51783,,0.0,76160,23597,403508,,186361,,-55156,1325499,1439,,,286889,,1816,1023315,37468,375762,,53825,1088822,2537362,2013年12月31日,504460,,,5642706,5454192,55295,163058,1895764,4187768,,43063,47547,,1189592.0,,10574,119257.0,472.0,907398,2537362,,,,2585903.0,2254987,530,0.0,2254457,,,8228609.0,,29622.0,0.0,136371,112855,,0.0,150260,188514,690139,4040841,149637,0
2014-05-13,1,2014,2479105,44277,895609,2826.0,8581.0,440509,22632,-9107,,0.0,60399,34664,414687,,209080,,-11933,1301408,1439,,0.0,277057,,19309,1014148,46771,348450,,52963,1131530,2537362,2014年03月31日,685004,,,5869399,5677412,55295,163058,1873674,4365466,,43505,47547,1383342.0,,,17488,157021.0,38208.0,919379,2537362,,,,2591987.0,2254987,530,0.0,2254457,,,8461386.0,,30268.0,,147816,109391,,0.0,155810,191987,718313,4095920,145575,0
2014-08-08,2,2014,2468048,44277,662653,2455,7932,1030399,14916,-38322,,0,62915,7612,408661,,249530,,-40777,1262241,1439,,0,282944,,5605,1069015,54857,412814,,51522,1121599,2537362,2014年06月30日,385915,,,5515183,5326434,55295,224955,2398879,4495691,,43277,51783,1548857,,,21552,115445,37456,901571,2537362,,,,3097810,2166180,530,0,2165650,,,8612993,,0,,145244,109565,,0,145026,188749,698931,4117302,87923,0
2014-11-07,3,2014,2610164,44277,856838,2933.0,8180.0,523932,8668,-22807,,0.0,62858,35919,373283,,248804,,-25740,1347785,1439,,0.0,335214,,2472,1082338,38143,359803,,51831,1116515,2537362,2014年09月30日,580100,,,5730528,5536134,55295,224955,1892261,4050579,,40776,51783,1037107.0,,,24004,77926.0,49350.0,889859,2537362,,,,2562983.0,2166180,530,0.0,2165650,,,8293511.0,,0.0,,155742,98381,,0.0,141697,194394,670722,4242932,91466,0
2015-03-27,4,2014,2681930,44277,1018781,3676.0,8472.0,666100,25946,-30608,,0.0,59994,18521,362233,15860.0,288961,,-34284,1400613,1439,,0.0,303427,,1302,1100911,33912,361023,346373.0,52434,1047564,2537362,2014年12月31日,742043,,,5895609,5690276,55295,224955,2130512,4395230,,38970,51783,1376793.0,,,24117,120265.0,12850.0,979424,2537362,,,,2795759.0,2166180,530,0.0,2165650,,,8691368.0,,0.0,,164375,109413,,0.0,138639,205333,665247,4296138,64661,0
2015-05-08,1,2015,2711369,44277,1215689,3922,8741,564888,24243,-85015,,0,54933,30489,354264,7612,281982,,-88937,1421121,1439,,0,355094,,2939,1145017,40214,333844,,51321,1034073,2537362,2015年03月31日,938951,143697,10145,6035602,5832777,55295,224955,2204191,4626117,346652,37258,51783,,1505377,,27667,,,1082640,2537362,8937969,,2902367,,2166180,530,0,2165650,,8937969,,,0,,157594,115164,,0,186318,202825,698176,4311852,115667,0
2015-08-07,2,2015,2698162,44277,749460,3960.0,8475.0,1150473,51835,-150599,,0.0,59360,9835,350587,7413.0,300270,,-154559,1474228,1439,126868.0,0.0,401630,,5281,1163762,51605,329667,,50064,974396,2537362,2015年06月30日,421891,123099.0,8639.0,5636113,5433551,55295,296961,2895378,4987696,343174.0,35368,30608,,1783633.0,,28462,,,1155535,2664230,9233012.0,,3596899.0,,2171899,530,0.0,2165650,5719.0,9233012.0,,,0.0,,170300,105842,,,180634,202562,701521,4245316,114492,0
