date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,3268087,21000,580087,-39358,24599,452818,95581,-48566,2075463,76210,,,111940,156010,-9208,641536,96792.0,,0,981249,1729,2345362,629.0,185330,0.0,,27133.0,2056963,2013年03月31日,197208,,,3922412,3891501,2500000,308279,4203495,5019731,1638,74600,,1295911.0,28762.0,568625,2056963,,,4625522.0,1399809,7375,874.0,11892,12195,,31837,1098056,,237580,,8547934.0,94849,379172,310087,29736,,30911,422027,3528203,,0
2013-08-09,2,2013,3379364,19000,514366,-39860,24097,663962,51867,-17450,334175,69446,,,111953,166560,22410,733555,96792.0,,0,1320349,6178,2647584,2715.0,216189,0.0,,24827.0,2056963,2013年06月30日,92034,,,3865482,3825982,2500000,316833,3110698,5558553,4730,105499,,1427380.0,23101.0,739860,2056963,,,5345146.0,1368895,7375,677.0,11892,14375,,130044,1193967,,10565,,9210628.0,23073,409817,322495,33497,1800000.0,39500,2234448,3652075,,0
2013-11-11,3,2013,3333393,16500,581004,-38400,25557,656642,66039,-42664,240799,55583,,,111853,199999,-4264,566104,96792.0,,0,995875,136102,2699256,4013.0,172098,439.0,,17175.0,2056963,2013年09月30日,158672,,,3901990,3869516,2500000,316833,2807401,5305089,4411,105499,,1364690.0,23756.0,754227,2056963,,,5038803.0,1371005,7375,677.0,11892,16556,,130257,1204248,,0,,8940793.0,0,376867,319549,38669,1800000.0,32474,2231402,3635704,,0
2014-03-27,4,2013,3422290,14800,622354,-37760,26197,597932,50007,-5838,252637,268878,50162.0,218716.0,99663,161031,31922,520298,0.0,,0,963850,218984,2561234,2302.0,145729,293.0,,589.0,2031963,2013年12月31日,200022,,,4013665,3988170,0,316833,2656729,5223301,5072,105499,,1281835.0,28436.0,594890,2035408,,,4880242.0,1336246,7375,0.0,11892,17306,,108753,1190920,,0,,8893907.0,0,392725,323850,40627,1800000.0,25495,2223513,3670606,3445.0,344500
2014-05-06,1,2014,3301723,14800,664390,-30595,33362,498109,55661,4658,34880,281477,86639.0,194838.0,100454,160142,35253,553798,0.0,0.0,982070,985933,163023,2288647,972.0,174531,0.0,40389.0,0.0,2045288,2014年03月31日,242058,,,4199074,4160737,0,316833,2286474,6089879,4791,105499,2156299.0,,38137.0,556162,2045823,,,5489184.0,1445866,7375,,11892,18248,,108753,1194878,0.0,104720,,9688258.0,10230,578494,320186,43172,1800000.0,38337,3202710,3598379,535.0,53500
2014-08-06,2,2014,3261210,10800,573386,-30185,33772,591035,30388,-44533,32176,265540,81358.0,184182.0,100193,174353,-14348,602454,0.0,0.0,987777,1432198,162686,2893266,395.0,52003,0.0,38918.0,0.0,2047413,2014年06月30日,156113,,,4060561,4023707,0,336835,2449145,5547381,5274,80438,1309779.0,,33964.0,183006,2047473,,,5055929.0,1447381,7375,,11892,10138,,108753,1204503,0.0,104720,,9116490.0,14080,393556,318814,44782,1200000.0,36854,2606784,3569109,60.0,6000
2014-11-06,3,2014,3394217,7800,637005,-37989,25968,513838,36956,11080,273480,434896,117528.0,317368.0,100381,185646,49069,667668,0.0,0.0,993572,1512128,367568,3000434,352.0,40248,0.0,39157.0,0.0,2048583,2014年09月30日,219732,,,4178156,4145191,0,336835,2904464,5771597,4842,80438,1168436.0,,27611.0,191426,2048583,,,5297568.0,1448523,7375,,11892,10230,0.0,108753,1205553,0.0,104720,,9475724.0,18413,422607,339151,46497,960000.0,32965,2393104,3704127,0.0,0
2015-03-09,4,2014,3465604,4800,670113,-35250,28707,505844,53692,102837,508071,493085,85002.0,408083.0,95329,185204,138087,587303,0.0,0.0,999398,1097058,592688,2693414,363.0,142855,179.0,39631.0,0.0,2048823,2014年12月31日,252840,,,4302742,4271152,0,336835,2984451,5682934,5508,80438,1336803.0,,15098.0,249632,2048963,,,5156888.0,1449239,7375,,11892,10472,0.0,108753,1206027,0.0,104720,,9459630.0,16060,375240,357710,47242,720000.0,31590,2172437,3776696,140.0,14000
2015-05-08,1,2015,3483243,2800,661533,-40955,23002,425667,48060,67879,508905,433623,126346.0,307277.0,95300,184413,108834,623766,,0.0,1005133,1169913,442303,2500593,,204590,,38484.0,0.0,2052433,2015年03月31日,244260,26422.0,,4260249,4232550,0,336835,2969219,5608601,5253,80438,,1586445.0,,376869,2052453,9396718.0,5136469.0,,1450685,7375,,11892,8696,0.0,108753,1209249,0.0,104720,9396718.0,,19140,211524,346817,50922,720000.0,27699,2167250,3788117,20.0,2000
2015-08-04,2,2015,3442391,2800,432563,-45123,18834,540860,39074,25646,991514,376071,116359.0,259712.0,96516,183048,70769,559034,,0.0,1010959,1352225,338098,2530784,,100234,,37181.0,,2052546,2015年06月30日,225,10475.0,,3987809,3961764,0,357739,3571854,5257703,5234,74599,,1580371.0,,301612,2052546,8999769.0,5011960.0,,1451009,7375,,11892,8822,,108753,1209447,,104720,8999769.0,,37070,72135,332631,52578,0.0,26045,1440106,3742066,0.0,0
