date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他預付款,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,23437.0,712911,20250,219698,,0.0,131018,27907,9066,35625,12188.0,91.0,,52340,0.0,41893,,618809,618809.0,0.0,,0.0,283835,,1430,383449,4805,52340.0,8016.0,8016,1187985,2013年03月31日,131256,,,1633536,1633536,0,88442,597135,1408675,,35954,,,,351320.0,7550.0,137677,,1187985,,,677334.0,216787,216787.0,216787.0,,,,,2310870.0,0.0,0.0,11873,83171,15986.0,0.0,80199,902195,22294,0
2013-08-06,2,2013,22645,733702,20250,213053,,0,246143,20251,9253,31027,8382,267,,52340,0,50068,,700981,700981,,,0,539011,,13898,482138,42955,52340,,31895,1187985,2013年06月30日,115688,,,1627078,1627078,0,97365,955734,1722395,,31968,,61791,,392216,4839,120816,,1187985,,,1033809,216787,,,,,,,2660887,0,0,14412,70609,11323,0,78075,938492,21796,0
2013-11-06,3,2013,22295.0,741314,25250,337591,,0.0,191417,41503,3648,37871,15576.0,14291.0,,52340,0.0,52015,,705375,705375.0,,,0.0,543571,,9321,516332,33312,52340.0,,30264,1187985,2013年09月30日,240226,,,1746011,1746011,0,97365,916862,1799975,,38242,,59125.0,,409852.0,5920.0,128762,,1187985,,,992054.0,216787,9175.0,216572.0,215.0,0.0,207397.0,,2738065.0,0.0,,17278,51005,5574.0,0.0,75192,938090,20185,0
2014-03-19,4,2013,22572.0,765403,25250,459806,,,192824,32530,7085,34530,11958.0,15234.0,,60964,0.0,43137,,638332,638332.0,,,0.0,469416,,222,549747,11850,60964.0,,30206,1187985,2013年12月31日,362441,,,1871663,1871663,0,97365,865433,1874363,,39301,,142752.0,,469723.0,18375.0,150066,,1187985,,,949047.0,216787,,,,,,,2820710.0,0.0,,22650,43050,0.0,0.0,83614,946347,14195,0
2014-05-06,1,2014,0.0,781250,30850,601613,,,160583,28575,7540,13930,13930.0,19414.0,,61010,,45758,,579625,579625.0,,,,453400,,991,594798,3397,61010.0,,29342,1187985,2014年03月31日,504248,,,2013925,2013925,0,97365,824141,1966046,,36140,,292903.0,417066.0,,43201.0,152036,504248.0,1187985,,,917930.0,216787,,,,,,,2931855.0,,,32779,42469,0.0,,93789,965809,30268,0
2014-07-30,2,2014,0.0,767786,30850,463341,,,415532,34890,-3154,26150,26150.0,181.0,181.0,61010,,50679,,613123,613123.0,,0.0,,445440,,725,473987,2722,61010.0,,28351,1187985,2014年06月30日,330272,,,1864959,1864959,0,133069,1063085,2065970,,35520,,315873.0,585232.0,,56868.0,118370,,1187985,,,1158034.0,216787,,,,,,,3022993.0,,,33939,43837,0.0,,94949,957023,39962,0
2014-10-30,3,2014,0.0,772327,30850,579289,,,205647,43437,10413,12741,12741.0,231.0,,61010,,55382,,690514,690514.0,,0.0,,507809,,899,565486,4164,61010.0,,27843,1187985,2014年09月30日,446220,,,1994474,1994474,0,133069,902323,2025818,,36317,,314058.0,372470.0,,53777.0,121450,,1187985,,,1000524.0,216787,,,,,,,2994998.0,,,37191,46461,0.0,,98201,969180,35458,0
2015-03-19,4,2014,0,826127,30850,756738,6857,,246504,60733,28451,21642,21642,0,0,63158,,51981,22719,826698,826698,,0,,525649,,150,611674,8356,63158,,26132,1187985,2014年12月31日,623669,,,2189961,2189961,0,133069,1000739,2268816,,34194,,309691,422088,,81942,124852,,1187985,,,1101407,216787,,,,,,,3291368,,,37510,53268,,,100668,1022552,22719,0
2015-04-28,1,2015,,815772,30850,852142,2001.0,,185827,41554,22588,7156,,276.0,,63158,,70634,,783000,783000.0,,,,379232,,1380,618720,8388,,,24687,1187985,2015年03月31日,719073,105337.0,,2279502,2279502,0,133069,828025,2175017,63158.0,31438,271500.0,,,428673.0,,149093,,1187985,3207063.0,927561.0,,216787,,,,,,3207063.0,,,,36378,58665,,,99536,1032046,20905,0
2015-07-29,2,2015,,806415,30850,537612,0.0,,551375,32919,7201,9416,,550.0,,63158,,64049,,759777,,,,,455748,,881,697681,8416,,,24304,1187985,2015年06月30日,350911,38148.0,,1949585,1949585,0,186701,1280506,2325374,63158.0,28549,260621.0,,,544285.0,,224938,,1187985,3331061.0,1381476.0,,216787,,,,,,3331061.0,,,251.0,37812,51520,,,100970,1005687,20874,0
