date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應付票據及款項合計,長期應收款,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,15000,2373039,13210,5878083,4280985,1216224,727892,313066,-2450504,5707082,125086,1262351,,487750,3252183,,120199,19510703,19510703,0,,3697981,,682452,1436000,,2249579,,2583243,155989,367551.0,11234932,2654536,,8411581,2013年03月31日,,,19542623,18704093,0,24619603,32550583,,359111,,1503558.0,74482.0,42433.0,11831957,8411581,,461757,,34116189.0,6864933,,53658812.0,0.0,0.0,2228,4994,,76464,9006608,0.0,,,838530,9496586,21108229,572212,5566996,0
2013-08-12,2,2013,205000,2260258,13210,5390604,3784421,1216224,1164648,410059,-3115673,6143838,104204,1169796,,491003,3378462,33795.0,120367,19955166,19955166,0,,3295684,,1092541,1811000,,2446197,,2796007,131853,370636.0,11224456,2678147,,8411581,2013年06月30日,,,18354371,17550736,0,26181354,32920098,,365940,,1403277.0,96066.0,41492.0,11741724,8411581,,835853,,35707418.0,6864224,,54061789.0,0.0,0.0,2228,4994,,56868,9032833,0.0,3344667.0,3344667.0,803635,9526064,21141691,724962,5834634,0
2013-11-12,3,2013,411000,2186822,13210,5674652,4183177,1216224,843320,341790,-2858459,6777645,75405,1045974,,498571,3380922,39619.0,124823,20432545,20432545,0,,3512453,,943101,1461000,,2829794,,2979931,83175,373748.0,11214260,2720871,,8411581,2013年09月30日,,,18853870,18091998,0,26742306,33995831,,377664,,1195930.0,104628.0,39434.0,12475364,8411581,,624795,,36256928.0,6864224,,55110798.0,0.0,0.0,2228,4994,,49803,9013823,0.0,3341303.0,3341303.0,761872,9514622,21114967,814278,6291240,0
2014-03-25,4,2013,333834,2185380,13210,6381109,4092893,1339905,977729,573151,-2766845,6423517,105816,1038584,,489703,3382466,38301.0,128073,20195392,20195392,0,,3974573,,1084581,1550000,,3942177,,3146178,158336,361630.0,11204064,2795272,,8411581,2013年12月31日,,,19654894,18890833,0,25471075,35502126,,387487,,1444219.0,105611.0,39463.0,10797510,8411581,,557554,,37160010.0,6864988,,56814904.0,0.0,55.0,4431,4994,,66153,11194801,0.0,3344165.0,3344165.0,764061,11688935,21312778,805525,5983867,0
2014-05-14,1,2014,601001,2243909,13210,6279194,3558710,1339905,826226,513645,-3150264,8702457,210500,1327652,,490582,3427168,50833.0,131790,20453863,20453863,0,0.0,3503630,,1379603,700000,1663.0,3179200,,3788152,136873,358792.0,11193868,2819351,,8411581,2014年03月31日,,,19035189,18406832,0,25660913,35204524,,405613,1363804.0,,107948.0,50767.0,9884274,8411581,,554407,,37617353.0,6866321,,56652542.0,705.0,0.0,4486,4994,,40953,11461372,,3376335.0,3376335.0,628357,11956440,21448018,790905,7890956,0
2014-08-14,2,2014,911501,2326750,13210,6310499,3370618,1339905,1316245,538454,-3426331,8490486,103954,980733,,678537,3446884,18444.0,129715,20344883,20344883,0,0.0,3872870,,1161102,50000,2351.0,2997487,,3862965,245081,357681.0,10725350,2962435,191141.0,8832160,2014年06月30日,,,19225234,18580945,0,24434395,34285662,,418092,1046390.0,,112877.0,55365.0,8869453,8832160,,559011,,36298048.0,6864617,,55523282.0,,0.0,4479,4994,,20353,11180637,,3428440.0,3428440.0,644289,11863653,21237620,823333,7475031,0
2014-11-13,3,2014,951751,2400144,13210,6622266,3212620,1339905,811178,494070,-3551652,8603235,62497,992840,,705302,3525342,52317.0,131501,20138431,20138431,0,0.0,3709100,,1212951,100000,1212.0,3352570,,4107057,68265,360778.0,10715614,3108339,213023.0,8832160,2014年09月30日,,,19413831,18768647,0,23534078,33765775,,435717,616496.0,,114890.0,65327.0,8423661,8832160,,557813,,35895209.0,6865873,,55309040.0,,0.0,4474,4994,38.0,23936,11651355,,3473025.0,3473025.0,645184,12361131,21543265,694163,7588987,0
2015-03-26,4,2014,1207501,2736277,0,4537162,2979385,1322188,1064368,643279,-1418876,8542802,109793,220463,,995748,3534303,12689.0,122745,19771907,19771907,0,0.0,3944123,,1223294,100000,1950.0,3195303,,3629938,149123,379717.0,10536281,3296966,493286.0,8832160,2014年12月31日,,,19454667,18814670,0,22808576,32520956,,448570,1135015.0,,20105.0,62642.0,7356036,8832160,,555898,,34945892.0,6864224,,54400559.0,,0.0,2228,5018,,24303,11139340,,3521614.0,3521614.0,639997,12137316,21879603,709598,7225508,0
2015-05-14,1,2015,831584,2814075,0,4987274,3581281,1322188,1009298,590799,-860458,6162336,114024,478790,,494683,3580918,2851.0,118547,18999704,18999704,0,0.0,4231973,,1536616,800000,5434.0,3671490,,4045031,127923,,10526885,3119268,,8832160,2015年03月31日,21654.0,137358.0,20457174,19823200,0,24268910,34097822,376136.0,465586,,1414485.0,,,9957668,8832160,55931760.0,543931,35474586.0,,6864224,55931760.0,,0.0,0.0,2228,5018,0.0,14542,10708765,,3578067.0,3578067.0,633974,11205676,21833938,1036419,5216728,0
2015-08-07,2,2015,652334,2752481,0,4941933,5281936,1322188,955435,589434,736359,6322873,169974,467906,,498845,3678487,11174.0,119710,19501095,19501095,0,0.0,4419391,,1057952,600000,3973.0,3505350,,3986036,169409,,10517490,3074536,,8832160,2015年06月30日,13465.0,128207.0,22012528,21374676,0,24258633,36417480,379135.0,482569,,1634209.0,,,10328329,8832160,58250249.0,557215,36237721.0,,6864224,58250249.0,,,0.0,2228,5018,0.0,24917,11478015,,3667313.0,3667313.0,637852,11979088,21832769,1128981,5500565,0
