date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2014-03-24,4,2013,1146880,7095044,165622,1046816,340780,42285,0.0,182,1227415,751,125,125,267370,103287,44716,182,19035,2747,3651992,3651992,,,853946,387,1248752,109054,,1044502,104815,331881,1277.0,248335.0,517548,0,6117634,2013年12月31日,592763,,,7524988,7524988,0,127833,4483258,5756818,,3117,326220,,140281.0,9734.0,15.0,677141,6117634,,16049,,6245782.0,360356,,13770770.0,0.0,427069,142810,129334,1352344,1762524,8013952,12576,55824,79784,0
2014-04-28,1,2014,819834,6982344,165622,1126866,260186,12490,,154,944716,1130,281,281,267675,96365,44804,154,19385,2336,4081357,4081357,,0.0,1104392,2219,949031,128493,0.0,1243636,62953,252994,3549.0,248290.0,510574,0,6117634,2014年03月31日,672813,,,7605010,7605010,0,127833,4880585,6251461,,2903,326220,214514.0,,14985.0,15.0,1459145,6117634,,17418,,6520495.0,360356,,14125505.0,,366012,142786,116236,1229449,1639910,7874044,13660,49225,123752,0
2014-08-12,2,2014,492824,6945911,165622,929427,373768,39761,,21,613862,1167,0,0,267471,117237,43023,21,19385,2333,3178175,3178175,0.0,0.0,1044921,1388,1498773,151072,0.0,1600179,55009,267243,2349.0,248086.0,503600,0,6117634,2014年06月30日,438641,,,7407438,7407438,0,164566,4591754,5645253,,2456,326220,133536.0,,26044.0,0.0,863000,6117634,,18415,,6108179.0,360356,,13515617.0,511.0,338872,142349,135538,1106605,1516425,7870364,30129,71881,119871,0
2014-11-07,3,2014,491846,6852137,165622,954527,274560,16379,,208,645639,757,1,1,267448,90677,41360,208,19385,1783,2723840,2723840,,0.0,1085380,2037,899664,122784,174.0,1137059,55333,364292,2194.0,248063.0,496627,0,6117634,2014年09月30日,463741,,,7432725,7432725,0,164566,3595295,4685719,,2125,326220,56172.0,,26047.0,15.0,520000,6117634,,19010,,4990294.0,360356,,12423019.0,0.0,313823,143858,130112,983693,1394999,7737300,16611,47534,153036,0
2015-03-20,4,2014,491793,6707603,165034,989088,303372,15516,,436,574202,1002,387,387,260114,87604,40401,436,19385,2015,2616535,2616535,,0.0,1461272,2582,399574,140144,171.0,1329353,78190,300137,4424.0,240729.0,489653,0,6117634,2014年12月31日,498302,,,7467514,7467514,0,164566,3434354,4882508,,5346,326220,194720.0,,26516.0,17.0,510000,6117634,,16521,,4999566.0,360356,,12467080.0,,330672,144460,129332,1160638,1565212,7584572,12557,45188,81407,0
2015-05-08,1,2015,491832,6555127,175034,922203,250687,38841,,374,633399,1102,241,241,259806,46279,41815,374,19064,2424,2894779,2894779,,,1239366,1445,399505,122378,378.0,1232199,34851,370883,0.0,,482679,0,6117634,2015年03月31日,431417,26795.0,1.0,7400567,7400567,0,164566,3217933,5056643,240742.0,4564,326220,,61229.0,,,525000,6117634,12460167.0,17866,5059600.0,,360356,12460167.0,,1114.0,410878,144113,139841,1437748,1841667,7403524,12741,2040,140465,0
2015-07-28,2,2015,491870,6441921,175034,1070085,379764,18893,,265,599279,2534,1706,1706,259850,49926,44553,265,19164,2328,2998235,2998235,,,1273956,1513,99978,113077,0.0,1392352,43774,304328,0.0,,475705,0,6117634,2015年06月30日,578173,681.0,2.0,7548340,7548340,0,170298,2913824,5418522,240686.0,3971,321614,,109526.0,,,420000,6117634,12681266.0,19248,5132926.0,,360356,12681266.0,,6328.0,514187,144414,116187,1814838,2219102,7262744,35519,3045,104875,0
2015-11-12,3,2015,491911,6400947,175034,977934,280685,47677,,761,599635,780,1089,1089,260002,49490,43735,761,19164,2732,2718431,2718431,,,650319,501,99956,147121,0.0,1308972,53031,397252,0.0,,468732,0,6117634,2015年09月30日,486022,6674.0,2.0,7456685,7456685,0,170298,3022181,5130783,240838.0,3628,321614,,78636.0,,,1217000,6117634,12362922.0,20290,4906237.0,,360356,12362922.0,,,496419,142143,134308,1481911,1884056,7232139,29274,3023,106944,0
2016-03-25,4,2015,491880,6408564,175034,997095,321088,18695,,500,566631,1051,1406,1406,256436,102305,44102,500,18964,1293,1962921,1962921,,,767656,222,0,144727,0.0,1182558,71214,286862,0.0,,465556,0,6117634,2015年12月31日,505183,7139.0,3.0,7475585,7475585,0,170298,2328504,4193929,237472.0,3995,321614,,228323.0,,,500000,6117634,11469828.0,21041,3994243.0,,360356,11469828.0,,,426384,140393,120445,1268910,1665739,7275899,15563,56910,73700,0
2016-05-06,1,2016,491911,6342061,170389,1012523,243790,17629,,384,577514,830,993,993,183888,49346,43629,384,20094,1195,1883312,1883312,,,747435,410,549564,143645,420.0,1418973,47902,214029,,,461020,0,6117634,2016年03月31日,520611,8270.0,28.0,7490897,7490897,0,170298,3156254,4473921,163794.0,3427,321614,,328040.0,,,860000,6117634,11614848.0,19806,4123951.0,,360356,11614848.0,,5400.0,531686,137854,114684,645955,967697,7140927,31329,4522,84773,0
2016-08-12,2,2016,0,6203824,170389,940020,365868,15759,,232,72666,2322,44,44,183751,76127,44071,232,20096,1263,1797415,1797415,,,829710,318,1849396,99288,515.0,1487034,38191,199125,,,456231,0,6117634,2016年06月30日,434893,657.0,28.0,7418242,7418242,0,183513,3840802,4573514,163655.0,2933,321614,,571467.0,,,600000,6117634,11580190.0,21627,4161948.0,,360356,11580190.0,,757.0,454145,137395,97172,0,321146,7006676,10306,30793,70344,0
2016-11-04,3,2016,0,6088194,170389,970023,269511,18151,,-71,85905,865,73,73,183592,46123,43336,-71,20065,1715,1832046,1832046,,,796201,236,1399778,104770,,1439943,37675,263978,,,451695,0,6117634,2016年09月30日,464896,1180.0,27.0,7447942,7447942,0,183513,3360399,4274670,163527.0,2745,321614,,201939.0,,,680000,6117634,11129357.0,22818,3681415.0,,360356,11129357.0,,,470940,137424,95541,0,321016,6854687,9898,1072,85040,0
