date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,17488342,16860598,34348940,148761627,3009683,122992752,27520953.0,36228834,2700800,0.0,13804720,2009400,1979573,65083648,26945742,,-28842.0,,35336958,988018,5968804,,26328338,,11328395,,8498395,-546369.0,,46789160,1945.0,,,,63329878,5566265,11204551,,30015428,2981315,5543373,,97222991,78522986,2013年03月31日,15047253.0,262327720,250460311,183235,43290401.0,85907501,212762441,,,324285,64655098.0,,18172306.0,,17966453,78522986,,,221053458.0,22000776,22000776.0,,,,,483381178.0,,19154.0,0.0,0.0,6013666,7270956,39474075,0.0,11867409,135145957,270618737,2376440,453560.0,0
2013-08-13,2,2013,17988637,15171550,33160187,148980041,3010323,123628690,34178494.0,38330489,7824293,,17713445,4015600,2800166,63265096,35212550,-29078.0,-29078.0,,34181125,1020938,6410067,6410067.0,26225116,223927.0,12590633,,9710656,1063134.0,600150.0,46557020,1945.0,785230.0,,,60440365,7710250,9982879,5098848.0,34151107,3050235,6714779,25401039.0,105846061,78522986,2013年06月30日,15261588.0,272387957,260075148,183235,43712004.0,99946647,222226359,,,336367,64655098.0,,20947400.0,,21234581,79308216,,,235682022.0,21927637,21927637.0,,,,,508069979.0,,9919.0,0.0,0.0,6341766,7255902,42728128,,12312809,135735375,285843620,2426417,453560.0,0
2013-11-13,3,2013,19987670,21430474,41418144,147419896,3009146,131689973,36743257.0,40987407,8165186,,16435276,2022400,2127660,62294034,35698071,-28644.0,-28644.0,,42409583,991439,7298399,7298399.0,26236664,288538.0,12164740,,9314344,-1016542.0,594810.0,46342785,1945.0,,,,68062597,6957074,10992659,7497640.0,35220748,1898219,6382588,25353316.0,109501820,79308216,2013年09月30日,23322871.0,281024741,268674207,185067,43712004.0,101903514,227666072,,,275385,64655098.0,,25114232.0,,15588882,79308216,,,234233597.0,21979892,21979892.0,,,,,515258338.0,,0.0,0.0,0.0,6560623,7056093,31470199,,12350534,132330083,287592266,2396836,453560.0,0
2014-03-26,4,2013,17987255,22718829,40706084,147810707,3009879,138092702,41626470.0,43162997,10515714,0.0,15025997,15900,1700011,63778842,43134677,-16883.0,-16883.0,,41622031,915947,6410802,6410802.0,25668544,205222.0,12362840,,9943279,1523374.0,645271.0,45220280,1945.0,,,,73214727,7104310,11456920,4499306.0,35330345,2532219,6917412,24818051.0,114532675,79308216,2013年12月31日,29726767.0,295347551,282451368,185067,43712004.0,94062024,229600281,,,247060,64653931.0,,24547373.0,1716.0,14337560,79308216,,,229162579.0,21917718,21917718.0,,,,,524510130.0,,0.0,0.0,0.0,6612663,6430974,29604621,0.0,12896183,135100555,294909849,2418547,1014.0,0
2014-05-13,1,2014,15490618,20668291,36158909,147151910,3011344,147432366,,39012585,11311413,,14176912,10300,1861740,59288293,42470279,,,,37337489,1178580,6987141,,25560234,207210.0,12621418,,9825389,,608997.0,46022810,3742.0,,,0.0,73550727,7632539,10572633,0.0,35788359,3387022,6382634,24744027.0,118365301,79308216,2014年03月31日,,304004602,291118451,185067,,83637978,225366486,,,221924,,26635902.0,,,13908105,79308216,,,220397151.0,21911332,21911332.0,,,0.0,,524401753.0,,0.0,0.0,0.0,6856540,6351957,30791672,,12886151,136759173,299035267,2795015,1014.0,0
2014-08-12,2,2014,18488972,12184581,30673553,143519547,3009789,142391411,59829533.0,43568247,24152101,0.0,29675639,14700,7792863,60033551,60461517,-16864.0,-16864.0,0.0,31845579,1172026,7156193,,25571520,181496.0,11964742,,9610913,647702.0,674791.0,46720621,3800.0,0.0,,0.0,77223666,7704663,12079436,0.0,38345894,4379400,6900577,24715233.0,120986797,79308216,2014年06月30日,23970946.0,319506186,304907738,185067,46239163.0,94143589,245688801,,,203561,72181302.0,30791455.0,,1146.0,12823572,79308216,,,239133596.0,22750394,22750394.0,,,0.0,,558639782.0,0.0,0.0,0.0,0.0,7372126,9114444,34822695,0.0,14598448,144990007,312950981,2352815,1014.0,0
2014-11-12,3,2014,13391083,6288693,19679776,143472348,2995334,151755009,,38663640,20327855,,13726049,27100,2316528,43966721,52881001,,,,21231613,1551837,7203785,,25483957,180067.0,11665337,,9435500,,633424.0,49359376,0.0,,0.0,0.0,75513178,7666334,10281898,0.0,38413265,6093449,7886819,24670466.0,124753901,79308216,2014年09月30日,,320979697,306676975,0,,69302634,225610100,,,188854,,31706517.0,,,16369640,79308216,,,216793584.0,22732749,22732749.0,0.0,0.0,0.0,,537773281.0,,,,,7677881,8759552,38815934,,14302722,147490950,312163181,2228823,1014.0,0
2015-03-25,4,2014,25660654,4919981,30580635,145079151,2998687,154809420,,40842667,22491849,0.0,13977003,32600,2575117,24010378,62417658,,,,31673535,1092900,5851585,,25434786,192608.0,12764810,,10457816,,617021.0,47379663,0.0,,0.0,0.0,63592267,7973470,8810017,0.0,34845415,11521600,8032090,24625157.0,129204326,79308216,2014年12月31日,,334147582,319462290,0,,71668097,211691231,,,139535,,36632716.0,,,9201472,79308216,,,198503945.0,22926996,22926996.0,0.0,0.0,0.0,,532651527.0,,0.0,0.0,0.0,7817402,8281938,29991393,0.0,14685292,126835848,320960296,2305980,1014.0,0
2015-05-13,1,2015,25545129,6054836,31599965,140625889,3022858,161677979,,39848045,18909806,0.0,13339529,11200,1552274,19756206,58530973,,,,32800489,1200524,5923204,,26754855,200240.0,12615328,,9979690,,642292.0,44138091,0.0,,0.0,,63538598,7977809,9900301,,34855635,14619172,7909400,,132382979,79308216,2015年03月31日,,337221337,322675669,0,,71274790,217272281,25912323.0,1072.0,132730,,,48670254.0,,7245462,79308216,533186809.0,195965472.0,,23158501,,,,,533186809.0,,,,,,7971181,8224938,26426048,0.0,14545668,124690682,315914528,2634566,,0
2015-08-12,2,2015,22417345,9429033,31846378,138203798,3021991,155995501,,37678231,11652427,0.0,35973131,0,6246527,17276472,46128841,,,,33371011,1524633,5254977,,26766847,268990.0,11984530,,9787651,,662406.0,46473536,0.0,,,,60488475,8196639,10431594,,36328481,12210794,8436027,,132222934,79308216,2015年06月30日,,318053576,304602600,0,,93468598,225379705,25835451.0,1072.0,125928,,,55474660.0,,5496223,79308216,528905374.0,210851798.0,,23170042,,,,,528905374.0,,,,,,8462241,6314061,21665637,0.0,13450976,117383200,303525669,2195807,,0
2015-11-11,3,2015,28724514,6640452,35364966,139265543,2994935,166030586,,34514645,10025333,0.0,16523237,0,3253264,20899965,45564234,,,,36876034,1511068,4667235,,26542257,144522.0,12900796,,10407438,,607596.0,40883513,0.0,,0.0,0.0,53387723,8074014,7233417,,35051729,7411026,7852075,,136657120,79308216,2015年09月30日,,327865081,314292049,0,,82282701,215033477,25790139.0,1072.0,119129,,,60500025.0,,13575999,79308216,522370996.0,194505915.0,,23389013,23389013.0,0.0,0.0,0.0,522370996.0,,,0.0,0.0,0.0,8869864,5374663,23423370,0.0,13573032,112223214,307337519,2492286,,0
