date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,,521903,3993657,49221,734443,31406,220933,,63430,,-9834,534983,13080,151232,30749,120483,36035,60009,2111,467042,431007,1018327,0.0,0.0,,1452764,768734,,179828,10544,,1936717,,8254,,57898.0,3224.0,2919652,2013年03月31日,597180,,6103412,4825287,0,120858,2447314,5781881,,6629,,16405,,2457939.0,90519.0,581923,2919652,,,4873351.0,1181026,,10976763.0,59850,0.0,487981,,,155722,913264,,,1278125,2426037,5194882,145982,,0
2013-08-12,2,2013,,,,557489,3909604,49221,662491,43273,380711,,15697,23234.0,-8407,575248,17759,34927,26379,8548,49790,60456,2110,643561,593771,904408,0.0,0.0,,1457710,563868,3877.0,179742,18869,,2024820,2193.0,18946,,58346.0,25945.0,2919652,2013年06月30日,516173,,6088874,4796720,0,122534,2530832,5524496,,5583,68281.0,23784,,2291781.0,35737.0,720000,2919652,,,4797770.0,1222984,,10886644.0,52780,0.0,456700,0.0,0.0,159980,748772,,,1292154,2266938,5362148,208490,,0
2013-11-13,3,2013,790670.0,423603.0,0.0,1214273,4077877,58848,492954,72083,262944,,61565,22711.0,14000,1226124,11851,178423,58613,119810,386720,60915,2098,1348761,962041,996312,0.0,0.0,,794399,629242,4092.0,179799,46338,120.0,1906664,4115.0,58724,704.0,58817.0,24956.0,2919652,2013年09月30日,346636,,5971399,4648450,0,122534,3766761,5099021,,4689,0.0,23784,,1681485.0,91044.0,1243688,2919652,,,5330291.0,1221844,,11301690.0,83370,0.0,439841,,,175614,708216,,,1322949,1563530,6202669,188318,,0
2014-03-26,4,2013,281924.0,191707.0,0.0,473631,4704401,41106,104908,72473,358763,,47737,21799.0,4899,488955,15324,116812,105566,11246,445767,57657,2098,881463,435696,1010553,0.0,0.0,,795160,848007,4133.0,99825,101499,75.0,2457719,1343.0,72988,,55559.0,23293.0,2919652,2013年12月31日,-41410,,6241308,4687959,0,122534,3628019,5790206,,3627,0.0,23784,,1806008.0,121268.0,1445389,2919652,,,5841483.0,1658500,,12082791.0,160105,0.0,391010,,,175212,1360647,,,1553349,2213464,6292585,255247,,0
2014-05-13,1,2014,0.0,199298.0,,199298,4882624,41106,364404,118686,412325,,102175,22540.0,56221,211854,12556,526076,106504,419572,65088,58038,1923,459367,394279,1470528,,,0.0,541625,925982,2252.0,99832,56454,30.0,2497095,1873.0,215603,,56115.0,22617.0,3019886,2014年03月31日,218086,,7263754,5508192,0,122534,3319294,6660858,,4159,0.0,23784,1549811.0,,178358.0,1431434,3019886,,,5627573.0,2067681,,12891327.0,773,194.0,521608,,,180302,1708616,,,1755562,2308279,6230469,274963,,0
2014-08-13,2,2014,0.0,220215.0,,220215,4820285,41106,376531,108697,579572,,116596,22085.0,42027,249617,29402,486219,74932,411287,78891,98438,41798,435452,356561,1631805,,,0.0,852825,820033,4262.0,99836,37197,90.0,3068186,205.0,321962,713.0,56640.0,22284.0,3057925,2014年06月30日,230213,,7331980,5602714,0,122534,4033555,7657120,,3014,0.0,23784,1664588.0,,103172.0,2026781,3057925,,,6693402.0,2126231,,14025382.0,112995,768.0,758560,,,178864,1708584,,,1729266,2659847,6368262,343993,,0
2014-11-10,3,2014,405204.0,134283.0,,539487,4934773,41106,200502,47766,381027,,125051,22552.0,-14209,599020,59533,488948,69995,418953,79294,99680,42519,437925,358631,2151987,0.0,,0.0,1939069,1192123,1525.0,99852,19681,45.0,2752179,1318.0,431454,0.0,57161.0,22812.0,3073964,2014年09月30日,54184,,7585030,5560754,0,122534,3872150,9394124,,2446,,23784,2808867.0,,151656.0,1331651,3073964,,,8149418.0,2300497,,15734448.0,95570,,676288,,,177208,2238519,,,2024276,4277268,6340324,611768,,0
2015-03-25,4,2014,405592.0,247725.0,,653317,5537138,38359,120144,47920,446208,,116626,0.0,-17790,1003221,349904,496466,60556,435910,80637,71194,27243,426245,345608,2801494,,,0.0,1955586,617067,1985.0,99932,15153,0.0,2922445,1214.0,785005,,43951.0,23070.0,3073964,2014年12月31日,-26174,,7734746,5476815,0,122534,4125996,9590956,,2793,,23784,2027249.0,,223778.0,1628022,3073964,,,8760463.0,2300497,,16495209.0,90630,,675649,,,153079,2607687,,,2257931,4634467,6904253,440457,,0
2015-05-12,1,2015,405981.0,358767.0,,764748,5566325,38359,16200,30401,460100,,313034,0.0,-36364,1372862,608114,508910,77711,431199,90677,72425,27972,177880,87203,2754116,,,0.0,1942716,593959,0.0,99874,7328,0.0,2634411,0.0,1262733,,,23101.0,3073964,2015年03月31日,-130118,332742.0,7771351,5354297,0,122534,4438087,10119881,44453.0,2462,,23784,,1946900.0,,1473196,3073964,16829441.0,9058090.0,,2300497,16829441.0,,98026,0.0,701315,,,169717,2604862,,,2417054,4620003,6709560,699777,,0
2015-08-11,2,2015,771972.0,589052.0,,1361024,5421298,38359,-174338,30867,911021,,177145,0.0,-43478,2223636,862612,283436,79654,203782,90872,62922,18245,187177,96305,2866416,,,,1567597,709466,0.0,99879,11360,0.0,3482169,0.0,1133139,0.0,,21952.0,3082866,2015年06月30日,-320656,246074.0,7361416,5179323,0,122534,6177927,11191276,44677.0,2174,,23784,,2521084.0,,1918105,3082866,17657734.0,10296318.0,,2314273,17657734.0,,58386,0.0,582952,,,181679,2487872,,,2182093,4118391,6466458,727887,,0
