date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,309653.0,2287630,-524386,159721,185080,308598,17690,-219605,403126,93473.0,58097,,18286.0,,35570,70.0,194251,116107,0.0,,27058,1092652,59461.0,,,,,364853,1229,0.0,79081,,,11476.0,957175,8034.0,86800,24024.0,19560.0,512724,3610176,2013年03月31日,-707303,,,3221109,3146597,5000000,111578.0,2041726,3001540,,18286,,112776.0,,,71339,,391964.0,16625.0,,859872,3610176,,147,12813,,3160126.0,339873,,6381235.0,8195.0,,,25402.0,2068,136762,1067949,11476.0,25482,74512,1118400,3379695,0.0,116631,25604,0
2013-08-13,2,2013,,203285.0,2074834,-426147,112393,131849,133309,5159,-215960,262673,23666.0,90713,,10765.0,,24461,,155772,106427,0.0,70.0,18141,850646,59461.0,,0.0,,,332322,1656,0.0,68018,,35722.0,0.0,1080435,10259.0,124838,24391.0,19519.0,492316,3610176,2013年06月30日,-497486,,,3120558,3063585,5000000,0.0,1571722,2729363,,10765,,114057.0,,,71339,,238392.0,0.0,,768562,3610176,,152,13626,,2659632.0,154977,,5780190.0,5030.0,,,23153.0,4788,142619,1045035,0.0,25767,56973,1087910,3050827,0.0,102471,5437,0
2013-11-12,3,2013,,188815.0,1954249,-438303,114765,110862,135564,19325,-243249,250368,26056.0,122158,,10501.0,,24443,,148259,98457,0.0,70.0,17867,799506,59461.0,,0.0,,,526138,1680,0.0,57290,,35497.0,0.0,1242154,2279.0,65444,24373.0,19477.0,476789,3610176,2013年09月30日,-509642,,,3088028,3024140,5000000,0.0,1644134,2910244,,10501,,112686.0,,,71339,,311811.0,0.0,,672942,3610176,,152,14635,,2712199.0,154977,,5800227.0,0.0,,,22403.0,2042,147443,1026945,0.0,25329,63888,1068065,2889983,0.0,120116,6606,0
2014-03-27,4,2013,,312953.0,1452721,-1217723,45053,64021,146372,33517,-13489,440673,89336.0,68729,,10338.0,,28646,,182172,95928,0.0,341.0,19494,680833,59461.0,12006.0,0.0,,,743081,2092,0.0,72644,,38384.0,0.0,1450764,150.0,24777,28305.0,0.0,485180,3610176,2013年12月31日,-1289062,,,2531202,2474480,5000000,0.0,1985418,3054150,,10338,,69600.0,3044.0,,71339,,565707.0,0.0,782.0,580404,3610176,,152,11969,,2851751.0,154977,,5382953.0,0.0,,16693.0,1495.0,4687,129832,821031,0.0,25629,56722,866333,2328803,0.0,85539,41121,0
2014-05-09,1,2014,,318017.0,1414218,-1136753,47617,67039,147487,26384,-11067,459582,103711.0,84901,,11178.0,,29941,,147983,87140,0.0,1535.0,21410,731404,59461.0,0.0,0.0,0.0,,732493,1278,0.0,54743,,37854.0,0.0,1434326,0.0,20937,28406.0,0.0,478401,3610176,2014年03月31日,-1208092,,,2619562,2557872,5000000,0.0,1932066,3156327,,11178,,136652.0,3049.0,,71339,573612.0,,8962.0,782.0,527369,3610176,,152,12243,,2797054.0,154977,,5416616.0,0.0,,23432.0,0.0,4144,138421,818660,0.0,25380,61690,864988,2260289,0.0,76280,14053,0
2014-08-12,2,2014,,432513.0,1361391,-1047243,42947,66479,124327,16053,-29421,532580,62901.0,38558,,8359.0,,30044,,149660,74516,0.0,1535.0,20541,791303,59461.0,0.0,0.0,0.0,,607702,1309,,54323,,37166.0,,1257088,0.0,29493,28509.0,0.0,458338,3610176,2014年06月30日,-1047243,,,2695149,2629028,5000000,0.0,1822600,2996678,,8359,,187525.0,3056.0,,0,483544.0,,20934.0,782.0,481273,3610176,,152,13395,,2499792.0,154977,,5194941.0,0.0,,55035.0,0.0,1370,150980,632383,,24771,66121,677192,2198263,,94350,29832,0
2014-11-06,3,2014,,,1320949,254872,46857,64402,151991,35179,-9584,525615,,39513,,,,30146,,146147,64118,,1535.0,20620,798570,59461.0,0.0,,0.0,,546764,1432,,45474,,,,1358027,0.0,27188,28611.0,0.0,452616,2392453,2014年09月30日,254872,,,2799135,2733257,3313485,,1844022,3168446,,7206,,129165.0,4080.0,,0,629782.0,,25618.0,782.0,546976,2392453,,152,14514,,2527712.0,154977,,5326847.0,,,53404.0,0.0,11934,163001,627096,,25253,65878,683690,2158401,,49979,36156,0
2015-03-20,4,2014,362820.0,362820.0,1292062,353493,45426,58916,197710,17090,6548,435276,32722.0,215236,,,,30045,,148473,53523,,1816.0,20893,770165,0.0,0.0,,0.0,,349325,950,,40970,78.0,39734.0,,1133817,0.0,29209,28229.0,,448047,2359318,2014年12月31日,353493,,,2916572,2849970,0,,1696770,3022173,,7781,,119612.0,3080.0,,0,603966.0,,36890.0,826.0,635409,2359318,,162,14443,,2244349.0,130611,,5160921.0,,,47604.0,0.0,22429,180389,480662,,25906,66602,547579,2138748,,39222,48151,0
2015-05-13,1,2015,,23349.0,1247094,437964,44421,59344,165660,10628,-578,95076,32761.0,198212,,,,29526,,125788,45207,,1535.0,8806,782010,0.0,,,,285087.0,386869,813,,42595,,38966.0,,1110312,,17415,,,439783,2759318,2015年03月31日,437964,50783.0,826.0,3465660,3397104,0,,1304592,3051086,27991.0,8428,122932.0,,,3085.0,0,,641821.0,,,562698,2759318,5122210.0,98,13870,1656550.0,,200400,5122210.0,,,1290.0,72945.0,,13918,187602,8267,,25507,68556,351958,2071124,,49564,46268,0
2015-08-11,2,2015,,20543.0,1214850,291879,33964,58036,415853,3420,-21792,100285,41324.0,202159,,,,29441,,122367,40033,,1535.0,6876,776613,0.0,,,,286263.0,358301,2027,,44769,,38418.0,,1088186,,20229,,,433222,2759318,2015年06月30日,200873,28080.0,796.0,3305267,3229780,0,35382.0,1574992,3184774,27906.0,8287,121270.0,,,3093.0,55624,,761912.0,,,625394,2759318,5224191.0,73,14470,1918924.0,,200375,5224191.0,,210.0,900.0,111308.0,,9383,199562,3475,,24996,75487,343932,2039417,,64917,50462,0
