date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,,0.0,822961,1241000,,,119676.0,-3156,18002,18002,87720,65196,478,38429,529554,529554,,333873,125806,68038,68038,519157,1289,64718.0,892000,2013年03月31日,759128,,2463034,2463034,0,347206,744224,2413347,,6241,,68368.0,134666,,1199313.0,23969.0,54860,892000,,,852393.0,333190,,3315427.0,,7946,42973,34449,54860,,108169,902080,,0
2013-08-09,2,2013,0.0,0.0,811928,1107617,,286879.0,,9594,16073,16073,90632,64147,486,43851,477878,477878,,423976,185137,6532,6532,644521,2000,63661.0,892000,2013年06月30日,653550,,2342401,2342401,0,364229,984622,2540688,,5341,,55925.0,89838,,1257916.0,19945.0,46075,892000,,,1094386.0,333190,,3436787.0,5.0,11816,45617,34979,46075,,109764,896099,,0
2013-11-08,3,2013,0.0,0.0,787488,1117862,0.0,126821.0,,1158,20150,20150,95448,63060,481,40538,433199,433199,,449567,160560,7639,7639,599800,1655,62579.0,892000,2013年09月30日,663795,,2344210,2344210,0,364229,794600,2375176,,3625,,122123.0,89838,,1112500.0,6320.0,23543,892000,,,903676.0,333190,,3247886.0,0.0,10451,46016,41059,23543,0.0,109076,872710,,0
2014-03-21,4,2013,0.0,0.0,785297,1163494,,147100.0,,14083,49257,49257,91920,55855,490,45993,502717,502717,,430507,158860,11963,11963,503700,644,55365.0,892000,2013年12月31日,709427,,2402767,2402767,0,364229,851481,2482028,,2734,,58728.0,89838,,1310866.0,14400.0,39394,892000,,,955970.0,333190,,3358737.0,,13453,48634,42685,39394,0.0,104489,876709,,0
2014-04-24,1,2014,,,766282,1178327,,128576.0,,11043,56091,56091,113318,54859,487,43791,464902,464902,0.0,399039,118912,10564,10564,548120,1608,54372.0,892000,2014年03月31日,724260,,2414560,2414560,0,364229,787694,2446957,,2706,,4875.0,89838,1305568.0,,19777.0,48443,892000,,,891152.0,333190,,3305712.0,6292.0,8566,48599,45976,48443,0.0,103458,858755,,0
2014-08-01,2,2014,,,737025,1044752,,297107.0,,-3538,57468,57468,99644,53864,478,41638,412570,412570,0.0,427283,108383,8379,8379,575547,3560,53386.0,892000,2014年06月30日,580406,,2266404,2266404,0,374508,955488,2498014,,2145,,55039.0,89838,1343077.0,,13234.0,37914,892000,,,1054990.0,333190,,3321394.0,5720.0,8577,45638,42572,37914,0.0,99502,823380,,0
2014-11-07,3,2014,,,731407,1093712,,123156.0,,14686,52663,52663,77773,52736,491,40213,384425,384425,0.0,419769,148784,3723,3723,531886,642,52245.0,892000,2014年09月30日,629366,,2333588,2333588,0,374508,774686,2395746,,1655,,150706.0,89838,1241683.0,,10089.0,14537,892000,,,877018.0,333190,,3210606.0,1965.0,8631,49596,41585,14537,0.0,102332,814860,,0
2015-02-06,4,2014,,,724554,1120938,,129996.0,,38119,58043,58043,86223,75241,507,41629,382888,382888,0.0,405276,163773,8858,8858,507436,573,74734.0,892000,2014年12月31日,656592,,2384247,2384247,0,374508,818879,2514829,,1419,,136302.0,89838,1392808.0,,21885.0,29043,892000,,,949153.0,333190,,3333400.0,2005.0,8599,55033,50969,29043,0.0,130274,818571,,0
2015-04-24,1,2015,,,695209,1165502,,125844.0,,31361,46651,46651,84102,73835,0,38706,373132,373132,0.0,363590,90937,5313,5313,442184,192,,892000,2015年03月31日,701156,28184.0,2422053,2422053,0,374508,688917,2453188,73835.0,1502,178676.0,,89838,,1366290.0,,28398,892000,3238850.0,816797.0,,333190,3238850.0,,0.0,8612,54045,50245,28398,0.0,127880,785662,,0
2015-07-31,2,2015,,,685031,1054620,,295551.0,,21151,58375,58375,79453,72891,0,40372,400773,400773,0.0,402308,136222,5636,5636,570337,141,,892000,2015年06月30日,574727,21854.0,2300961,2300961,0,390055,927160,2579907,72891.0,1028,196930.0,,89838,,1323649.0,,7214,892000,3352559.0,1051598.0,,333190,3352559.0,,0.0,8624,51547,46221,7214,0.0,124438,772652,,0
2015-11-06,3,2015,,,688360,1134003,,132309.0,,49686,48754,48754,65522,71921,0,37059,324526,324526,0.0,320405,136365,6870,6870,521525,402,,892000,2015年09月30日,654110,22122.0,2408879,2408879,0,390055,670702,2434696,71921.0,633,190587.0,,89838,,1323498.0,,3877,892000,3208962.0,800083.0,,333190,3208962.0,,0.0,8636,57460,48214,3877,0.0,129381,774266,,0
2016-03-03,4,2015,,,671272,1144339,,142383.0,,22729,54322,54322,69587,90831,0,33741,306887,306887,0.0,298977,145906,4418,4418,411649,431,,892000,2015年12月31日,664446,29151.0,2392258,2392258,0,390055,680319,2461114,90831.0,299,152579.0,,89838,,1511335.0,,5162,892000,3215409.0,823151.0,,333190,3215409.0,,0.0,8646,52001,48983,5162,0.0,142832,754295,,0
2016-04-22,1,2016,,,652184,1185348,,136026.0,,18483,46878,46878,62260,89737,0,35627,275503,275503,0.0,291057,136449,8525,8525,427790,1917,,892000,2016年03月31日,705455,33664.0,2429021,2429021,0,390055,658202,2494147,89737.0,697,42050.0,,89838,,1675973.0,,5603,892000,3229113.0,800092.0,,333190,3229113.0,,0.0,8654,52153,46458,5603,0.0,141890,734966,,0
2016-08-05,2,2016,,,624752,1104967,,323843.0,,-2261,55209,55209,67673,84805,0,49246,324433,324433,0.0,390573,194491,11026,11026,539010,2475,,892000,2016年06月30日,605085,28477.0,2327896,2327896,0,410044,1008045,2753799,84805.0,485,163880.0,,89838,,1647667.0,,4426,892000,3472899.0,1145003.0,,333190,3472899.0,,,8661,52153,44617,4426,0.0,136958,719100,,0
2016-11-03,3,2016,,,601575,1179524,,142686.0,,-27317,52336,2854,72768,87381,0,64035,375594,375594,0.0,388878,210580,7969,7969,555623,282,,892000,2016年09月30日,679642,19963.0,2377397,2377397,0,410044,826529,2625138,87381.0,322,155444.0,,89838,,1456760.0,,4117,892000,3339849.0,962452.0,,333190,3339849.0,,,8667,48542,48779,4117,0.0,135923,714711,49482.0,0
