date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-06-06,1,2013,144644,776954,,193049,,74997,-108480,50991,50991,0.0,6272.0,238,,8623,8623,229375,,,1221909,5444,3998,733440,91913,12552,558476,2013年03月31日,724600,,1605778,1605778,0,52354,1562388,3008031,6272,,1680502.0,86997.0,,558476,,,1566556.0,378828,,3172334.0,120691.0,3930,4764,,4168,164303,64561,0
2013-08-09,2,2013,142547,495996,,622045,,98587,-83262,60084,60084,0.0,7059.0,243,,9705,9705,240339,27924.0,,1182429,6839,4505,704905,67107,3932,558476,2013年06月30日,391638,,1377962,1377962,0,104358,1919066,3140078,7059,,1584959.0,43164.0,361.0,586400,,,1926253.0,378828,,3304215.0,381021.0,6944,4826,,7187,164137,58867,0
2013-11-08,3,2013,144354,646298,,203222,,74615,-73073,29835,29835,0.0,6254.0,240,,9142,9142,219815,,,1226781,7113,6056,780017,107887,6157,616400,2013年09月30日,541940,,1789883,1789883,0,104358,1523059,3151149,6254,,1718603.0,50052.0,,616400,,,1525908.0,600258,,3315791.0,194504.0,2609,4892,,2849,164642,49551,0
2014-02-21,4,2013,143869,809010,,265540,,63621,-47753,26888,26888,0.0,6315.0,245,,10306,10306,238767,,,1244627,8847,6615,822403,93466,6342,616400,2013年12月31日,704652,,1977915,1977915,0,104358,1616858,3436793,6315,,1829906.0,64341.0,,616400,,,1625678.0,600258,,3603593.0,334812.0,8575,6310,,8820,166800,47476,0
2014-05-09,1,2014,148760,1012650,14677.0,241445,,77880,-34483,37456,37456,,5908.0,245,,11269,11269,275167,,0.0,1359785,8497,4987,836528,91612,9836,674700,2014年03月31日,908292,,3040005,3040005,0,104358,1752467,4628445,5908,2933697.0,,100297.0,,674700,,,1761010.0,1387138,,4801015.0,335305.0,8298,6633,,8543,172570,53743,0
2014-08-08,2,2014,154045,718182,14456.0,776506,,42936,-38212,35625,35625,,7017.0,241,,11706,11706,315436,33735.0,0.0,1470030,8195,4212,967445,86973,14016,674700,2014年06月30日,552770,,2775543,2775543,0,165412,2359572,4961625,7017,3191974.0,,65004.0,0.0,708435,,,2365104.0,1387138,,5140647.0,275813.0,5291,6254,,5532,179022,52576,0
2014-11-06,3,2014,891258,999291,14974.0,765863,,37874,-6893,34900,34900,,7028.0,247,,12659,12659,335995,,0.0,1562254,15519,6005,1158945,119192,15755,708435,2014年09月30日,833879,,3087971,3087971,0,165412,2462892,4648199,7028,2902071.0,,78351.0,,708435,,,2477630.0,1387138,,5565601.0,0.0,14491,6457,,14738,917402,63393,0
2015-03-13,4,2014,893157,1278140,,348382,,50076,31388,53246,53246,,7160.0,254,,15499,15499,351980,,0.0,1505300,6161,5477,1096219,150215,15901,708435,2014年12月31日,1112728,,3405101,3405101,0,165412,2022873,4521822,7160,2796380.0,,104307.0,,708435,,,2048578.0,1387138,,5453679.0,0.0,25451,16041,,25705,931857,61051,0
2015-05-08,1,2015,884560,1568301,0.0,315034,,83981,29949,56371,56371,,8120.0,252,,15476,15476,375056,,,1524210,12693,5462,1107158,86775,27501,708435,2015年03月31日,1402889,152079.0,3693823,3693823,0,165412,2065849,4852449,8120,,3111228.0,,,708435,5778899.0,2085076.0,,1387138,5778899.0,,0.0,18975,18294,,19227,926450,60750,0
2015-08-06,2,2015,887498,1103457,0.0,1152386,,57743,21097,43457,43457,,7571.0,249,,17854,17854,390285,35422.0,,1634367,10938,2968,1204825,87033,6440,708135,2015年06月30日,838505,109602.0,3253561,3253561,0,264952,2953718,5293920,7571,,3473156.0,,,743557,6223163.0,2969602.0,,1385450,6223163.0,,0.0,15635,16320,,15884,929243,74438,0
