date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付股利,應付設備款,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,752122.0,0.0,752122.0,4813296,1312,2895160,354223,12316,1543540,791418,241924,232124,9800.0,0.0,205727,,67834,24016,1280.0,1185639,0,,,0,2772128,,354223,4005551,204447.0,144378,3247937,2013年03月31日,1977784,,7692818,7692818,0,654218,5617366,8494571,,32712,263158,,2911157.0,129253.0,810452,3247937,,,5896026.0,1537405,,13588844.0,7770.0,0.0,150300,72933,34741,43818,0,278660,5094273,0.0,0
2013-08-13,2,2013,738696.0,0.0,738696.0,4767904,1312,2352432,711446,81952,1463607,724911,252313,220613,31700.0,0.0,204167,,70247,25985,1280.0,1033932,0,,,0,2006053,487191.0,224255,3377876,202887.0,144175,3247937,2013年06月30日,1337265,,7219191,7219191,0,752009,5062844,7505315,,31842,263158,,2690982.0,70068.0,782218,3247937,,,5337380.0,1536870,,12556571.0,29452.0,0.0,150212,70369,35776,44262,0,274536,5051256,0.0,0
2013-11-13,3,2013,47342.0,0.0,47342.0,4770242,1312,2545675,280971,34218,934603,887261,237656,237656,0.0,0.0,203096,,78247,34784,1280.0,1312295,0,,,0,2603554,0.0,280971,4027499,201816.0,143973,3247937,2013年09月30日,1530508,,7352619,7352619,0,752009,4534321,7099219,,30695,263158,,1521564.0,33637.0,680434,3247937,,,4807297.0,1524789,,12159916.0,1122.0,0.0,205,69880,36228,43463,0,272976,5060697,0.0,0
2014-03-14,4,2013,0.0,0.0,0.0,4790017,1312,2983460,243440,113266,977497,977497,383425,383425,0.0,0.0,181368,,72046,28115,1280.0,1361242,0,,,0,3775981,0.0,243440,5651195,180088.0,143770,3247937,2013年12月31日,1968293,,7868101,7868101,0,752009,5896069,8997340,,29189,263158,,1584250.0,122393.0,776758,3247937,,,6199850.0,1523438,,14067951.0,0.0,0.0,17228,122413,34277,43931,0,303781,5070611,0.0,0
2014-05-12,1,2014,0.0,0.0,0.0,4671283,1312,3051256,194905,94563,799937,799937,195021,195021,0.0,0.0,180740,,69026,25569,1880.0,1264049,0,0.0,,0,3020963,,194905,4073989,178860.0,143567,3247937,2014年03月31日,2036089,,7917194,7917194,0,752009,4792511,8056126,,31517,263158,2504608.0,,86379.0,690327,3247937,,,5094039.0,1523438,,13011233.0,0.0,0.0,18459,120788,38402,43457,0,301528,4955107,0.0,0
2014-08-13,2,2014,0.0,,0.0,4547601,1312,2756651,532789,10050,783957,783957,184459,184459,0.0,0.0,179574,,104779,62410,1880.0,1156352,0,0.0,,0,2603170,324794.0,207995,4213215,177694.0,143365,3247937,2014年06月30日,1675959,,7538076,7538076,0,817534,4714833,7700941,,30068,263158,2146665.0,,28248.0,766669,3247937,,,5013825.0,1523438,,12551901.0,0.0,0.0,250,119418,23835,42369,0,298992,4850960,0.0,0
2014-11-11,3,2014,0.0,0.0,0.0,5148053,1312,2849889,663722,129082,1055136,1055136,329257,329257,0.0,0.0,178526,,136679,93533,1880.0,2343515,0,0.0,,0,4668256,0.0,663722,4971223,176646.0,143162,3247937,2014年09月30日,1769197,,7750346,7750346,0,817534,7201921,9724649,,27331,263158,2080395.0,,47348.0,767459,3247937,,,7508411.0,1523438,,15258757.0,0.0,0.0,259,127964,77571,43146,0,306490,5534108,0.0,0
2015-03-11,4,2014,0.0,0.0,0.0,5640437,1312,3067349,969479,284295,1223638,1223638,521391,521391,0.0,0.0,174029,,114966,70755,1324.0,2613422,0,0.0,1437096.0,1437096,6315481,0.0,969479,6217219,172705.0,142959,3247937,2014年12月31日,1986657,,8185809,8185809,0,817534,9413129,13337661,,26682,263158,3985330.0,,97540.0,806991,3247937,,,11152751.0,1586228,,19338560.0,0.0,0.0,299,128497,74543,44211,0,1739622,6000899,0.0,0
2015-05-12,1,2015,0.0,0.0,0.0,5483573,1312,2984290,761127,240024,945803,945803,303081,303081,0.0,0.0,172893,,121752,78271,1324.0,2202596,0,0.0,,1442620,4045449,,761127,4229390,,142757,3247937,2015年03月31日,1903598,95217.0,8058479,8058479,0,817534,6649889,10502186,171569.0,27545,263158,,3766820.0,,802293,3247937,16371316.0,8312837.0,,1586228,16371316.0,,0.0,0.0,299,47435,92191,43481,0,1662948,5869130,0.0,0
2015-08-05,2,2015,0.0,,0.0,5327352,1312,2727437,828029,169676,826256,826256,262279,262279,0.0,0.0,170796,,79168,36608,1324.0,1797094,16103,0.0,,1448166,3188689,204620.0,623409,4496418,,142554,3247937,2015年06月30日,1606025,27722.0,7715175,7715175,700000,858254,5658132,9346927,169472.0,33961,263158,,2790987.0,,787436,3247937,15038228.0,7323053.0,,1586228,15038228.0,,0.0,0.0,149,45959,106954,42560,0,1664921,5691301,0.0,0
