date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產評價調整－非流動,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動資產合計,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,其他預收款,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,土地－重估增（減）值,在建房地,在製品,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待售房地,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應付退休金費用,應收帳款,應收帳款淨額,應收收益,應收票據,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,投資性不動產－土地,普通股股本,暫付款,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,辦公設備－重估增（減）值,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行存款,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,1052586,,,340812,8715,,,133930,5278,33213,45078,2807,14712,115573,112790,8653,19405,1391.0,71339,8111,95230,1266.0,5708,5708,5708,0.0,1571,,1524,15257,122376,-62,-62,227736,588679,360943,60067,148373,,,483000,60067,422933,0,,,,,735,49054,49054,,,98943,98943,,1102,24752,970,232019,226741,59.0,40010,40010,2724,93964.0,465241,228302,3747,21449,21449,1386670,1391.0,451.0,2013年03月31日,109712,,,17549,1418300,212077,1908199,1908199,0,29384,213546,1107380,,,,,,19062,201716,,208728.0,0.0,1066.0,,92163,63228,240686,1206223,116924,1386670,166335,,,423443.0,172064,165602,6462,,2331642.0,132341,15417,0.0,16781,,114667,114667,,10589,208528,200,0,209897,1224262,15156,13585,18954,0,18954
2013-08-09,2,2013,1041266,,,322476,8888,,,134103,5278,32502,100070,2081,17669,88333,80681,8826,24393,1811.0,73403,9695,93981,1266.0,3967,3967,3967,483.0,1161,0.0,-2133,11536,126681,-62,-62,227736,588679,360943,75972,116972,,,492915,75972,416943,0,,,,,1154,77601,77601,,,114612,114612,41600.0,1730,34845,991,306360,301082,67.0,49119,49119,7585,92715.0,465241,225096,3747,21449,21449,1386670,1811.0,0.0,2013年06月30日,89049,,,40813,1418255,203396,1890036,1890036,0,31711,316676,1204097,,,,,,17832,201716,,239162.0,0.0,0.0,52444.0,48236,63708,243892,1214859,117951,1386670,187960,,,525324.0,172064,165602,6462,,2415360.0,132351,14400,0.0,9403,1.0,114667,114667,,10478,186518,200,0,208648,1211263,22272,20627,24393,0,24393
2013-11-01,3,2013,1029114,,,340191,14957,,,140172,5278,32502,61429,643,18849,66103,58930,14895,21239,992.0,72943,9228,92681,,4710,4710,4710,1.0,625,0.0,-1400,10536,145890,-62,-62,227736,588679,360943,91131,115043,1266.0,,533413,91131,442282,0,,,,,1054,40707,40707,,,36932,36932,0.0,1580,38306,997,251213,245935,36.0,31598,31598,7137,91415.0,465241,221918,3747,21449,21449,1386670,992.0,,2013年09月30日,106764,,,58528,1418249,195086,1913820,1913820,0,31711,160307,1075267,,,,,,18786,201716,,182531.0,0.0,0.0,,48236,63715,247070,1223163,118026,1386670,195065,,,367655.0,172064,165602,6462,,2281475.0,132229,14203,0.0,9136,,114667,114667,,10763,182331,200,0,207348,1206208,5559,4933,21239,0,21239
2014-03-19,4,2013,1018730,,,344028,29002,,,154217,5692,32838,62475,644,20441,114798,110000,28940,24578,109.0,72281,8771,95193,,4033,4033,4033,479.0,55,,-388,2978,114707,-62,-62,227736,588679,360943,112773,123821,1502.0,,527009,112773,414236,0,7635.0,7635.0,,,1175,44116,44116,83.0,83.0,68723,68723,0.0,1763,37450,1002,284281,278589,283.0,35429,35429,4515,93691.0,466062,219572,3747,13814,13814,1386670,109.0,,2013年12月31日,110601,,,65288,1418976,187455,1931702,1931702,0,31711,199975,1139874,,,,,,18289,201716,,150245.0,332.0,0.0,2476.0,45313,63510,250237,1231521,117668,1386670,190257,,,409835.0,172064,165602,6462,,2341537.0,131921,14253,0.0,2590,,114667,114667,,10869,147569,200,0,209860,1201663,23470,22604,24578,0,24578
2014-05-13,1,2014,1005908,,,354807,26055,,,151270,5692,32548,46362,704,14699,114952,110000,25993,21426,420.0,73128,9243,93764,,4975,4975,4975,0.0,1161,,-145,3607,133214,-62,-62,227736,588679,360943,124206,147571,1252.0,,571228,124206,447022,0,0.0,0.0,,0.0,1369,28470,28470,882.0,882.0,43863,43863,,2054,26538,998,253849,248157,105.0,30131,30131,4847,92512.0,466247,216583,3747,13814,13814,1386670,420.0,1707.0,2014年03月31日,121380,,,10779,1418976,178155,1939534,1939534,0,31711,141003,1102653,,,,,,18707,201716,126005.0,,0.0,0.0,0.0,110601,63885,253411,1240821,118599,1386670,180078,,,349434.0,172064,165602,6462,,2288968.0,131847,13248,0.0,3462,,114667,114667,,10348,125805,200,0,208431,1186315,8298,7137,19719,0,19719
2014-08-12,2,2014,993076,,,295289,25361,,,150576,5692,32152,120773,645,13278,93357,90104,25298,21829,941.0,73128,8933,92478,,4879,4879,4879,0.0,5406,,123,3892,103911,-63,-63,227736,588679,360943,31994,143423,1252.0,,573660,140220,433440,0,0.0,0.0,108226.0,0.0,1546,42390,42390,141.0,141.0,38837,38837,69334.0,2319,32665,986,234808,229116,86.0,31609,31609,3167,91226.0,466247,213407,3747,13814,13814,1386670,941.0,1988.0,2014年06月30日,55333,,,20595,1418979,169759,1879321,1879321,0,38240,223970,1136853,,,,,,17541,201716,192142.0,,0.0,,10000.0,34738,64195,256587,1249220,119535,1386670,200717,,,431115.0,172064,165602,6462,,2310436.0,131833,12298,,4015,0.0,114667,114667,,11238,181942,200,0,207145,1173583,12013,6607,19841,0,19841
2014-11-13,3,2014,985519,,,296686,24494,,,149709,5692,31298,49016,648,13911,102615,100000,24433,17156,14.0,73685,9174,91188,,468,397,397,562.0,4109,0.0,-775,6528,103587,-61,-61,227736,588679,360943,48493,156825,1252.0,71.0,558662,141407,417255,0,0.0,0.0,92914.0,0.0,396,39182,39182,68.0,68.0,26172,26172,,594,32493,974,240648,234956,459.0,44697,44697,2156,89936.0,466247,210230,3747,13814,13814,1386670,14.0,2185.0,2014年09月30日,56730,4581.0,,21992,1418979,161255,1879853,1879853,0,38240,131594,1057198,,,,,,18242,201716,105313.0,,0.0,0.0,0.0,34738,64511,259764,1257724,120289,1386670,169899,,,337449.0,172064,165602,6462,,2217302.0,131889,11600,0.0,5753,,114667,114667,,10594,105113,200,0,205855,1160104,5188,517,14971,0,14971
2015-03-20,4,2014,972511,,,294070,23280,,,148495,4692,32240,60703,632,21714,5818,1333,23222,21022,0.0,73685,8853,101481,,378,378,378,567.0,2191,,-1956,6275,130913,-58,-58,227736,588679,360943,59717,141593,1098.0,,577317,145283,432034,0,0.0,0.0,85566.0,0.0,523,40431,40431,68.0,68.0,23957,23957,0.0,785,36091,958,219712,215020,85.0,58633,58633,4400,100383.0,466247,207054,3747,13814,13814,1386670,0.0,2539.0,2014年12月31日,54114,4581.0,,29064,1418979,152751,1876026,1876026,0,38240,146181,1091014,,,,100000.0,100000.0,16813,201716,115175.0,,0.0,0.0,0.0,25050,64832,262940,1266228,121218,1386670,174955,,,362746.0,172064,165602,6462,,2238772.0,131811,10593,0.0,4319,,115084,115084,,12560,114975,200,0,216565,1147758,14732,11974,18483,0,18483
2015-05-13,1,2015,961140,,,310577,39313,,,167438,4692,31990,47744,668,21767,5061,1479,39254,21927,0.0,73685,8535,100295,,301,301,301,568.0,2863,,-1838,5442,131957,-59,-59,227736,588679,360943,62548,136394,1087.0,,546848,141047,405801,0,0.0,0.0,78499.0,0.0,820,32223,32223,2034.0,2034.0,18035,18035,,1230,22301,958,213358,208666,83.0,25671,25671,3499,,466247,203878,3747,13814,13814,1386670,0.0,2545.0,2015年03月31日,70621,4901.0,0.0,16507,1418979,144246,1908565,1908565,0,38240,121963,1090358,99208.0,100000.0,100000.0,,,18290,201716,,179814.0,0.0,,0.0,54114,65150,266116,1274733,119936,1386670,151150,2245490.0,336925.0,,172064,165602,6462,2245490.0,,130837,10901,0.0,3604,,114667,114667,,12439,179614,200,0,214962,1155132,20694,17263,19382,0,19382
2015-08-05,2,2015,950588,,,293175,100185,100185.0,128125.0,228310,4692,32106,99242,627,23268,5367,1700,100124,22998,0.0,73685,8730,100051,,504,504,504,0.0,3215,,-2258,6776,97923,-61,-61,227736,588679,360943,66260,127191,1087.0,,548216,144758,403458,0,0.0,0.0,78498.0,0.0,1474,43110,43110,1792.0,1792.0,13015,13015,41600.0,2212,29115,946,218073,213381,85.0,26178,26178,3582,,466247,200701,3747,13814,13814,1386670,0.0,3027.0,2015年06月30日,50313,5154.0,4704.0,40705,1419369,136442,1952033,1952033,0,41146,184861,1145834,98964.0,,100000.0,,,17446,201716,,240100.0,0.0,,0.0,9608,64955,269293,1282927,120294,1386670,193004,2351612.0,399579.0,,172064,165602,6462,2351612.0,,131176,10882,,4518,0.0,114667,114667,,12562,239898,202,0,214718,1205778,8074,4859,19971,0,19971
